000592 平潭发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	1.94	1.97	1.89	1.89	3134560	15683376.000
01/05/2012	1.90	1.91	1.70	1.73	6195069	29159648.000
01/06/2012	1.76	1.76	1.58	1.75	6696084	28984402.000
01/09/2012	1.72	1.84	1.70	1.83	4527369	21013414.000
01/10/2012	1.83	2.02	1.81	1.98	11596134	58370140.000
01/11/2012	1.95	2.08	1.94	2.02	11302571	59493884.000
01/12/2012	1.99	2.05	1.98	2.03	7215033	37841820.000
01/13/2012	2.05	2.12	1.95	1.95	8844968	46346180.000
01/16/2012	1.99	2.01	1.87	1.88	8042212	40742812.000
01/17/2012	1.88	1.98	1.86	1.98	7207158	36322560.000
01/18/2012	1.99	2.01	1.92	1.94	6568787	33512346.000
01/19/2012	1.95	1.99	1.92	1.92	5690595	28717888.000
01/20/2012	1.88	1.97	1.87	1.93	5229047	26094562.000
01/30/2012	1.93	1.94	1.89	1.90	2541286	12663465.000
01/31/2012	1.87	1.91	1.87	1.89	1544536	7580661.000
02/01/2012	1.89	1.91	1.86	1.87	1758300	8608164.000
02/02/2012	1.87	1.91	1.87	1.91	2019216	9958858.000
02/03/2012	1.91	2.02	1.89	1.98	6810813	34963872.000
02/06/2012	1.99	2.01	1.96	2.00	6816479	35275324.000
02/07/2012	1.99	1.99	1.90	1.92	6067497	30538228.000
02/08/2012	1.91	1.98	1.89	1.97	6675021	33769012.000
02/09/2012	2.02	2.17	2.02	2.16	23728525	132129560.000
02/10/2012	2.12	2.22	2.10	2.22	18633874	104028600.000
02/13/2012	2.18	2.39	2.17	2.29	25181932	149880656.000
02/14/2012	2.32	2.32	2.20	2.23	18906250	110673608.000
02/15/2012	2.26	2.45	2.25	2.45	39844433	248210368.000
02/16/2012	2.47	2.67	2.44	2.51	37651109	249127536.000
02/17/2012	2.55	2.60	2.47	2.53	17572822	115420728.000
02/20/2012	2.56	2.62	2.52	2.59	18239178	121778640.000
02/21/2012	2.57	2.61	2.50	2.57	13180129	87309960.000
02/22/2012	2.56	2.59	2.53	2.58	14216260	94775960.000
02/23/2012	2.53	2.55	2.46	2.48	27306992	177324896.000
02/24/2012	2.48	2.51	2.44	2.47	21503102	138340176.000
02/28/2012	2.46	2.52	2.40	2.50	23908300	152809792.000
02/29/2012	2.47	2.52	2.43	2.44	12654938	81536072.000
03/01/2012	2.40	2.49	2.40	2.45	10796523	68580696.000
03/02/2012	2.46	2.51	2.44	2.48	11328678	73037544.000
