000599 青岛双星 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.89	3.93	3.72	3.74	1769690	6850943.500
01/05/2012	3.75	3.77	3.62	3.73	1796704	6698534.000
01/06/2012	3.73	3.77	3.61	3.77	1869255	6958895.500
01/09/2012	3.77	3.88	3.70	3.88	3274132	12654908.000
01/10/2012	3.88	4.02	3.85	4.01	4601967	18368694.000
01/11/2012	4.00	4.09	3.96	3.99	3851923	15577522.000
01/12/2012	3.96	4.04	3.95	3.97	2866923	11570230.000
01/13/2012	3.98	3.99	3.79	3.82	2657028	10413604.000
01/16/2012	3.77	3.82	3.70	3.73	2117346	8044471.000
01/17/2012	3.73	3.93	3.72	3.92	3093881	11971768.000
01/18/2012	3.92	3.96	3.80	3.82	2947676	11566315.000
01/19/2012	3.83	3.89	3.81	3.88	2046262	7980067.000
01/20/2012	3.88	3.95	3.87	3.92	2098304	8306319.000
01/30/2012	3.93	3.95	3.80	3.81	3335342	13074575.000
01/31/2012	3.82	3.86	3.75	3.84	3250146	12483572.000
02/01/2012	3.84	3.90	3.79	3.82	2062359	8014167.500
02/02/2012	3.85	3.91	3.81	3.90	2266035	8847108.000
02/03/2012	3.90	3.99	3.88	3.97	5079040	20289814.000
02/06/2012	3.96	4.01	3.95	3.99	3039582	12222209.000
02/07/2012	3.97	3.97	3.88	3.91	2412165	9551666.000
02/08/2012	3.91	4.04	3.89	4.02	5392235	21804250.000
02/09/2012	4.00	4.06	4.00	4.03	5572823	22685026.000
02/10/2012	4.03	4.08	4.01	4.04	4424866	18098594.000
02/13/2012	4.02	4.11	3.98	4.08	4494661	18424300.000
02/14/2012	4.06	4.14	4.03	4.13	4413679	18236842.000
02/15/2012	4.12	4.20	4.06	4.19	5395326	22580070.000
02/16/2012	4.18	4.26	4.13	4.23	5961014	25295900.000
02/17/2012	4.24	4.25	4.14	4.19	4004696	16933430.000
02/20/2012	4.23	4.25	4.14	4.15	3549348	15034108.000
02/21/2012	4.15	4.21	4.08	4.17	2852901	11953557.000
02/22/2012	4.16	4.26	4.15	4.25	5557427	23658806.000
02/23/2012	4.25	4.40	4.22	4.29	12568700	54676864.000
02/24/2012	4.26	4.33	4.23	4.32	7259067	31354906.000
02/27/2012	4.32	4.50	4.31	4.37	10704842	47446336.000
02/28/2012	4.35	4.50	4.32	4.43	10337679	45959968.000
02/29/2012	4.41	4.43	4.30	4.31	4776797	21020030.000
03/01/2012	4.31	4.34	4.25	4.29	3420908	14841142.000
03/02/2012	4.29	4.39	4.29	4.39	4049503	17824776.000
03/05/2012	4.39	4.42	4.36	4.38	4382691	19411102.000
03/06/2012	4.36	4.37	4.28	4.34	3732091	16254605.000
03/07/2012	4.29	4.34	4.26	4.29	3837105	16649493.000
03/08/2012	4.29	4.38	4.29	4.35	4153136	18198456.000
03/09/2012	4.37	4.41	4.35	4.41	4561162	20189990.000
03/12/2012	4.42	4.48	4.37	4.41	4827924	21545930.000
03/13/2012	4.40	4.53	4.39	4.49	8543599	38477624.000
03/14/2012	4.49	4.51	4.17	4.21	8880005	39289940.000
03/15/2012	4.18	4.23	4.06	4.10	4815448	20130374.000
03/16/2012	4.13	4.26	4.12	4.25	4391892	18562028.000
03/19/2012	4.25	4.31	4.21	4.30	2723529	11713615.000
03/20/2012	4.29	4.29	4.18	4.19	3519818	15038720.000
03/21/2012	4.22	4.23	4.12	4.19	2460279	10376709.000
03/22/2012	4.19	4.27	4.17	4.21	2302329	9794001.000
03/23/2012	4.21	4.21	4.07	4.12	2807461	11715513.000
03/26/2012	4.11	4.15	4.07	4.12	1889678	7848257.000
03/27/2012	4.13	4.16	4.09	4.10	1608784	6690621.500
03/28/2012	4.10	4.11	3.87	3.89	4530906	18082424.000
03/29/2012	3.92	3.92	3.77	3.82	2920280	11293803.000
03/30/2012	3.83	3.97	3.79	3.96	6164603	24203636.000
04/05/2012	3.94	4.01	3.88	3.98	4305932	17169688.000
04/06/2012	3.98	4.02	3.91	4.01	5397927	21632966.000
04/09/2012	3.98	4.07	3.93	3.95	3419225	13822077.000
04/10/2012	3.93	4.00	3.81	4.00	2642378	10491345.000
04/11/2012	3.96	4.09	3.93	4.04	3234795	13178560.000
04/12/2012	4.07	4.17	4.07	4.12	4754293	19753212.000
04/13/2012	4.13	4.19	4.09	4.17	4886680	20478690.000
04/16/2012	4.13	4.28	4.12	4.23	4623793	19653640.000
04/17/2012	4.22	4.26	4.10	4.12	3906106	16523145.000
04/18/2012	4.14	4.30	4.12	4.26	6408882	27333658.000
04/19/2012	4.26	4.38	4.22	4.29	8216158	35829768.000
04/20/2012	4.26	4.33	4.23	4.26	4779843	20577850.000
04/23/2012	4.26	4.44	4.21	4.28	8210300	35659212.000
04/24/2012	4.29	4.34	4.01	4.17	5592048	23654506.000
04/25/2012	4.26	4.59	4.26	4.38	26784876	121377424.000
04/26/2012	4.31	4.45	4.25	4.35	15389830	67220960.000
04/27/2012	4.31	4.33	4.21	4.25	5329006	22960592.000
05/02/2012	4.27	4.32	4.24	4.27	6165395	26595692.000
05/03/2012	4.26	4.28	4.17	4.22	4562761	19438488.000
05/04/2012	4.21	4.35	4.20	4.34	5073410	21902546.000
05/08/2012	4.36	4.44	4.24	4.29	4840711	20935908.000
05/09/2012	4.29	4.31	4.21	4.23	3277607	14046651.000
05/10/2012	4.24	4.25	4.17	4.21	2550389	10858488.000
05/11/2012	4.17	4.25	4.08	4.09	4309469	18148976.000
05/14/2012	4.14	4.20	4.10	4.13	2727878	11406545.000
05/15/2012	4.12	4.24	4.10	4.23	4661434	19618754.000
05/16/2012	4.29	4.65	4.26	4.39	28209273	126079776.000
05/17/2012	4.32	4.60	4.26	4.51	26585184	119595592.000
05/18/2012	4.49	4.96	4.47	4.76	55835871	265961648.000
05/21/2012	4.66	4.73	4.34	4.40	31986156	144935568.000
05/22/2012	4.42	4.48	4.35	4.44	14745518	65672144.000
05/23/2012	4.41	4.50	4.32	4.45	13496481	60127232.000
05/24/2012	4.38	4.58	4.38	4.44	15114906	68522560.000
