000605 渤海股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.09	8.28	7.81	7.82	220194	1773784.250
01/05/2012	7.91	7.91	7.47	7.48	129100	989923.188
01/06/2012	7.32	7.75	7.32	7.75	129598	983069.438
01/09/2012	7.64	8.10	7.64	8.10	226910	1809472.875
01/10/2012	8.10	8.38	8.08	8.38	321986	2651452.500
01/11/2012	8.38	8.48	8.25	8.28	314622	2619248.000
01/12/2012	8.20	8.42	8.20	8.36	226145	1877732.375
01/13/2012	8.35	8.47	8.00	8.38	340680	2814206.000
01/16/2012	8.35	8.37	8.11	8.29	219716	1812790.500
02/29/2012	8.70	8.70	8.70	8.70	167820	1460034.000
03/01/2012	9.14	9.14	9.14	9.14	11320	103464.797
03/02/2012	9.60	9.60	9.60	9.60	18461	177225.594
03/05/2012	10.08	10.08	10.08	10.08	51832	522466.563
03/06/2012	10.58	10.58	10.56	10.58	2052881	21718982.000
03/07/2012	10.70	11.11	10.58	11.11	4904016	53612344.000
04/17/2012	10.55	10.90	10.55	10.55	443400	4693440.000
04/18/2012	10.02	10.02	10.02	10.02	380500	3812610.000
04/19/2012	9.80	10.52	9.80	10.16	2066635	21092762.000
04/20/2012	9.96	10.16	9.76	10.05	1208728	12065762.000
04/23/2012	10.06	10.51	9.91	10.25	1171901	11946489.000
04/24/2012	10.18	10.18	9.74	9.80	985977	9731886.000
04/25/2012	9.67	9.80	9.46	9.66	1035985	9987291.000
04/26/2012	9.73	9.85	9.62	9.75	642257	6245621.000
04/27/2012	9.78	9.79	9.26	9.35	665659	6289976.500
05/02/2012	8.89	9.40	8.89	9.16	1080490	9911070.000
05/03/2012	9.15	9.61	9.15	9.44	650022	6163354.000
05/04/2012	9.60	9.83	9.42	9.82	583215	5664591.500
05/07/2012	9.83	10.31	9.80	10.31	397925	4054784.250
05/08/2012	10.45	10.83	10.22	10.28	1318820	13956627.000
05/09/2012	10.18	10.72	10.18	10.54	855010	8972608.000
05/10/2012	10.31	10.67	10.31	10.50	348240	3668965.500
05/11/2012	10.46	10.58	10.41	10.50	354742	3730291.000
05/14/2012	10.61	10.61	10.20	10.20	377008	3913125.250
05/15/2012	10.30	10.44	10.20	10.33	203136	2103441.250
05/16/2012	10.25	10.85	10.25	10.75	664575	7123669.000
05/17/2012	10.74	11.29	10.62	11.00	1395107	15537855.000
05/18/2012	11.00	11.10	10.59	10.76	387807	4197505.000
05/21/2012	10.76	11.30	10.68	11.30	533218	5968787.000
05/22/2012	11.52	11.87	11.43	11.55	1106218	12959387.000
05/23/2012	11.46	11.93	11.46	11.69	716564	8398514.000
05/24/2012	11.68	12.27	11.50	12.27	1633312	19803612.000
05/25/2012	12.20	12.37	11.80	12.26	998885	12065958.000
05/28/2012	12.10	12.23	11.66	11.82	796008	9452576.000
05/29/2012	11.75	11.85	11.35	11.58	770187	8926405.000
05/30/2012	11.49	12.00	11.49	12.00	495207	5822385.000
05/31/2012	11.97	12.14	11.74	11.88	418030	4997858.500
06/01/2012	11.83	12.01	11.50	11.68	435819	5140052.500
06/04/2012	11.40	11.84	11.34	11.60	306190	3573787.750
06/05/2012	11.60	11.78	11.50	11.68	402417	4717547.500
06/06/2012	11.70	11.89	11.64	11.69	198042	2322806.500
06/07/2012	11.68	11.75	11.45	11.54	214352	2481815.500
06/08/2012	11.45	11.67	11.45	11.53	152603	1765126.750
06/11/2012	11.73	12.03	11.52	11.87	426077	5058252.000
06/13/2012	11.79	12.05	11.73	11.98	389951	4646723.000
06/14/2012	12.06	12.06	11.70	11.75	276727	3274700.000
06/15/2012	11.66	11.92	11.66	11.83	156211	1843399.875
06/18/2012	11.85	12.34	11.83	12.33	816522	9932381.000
06/19/2012	12.33	12.33	12.08	12.19	444896	5413673.000
06/20/2012	12.25	12.80	12.11	12.80	710799	8894887.000
06/21/2012	12.88	13.38	12.56	13.29	932501	12020828.000
06/25/2012	13.14	13.49	12.63	12.65	798949	10341723.000
06/26/2012	12.55	12.65	12.22	12.65	416225	5179764.000
06/27/2012	12.40	13.06	12.31	13.02	434351	5598399.000
06/28/2012	13.02	13.36	12.90	13.02	535178	7035549.500
06/29/2012	12.99	13.30	12.73	13.01	601568	7888871.500
07/02/2012	12.95	13.33	12.86	13.26	426494	5604962.000
