000606 *ST易桥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.81	5.90	5.60	5.61	2083830	12092742.000
01/05/2012	5.57	5.66	5.18	5.23	3969254	21605762.000
01/06/2012	5.23	5.30	4.96	5.28	3743630	19215744.000
01/09/2012	5.27	5.51	5.16	5.50	4071133	22036312.000
01/10/2012	5.58	5.87	5.51	5.77	5753360	33060832.000
01/11/2012	5.76	5.80	5.62	5.79	4901153	28168002.000
01/12/2012	5.78	5.86	5.68	5.85	4968250	28945558.000
01/13/2012	5.81	5.84	5.51	5.53	4147646	23520390.000
01/16/2012	5.42	5.54	5.29	5.30	2353239	12813653.000
01/17/2012	5.29	5.65	5.29	5.65	3764719	20788656.000
01/18/2012	5.79	5.92	5.63	5.64	6815967	39554572.000
01/19/2012	5.57	5.73	5.57	5.66	3871745	21979050.000
01/20/2012	5.71	5.72	5.63	5.70	2684396	15297377.000
01/30/2012	5.71	5.74	5.62	5.65	2597923	14780359.000
02/07/2012	6.22	6.22	5.78	5.85	16728695	99493752.000
02/08/2012	5.75	5.93	5.66	5.90	11340519	65929620.000
02/09/2012	5.86	5.94	5.78	5.89	11173154	65750736.000
02/10/2012	5.83	5.94	5.83	5.88	7749796	45744676.000
02/13/2012	5.83	5.94	5.79	5.92	7588643	44860128.000
02/14/2012	5.93	5.93	5.85	5.89	5358714	31653236.000
02/15/2012	5.84	6.12	5.79	6.03	13428079	79850104.000
02/16/2012	6.02	6.06	5.89	5.96	9041255	54259844.000
02/17/2012	5.96	5.99	5.83	5.92	5287462	31323122.000
02/20/2012	5.98	6.00	5.90	5.90	5528611	32994510.000
02/21/2012	5.90	5.93	5.78	5.90	5364678	31513804.000
02/22/2012	5.88	6.00	5.87	6.00	9534322	56920936.000
02/23/2012	6.01	6.06	5.93	5.99	8347307	50125756.000
02/24/2012	5.99	6.08	5.88	6.05	12018198	72314872.000
02/27/2012	6.05	6.20	6.05	6.11	14417197	88863312.000
02/28/2012	6.07	6.42	6.04	6.28	20499028	128150176.000
02/29/2012	6.23	6.27	6.06	6.09	10030601	61877244.000
03/01/2012	6.03	6.14	6.00	6.12	5365971	32781676.000
03/02/2012	6.10	6.20	6.09	6.19	8113380	50091060.000
03/05/2012	6.23	6.23	6.11	6.12	7177244	44306260.000
03/06/2012	6.10	6.11	5.91	5.96	8036152	48320208.000
03/07/2012	5.91	5.96	5.86	5.94	6260998	37146780.000
03/08/2012	5.94	6.02	5.92	5.98	5920215	35497744.000
03/09/2012	5.98	6.11	5.98	6.09	7173149	43677848.000
03/12/2012	6.09	6.16	6.07	6.15	6869551	42174464.000
03/13/2012	6.15	6.20	6.10	6.19	9032864	55873492.000
