000632 三木集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.15	3.17	3.06	3.06	1491884	4652664.500
01/05/2012	3.04	3.06	2.95	2.97	1754872	5290473.500
01/06/2012	2.97	3.00	2.92	3.00	1182816	3507316.000
01/09/2012	3.04	3.14	2.97	3.13	3249339	10016463.000
01/10/2012	3.13	3.29	3.11	3.26	5592499	18001508.000
01/11/2012	3.24	3.26	3.19	3.22	3924927	12665951.000
01/12/2012	3.22	3.32	3.20	3.28	4231608	13848201.000
01/13/2012	3.27	3.28	3.14	3.19	3437279	10982062.000
01/16/2012	3.17	3.51	3.16	3.27	10152322	34001992.000
01/17/2012	3.20	3.43	3.14	3.40	7624255	25105080.000
01/18/2012	3.38	3.41	3.26	3.28	5567814	18586188.000
01/19/2012	3.29	3.34	3.26	3.32	2880676	9511631.000
01/20/2012	3.31	3.37	3.30	3.35	2116167	7074735.500
01/30/2012	3.32	3.37	3.30	3.30	1962228	6532687.000
01/31/2012	3.28	3.30	3.21	3.29	1982472	6464027.500
02/01/2012	3.29	3.32	3.23	3.25	1799511	5895677.000
02/02/2012	3.26	3.32	3.26	3.31	2059400	6778297.000
02/03/2012	3.32	3.39	3.30	3.37	3979819	13358924.000
02/06/2012	3.36	3.55	3.35	3.46	8698966	30218512.000
02/07/2012	3.41	3.43	3.33	3.35	4240429	14260099.000
02/08/2012	3.34	3.50	3.34	3.44	4221188	14480457.000
02/09/2012	3.44	3.53	3.42	3.46	5481936	19072096.000
02/10/2012	3.46	3.54	3.44	3.50	4916815	17227096.000
02/13/2012	3.45	3.54	3.42	3.51	4790507	16742325.000
02/14/2012	3.51	3.59	3.47	3.55	4486263	15844796.000
02/15/2012	3.60	3.72	3.60	3.64	10682484	38989000.000
02/16/2012	3.60	3.70	3.57	3.64	7463869	27160620.000
02/17/2012	3.63	3.66	3.57	3.61	3748943	13571615.000
02/20/2012	3.65	3.67	3.61	3.62	4652670	16947144.000
02/21/2012	3.63	3.66	3.57	3.64	3706053	13399762.000
02/22/2012	3.65	3.75	3.61	3.71	7449793	27575666.000
