000652 泰达股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.25	4.27	4.18	4.19	7706980	32799674.000
01/05/2012	4.19	4.24	4.06	4.06	6544380	27292598.000
01/06/2012	4.00	4.05	3.89	4.02	6732166	26898080.000
01/09/2012	4.00	4.17	3.92	4.15	8001487	32865746.000
01/10/2012	4.13	4.36	4.13	4.32	10992640	47220072.000
01/11/2012	4.32	4.41	4.29	4.33	10138812	44242428.000
01/12/2012	4.33	4.42	4.27	4.34	9356145	40991580.000
01/13/2012	4.32	4.34	4.15	4.15	7421980	31603218.000
01/16/2012	4.12	4.16	4.00	4.00	4060200	16685682.000
01/17/2012	3.99	4.22	3.99	4.21	6444839	26841192.000
01/18/2012	4.22	4.27	4.13	4.15	6535469	27638802.000
01/19/2012	4.15	4.23	4.14	4.16	5945427	25002952.000
01/20/2012	4.21	4.23	4.16	4.22	6508642	27494830.000
01/30/2012	4.23	4.26	4.19	4.20	6256556	26603322.000
01/31/2012	4.16	4.18	4.04	4.10	6480938	26742100.000
02/01/2012	4.13	4.13	4.01	4.03	4867439	19984420.000
02/02/2012	4.05	4.09	4.02	4.09	4725154	19314048.000
02/03/2012	4.07	4.19	4.07	4.16	7378385	30737442.000
02/06/2012	4.17	4.26	4.17	4.25	8843918	37580144.000
02/07/2012	4.24	4.24	4.13	4.15	6607722	27772684.000
02/08/2012	4.16	4.28	4.14	4.27	8755352	37303816.000
02/09/2012	4.27	4.33	4.23	4.28	11930025	51512020.000
02/10/2012	4.26	4.38	4.25	4.35	13572363	59322920.000
02/13/2012	4.31	4.42	4.29	4.39	9874138	43552260.000
02/14/2012	4.39	4.41	4.31	4.34	8522262	37252884.000
02/15/2012	4.34	4.44	4.32	4.44	13729851	60859668.000
02/16/2012	4.44	4.54	4.41	4.46	14113153	63404124.000
02/17/2012	4.44	4.56	4.39	4.50	17276138	78062912.000
02/20/2012	4.54	4.56	4.45	4.46	11371562	51596972.000
02/21/2012	4.46	4.49	4.37	4.47	9718541	43332552.000
02/22/2012	4.48	4.60	4.45	4.60	17617616	80680512.000
02/23/2012	4.77	4.81	4.58	4.60	21126093	99258296.000
02/24/2012	4.59	4.75	4.55	4.74	17651268	83053704.000
02/27/2012	4.77	4.92	4.70	4.74	30191279	146701776.000
02/28/2012	4.74	4.77	4.67	4.70	9979949	47362552.000
02/29/2012	4.71	4.71	4.51	4.53	11478235	53177460.000
03/01/2012	4.49	4.61	4.49	4.54	7247229	33266190.000
03/02/2012	4.56	4.69	4.55	4.69	9439276	43987856.000
03/16/2012	4.67	4.92	4.47	4.84	28562073	135317264.000
03/19/2012	4.77	4.83	4.67	4.77	14122523	67422344.000
03/20/2012	4.77	4.79	4.59	4.61	10184041	47608468.000
03/21/2012	4.63	4.67	4.49	4.56	7702953	35357396.000
03/22/2012	4.52	4.56	4.47	4.49	7167071	32483120.000
03/23/2012	4.48	4.54	4.37	4.40	7242666	32575078.000
03/26/2012	4.40	4.44	4.32	4.34	5023734	22085560.000
03/27/2012	4.39	4.40	4.33	4.34	3774192	16580922.000
03/28/2012	4.36	4.38	4.06	4.08	6412870	27160740.000
03/29/2012	4.07	4.11	3.90	3.98	7124324	28829568.000
03/30/2012	4.01	4.04	3.95	4.00	4956771	19940194.000
04/05/2012	3.99	4.17	3.93	4.14	8198914	33688160.000
04/06/2012	4.15	4.19	4.09	4.10	4367368	18163808.000
