000668 荣丰控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.59	7.59	7.34	7.34	330499	2476146.500
01/05/2012	7.29	7.37	6.73	6.86	880776	6112238.000
01/06/2012	6.86	6.99	6.56	6.98	964613	6633383.000
01/09/2012	6.95	7.13	6.75	7.09	1199335	8495564.000
01/10/2012	7.07	7.36	7.06	7.31	1009831	7367659.000
01/11/2012	7.30	7.34	7.21	7.29	481556	3532396.000
01/12/2012	7.25	7.45	7.21	7.28	767500	5663526.500
01/13/2012	7.26	7.30	6.91	6.98	666150	4733916.500
01/16/2012	6.95	7.12	6.86	6.86	411394	2891307.250
01/17/2012	6.96	7.31	6.88	7.21	759559	5432536.000
01/18/2012	7.31	7.34	7.13	7.20	529358	3845107.000
01/19/2012	7.19	7.27	7.08	7.18	496203	3593061.750
01/20/2012	7.15	7.24	7.11	7.18	1100084	7944679.500
01/30/2012	7.23	7.41	7.07	7.08	439371	3156401.250
01/31/2012	7.04	7.09	6.92	7.07	647736	4559298.000
02/01/2012	7.05	7.10	6.93	7.01	411499	2902244.750
02/02/2012	7.03	7.19	6.95	7.17	740199	5293303.500
02/03/2012	7.14	7.29	7.13	7.24	648567	4721108.500
02/06/2012	7.29	7.38	7.24	7.28	654326	4812275.500
02/07/2012	7.30	7.30	7.13	7.21	675326	4899327.500
02/08/2012	7.23	7.40	7.15	7.37	741728	5459752.500
02/09/2012	7.37	7.67	7.33	7.47	1082637	8174347.000
02/10/2012	7.45	7.78	7.41	7.66	1509476	11645522.000
02/13/2012	7.53	7.64	7.36	7.61	844929	6422909.500
02/14/2012	7.65	7.92	7.53	7.89	1538740	12020146.000
02/15/2012	7.89	8.03	7.76	7.93	1159488	9218650.000
02/16/2012	7.81	7.97	7.80	7.86	747067	5920791.500
02/17/2012	7.81	7.89	7.70	7.87	582108	4570612.500
02/20/2012	7.90	8.08	7.85	7.89	867802	6961083.000
02/21/2012	7.77	8.00	7.77	7.99	615872	4877861.000
02/22/2012	7.95	8.16	7.95	8.11	1665033	13553139.000
02/23/2012	8.11	8.30	8.05	8.25	1466644	12058479.000
02/24/2012	8.25	8.65	8.11	8.46	3034391	25823538.000
02/27/2012	8.53	8.55	8.30	8.30	1890683	15929184.000
02/28/2012	8.31	8.31	8.16	8.20	887525	7350923.500
02/29/2012	8.24	8.24	7.99	7.99	670345	5444143.500
03/01/2012	7.95	8.05	7.93	8.04	640112	5155345.000
03/02/2012	8.07	8.51	7.93	8.29	2413188	20029102.000
03/05/2012	8.29	8.33	8.15	8.18	1219473	10069896.000
03/06/2012	8.14	8.24	8.00	8.19	1243422	10168619.000
03/07/2012	8.14	8.70	8.05	8.46	3216357	27434280.000
03/08/2012	8.33	9.15	8.33	9.08	4454899	39671044.000
03/09/2012	8.89	8.89	8.65	8.74	6270387	55044316.000
03/12/2012	8.67	8.70	8.52	8.66	2192727	18973852.000
03/13/2012	8.63	8.76	8.55	8.74	2542469	22127972.000
03/14/2012	8.70	8.83	8.16	8.26	3257328	28101850.000
03/15/2012	8.26	8.42	7.85	8.13	1592454	12986623.000
03/16/2012	8.10	8.30	8.08	8.30	1675936	13834131.000
03/19/2012	8.21	8.28	8.10	8.27	1581886	13023308.000
03/20/2012	8.20	8.43	8.16	8.26	1278952	10648053.000
03/21/2012	8.33	8.34	8.05	8.27	1317887	10901236.000
03/22/2012	8.22	8.53	8.20	8.53	1739701	14669599.000
03/23/2012	8.36	8.53	8.32	8.39	1220568	10347623.000
03/26/2012	8.24	8.49	8.24	8.41	340815	2862286.750
03/27/2012	8.41	8.63	8.39	8.57	934364	8002532.000
03/28/2012	8.59	8.60	8.25	8.49	1516219	12912116.000
03/29/2012	8.40	8.88	8.19	8.78	3462060	30065310.000
03/30/2012	8.73	9.01	8.49	8.99	3376617	29881442.000
04/05/2012	8.99	9.03	8.77	9.00	3116247	27961622.000
04/06/2012	8.96	9.00	8.60	8.81	2776807	24553814.000
04/09/2012	8.61	8.78	8.56	8.56	1291367	11249955.000
04/10/2012	8.55	8.75	8.37	8.75	1888580	16285367.000
04/11/2012	8.61	8.96	8.49	8.79	1780824	15782079.000
04/12/2012	8.71	8.80	8.51	8.78	1891302	16545729.000
04/13/2012	8.79	9.21	8.70	9.00	4295169	38560220.000
04/16/2012	8.90	8.98	8.77	8.82	2461590	21950118.000
04/17/2012	8.79	8.82	8.43	8.45	2147801	18513862.000
04/18/2012	8.41	8.70	8.41	8.57	1669895	14380443.000
04/19/2012	8.53	8.60	8.39	8.45	1030189	8797298.000
04/20/2012	8.49	8.64	8.42	8.63	1678145	14456971.000
04/23/2012	8.63	8.70	8.52	8.66	1464605	12680223.000
04/24/2012	8.55	8.70	8.26	8.45	1566347	13355463.000
04/25/2012	8.35	8.81	8.35	8.75	2618321	22887050.000
04/26/2012	8.75	9.13	8.69	8.86	4408868	39796788.000
04/27/2012	8.85	8.85	8.36	8.67	2155314	18619654.000
05/02/2012	8.69	8.83	8.62	8.70	1468190	12872211.000
05/03/2012	8.60	8.70	8.46	8.52	1337438	11482039.000
05/04/2012	8.46	8.69	8.46	8.56	889756	7701557.500
05/07/2012	8.46	8.69	8.38	8.67	1272386	10976567.000
05/08/2012	8.65	8.80	8.57	8.76	1332505	11697329.000
05/09/2012	8.75	8.76	8.56	8.58	842812	7336763.000
05/10/2012	8.56	8.66	8.50	8.54	662681	5717669.500
05/11/2012	8.45	8.67	8.45	8.63	730811	6303488.500
05/14/2012	8.66	8.78	8.57	8.57	1199218	10469119.000
05/15/2012	8.53	8.63	8.40	8.54	775701	6627575.500
05/16/2012	8.47	8.70	8.47	8.65	955234	8271566.000
05/17/2012	8.66	8.85	8.57	8.84	1685911	14857743.000
05/18/2012	8.80	8.89	8.68	8.69	1583760	13986579.000
05/21/2012	8.69	8.81	8.61	8.81	759793	6690089.500
05/22/2012	8.82	9.00	8.76	8.98	1166737	10459457.000
05/23/2012	8.95	9.05	8.78	8.98	1454940	13054754.000
05/24/2012	8.97	9.32	8.89	8.98	2275122	20870246.000
05/28/2012	8.75	9.05	8.65	8.90	1457694	12921438.000
05/29/2012	8.83	9.18	8.80	9.08	2036706	18576338.000
05/30/2012	9.12	9.31	9.03	9.13	1621855	14934808.000
05/31/2012	9.06	9.15	8.85	8.95	1240542	11231966.000
06/01/2012	9.00	9.33	8.95	9.21	2922342	26922296.000
06/04/2012	9.13	9.16	8.86	8.92	1635787	14824708.000
06/05/2012	8.99	8.99	8.85	8.88	1018068	9110261.000
06/06/2012	8.89	8.95	8.50	8.56	1418504	12498928.000
06/07/2012	8.60	8.69	8.44	8.45	827808	7121892.500
06/08/2012	8.55	8.64	8.35	8.41	787050	6719399.500
06/11/2012	8.45	8.66	8.39	8.56	619319	5312535.000
06/12/2012	8.55	8.72	8.43	8.65	644922	5566078.000
06/13/2012	8.60	8.74	8.60	8.67	405053	3529077.500
06/14/2012	8.65	8.76	8.59	8.66	629820	5485756.000
06/15/2012	8.66	8.82	8.62	8.67	413082	3617816.250
06/18/2012	8.78	8.81	8.64	8.75	490750	4300155.500
06/19/2012	8.79	8.79	8.56	8.59	331638	2889641.250
06/20/2012	8.43	8.65	8.43	8.44	360163	3083363.500
06/21/2012	8.52	8.56	8.33	8.33	532623	4510635.000
06/25/2012	8.21	8.33	7.96	8.04	497099	4068754.000
06/26/2012	8.00	8.12	7.95	8.09	253186	2048388.875
