000678 襄阳轴承 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.92	3.94	3.74	3.75	1249029	4815052.500
01/05/2012	3.72	3.81	3.60	3.61	1973576	7337722.000
01/06/2012	3.64	3.70	3.53	3.69	1671047	6016934.000
01/09/2012	3.71	3.92	3.63	3.89	2512241	9569862.000
01/10/2012	3.87	4.08	3.87	4.06	2865767	11456771.000
01/11/2012	4.05	4.14	4.00	4.11	3481970	14140583.000
01/12/2012	4.08	4.18	4.06	4.09	2803480	11546228.000
01/13/2012	4.10	4.12	3.86	3.89	2643250	10462276.000
01/16/2012	3.83	3.90	3.80	3.80	1204609	4640427.500
01/17/2012	3.76	4.05	3.76	4.04	2064501	8140491.500
01/18/2012	4.06	4.09	3.93	3.93	2417221	9739275.000
01/19/2012	3.94	4.02	3.91	4.00	1823404	7259156.000
01/20/2012	4.00	4.06	4.00	4.04	1231268	4970223.000
01/30/2012	4.06	4.11	4.01	4.03	1230332	4980734.000
01/31/2012	4.03	4.07	3.97	4.04	1288972	5167020.000
02/01/2012	4.04	4.09	3.96	4.01	1875540	7584055.500
02/02/2012	4.01	4.10	4.01	4.09	1479253	6004504.500
02/03/2012	4.09	4.18	4.07	4.17	2894697	11990284.000
02/06/2012	4.15	4.26	4.15	4.21	2718713	11426497.000
02/07/2012	4.19	4.19	4.08	4.11	2738312	11264169.000
02/08/2012	4.11	4.21	4.05	4.20	2140583	8901645.000
02/09/2012	4.20	4.29	4.17	4.24	3668606	15546110.000
02/10/2012	4.25	4.31	4.21	4.27	2681149	11417366.000
02/13/2012	4.25	4.35	4.21	4.33	2714192	11653951.000
02/14/2012	4.34	4.42	4.28	4.39	3113395	13576260.000
02/15/2012	4.37	4.55	4.37	4.55	5255998	23572424.000
02/16/2012	4.55	4.68	4.49	4.61	6759791	30998074.000
02/17/2012	4.62	4.67	4.52	4.57	3453544	15829243.000
02/20/2012	4.61	4.65	4.48	4.49	3496548	15943369.000
02/21/2012	4.49	4.56	4.40	4.56	2683615	12016360.000
02/22/2012	4.55	4.70	4.52	4.69	4565257	21123310.000
02/23/2012	4.66	4.73	4.61	4.66	4228709	19715954.000
02/24/2012	4.62	4.80	4.62	4.79	6843864	32481704.000
02/27/2012	4.80	4.91	4.76	4.80	5834193	28208780.000
02/28/2012	4.80	4.80	4.63	4.75	3133773	14838097.000
02/29/2012	4.76	4.86	4.71	4.75	4339839	20773156.000
03/01/2012	4.73	4.79	4.71	4.74	2372490	11257060.000
03/02/2012	4.74	4.85	4.70	4.82	5179743	24837006.000
03/05/2012	4.80	5.07	4.79	4.98	10337041	51244840.000
03/06/2012	4.95	5.15	4.91	5.10	6854793	34235372.000
03/07/2012	5.01	5.59	4.99	5.52	12357329	65352564.000
03/08/2012	5.34	5.62	5.31	5.35	21462565	115640136.000
03/09/2012	5.30	5.31	5.18	5.24	8504376	44486808.000
03/12/2012	5.23	5.23	5.12	5.19	5381067	27837102.000
03/13/2012	5.18	5.23	5.16	5.22	4049060	21016186.000
03/14/2012	5.22	5.24	4.72	4.80	8006689	40374364.000
03/15/2012	4.80	4.85	4.51	4.58	6280755	29165194.000
03/16/2012	4.65	4.74	4.62	4.72	4203186	19721990.000
03/19/2012	4.72	4.87	4.72	4.85	3905387	18732072.000
03/20/2012	4.83	4.88	4.75	4.76	3902954	18763748.000
03/21/2012	4.76	4.83	4.71	4.78	2326777	11103830.000
