000680 山推股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.93	5.93	5.60	5.60	7567231	66954116.000
01/05/2012	5.60	5.64	5.28	5.34	8627568	72452256.000
01/06/2012	5.34	5.43	5.25	5.41	5667033	46570776.000
01/09/2012	5.42	5.73	5.38	5.72	13130504	112755352.000
01/10/2012	5.69	6.27	5.67	6.15	29529291	271260928.000
01/11/2012	6.10	6.15	6.00	6.09	17532855	163133504.000
01/12/2012	6.05	6.23	6.01	6.13	13051193	122490592.000
01/13/2012	6.17	6.18	5.87	5.87	10982261	100555208.000
01/16/2012	5.81	5.93	5.63	5.63	9685834	85963800.000
01/17/2012	5.63	6.11	5.61	6.07	14683524	132962456.000
01/18/2012	6.10	6.32	6.04	6.08	21246158	200319872.000
01/19/2012	6.08	6.26	5.98	6.24	16796535	158664544.000
01/20/2012	6.21	6.44	6.16	6.40	20018845	193361552.000
01/30/2012	6.39	6.39	6.13	6.14	13315301	127561664.000
01/31/2012	6.14	6.19	6.02	6.12	8062845	75158376.000
02/01/2012	6.10	6.15	5.95	5.98	8557859	79146544.000
02/02/2012	5.99	6.13	5.97	6.11	10806846	100263472.000
02/03/2012	6.10	6.19	6.02	6.15	13165115	123483656.000
02/06/2012	6.16	6.21	6.07	6.13	10666962	100371656.000
02/07/2012	6.11	6.11	5.89	5.93	9883858	90529712.000
02/08/2012	5.93	6.14	5.89	6.14	14257639	132135536.000
02/09/2012	6.15	6.28	6.12	6.19	21360204	203212080.000
02/10/2012	6.21	6.43	6.17	6.31	24588697	237778880.000
02/13/2012	6.21	6.41	6.15	6.39	20070397	193537856.000
02/14/2012	6.35	6.41	6.24	6.33	14251073	137881792.000
02/15/2012	6.33	6.58	6.27	6.52	25719665	254136752.000
02/16/2012	6.49	6.67	6.37	6.49	27216916	271695488.000
02/17/2012	6.51	6.78	6.51	6.67	32636305	332099040.000
02/20/2012	6.81	6.83	6.61	6.61	23094663	236404672.000
02/21/2012	6.61	6.71	6.45	6.69	18631291	187231536.000
02/22/2012	6.69	6.83	6.66	6.79	23477332	242639984.000
02/23/2012	6.80	6.86	6.65	6.77	20643157	213562512.000
02/24/2012	6.76	7.11	6.68	7.04	30788383	324916416.000
02/27/2012	7.09	7.25	7.00	7.01	30728432	334074240.000
02/28/2012	6.93	7.09	6.93	7.02	23944353	256882832.000
02/29/2012	6.98	7.04	6.83	6.85	16943198	179257840.000
03/01/2012	6.83	6.97	6.82	6.87	8675943	91278504.000
03/02/2012	6.88	7.06	6.88	7.01	18714409	199952496.000
03/05/2012	7.03	7.19	7.01	7.07	25737543	279492832.000
03/06/2012	6.93	7.03	6.78	6.85	22059058	232187120.000
03/07/2012	6.75	6.85	6.73	6.77	15120713	157168000.000
03/08/2012	6.79	6.97	6.79	6.87	13911541	146101952.000
03/09/2012	7.05	7.10	6.83	6.92	31364655	333124000.000
03/12/2012	6.92	6.95	6.81	6.87	15123242	158738864.000
03/13/2012	6.87	6.99	6.81	6.97	22062517	232376624.000
03/14/2012	7.07	7.13	6.48	6.59	38978941	412700608.000
03/15/2012	6.58	6.67	6.33	6.39	16396519	162250160.000
03/16/2012	6.38	6.51	6.33	6.50	13338305	131253496.000
03/19/2012	6.49	6.55	6.41	6.55	10915708	108210168.000
03/20/2012	6.54	6.79	6.37	6.51	27301947	275138336.000
03/21/2012	6.59	6.61	6.41	6.47	10991656	109266976.000
03/22/2012	6.50	6.62	6.43	6.55	13351053	133247728.000
03/23/2012	6.99	6.99	6.47	6.55	27970813	285429216.000
03/26/2012	6.43	6.49	6.35	6.40	10651497	104288376.000
03/27/2012	6.45	6.47	6.22	6.25	10293074	99907960.000
03/28/2012	6.20	6.23	5.85	5.87	14134971	129963552.000
03/29/2012	5.87	5.87	5.67	5.71	7907681	70015888.000
03/30/2012	5.71	5.79	5.67	5.71	5223979	45947564.000
