000686 东北证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.36	6.38	6.15	6.15	1542265	18966254.000
01/05/2012	6.15	6.21	5.96	6.00	1565826	18586694.000
01/06/2012	5.99	6.12	5.94	6.09	1407071	16543235.000
01/09/2012	6.07	6.33	6.03	6.29	2695501	32820338.000
01/10/2012	6.29	6.81	6.23	6.78	7858981	103634056.000
01/11/2012	6.71	6.81	6.61	6.64	7132888	94739360.000
01/12/2012	6.52	6.66	6.49	6.59	3987220	51938500.000
01/13/2012	6.57	6.64	6.15	6.35	4203100	53223476.000
01/16/2012	6.31	6.56	6.25	6.36	4038241	51391516.000
01/17/2012	6.36	6.88	6.33	6.84	6754750	89733488.000
01/18/2012	6.84	7.20	6.81	6.83	8129760	113913704.000
01/19/2012	6.78	7.12	6.75	6.94	4031748	56353072.000
01/20/2012	6.96	7.05	6.92	7.01	3038703	42556556.000
01/30/2012	7.08	7.08	6.81	6.86	1773284	24550496.000
02/01/2012	6.82	6.90	6.61	6.62	2711588	36207896.000
02/07/2012	6.59	6.60	6.44	6.55	3221301	41630620.000
02/08/2012	6.54	6.93	6.51	6.92	4528330	60825508.000
02/09/2012	6.83	6.96	6.78	6.89	3969839	54545744.000
02/10/2012	6.83	7.05	6.83	6.90	3433564	47900148.000
02/13/2012	6.80	6.94	6.73	6.83	3654731	49855456.000
02/14/2012	6.83	6.89	6.74	6.81	2576911	35092896.000
02/15/2012	6.79	7.04	6.75	6.95	4514584	62657032.000
02/16/2012	6.95	6.98	6.81	6.90	2578003	35556096.000
02/17/2012	6.95	6.98	6.86	6.89	2833315	39230064.000
02/20/2012	7.06	7.08	6.86	6.87	3676297	51349252.000
02/21/2012	6.83	6.93	6.80	6.91	2195118	30127348.000
02/22/2012	6.89	7.19	6.87	7.11	6476130	91917280.000
02/23/2012	7.11	7.31	7.08	7.16	5649431	81983328.000
02/24/2012	7.19	7.46	7.17	7.43	6981016	103708368.000
02/27/2012	7.48	8.02	7.48	7.72	9964481	158633056.000
02/28/2012	7.70	7.92	7.65	7.76	6216655	99401160.000
02/29/2012	7.76	7.83	7.50	7.56	4525234	70140712.000
03/01/2012	7.48	7.66	7.46	7.52	2771104	42774360.000
03/05/2012	7.77	8.03	7.77	7.82	7241087	116778472.000
03/06/2012	7.76	7.81	7.64	7.73	3722392	58729828.000
03/07/2012	7.64	7.93	7.60	7.73	4042339	64462388.000
03/08/2012	7.83	8.26	7.83	8.07	7044915	116922568.000
03/09/2012	8.13	8.23	8.02	8.15	5091470	85195672.000
03/12/2012	8.19	8.20	7.96	8.13	5254180	87119752.000
03/13/2012	8.11	8.41	8.03	8.35	6872640	117378952.000
03/14/2012	8.39	8.51	7.89	7.95	7353179	124531648.000
03/15/2012	7.92	8.04	7.77	7.87	4014169	65253828.000
03/16/2012	7.88	8.16	7.87	8.14	4852276	80408736.000
03/19/2012	8.11	8.19	7.96	8.11	4019643	66703768.000
03/20/2012	8.11	8.11	7.83	7.83	3560915	57850136.000
03/22/2012	7.85	7.86	7.65	7.74	3150293	49956900.000
03/23/2012	7.73	7.88	7.57	7.61	2948379	46378952.000
03/26/2012	7.60	7.69	7.40	7.49	2163344	33087498.000
03/27/2012	7.57	7.60	7.43	7.50	2120762	32456232.000
03/28/2012	7.45	7.53	7.24	7.27	3176809	47846072.000
03/29/2012	7.23	7.33	7.08	7.25	2837537	41305236.000
03/30/2012	7.25	7.39	7.19	7.31	2580052	38152464.000
04/05/2012	7.32	7.78	7.26	7.65	4702410	72406072.000
04/06/2012	7.61	7.69	7.56	7.69	2826929	44006248.000
04/09/2012	7.65	7.78	7.57	7.59	2657620	41773776.000
04/10/2012	7.59	7.78	7.41	7.76	2616751	40510704.000
04/11/2012	7.68	7.91	7.61	7.80	2438832	38917384.000
04/12/2012	7.82	8.09	7.76	7.98	4082706	66590468.000
04/13/2012	8.04	8.33	7.96	8.06	4337348	72857920.000
04/16/2012	7.98	8.24	7.94	8.15	2858028	48070436.000
04/17/2012	8.08	8.15	7.81	7.82	3405527	55530352.000
04/18/2012	7.91	8.27	7.88	8.21	4792001	80253688.000
04/19/2012	8.17	8.29	8.12	8.21	4403416	74702768.000
04/20/2012	8.19	8.65	8.15	8.44	8999719	157697168.000
04/23/2012	8.40	8.65	8.33	8.44	7694229	135397584.000
04/24/2012	8.38	8.56	7.97	8.33	6191386	105720304.000
04/25/2012	8.23	8.60	8.13	8.36	6974659	121455888.000
04/26/2012	8.35	8.61	8.21	8.51	7119656	124874376.000
04/27/2012	8.52	8.55	8.36	8.43	3948419	69084240.000
05/02/2012	8.89	8.94	8.51	8.52	10019174	182532528.000
05/03/2012	8.40	8.85	8.38	8.80	8063807	145650336.000
05/04/2012	8.75	8.81	8.61	8.73	4613803	83828968.000
05/07/2012	8.69	8.80	8.54	8.77	5583150	101145368.000
05/08/2012	8.75	8.75	8.55	8.65	4304486	77417368.000
05/09/2012	8.53	8.64	8.46	8.53	3220847	57146028.000
05/10/2012	8.54	8.65	8.48	8.56	2245765	40000896.000
05/11/2012	8.56	8.63	8.48	8.48	1665694	29597554.000
05/14/2012	8.53	8.73	8.50	8.51	3426286	61374452.000
05/15/2012	8.44	8.60	8.21	8.53	4253620	73752288.000
05/16/2012	8.41	8.68	8.22	8.23	3948791	69211560.000
05/17/2012	8.26	8.77	8.26	8.77	7178145	128200000.000
05/18/2012	8.65	8.76	8.53	8.60	4177331	75123064.000
05/21/2012	8.53	8.67	8.19	8.45	5199301	91192744.000
05/22/2012	8.49	8.66	8.48	8.61	3140652	56072108.000
05/23/2012	8.61	8.83	8.54	8.74	4235617	77059920.000
05/24/2012	8.69	9.02	8.65	8.85	9618313	177835120.000
05/25/2012	8.73	8.88	8.60	8.64	3944988	71796768.000
05/28/2012	8.46	8.83	8.32	8.75	4203700	74865320.000
05/29/2012	8.71	9.02	8.68	8.86	5411334	100501800.000
05/30/2012	8.79	8.89	8.76	8.79	3135273	57897576.000
05/31/2012	8.73	9.00	8.69	8.94	4775305	88767064.000
06/01/2012	8.93	9.13	8.93	9.06	4414138	83740888.000
06/04/2012	8.88	9.02	8.67	8.67	4152573	76703208.000
06/05/2012	8.70	8.75	8.51	8.53	2674672	47728692.000
06/06/2012	8.53	8.60	8.40	8.47	1639328	28930610.000
06/07/2012	8.68	8.74	8.46	8.49	2256587	40408196.000
06/08/2012	8.64	8.86	8.47	8.61	5019898	90996264.000
06/11/2012	8.60	9.06	8.57	8.96	4365235	80564264.000
06/12/2012	8.94	9.11	8.89	8.91	3251290	61296368.000
06/13/2012	8.98	9.27	8.90	9.12	5738306	109946264.000
06/14/2012	9.06	9.14	8.88	8.90	2846407	53792204.000
06/15/2012	8.95	9.05	8.74	8.93	2319753	43335908.000
06/18/2012	9.01	9.14	8.94	9.01	1947170	36913092.000
06/19/2012	8.95	9.04	8.81	8.85	1832356	34188116.000
06/21/2012	8.81	8.81	8.46	8.53	3857311	68796448.000
06/25/2012	8.52	8.52	8.27	8.28	2002835	34750848.000
06/26/2012	8.28	8.48	8.28	8.40	1900651	33018080.000
06/27/2012	8.39	8.47	8.23	8.25	1531700	26393578.000
06/28/2012	8.21	8.35	8.15	8.16	1374126	23431432.000
06/29/2012	8.13	8.37	7.90	8.29	2615406	44296740.000
07/02/2012	8.39	8.42	8.15	8.19	2456548	42189824.000
07/03/2012	8.15	8.27	8.01	8.02	3074842	51514392.000
07/04/2012	8.03	8.09	7.92	8.00	1677686	27525450.000
07/05/2012	7.94	8.00	7.69	7.85	2633559	42293560.000
07/06/2012	7.94	8.08	7.74	8.05	3556133	58126428.000
07/09/2012	7.94	8.03	7.78	7.81	1883227	30519680.000
07/10/2012	7.82	7.92	7.49	7.57	3075904	48414332.000
07/11/2012	7.48	7.58	7.29	7.57	5685633	85894952.000
07/12/2012	7.47	7.75	7.40	7.68	4781345	74227000.000
07/13/2012	7.66	7.79	7.60	7.60	2672102	41980692.000
07/16/2012	7.65	7.66	7.35	7.37	3262765	49383908.000
07/17/2012	7.33	7.64	7.27	7.51	4221610	64077848.000
07/18/2012	7.47	7.75	7.41	7.73	4275791	65725324.000
07/19/2012	7.67	8.39	7.65	8.29	16345963	277065760.000
07/20/2012	8.19	8.38	8.10	8.31	10218681	174137920.000
07/23/2012	8.22	8.47	8.07	8.38	5800513	99559544.000
07/24/2012	8.28	8.48	8.14	8.30	5349622	92288064.000
07/25/2012	8.23	8.33	8.09	8.10	3871588	65745056.000
07/26/2012	8.11	8.31	8.06	8.16	3306639	55701036.000
07/27/2012	8.19	8.22	7.91	7.95	4895928	81103832.000
07/30/2012	7.95	8.05	7.62	7.71	3962396	63046072.000
07/31/2012	7.70	7.82	7.58	7.73	3004296	47295868.000
08/01/2012	7.77	8.13	7.73	8.01	5011508	81898856.000
