000702 正虹科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.20	4.23	4.00	4.00	1998557	8250283.000
01/05/2012	4.00	4.02	3.80	3.83	2048536	8042982.500
01/06/2012	3.83	3.90	3.74	3.88	1575086	6005797.500
01/09/2012	3.88	4.09	3.83	4.09	2954422	11803223.000
01/10/2012	4.10	4.36	4.08	4.33	5704418	24265336.000
01/11/2012	4.30	4.35	4.25	4.29	3951340	16984778.000
01/12/2012	4.27	4.36	4.25	4.32	2989160	12908086.000
01/13/2012	4.33	4.34	4.15	4.18	2594494	10952326.000
01/16/2012	4.12	4.18	4.03	4.05	1584529	6524283.000
01/17/2012	4.03	4.31	4.00	4.28	2424695	10212769.000
01/18/2012	4.30	4.35	4.21	4.22	2041830	8744309.000
01/19/2012	4.21	4.30	4.18	4.27	1502332	6398658.500
01/20/2012	4.25	4.33	4.25	4.31	1751078	7545942.000
01/30/2012	4.32	4.34	4.24	4.27	1588518	6794563.500
01/31/2012	4.26	4.28	4.21	4.26	1432144	6068550.000
02/01/2012	4.26	4.33	4.22	4.25	1525752	6531922.000
02/02/2012	4.32	4.56	4.30	4.46	9009757	40324552.000
02/03/2012	4.46	4.50	4.37	4.49	4623869	20580264.000
02/06/2012	4.48	4.51	4.44	4.49	3297778	14763942.000
02/07/2012	4.48	4.48	4.32	4.35	3217581	14088649.000
02/08/2012	4.32	4.46	4.32	4.45	2648238	11691684.000
02/09/2012	4.44	4.55	4.42	4.50	3813468	17194066.000
02/10/2012	4.50	4.58	4.49	4.58	4307415	19581484.000
02/13/2012	4.56	4.61	4.52	4.59	3444358	15758055.000
02/14/2012	4.58	4.64	4.53	4.61	2953253	13535912.000
02/15/2012	4.61	4.71	4.58	4.71	4813796	22449008.000
02/16/2012	4.71	4.86	4.67	4.83	7497735	35684180.000
02/17/2012	4.80	4.83	4.68	4.72	4044762	19155398.000
02/20/2012	4.76	4.87	4.72	4.72	5134254	24564948.000
02/21/2012	4.73	4.83	4.65	4.82	3794073	17974164.000
02/22/2012	4.80	4.89	4.72	4.87	6423512	31126408.000
02/23/2012	4.87	4.90	4.81	4.86	4159998	20211468.000
02/24/2012	4.86	4.94	4.83	4.93	4933012	24151322.000
02/27/2012	4.93	5.02	4.91	4.92	6854771	34137560.000
02/28/2012	4.90	5.00	4.79	4.95	6166379	30226122.000
02/29/2012	4.92	4.96	4.83	4.84	3447636	16864846.000
03/01/2012	4.80	4.89	4.79	4.85	2771746	13436027.000
03/02/2012	4.86	4.97	4.85	4.95	2993380	14752971.000
03/05/2012	4.98	5.04	4.96	4.98	5052451	25297994.000
03/06/2012	4.98	4.99	4.87	4.90	3365890	16606590.000
03/07/2012	4.82	4.94	4.82	4.85	2911195	14214265.000
03/08/2012	4.86	4.96	4.86	4.94	3230895	15922151.000
03/09/2012	4.95	5.05	4.94	5.03	5178857	25948824.000
03/12/2012	5.04	5.05	4.99	5.02	3454777	17324548.000
03/13/2012	5.02	5.08	5.01	5.07	4227145	21337260.000
03/14/2012	5.10	5.11	4.70	4.76	6706220	33254726.000
03/15/2012	4.72	4.80	4.58	4.63	4124594	19278094.000
03/16/2012	4.67	4.81	4.64	4.81	4216662	19957338.000
03/19/2012	4.81	4.92	4.75	4.92	3907016	18961966.000
03/20/2012	4.90	4.96	4.77	4.80	3704571	18086794.000
03/21/2012	4.81	4.85	4.67	4.80	2830514	13461381.000
03/22/2012	4.80	4.92	4.73	4.83	4178281	20266990.000
03/23/2012	4.78	4.83	4.67	4.72	3228673	15285835.000
03/26/2012	4.72	4.74	4.61	4.71	1847763	8642240.000
03/27/2012	4.74	4.80	4.70	4.74	2311575	10961243.000
03/28/2012	4.70	4.74	4.54	4.59	5278709	24352252.000
03/29/2012	4.59	4.59	4.46	4.56	3415798	15469928.000
03/30/2012	4.56	5.02	4.50	4.54	13857712	65019364.000
04/05/2012	4.45	4.58	4.35	4.57	8645121	38500836.000
04/06/2012	4.51	4.60	4.46	4.56	5431996	24658098.000
04/09/2012	4.51	4.57	4.48	4.48	2684666	12137592.000
04/10/2012	4.47	4.55	4.38	4.55	3398614	15150630.000
04/11/2012	4.48	4.64	4.46	4.61	4540061	20798816.000
04/12/2012	4.61	4.72	4.58	4.72	5855139	27300212.000
04/13/2012	4.72	4.83	4.70	4.79	5191522	24729452.000
04/16/2012	4.76	4.87	4.70	4.82	4624458	22194904.000
04/17/2012	4.84	4.90	4.75	4.75	4135779	19933810.000
04/18/2012	4.76	4.93	4.75	4.86	5819230	28195280.000
04/19/2012	4.87	4.91	4.82	4.83	3630023	17657560.000
04/23/2012	4.87	5.05	4.81	4.86	8629066	42499168.000
04/24/2012	4.78	4.88	4.50	4.73	7169745	33686404.000
04/25/2012	4.70	4.98	4.68	4.92	7805848	38106732.000
04/26/2012	4.90	5.09	4.90	5.07	10385552	51980536.000
04/27/2012	5.01	5.05	4.90	4.91	5274099	26108294.000
05/02/2012	4.96	5.02	4.83	4.89	5281611	25937300.000
05/03/2012	4.89	4.92	4.82	4.91	3090084	15095814.000
05/04/2012	4.90	4.96	4.85	4.94	3778895	18514896.000
05/07/2012	4.89	5.07	4.87	5.01	5472218	27177240.000
05/08/2012	4.96	5.02	4.93	4.94	3548109	17597372.000
05/09/2012	4.90	4.94	4.82	4.84	3288315	15999111.000
05/10/2012	4.85	5.00	4.84	4.98	5972839	29456084.000
05/11/2012	5.08	5.23	4.86	4.86	14964739	76230336.000
05/14/2012	4.86	4.90	4.80	4.83	5913896	28635260.000
05/15/2012	4.78	4.89	4.72	4.87	5260185	25351604.000
05/16/2012	4.84	4.90	4.76	4.76	3106399	15021675.000
05/17/2012	4.74	4.92	4.73	4.90	3726062	18006172.000
05/18/2012	4.86	4.92	4.80	4.83	3202114	15541032.000
05/21/2012	4.85	4.86	4.73	4.81	2334346	11187610.000
05/22/2012	4.82	5.00	4.79	4.96	7450241	36612512.000
05/23/2012	4.93	4.98	4.84	4.89	4717152	23163824.000
05/24/2012	4.89	4.95	4.81	4.81	3225563	15728395.000
05/25/2012	4.82	4.84	4.59	4.60	5971694	27918978.000
05/28/2012	4.60	4.68	4.46	4.67	2866319	13121090.000
05/29/2012	4.66	4.76	4.60	4.76	2827339	13321614.000
05/30/2012	4.75	4.79	4.72	4.75	2293309	10915856.000
05/31/2012	4.76	4.78	4.72	4.74	1973976	9376102.000
06/01/2012	4.74	4.78	4.71	4.73	1529735	7262479.000
06/04/2012	4.62	4.67	4.50	4.51	2606434	11948549.000
06/05/2012	4.52	4.57	4.48	4.50	1629750	7360742.500
06/06/2012	4.53	4.54	4.46	4.47	1492715	6713901.000
06/07/2012	4.53	4.54	4.45	4.47	1476196	6639484.000
06/08/2012	4.53	4.53	4.40	4.44	1495500	6693432.500
06/11/2012	4.45	4.51	4.38	4.51	1373403	6132499.000
06/12/2012	4.48	4.53	4.45	4.50	1230824	5528873.000
06/13/2012	4.48	4.57	4.48	4.57	1371055	6218518.000
06/14/2012	4.54	4.65	4.54	4.55	2543482	11702668.000
06/15/2012	4.56	4.61	4.52	4.58	1973836	9017690.000
06/18/2012	4.59	4.70	4.56	4.65	3332306	15490760.000
06/19/2012	4.67	4.69	4.59	4.61	1625219	7548250.000
06/20/2012	4.65	4.65	4.56	4.57	1043400	4788556.000
06/21/2012	4.59	4.59	4.44	4.48	1563566	7013803.000
06/25/2012	4.48	4.48	4.35	4.37	1547945	6810451.000
06/26/2012	4.37	4.46	4.30	4.43	1120717	4913766.500
06/27/2012	4.40	4.49	4.40	4.41	1321989	5870523.000
06/28/2012	4.43	4.47	4.35	4.36	1423847	6293674.000
06/29/2012	4.35	4.43	4.31	4.43	1354163	5935289.500
07/02/2012	4.47	4.51	4.42	4.49	2206471	9854742.000
07/03/2012	4.49	4.55	4.45	4.47	1780191	8000917.500
07/04/2012	4.46	4.50	4.39	4.44	1034510	4597132.500
07/05/2012	4.44	4.44	4.19	4.23	2380824	10151251.000
07/06/2012	4.24	4.33	4.18	4.30	1717880	7310653.000
07/09/2012	4.28	4.32	4.14	4.17	1709846	7260312.500
07/10/2012	4.15	4.20	4.10	4.19	1482690	6163910.500
07/11/2012	4.19	4.24	4.17	4.24	1295730	5460925.500
07/12/2012	4.20	4.47	4.18	4.43	5402366	23573422.000
07/13/2012	4.42	4.53	4.37	4.50	4471632	20054982.000
07/16/2012	4.52	4.58	4.44	4.46	6179282	27977528.000
07/17/2012	4.49	4.56	4.38	4.50	6455234	29023550.000
07/18/2012	4.50	4.55	4.30	4.54	4219776	18762582.000
07/19/2012	4.50	4.60	4.47	4.59	6547161	29814840.000
07/20/2012	4.57	4.57	4.44	4.46	2792486	12566134.000
07/23/2012	4.46	4.53	4.40	4.49	2433916	10908621.000
07/24/2012	4.46	4.63	4.44	4.62	4151838	18930344.000
07/25/2012	4.59	4.60	4.48	4.51	2406900	10943508.000
07/26/2012	4.55	4.55	4.40	4.40	2124581	9488279.000
07/27/2012	4.38	4.48	4.36	4.40	1954802	8630056.000
07/30/2012	4.41	4.42	4.11	4.18	3080097	12947126.000
07/31/2012	4.17	4.53	4.02	4.53	2276364	9409889.000
08/01/2012	4.26	4.47	4.23	4.43	3567669	15513356.000
08/02/2012	4.35	4.39	4.17	4.30	2698619	11552065.000
08/03/2012	4.30	4.36	4.23	4.35	4238427	18290988.000
08/06/2012	4.31	4.42	4.27	4.40	2502540	10912748.000
08/07/2012	4.38	4.54	4.36	4.50	5529888	24735304.000
08/08/2012	4.45	4.74	4.43	4.61	8954576	41264424.000
08/09/2012	4.59	4.64	4.54	4.62	4955653	22733208.000
08/10/2012	4.61	4.62	4.53	4.57	3087781	14093463.000
08/13/2012	4.56	4.72	4.51	4.51	5642095	26163354.000
08/14/2012	4.51	4.62	4.34	4.61	4224948	18910426.000
08/15/2012	4.56	4.59	4.48	4.48	2303002	10426440.000
08/16/2012	4.47	4.50	4.38	4.47	1742123	7734256.500
08/17/2012	4.46	4.50	4.34	4.41	1467300	6458835.000
08/20/2012	4.38	4.52	4.33	4.50	1698415	7490388.500
08/21/2012	4.49	4.71	4.47	4.56	3116027	14330721.000
08/22/2012	4.56	4.63	4.49	4.54	2458823	11233939.000
08/23/2012	4.51	4.59	4.51	4.56	1886205	8596943.000
08/24/2012	4.56	4.60	4.46	4.48	1795685	8139500.500
08/27/2012	4.47	4.47	4.32	4.35	1715835	7491584.000
08/28/2012	4.34	4.41	4.31	4.37	1017090	4436392.000
08/29/2012	4.35	4.39	4.30	4.33	877366	3819832.500
08/30/2012	4.33	4.39	4.19	4.27	1401282	6008045.500
08/31/2012	4.25	4.31	4.23	4.27	1109281	4731143.000
09/03/2012	4.23	4.37	4.23	4.34	1049101	4537936.500
09/04/2012	4.35	4.39	4.27	4.29	1390595	6025931.500
09/05/2012	4.28	4.33	4.24	4.32	1065581	4575484.500
09/06/2012	4.29	4.37	4.29	4.36	1592436	6915411.000
09/07/2012	4.38	4.53	4.36	4.48	3214145	14333178.000
09/10/2012	4.47	4.54	4.46	4.53	3146323	14144263.000
09/11/2012	4.50	4.51	4.45	4.46	1541541	6891466.500
