000709 河钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.81	2.83	2.76	2.76	24187622	69488152.000
01/05/2012	2.75	2.76	2.67	2.70	30205064	84502944.000
01/06/2012	2.69	2.75	2.68	2.75	21545669	60201228.000
01/09/2012	2.74	2.82	2.70	2.82	42129657	120291024.000
01/10/2012	2.81	2.94	2.80	2.92	65189180	192617440.000
01/11/2012	2.91	3.01	2.90	2.96	82172391	250014208.000
01/12/2012	2.93	2.97	2.91	2.93	34687028	104640392.000
01/13/2012	2.93	2.94	2.84	2.85	31877548	94283920.000
01/16/2012	2.83	2.87	2.81	2.83	19112619	55847104.000
01/17/2012	2.82	3.00	2.81	2.97	49487428	148131872.000
01/18/2012	2.98	3.01	2.91	2.93	45749772	138972544.000
01/19/2012	2.92	3.00	2.90	2.98	42886169	130704280.000
01/20/2012	2.98	3.01	2.96	2.98	39864832	122116528.000
01/30/2012	2.99	3.00	2.93	2.93	26056386	79031648.000
01/31/2012	2.92	2.93	2.87	2.91	24784191	73889768.000
02/01/2012	2.90	2.93	2.87	2.87	16556130	49247048.000
02/02/2012	2.88	2.92	2.87	2.91	21166833	63040912.000
02/03/2012	2.91	2.93	2.88	2.93	33890335	101382680.000
02/06/2012	2.93	2.95	2.90	2.91	26781343	80396672.000
02/07/2012	2.91	2.95	2.89	2.89	37125486	111382488.000
02/08/2012	2.90	2.98	2.88	2.96	37716155	113633456.000
02/09/2012	2.96	3.01	2.94	2.98	51108447	156219696.000
02/10/2012	2.98	3.07	2.97	3.00	54395618	168186800.000
02/13/2012	2.96	3.02	2.95	2.99	37478434	114824792.000
02/14/2012	2.99	2.99	2.95	2.96	18984055	57818772.000
02/15/2012	2.95	3.03	2.95	3.01	43749634	135006592.000
02/16/2012	3.00	3.04	2.99	3.00	43320097	134029688.000
02/17/2012	3.02	3.03	2.97	2.99	28680470	88204600.000
02/20/2012	3.02	3.03	2.99	2.99	23940782	73886120.000
02/21/2012	3.00	3.01	2.96	3.00	31548247	96501088.000
02/22/2012	2.99	3.05	2.98	3.04	59897129	185323360.000
02/23/2012	3.03	3.26	3.02	3.16	151388210	488217856.000
02/24/2012	3.14	3.23	3.09	3.18	80326692	259589568.000
02/27/2012	3.18	3.25	3.17	3.20	67560067	222908224.000
02/28/2012	3.20	3.27	3.16	3.24	74887545	246081136.000
02/29/2012	3.23	3.23	3.15	3.15	47167258	154108672.000
03/01/2012	3.13	3.17	3.13	3.14	20245188	65313540.000
03/02/2012	3.14	3.23	3.14	3.22	32952746	107595144.000
03/05/2012	3.22	3.24	3.15	3.16	38492310	125866664.000
03/06/2012	3.14	3.16	3.09	3.10	33437585	106841496.000
03/07/2012	3.07	3.15	3.05	3.09	32715226	103937824.000
03/08/2012	3.10	3.12	3.06	3.09	38586247	122512136.000
03/09/2012	3.09	3.11	3.06	3.11	31986096	101364800.000
03/12/2012	3.11	3.14	3.07	3.09	30085289	95757128.000
03/13/2012	3.10	3.12	3.07	3.12	30034856	95583488.000
03/14/2012	3.16	3.22	3.05	3.07	89466407	288671360.000
03/15/2012	3.06	3.07	2.99	3.00	41878503	129928360.000
03/16/2012	2.99	3.03	2.98	3.02	26450228	81695800.000
03/19/2012	3.01	3.04	2.98	3.02	28701053	88730656.000
03/20/2012	3.01	3.08	2.99	3.03	42003668	130801616.000
03/21/2012	3.02	3.06	3.00	3.03	25735615	80062200.000
03/22/2012	3.02	3.03	2.99	3.01	17882972	55245160.000
03/23/2012	3.00	3.01	2.98	2.98	19728694	60624296.000
03/26/2012	2.99	3.01	2.98	3.00	16331552	50300172.000
03/27/2012	3.00	3.01	2.98	3.00	15281828	46950788.000
03/28/2012	2.98	2.99	2.86	2.87	28957086	87034456.000
03/29/2012	2.85	2.87	2.79	2.82	29941924	87077024.000
03/30/2012	2.82	2.84	2.79	2.80	15552534	44946224.000
04/05/2012	2.80	2.85	2.78	2.84	27536452	79721816.000
04/06/2012	2.83	2.88	2.82	2.85	23004020	67365432.000
04/09/2012	2.84	2.93	2.82	2.86	25639311	75693080.000
04/10/2012	2.85	2.89	2.81	2.88	22152679	64685732.000
04/11/2012	2.85	2.90	2.84	2.87	19149358	56426732.000
04/12/2012	2.87	2.93	2.86	2.91	23949581	71278792.000
04/13/2012	2.92	2.95	2.90	2.94	23523421	70662592.000
04/16/2012	2.92	3.02	2.92	3.00	32166607	98008824.000
04/17/2012	3.00	3.01	2.95	2.96	24857829	75978328.000
04/18/2012	2.96	3.02	2.95	3.02	26885472	82574960.000
04/19/2012	3.01	3.03	2.99	2.99	17527805	53996840.000
04/20/2012	2.99	3.03	2.97	3.01	20395794	62818032.000
04/23/2012	3.00	3.01	2.96	2.99	22410496	68775360.000
04/24/2012	2.98	3.00	2.87	2.91	35332302	106464144.000
04/25/2012	2.90	2.95	2.89	2.94	20467295	61497704.000
04/26/2012	2.94	2.95	2.91	2.92	19440261	58482616.000
04/27/2012	2.92	3.01	2.92	2.97	32000747	97570104.000
05/02/2012	3.00	3.03	2.97	3.02	37029363	114407048.000
05/03/2012	3.01	3.06	3.01	3.03	24411230	75887888.000
05/04/2012	3.03	3.06	3.01	3.05	31000748	96534880.000
05/07/2012	3.03	3.07	3.03	3.07	35761270	112089208.000
05/08/2012	3.06	3.08	3.04	3.06	39991981	125657208.000
05/09/2012	3.04	3.05	2.97	3.00	32927081	101466104.000
05/10/2012	2.99	3.06	2.99	3.01	31231946	96880704.000
05/11/2012	3.00	3.01	2.95	2.95	21534646	65799976.000
05/14/2012	2.96	2.97	2.92	2.92	22728959	68753944.000
05/15/2012	2.90	2.92	2.88	2.90	19188805	57104480.000
05/16/2012	2.89	2.90	2.86	2.87	17186387	50865840.000
05/17/2012	2.88	2.93	2.86	2.92	14618672	43419972.000
05/18/2012	2.90	2.95	2.89	2.90	21474159	64449436.000
05/21/2012	2.91	2.95	2.90	2.92	14588830	43806204.000
05/22/2012	2.92	2.95	2.92	2.93	14273392	42975588.000
05/23/2012	2.92	2.93	2.89	2.92	14548787	43535400.000
05/24/2012	2.91	2.93	2.89	2.89	9886279	29531828.000
05/25/2012	2.89	3.00	2.88	2.95	32256621	97776616.000
05/28/2012	2.93	3.03	2.92	3.02	51391246	157429760.000
05/30/2012	3.01	3.02	2.97	3.00	39190501	120422368.000
05/31/2012	2.98	2.99	2.95	2.96	19343045	58934140.000
06/01/2012	2.97	2.99	2.94	2.95	14364862	43717816.000
06/04/2012	2.92	2.92	2.89	2.90	21016410	62746556.000
06/05/2012	2.90	2.92	2.88	2.89	16350787	48559684.000
06/06/2012	2.88	2.90	2.87	2.88	13209409	39182380.000
06/07/2012	2.91	2.91	2.84	2.85	17657600	52150272.000
06/08/2012	2.87	2.89	2.85	2.86	16571263	48368848.000
06/11/2012	2.87	2.91	2.86	2.89	15122237	44333076.000
06/12/2012	2.87	2.89	2.80	2.83	27633432	79790888.000
06/13/2012	2.84	2.86	2.82	2.85	13440285	38835636.000
06/14/2012	2.84	2.85	2.82	2.83	14165962	40897956.000
06/15/2012	2.84	2.85	2.81	2.85	16732026	48249084.000
06/18/2012	2.86	2.87	2.83	2.84	11061969	32059368.000
06/19/2012	2.85	2.85	2.81	2.83	11850153	34087716.000
06/20/2012	2.83	2.85	2.82	2.84	11082422	31997884.000
06/21/2012	2.84	2.84	2.76	2.79	23693443	67225656.000
06/25/2012	2.78	2.79	2.73	2.74	15763408	44428880.000
06/26/2012	2.74	2.75	2.72	2.74	15029570	41779976.000
06/27/2012	2.74	2.74	2.72	2.73	12874906	35804136.000
06/28/2012	2.73	2.74	2.69	2.69	21204867	58685824.000
06/29/2012	2.70	2.70	2.66	2.68	34663017	94581240.000
07/02/2012	2.69	2.69	2.65	2.67	21279164	57851296.000
07/03/2012	2.66	2.69	2.65	2.67	17532801	47738724.000
07/04/2012	2.67	2.69	2.65	2.66	15252346	41430264.000
07/05/2012	2.66	2.66	2.60	2.61	19643129	52500152.000
07/06/2012	2.62	2.64	2.57	2.63	20023957	53235612.000
07/09/2012	2.61	2.62	2.56	2.56	17933953	47312112.000
07/10/2012	2.55	2.56	2.53	2.54	21686098	56319200.000
07/11/2012	2.54	2.57	2.53	2.57	19654707	51131428.000
07/12/2012	2.55	2.59	2.53	2.56	21703574	56439344.000
07/13/2012	2.54	2.59	2.53	2.55	22628985	58976192.000
07/16/2012	2.56	2.56	2.50	2.50	18915518	48538504.000
07/17/2012	2.49	2.52	2.49	2.52	10384451	26578216.000
07/18/2012	2.51	2.59	2.50	2.56	24844104	64570416.000
07/19/2012	2.55	2.58	2.53	2.56	21470051	56039960.000
07/20/2012	2.56	2.57	2.54	2.55	16156906	42096704.000
07/23/2012	2.54	2.54	2.51	2.52	9742575	25073612.000
07/24/2012	2.52	2.58	2.51	2.56	18138876	47297720.000
07/25/2012	2.55	2.55	2.52	2.52	11339488	29310122.000
07/26/2012	2.53	2.57	2.51	2.55	18343504	47703348.000
07/27/2012	2.55	2.56	2.53	2.55	14454654	37508728.000
07/30/2012	2.55	2.57	2.53	2.56	15861520	41249528.000
07/31/2012	2.56	2.57	2.53	2.54	18023891	46811264.000
08/01/2012	2.53	2.57	2.53	2.56	12991134	33816288.000
08/02/2012	2.56	2.64	2.55	2.58	26017816	68684112.000
08/03/2012	2.56	2.60	2.55	2.59	15564269	40984576.000
08/06/2012	2.59	2.63	2.58	2.61	24637012	65369048.000
