000713 丰乐种业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	13.51	13.64	13.24	13.33	8547502	116477808.000
01/05/2012	13.02	13.15	11.98	11.98	9984872	125273640.000
01/06/2012	11.49	11.82	10.85	11.14	6418706	72797584.000
01/09/2012	11.20	11.55	10.99	11.50	4908834	56476472.000
01/10/2012	11.74	12.67	11.59	12.67	16997787	215584688.000
01/11/2012	12.64	13.03	12.44	12.91	15506029	200357232.000
01/12/2012	12.64	12.89	12.56	12.66	6205549	79786360.000
01/13/2012	12.55	12.94	12.14	12.45	6847011	87103616.000
01/16/2012	12.15	12.64	12.14	12.27	3985140	50283628.000
01/17/2012	12.32	13.04	11.73	12.96	8436484	107204480.000
01/18/2012	12.84	13.01	12.34	12.55	6314836	81058520.000
01/19/2012	12.39	12.64	12.36	12.51	3487955	44191812.000
01/20/2012	12.62	13.18	12.62	13.03	9428675	123745160.000
01/30/2012	13.12	13.22	12.84	12.90	5782751	76262984.000
01/31/2012	12.87	12.87	12.29	12.87	5377163	68334768.000
02/01/2012	12.80	13.15	12.58	12.89	6666339	87508624.000
02/02/2012	13.33	13.52	12.94	13.03	11616391	154979568.000
02/03/2012	13.04	13.17	12.85	13.02	6989533	92042216.000
02/06/2012	13.02	13.20	12.93	13.20	6803417	89867216.000
02/07/2012	13.11	13.11	12.90	12.97	4752693	62524028.000
02/08/2012	12.92	13.14	12.88	13.13	5469374	72296176.000
02/09/2012	13.13	13.42	13.11	13.12	7829264	104940408.000
02/10/2012	13.12	13.50	12.97	13.33	11848673	159237616.000
02/13/2012	13.19	13.33	13.05	13.20	7282463	97019960.000
02/14/2012	13.25	13.38	13.05	13.10	6203939	82761200.000
02/15/2012	13.10	13.20	12.99	13.15	8352804	110790896.000
02/16/2012	13.12	13.55	13.07	13.32	14868910	200641504.000
02/17/2012	13.32	13.38	13.02	13.09	7298633	97042216.000
02/20/2012	13.25	13.29	13.05	13.06	5607610	74586176.000
02/21/2012	13.06	13.12	12.82	13.10	5756522	75637312.000
02/22/2012	13.13	13.32	13.04	13.32	9203405	123043120.000
02/23/2012	13.30	13.59	13.25	13.58	13791808	187379824.000
02/24/2012	13.58	13.62	13.36	13.57	10488008	143166112.000
02/27/2012	13.57	13.94	13.50	13.56	15067381	209574480.000
02/28/2012	13.50	14.69	13.44	14.25	25935397	368584416.000
02/29/2012	14.19	14.19	13.81	13.83	13311079	187928864.000
03/01/2012	13.77	14.04	13.74	13.95	6464843	90789912.000
03/02/2012	13.96	14.34	13.96	14.27	12055019	172681584.000
03/05/2012	14.34	14.46	14.13	14.27	11062072	159518960.000
03/06/2012	14.32	14.32	13.81	13.85	7892350	111760272.000
03/07/2012	13.69	13.87	13.44	13.53	6096351	84455368.000
03/08/2012	13.58	13.76	13.58	13.72	4213765	58354400.000
03/09/2012	13.94	14.04	13.76	13.84	6201570	86973048.000
03/12/2012	13.79	13.83	13.66	13.80	5132689	71326488.000
03/13/2012	13.80	13.98	13.77	13.95	6030334	84867744.000
03/14/2012	14.00	14.04	12.84	13.09	10724916	147032896.000
03/15/2012	13.04	13.20	12.49	12.64	6647345	85783344.000
03/16/2012	12.64	12.88	12.58	12.84	4617567	59649052.000
03/19/2012	12.93	13.22	12.93	13.15	5081830	67339640.000
03/20/2012	13.17	13.17	12.72	12.72	4098190	53385092.000
03/21/2012	12.80	13.01	12.65	12.93	4318871	56043136.000
03/22/2012	12.85	12.96	12.74	12.81	2851909	37137756.000
03/23/2012	12.74	12.84	12.39	12.44	3588315	45694040.000
03/26/2012	12.45	12.69	12.31	12.38	2446837	30960712.000
03/27/2012	12.46	12.63	12.36	12.39	2290436	28986940.000
03/28/2012	12.40	12.40	11.84	11.86	3856905	46759464.000
03/29/2012	11.76	11.76	11.43	11.45	3304055	38757264.000
03/30/2012	11.45	11.62	11.24	11.37	2918284	33660700.000
04/05/2012	11.38	11.72	11.36	11.70	3126476	36752348.000
04/06/2012	11.74	11.93	11.63	11.78	2948068	35256444.000
04/10/2012	11.54	11.69	11.17	11.69	3387671	39337548.000
04/11/2012	11.64	11.93	11.50	11.82	3736437	44755920.000
04/12/2012	11.83	12.00	11.66	12.00	4177371	50244576.000
04/13/2012	12.01	12.10	11.93	12.02	3215962	39157136.000
04/16/2012	11.94	12.08	11.89	12.01	2506247	30514244.000
04/17/2012	12.04	12.23	11.97	12.00	4409050	54134904.000
04/18/2012	12.00	12.17	11.86	12.14	4721498	57608180.000
04/19/2012	12.13	12.17	11.98	12.03	2588175	31593152.000
04/20/2012	11.97	12.11	11.97	12.08	2654774	32426956.000
04/23/2012	12.08	12.09	11.53	11.61	5223639	62238164.000
