000783 长江证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.84	2.88	2.76	2.76	7285064	52363300.000
01/05/2012	2.74	2.80	2.70	2.71	7882764	55590584.000
01/06/2012	2.71	2.85	2.69	2.85	9940484	70355064.000
01/09/2012	2.82	2.98	2.78	2.97	17901744	131355512.000
01/10/2012	2.94	3.09	2.92	3.06	20181630	152742672.000
01/11/2012	3.05	3.08	3.00	3.03	11848438	90292240.000
01/12/2012	3.02	3.06	2.96	2.98	10425511	78768984.000
01/13/2012	2.99	3.01	2.82	2.85	12780303	93975336.000
01/16/2012	2.83	2.90	2.81	2.81	6108509	44278628.000
01/17/2012	2.84	3.04	2.80	3.03	13713026	101858248.000
01/18/2012	3.02	3.28	3.00	3.03	30022132	234568832.000
01/19/2012	3.04	3.22	3.03	3.12	20920171	163799616.000
01/20/2012	3.15	3.22	3.05	3.18	17241012	135089328.000
01/30/2012	3.17	3.19	3.08	3.11	9448902	73810920.000
01/31/2012	3.12	3.16	3.09	3.15	8923977	69668576.000
02/01/2012	3.14	3.16	3.04	3.06	6476832	50118656.000
02/02/2012	3.08	3.15	3.05	3.14	7484727	58021348.000
02/03/2012	3.13	3.17	3.10	3.14	8848972	69208256.000
02/06/2012	3.15	3.19	3.11	3.14	9413647	73867736.000
02/07/2012	3.12	3.12	2.99	3.01	11882177	90516568.000
02/08/2012	3.01	3.17	3.00	3.13	11212718	86804424.000
02/09/2012	3.13	3.17	3.08	3.14	11939081	93332440.000
02/10/2012	3.11	3.27	3.11	3.16	20992067	166682416.000
02/13/2012	3.11	3.26	3.09	3.21	16137918	128337440.000
02/14/2012	3.22	3.24	3.16	3.18	8102585	64265544.000
02/15/2012	3.17	3.30	3.14	3.24	13507319	108096096.000
02/16/2012	3.23	3.26	3.16	3.20	9365066	74615984.000
02/17/2012	3.23	3.25	3.17	3.21	7230922	57639912.000
02/20/2012	3.27	3.29	3.23	3.23	13003742	104946376.000
02/21/2012	3.25	3.26	3.18	3.26	9440796	75498848.000
02/22/2012	3.26	3.49	3.25	3.45	36657760	306144096.000
02/23/2012	3.43	3.48	3.40	3.41	11853203	99695472.000
02/24/2012	3.43	3.70	3.42	3.62	28716946	249639536.000
02/27/2012	3.60	3.83	3.60	3.75	33067040	300431008.000
02/28/2012	3.73	3.88	3.72	3.76	23534869	215053584.000
02/29/2012	3.75	3.75	3.66	3.66	10898575	97474248.000
03/01/2012	3.66	3.81	3.65	3.75	15470506	139766592.000
03/02/2012	3.76	3.97	3.74	3.94	24037223	224241360.000
03/05/2012	3.94	4.04	3.90	3.91	24461454	232174352.000
03/06/2012	3.90	3.94	3.78	3.79	16108635	148777040.000
03/07/2012	3.72	3.86	3.71	3.78	17779140	162209536.000
03/08/2012	3.83	4.02	3.82	3.92	25289353	238134944.000
03/09/2012	3.94	4.05	3.92	3.98	23535032	223996032.000
03/12/2012	3.97	3.99	3.85	3.92	12879726	120770640.000
03/13/2012	3.92	4.05	3.91	4.01	12890710	122724816.000
03/14/2012	4.04	4.12	3.78	3.81	24717619	235821264.000
03/15/2012	3.81	3.92	3.81	3.84	17071748	158379360.000
03/16/2012	3.87	3.97	3.84	3.94	13344706	124888216.000
03/19/2012	3.89	4.05	3.89	3.99	17032187	162147280.000
03/20/2012	3.98	4.01	3.80	3.83	13611408	126331208.000
03/21/2012	3.88	3.89	3.72	3.76	18128515	164900112.000
03/22/2012	3.77	3.84	3.73	3.79	8268911	75331312.000
03/23/2012	3.76	3.82	3.68	3.70	9586772	86716248.000
03/26/2012	3.69	3.75	3.62	3.66	6292469	56029744.000
03/27/2012	3.71	3.72	3.61	3.64	6278989	55849200.000
03/28/2012	3.64	3.70	3.50	3.53	11671669	102066288.000
03/29/2012	3.51	3.58	3.43	3.48	9300035	79726144.000
03/30/2012	3.50	3.60	3.49	3.55	8124155	70129656.000
04/05/2012	3.55	3.87	3.52	3.73	18581679	166899664.000
04/06/2012	3.70	3.84	3.69	3.83	17459000	159027856.000
