000791 甘肃电投 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.86	4.94	4.69	4.72	899288	4557688.000
01/05/2012	4.54	4.67	4.45	4.46	1147120	5512527.000
01/06/2012	4.42	4.93	4.42	4.93	3565459	17746432.000
01/09/2012	5.15	5.45	5.09	5.45	5010831	28218046.000
01/10/2012	6.02	6.02	6.02	6.02	974077	6117203.500
01/11/2012	6.65	6.65	6.65	6.65	5989132	41384904.000
01/12/2012	6.94	7.33	6.89	7.12	30684305	224480864.000
01/13/2012	6.95	7.09	6.79	6.82	17328905	124686088.000
01/16/2012	6.60	6.69	6.32	6.44	14699362	99010328.000
01/17/2012	6.42	6.76	6.25	6.66	18664485	126895304.000
01/18/2012	6.52	6.93	6.34	6.76	22236850	153679248.000
01/19/2012	6.54	6.71	6.35	6.58	11928966	81079584.000
01/20/2012	6.58	6.59	6.22	6.36	11523724	76671824.000
01/30/2012	6.34	6.88	6.25	6.60	16337346	112045312.000
01/31/2012	6.51	6.52	6.28	6.48	8050843	53712156.000
02/01/2012	6.41	6.56	6.27	6.39	6907307	46138260.000
02/02/2012	6.39	6.79	6.34	6.55	10823489	73829320.000
02/03/2012	6.56	7.05	6.47	6.82	15612360	110467760.000
02/06/2012	6.79	7.04	6.62	7.03	12098330	85478328.000
02/07/2012	6.93	6.93	6.70	6.77	7651869	53939960.000
02/08/2012	6.70	7.12	6.69	6.97	12540193	90253144.000
02/09/2012	6.94	7.64	6.84	7.13	17605619	131760584.000
02/10/2012	7.04	7.17	6.89	6.98	10936501	79304344.000
02/13/2012	6.87	7.19	6.82	7.04	8601133	62968004.000
02/14/2012	7.14	7.14	6.84	6.93	7067827	50984396.000
02/15/2012	6.90	7.12	6.81	7.01	7695989	55582384.000
02/16/2012	7.00	7.02	6.76	6.86	6449615	45941072.000
02/17/2012	6.84	6.89	6.49	6.68	6527692	45287652.000
02/20/2012	6.73	7.37	6.67	7.37	18045003	134221824.000
02/21/2012	7.51	8.13	7.45	7.99	34674232	280709984.000
02/22/2012	7.79	7.93	7.69	7.93	20041087	161546592.000
02/23/2012	7.81	7.86	7.67	7.78	12448639	99944184.000
02/24/2012	7.78	8.18	7.64	7.79	16500053	135308176.000
02/27/2012	7.67	7.86	7.62	7.70	10534589	84076728.000
02/28/2012	7.74	7.80	7.37	7.55	7703395	60579856.000
02/29/2012	7.55	7.74	7.47	7.71	6080038	48296492.000
03/01/2012	7.64	7.89	7.64	7.71	5085539	40821088.000
03/02/2012	7.65	7.77	7.60	7.77	5493389	43794156.000
03/05/2012	7.80	7.86	7.68	7.69	4832178	38687692.000
03/06/2012	7.73	8.49	7.72	8.24	17935241	150967696.000
03/07/2012	8.02	8.15	7.74	7.94	5987135	49285748.000
03/08/2012	7.95	8.09	7.89	7.97	4321742	35509892.000
03/09/2012	8.01	8.06	7.90	7.95	6492331	53488852.000
03/13/2012	7.99	8.21	7.79	7.89	8262643	67699296.000
03/14/2012	7.89	8.03	7.25	7.32	9482188	75578672.000
03/15/2012	7.26	7.44	6.65	7.12	6425909	47103328.000
03/16/2012	7.15	7.42	6.96	7.40	5327403	39864104.000
03/19/2012	7.38	7.43	7.19	7.35	3814480	28841230.000
03/20/2012	7.34	7.42	7.10	7.12	3353709	25093778.000
03/21/2012	7.13	7.19	6.95	7.13	2593681	19010728.000
03/22/2012	7.13	7.13	6.97	6.99	2096953	15295427.000
03/23/2012	6.96	6.96	6.73	6.86	3241891	22973928.000
03/26/2012	6.86	7.03	6.81	6.93	2287005	16466419.000
03/27/2012	6.99	7.65	6.94	7.65	12727420	97980728.000
03/28/2012	7.66	7.66	7.27	7.53	8478698	65094608.000
03/29/2012	7.41	7.48	6.95	7.44	8507539	64117048.000
03/30/2012	7.29	8.14	7.26	7.71	17373249	140618736.000
04/05/2012	7.45	7.98	7.35	7.92	12131301	96560496.000
04/06/2012	7.82	8.13	7.65	7.96	11004880	89609272.000
04/09/2012	7.84	7.96	7.60	7.61	7842151	63101252.000
04/10/2012	7.54	8.04	7.54	8.04	14335935	116413504.000
04/11/2012	7.96	8.04	7.77	7.87	10283146	83756504.000
04/12/2012	7.78	7.93	7.62	7.89	9918601	79742664.000
04/13/2012	7.89	8.16	7.69	7.90	13500509	111104320.000
04/16/2012	7.74	7.85	7.67	7.70	7469870	59765800.000
04/17/2012	7.70	8.01	7.64	7.73	6699057	54231744.000
04/18/2012	7.77	7.98	7.64	7.89	7379436	59391832.000
04/19/2012	7.84	8.18	7.82	8.12	12349097	101867928.000
04/20/2012	8.09	8.09	7.85	7.96	9462105	77756840.000
04/23/2012	7.97	8.46	7.89	8.07	14639219	124449776.000
04/24/2012	7.96	8.13	7.24	7.37	16830197	131535552.000
04/25/2012	7.20	7.34	6.94	7.29	6739545	50385592.000
04/26/2012	7.27	7.28	7.12	7.17	3958074	29468528.000
04/27/2012	7.20	7.33	7.14	7.20	2989375	22463832.000
05/02/2012	7.33	7.35	7.23	7.25	2538130	19165242.000
05/03/2012	7.25	7.29	7.04	7.13	3776274	27826456.000
05/04/2012	7.15	7.30	7.05	7.29	3629274	27114998.000
05/07/2012	7.26	7.27	7.09	7.25	2878786	21468778.000
05/08/2012	7.26	7.49	7.24	7.37	5270543	40232340.000
