000822 山东海化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.47	5.52	5.33	5.36	7425070	41237304.000
01/05/2012	5.30	5.36	5.16	5.18	4213703	22587798.000
01/06/2012	5.14	5.29	5.10	5.27	4652590	24602914.000
01/09/2012	5.28	5.55	5.22	5.51	10134476	56178920.000
01/10/2012	5.53	5.85	5.47	5.81	16808228	96929824.000
01/11/2012	5.81	5.99	5.69	5.91	13841477	81781600.000
01/12/2012	5.82	6.09	5.81	5.88	13964065	84689208.000
01/13/2012	5.83	5.88	5.59	5.67	11200098	65046044.000
01/16/2012	5.59	5.71	5.50	5.54	6417972	36681648.000
01/17/2012	5.71	6.08	5.68	6.07	30463065	183667648.000
01/18/2012	6.00	6.11	5.94	5.96	23347259	143096816.000
01/19/2012	5.96	6.10	5.81	6.02	15170023	92765344.000
01/20/2012	6.03	6.07	5.97	6.05	12023122	73704680.000
01/30/2012	6.05	6.15	5.98	6.04	11431452	70610104.000
01/31/2012	6.03	6.06	5.90	6.03	6965547	42408104.000
02/01/2012	6.01	6.08	5.92	5.94	8057904	48986952.000
02/02/2012	5.94	6.07	5.93	6.07	8712479	53178252.000
02/03/2012	6.08	6.26	6.05	6.21	19045156	119767016.000
02/06/2012	6.26	6.39	6.25	6.30	16110242	103307536.000
02/07/2012	6.28	6.28	6.10	6.13	11072933	69321752.000
02/08/2012	6.10	6.48	6.09	6.40	17438865	111737224.000
02/09/2012	6.40	6.50	6.33	6.36	15060359	98039464.000
02/10/2012	6.37	6.53	6.34	6.49	14583749	95714888.000
02/13/2012	6.40	6.53	6.38	6.48	13020274	85601536.000
02/14/2012	6.51	6.69	6.47	6.52	15645927	104432280.000
02/15/2012	6.46	6.71	6.45	6.66	16420784	110267976.000
02/16/2012	6.68	6.75	6.56	6.63	12925557	87234472.000
02/17/2012	6.63	6.70	6.51	6.58	7580982	50696816.000
02/20/2012	6.69	6.72	6.50	6.50	9781424	65463244.000
02/21/2012	6.49	6.55	6.34	6.55	9920555	65111568.000
02/22/2012	6.54	6.67	6.53	6.63	11219755	75270736.000
02/23/2012	6.65	6.74	6.56	6.64	12120942	81774736.000
02/24/2012	6.61	6.74	6.60	6.74	16928555	114595768.000
02/27/2012	6.75	6.87	6.72	6.72	19910957	137198592.000
02/28/2012	6.68	6.73	6.55	6.63	12742461	85938152.000
02/29/2012	6.65	6.83	6.62	6.63	15256174	104196688.000
03/01/2012	6.57	6.69	6.53	6.63	7308001	49163980.000
03/02/2012	6.66	6.78	6.62	6.77	11042162	75412752.000
03/05/2012	6.82	7.00	6.71	6.89	19408963	136177872.000
03/06/2012	6.87	6.89	6.68	6.79	15764538	108271336.000
03/07/2012	6.72	7.03	6.63	6.93	21164603	148251296.000
03/08/2012	6.94	7.22	6.92	7.21	25268868	182078128.000
03/09/2012	7.10	7.11	6.83	7.02	40293870	285455424.000
03/12/2012	6.99	6.99	6.83	6.92	21073752	147409344.000
03/13/2012	6.90	7.18	6.85	7.10	29574963	211048592.000
03/14/2012	7.14	7.17	6.60	6.65	29428483	207198016.000
03/15/2012	6.65	6.72	6.34	6.40	18189323	119945152.000
03/16/2012	6.42	6.59	6.40	6.55	12012321	79345576.000
03/19/2012	6.57	6.60	6.40	6.59	12284604	81180640.000
03/20/2012	6.53	6.54	6.38	6.38	11211775	73329776.000
03/21/2012	6.42	6.45	6.26	6.38	10387513	67085404.000
