000833 贵糖股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.46	7.55	7.26	7.26	1076507	8154363.000
01/05/2012	7.21	8.00	7.21	7.87	9401465	74724992.000
01/06/2012	7.66	7.83	7.52	7.81	6214952	48611684.000
01/09/2012	7.80	8.03	7.61	8.02	6043832	48549264.000
01/10/2012	7.97	8.31	7.86	8.19	7997326	66187256.000
01/11/2012	8.14	8.21	8.05	8.16	5226383	43228900.000
01/12/2012	8.14	8.14	8.00	8.00	4124489	33883600.000
01/13/2012	8.01	8.03	7.57	7.70	4956911	39342156.000
01/16/2012	7.57	7.74	7.44	7.45	3172852	24444834.000
01/17/2012	7.45	7.90	7.41	7.88	3843945	30254532.000
01/18/2012	7.90	8.14	7.85	7.99	6050585	49311772.000
01/19/2012	7.93	8.28	7.83	8.09	6261881	51583680.000
01/20/2012	8.15	8.20	7.96	8.10	3952045	32532284.000
01/30/2012	8.09	8.09	7.83	7.86	4097807	33021208.000
01/31/2012	7.90	8.03	7.83	8.00	2584194	20912006.000
02/01/2012	7.97	8.00	7.87	7.91	2131209	17194824.000
02/02/2012	7.95	8.11	7.93	8.10	4038303	33126382.000
02/03/2012	8.01	8.19	8.01	8.16	3370037	27866980.000
02/06/2012	8.13	8.21	8.08	8.17	3133549	25988780.000
02/07/2012	8.16	8.16	7.91	7.96	2553793	20776882.000
02/08/2012	7.93	8.27	7.92	8.26	5192625	43123432.000
02/09/2012	8.45	8.75	8.37	8.38	10839737	94364640.000
02/10/2012	8.31	8.49	8.28	8.35	4644351	39566480.000
02/13/2012	8.27	8.54	8.22	8.43	3811855	32700424.000
02/14/2012	8.45	8.52	8.35	8.46	3369364	28935178.000
02/15/2012	8.41	8.54	8.28	8.53	4531735	38979768.000
02/16/2012	8.52	8.55	8.31	8.45	3516464	30201134.000
02/17/2012	8.47	8.53	8.35	8.50	3007758	25907670.000
02/20/2012	8.60	8.60	8.41	8.42	3650915	31581546.000
