000848 承德露露 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.57	4.67	4.47	4.48	792929	11185624.000
01/05/2012	4.48	4.49	3.99	4.10	1767589	23206572.000
01/06/2012	4.07	4.08	3.88	4.07	1680408	21108852.000
01/09/2012	4.09	4.18	4.00	4.17	1490607	19220430.000
01/10/2012	4.17	4.55	4.16	4.55	2196376	29895174.000
01/11/2012	4.55	4.55	4.36	4.44	1356996	18719302.000
01/12/2012	4.44	4.52	4.34	4.36	2501617	34259644.000
01/13/2012	4.41	4.46	4.08	4.11	1753048	23124752.000
01/16/2012	4.05	4.06	3.90	3.93	748250	9390066.000
01/17/2012	3.90	4.16	3.78	4.15	2111162	26687844.000
01/18/2012	4.18	4.19	3.90	3.91	1679860	21422454.000
01/19/2012	3.87	3.95	3.80	3.93	2863884	35236176.000
01/20/2012	3.93	4.05	3.90	4.05	2004737	25404554.000
01/30/2012	4.14	4.14	3.93	3.96	1806514	22690526.000
01/31/2012	3.98	4.00	3.92	3.96	1576168	19703646.000
02/01/2012	3.96	4.03	3.88	3.92	3020231	37775912.000
02/02/2012	3.92	3.99	3.80	3.99	4493851	55249064.000
02/03/2012	3.97	4.20	3.93	4.18	8843400	114385904.000
02/06/2012	4.18	4.35	4.12	4.32	4626884	61172220.000
02/07/2012	4.27	4.38	4.25	4.29	3598289	48349096.000
02/08/2012	4.29	4.36	4.26	4.34	4106342	55167236.000
02/09/2012	4.34	4.41	4.31	4.32	2558326	34822788.000
02/10/2012	4.31	4.32	4.25	4.29	1963385	26291596.000
02/13/2012	4.26	4.39	4.21	4.33	5928435	79095848.000
02/14/2012	4.32	4.35	4.26	4.33	3504956	47225688.000
02/15/2012	4.33	4.46	4.29	4.39	5007799	68575760.000
02/16/2012	4.40	4.53	4.40	4.50	4111009	57229772.000
02/17/2012	4.50	4.54	4.45	4.49	1472935	20523110.000
02/20/2012	4.57	4.59	4.49	4.49	1867334	26230274.000
02/21/2012	4.49	4.59	4.40	4.52	1846211	25628798.000
02/22/2012	4.53	4.58	4.46	4.58	2766734	38772708.000
02/23/2012	4.58	4.64	4.51	4.56	2375420	33594988.000
02/24/2012	4.56	4.59	4.53	4.59	3299687	46595580.000
02/27/2012	4.58	4.71	4.55	4.65	6805169	97220256.000
02/28/2012	4.59	4.64	4.55	4.60	2774208	39463152.000
02/29/2012	4.59	4.80	4.57	4.62	4449091	64384716.000
03/01/2012	4.61	4.73	4.61	4.66	2761448	39823552.000
03/02/2012	4.68	4.78	4.68	4.75	2989478	43691532.000
03/05/2012	4.74	4.83	4.68	4.69	3242163	47481400.000
03/06/2012	4.68	4.68	4.44	4.50	4042350	56769584.000
03/07/2012	4.41	4.54	4.39	4.50	2168837	30221678.000
03/08/2012	4.48	4.58	4.44	4.52	2129995	29821806.000
03/09/2012	4.52	4.65	4.52	4.65	2719571	38712304.000
03/12/2012	4.66	4.71	4.59	4.64	3206611	46036676.000
03/13/2012	4.65	4.88	4.64	4.84	6922333	101607424.000
03/14/2012	4.86	5.36	4.85	5.05	14847298	230753648.000
03/15/2012	5.26	5.62	5.26	5.36	17420283	285633920.000
03/16/2012	5.44	5.44	5.18	5.38	12033127	194081760.000
03/19/2012	5.37	5.38	5.20	5.30	7709963	123828000.000
03/20/2012	5.28	5.30	5.03	5.06	6793342	106369640.000
03/21/2012	5.07	5.17	4.96	5.15	7694832	119477848.000
03/22/2012	5.11	5.15	4.97	4.98	4757180	73662840.000
03/23/2012	4.97	5.00	4.87	4.94	3872585	58478036.000
03/26/2012	4.95	5.01	4.91	5.00	2827941	43148068.000
03/27/2012	5.00	5.04	4.83	4.85	3403045	51685116.000
03/28/2012	4.83	4.92	4.66	4.68	4103188	60520648.000
03/29/2012	4.68	4.75	4.51	4.59	2244150	32144712.000
03/30/2012	4.59	4.64	4.40	4.54	2380309	33373784.000
04/05/2012	4.55	4.83	4.54	4.77	2755265	39968164.000
04/06/2012	4.75	4.95	4.74	4.85	2635194	39303880.000
04/09/2012	4.87	4.87	4.57	4.59	3511321	50736224.000
04/10/2012	4.58	4.64	4.44	4.64	2722641	38346984.000
04/11/2012	4.58	4.69	4.54	4.59	1642793	23479204.000
04/12/2012	4.61	4.74	4.59	4.74	1872703	27086816.000
04/13/2012	4.75	4.80	4.65	4.73	2841187	41308972.000
04/16/2012	4.71	4.71	4.58	4.61	3597574	51371228.000
04/17/2012	4.61	4.63	4.44	4.46	5829902	81243360.000
04/18/2012	4.47	4.61	4.45	4.58	3070761	43079324.000
04/19/2012	4.58	4.58	4.49	4.51	2990060	41931336.000
04/20/2012	4.46	4.68	4.46	4.68	3796471	53976000.000
04/23/2012	4.68	4.72	4.50	4.51	4437747	63199456.000
04/24/2012	4.51	4.57	4.21	4.35	5539380	74922928.000
04/25/2012	4.31	4.34	4.22	4.32	4465629	59832608.000
04/26/2012	4.43	4.77	4.39	4.66	8809322	125097736.000
04/27/2012	4.64	4.71	4.53	4.56	5609210	79891328.000
05/02/2012	4.62	4.87	4.59	4.80	9374181	137947856.000
05/03/2012	4.81	5.02	4.75	4.95	8475906	128013040.000
05/04/2012	4.92	5.02	4.90	4.96	6088303	92559272.000
05/07/2012	4.92	5.09	4.88	5.03	5367214	82191888.000
05/08/2012	5.00	5.06	4.91	4.97	4848080	73744704.000
05/09/2012	4.94	5.25	4.84	4.92	5654333	86290792.000
05/10/2012	4.89	5.09	4.89	4.99	3456876	53015592.000
05/11/2012	4.99	5.13	4.97	5.06	5585581	86647232.000
05/14/2012	5.10	5.19	4.98	4.98	5157985	80393504.000
05/15/2012	4.88	5.12	4.84	5.11	4390141	67085144.000
05/16/2012	5.06	5.25	5.06	5.08	5319783	83952976.000
05/17/2012	5.08	5.33	5.08	5.30	7382605	117613472.000
05/18/2012	5.25	5.29	5.15	5.24	4222412	67178176.000
05/21/2012	5.19	5.29	5.08	5.20	3951084	62425136.000
05/22/2012	5.20	5.43	5.20	5.43	5825199	94068128.000
05/23/2012	5.41	5.59	5.35	5.53	9218318	152855024.000
05/24/2012	5.49	5.53	5.35	5.37	4468127	73672432.000
05/28/2012	5.26	5.48	5.19	5.40	5367850	86836312.000
05/29/2012	5.39	5.72	5.33	5.70	7003343	118431120.000
05/30/2012	5.67	5.76	5.60	5.67	3650263	62425636.000
05/31/2012	5.61	5.94	5.56	5.78	4516977	78394808.000
06/01/2012	5.78	5.85	5.72	5.78	2299286	39995044.000
06/04/2012	5.70	5.78	5.56	5.58	4095703	70113432.000
06/05/2012	5.57	5.66	5.51	5.55	3962734	66842588.000
06/06/2012	5.57	5.76	5.48	5.54	5507608	93659904.000
06/07/2012	5.60	5.69	5.52	5.55	3018391	50885936.000
06/08/2012	5.62	5.63	5.45	5.54	2743059	46120360.000
06/11/2012	5.52	5.60	5.43	5.59	3393813	56556848.000
06/12/2012	5.57	5.89	5.50	5.85	4961992	85953080.000
06/13/2012	5.84	6.13	5.82	6.03	4865602	87148320.000
06/14/2012	6.07	6.07	5.93	5.94	3112832	55981340.000
06/15/2012	5.95	6.11	5.95	6.08	3059174	55381328.000
06/18/2012	6.12	6.19	6.00	6.07	3357799	61282456.000
06/19/2012	6.06	6.10	6.00	6.04	1866480	33797924.000
06/20/2012	6.00	6.05	5.89	6.00	3693433	66286104.000
06/21/2012	5.95	5.95	5.81	5.92	3730703	65642440.000
06/25/2012	5.89	5.89	5.70	5.71	1560843	27271668.000
06/26/2012	5.62	5.70	5.38	5.67	3480566	58507448.000
06/27/2012	5.64	5.93	5.61	5.85	3176215	55611168.000
06/28/2012	5.83	5.95	5.70	5.71	1923956	33753104.000
