000859 国风塑业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.21	3.23	3.09	3.10	1883105	7737039.000
01/05/2012	3.08	3.08	2.92	2.93	2243387	8784590.000
01/06/2012	2.91	2.98	2.86	2.95	1172634	4436482.500
01/09/2012	2.95	3.15	2.92	3.15	2703889	10797716.000
01/10/2012	3.14	3.34	3.10	3.32	3894334	16456290.000
01/11/2012	3.32	3.34	3.22	3.30	3815684	16281832.000
01/12/2012	3.29	3.40	3.23	3.32	3062606	13210851.000
01/13/2012	3.34	3.34	3.12	3.22	3178558	13317402.000
01/17/2012	3.10	3.37	3.08	3.35	4614460	19590674.000
01/18/2012	3.32	3.39	3.22	3.25	3213015	13834296.000
01/19/2012	3.25	3.31	3.23	3.27	2071779	8793819.000
01/20/2012	3.29	3.31	3.25	3.28	1743246	7449448.000
01/30/2012	3.29	3.38	3.29	3.30	2785961	12084863.000
01/31/2012	3.24	3.32	3.24	3.32	1526753	6519253.000
02/01/2012	3.32	3.36	3.28	3.32	1387450	6002702.500
02/02/2012	3.29	3.37	3.29	3.36	2275833	9897352.000
02/03/2012	3.35	3.45	3.35	3.43	3311285	14669694.000
02/06/2012	3.45	3.50	3.42	3.48	2845402	12831068.000
02/07/2012	3.46	3.46	3.34	3.36	3446250	15156292.000
02/08/2012	3.37	3.47	3.35	3.47	3293843	14611078.000
02/09/2012	3.45	3.63	3.45	3.56	5433004	24990186.000
02/10/2012	3.52	3.58	3.52	3.56	2864081	13234039.000
02/13/2012	3.54	3.64	3.48	3.63	3777744	17578476.000
02/14/2012	3.63	3.75	3.60	3.72	5281761	25380742.000
02/15/2012	3.69	3.81	3.68	3.79	3980283	19493288.000
02/16/2012	3.77	4.05	3.77	3.94	8402430	43231736.000
02/17/2012	3.92	4.02	3.87	4.02	5583760	28634954.000
02/20/2012	4.09	4.09	3.96	4.02	5168237	27036870.000
02/21/2012	4.02	4.05	3.93	4.01	4544056	23527334.000
02/22/2012	4.01	4.05	3.97	4.05	4348901	22710620.000
02/23/2012	4.05	4.08	3.99	4.07	4953969	26024084.000
02/24/2012	4.07	4.16	4.02	4.16	5482108	29234256.000
02/27/2012	4.15	4.28	4.11	4.15	5521785	29923596.000
02/28/2012	4.11	4.12	3.92	3.93	7330767	38005292.000
02/29/2012	3.91	3.98	3.85	3.86	4338071	22046332.000
03/01/2012	3.85	3.98	3.85	3.97	5167787	26510706.000
03/02/2012	3.99	4.01	3.94	4.00	3474721	17969068.000
03/05/2012	4.05	4.05	3.98	3.98	2681930	13973909.000
03/06/2012	3.96	3.98	3.86	3.93	2601656	13281249.000
03/07/2012	3.88	4.02	3.88	3.99	3519878	18138538.000
03/08/2012	3.99	4.11	3.96	4.10	6001440	31626814.000
03/09/2012	4.09	4.25	4.06	4.22	8282242	44832664.000
03/12/2012	4.24	4.43	4.23	4.31	6771303	38094216.000
03/13/2012	4.32	4.35	4.20	4.29	4245282	23595402.000
03/14/2012	4.32	4.39	3.99	4.05	7078522	38837440.000
03/15/2012	4.00	4.15	3.93	4.02	3801195	20011628.000
03/16/2012	4.03	4.15	4.00	4.14	4125225	21952036.000
03/19/2012	4.19	4.31	4.12	4.29	4285802	23499050.000
03/20/2012	4.26	4.68	4.25	4.53	18544989	109077224.000
03/21/2012	4.49	4.65	4.37	4.62	11083838	64868700.000
03/22/2012	4.58	4.59	4.45	4.50	4245767	24882296.000
03/23/2012	4.50	4.50	4.32	4.35	4728757	26986858.000
03/26/2012	4.32	4.46	4.19	4.25	4354651	24455418.000
03/27/2012	4.27	4.38	4.24	4.36	2914968	16367968.000
03/28/2012	4.33	4.35	3.95	4.02	4736081	25385846.000
03/29/2012	4.02	4.08	3.81	3.88	2917233	14913069.000
