000903 云内动力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.75	3.81	3.71	3.71	1945771	7898878.000
01/05/2012	3.68	3.70	3.56	3.58	1878116	7395310.000
01/06/2012	3.54	3.59	3.41	3.55	3042734	11554808.000
01/09/2012	3.55	3.72	3.49	3.71	2561709	10103018.000
01/10/2012	3.71	3.93	3.70	3.93	4868012	20137262.000
01/11/2012	3.94	4.10	3.84	4.02	5684556	24143948.000
01/12/2012	4.00	4.05	3.91	3.94	2906127	12446683.000
01/13/2012	3.94	3.96	3.78	3.78	3231589	13352886.000
01/16/2012	3.72	3.79	3.68	3.68	1677229	6747088.500
01/17/2012	3.67	3.94	3.65	3.90	3864734	15927466.000
01/18/2012	3.89	3.99	3.83	3.86	3580657	15069318.000
01/19/2012	3.87	3.90	3.82	3.87	2957803	12332927.000
01/20/2012	3.89	3.98	3.83	3.98	3481618	14638858.000
01/30/2012	3.95	3.97	3.90	3.96	1900613	8051670.500
01/31/2012	3.94	4.01	3.90	3.94	2228448	9501863.000
02/01/2012	3.95	3.96	3.83	3.83	2011963	8448491.000
02/02/2012	3.87	3.90	3.83	3.90	1797674	7497715.000
02/03/2012	3.89	4.00	3.88	3.98	3494770	14874402.000
02/06/2012	3.98	4.01	3.95	4.00	2766427	11838857.000
02/07/2012	3.99	3.99	3.86	3.89	2733897	11515335.000
02/08/2012	3.92	3.99	3.87	3.99	3527464	15011266.000
02/09/2012	3.99	4.19	3.98	4.04	6022870	26326084.000
02/10/2012	4.04	4.19	4.02	4.13	6283496	27710538.000
02/13/2012	4.10	4.26	4.05	4.23	6414142	28821814.000
02/14/2012	4.24	4.24	4.13	4.19	4475050	20032902.000
02/15/2012	4.20	4.39	4.14	4.38	8484773	38919828.000
02/16/2012	4.38	4.50	4.33	4.43	10553189	49876392.000
02/17/2012	4.45	4.49	4.33	4.39	5130493	24072720.000
02/20/2012	4.45	4.50	4.35	4.37	5682570	26793412.000
02/21/2012	4.35	4.40	4.28	4.40	4162152	19305206.000
02/22/2012	4.40	4.63	4.36	4.55	11744297	56322892.000
02/23/2012	4.55	4.56	4.45	4.50	5608148	26956992.000
02/24/2012	4.50	4.56	4.45	4.54	6554894	31482492.000
02/27/2012	4.59	4.78	4.56	4.59	9651245	48025148.000
02/28/2012	4.55	4.60	4.47	4.54	5013201	24250460.000
02/29/2012	4.52	4.54	4.43	4.45	4563724	21800038.000
03/01/2012	4.42	4.58	4.38	4.55	6151490	29484394.000
03/02/2012	4.60	4.65	4.53	4.57	4433124	21576674.000
03/05/2012	4.66	4.85	4.65	4.69	15421661	77989672.000
03/06/2012	4.65	4.84	4.65	4.78	10077671	50894756.000
03/07/2012	4.67	4.89	4.67	4.82	9294192	47475544.000
03/08/2012	4.86	4.93	4.79	4.83	6315982	32449678.000
03/09/2012	4.80	4.86	4.74	4.82	7224608	36698560.000
03/12/2012	4.83	4.83	4.70	4.76	5285313	26693204.000
03/13/2012	4.76	4.80	4.70	4.80	5652771	28546904.000
03/14/2012	4.80	4.81	4.40	4.47	9725960	48125604.000
03/15/2012	4.47	4.51	4.27	4.32	6172006	28750454.000
03/16/2012	4.33	4.44	4.30	4.43	4036442	18912574.000
03/20/2012	4.50	4.55	4.44	4.49	7988464	38345644.000
03/21/2012	4.46	4.50	4.33	4.42	4154729	19592404.000
03/22/2012	4.35	4.40	4.30	4.38	4133068	19262668.000
03/23/2012	4.32	4.36	4.21	4.23	4168851	18995908.000
03/26/2012	4.23	4.26	4.17	4.23	2959252	13351438.000
03/27/2012	4.23	4.27	4.14	4.19	2634879	11860740.000
03/28/2012	4.15	4.15	3.85	3.88	5457176	23592266.000
03/29/2012	3.88	3.96	3.80	3.84	3088527	12888953.000
03/30/2012	3.89	3.90	3.82	3.87	2615001	10859357.000
04/05/2012	3.88	4.02	3.84	3.95	4864017	20654924.000
04/06/2012	4.02	4.38	4.00	4.38	16618901	77379792.000
04/09/2012	4.48	4.81	4.46	4.59	39285646	193248160.000
04/10/2012	4.49	4.64	4.27	4.63	18859682	89401096.000
04/11/2012	4.48	4.70	4.45	4.62	19642065	95582520.000
04/12/2012	4.60	4.72	4.48	4.67	19978419	98312064.000
04/13/2012	4.70	4.73	4.55	4.65	15770308	77886016.000
04/16/2012	4.59	4.63	4.47	4.57	9416343	45654068.000
04/17/2012	4.53	4.59	4.43	4.45	8060970	38670948.000
04/18/2012	4.45	4.64	4.45	4.60	10084441	49055332.000
04/19/2012	4.60	4.63	4.45	4.49	7689795	37194544.000
04/23/2012	4.50	4.97	4.50	4.87	34201135	174816496.000
04/24/2012	4.72	4.87	4.46	4.78	20026096	100058816.000
04/25/2012	4.73	5.20	4.68	5.06	29890395	157868288.000
04/26/2012	5.05	5.13	4.89	4.97	17196099	90864144.000
04/27/2012	4.98	4.99	4.82	4.88	10085751	52415668.000
05/02/2012	4.94	4.98	4.84	4.95	11314343	59094976.000
05/03/2012	4.92	5.04	4.87	4.91	7810031	40817612.000
05/04/2012	4.90	4.97	4.83	4.92	8226257	42865368.000
05/07/2012	4.89	4.89	4.76	4.80	9285382	47330228.000
05/08/2012	4.82	4.87	4.76	4.85	6758421	34603096.000
05/09/2012	4.77	4.81	4.64	4.65	8637412	43244356.000
05/10/2012	4.65	4.74	4.60	4.68	4757078	23636194.000
05/11/2012	4.68	4.73	4.61	4.62	4067376	20205576.000
05/14/2012	4.68	4.76	4.63	4.67	5729142	28666822.000
05/15/2012	4.62	4.67	4.55	4.64	4455542	21858304.000
05/16/2012	4.65	4.84	4.63	4.76	8532945	43140404.000
05/17/2012	4.73	4.90	4.72	4.88	10628429	54678152.000
05/18/2012	4.83	4.85	4.63	4.63	8700884	43767596.000
05/21/2012	4.63	4.67	4.48	4.51	6269983	30449112.000
05/22/2012	4.55	4.59	4.51	4.58	3491214	16929386.000
05/23/2012	4.57	4.57	4.45	4.50	4954525	23814010.000
05/24/2012	4.49	4.54	4.44	4.45	3915689	18728560.000
05/25/2012	4.46	4.53	4.42	4.45	2987247	14259884.000
05/28/2012	4.45	4.53	4.25	4.52	5799642	27213576.000
