000951 中国重汽 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.15	7.17	6.96	6.96	2071234	25518580.000
01/05/2012	6.91	7.03	6.82	6.86	1580431	19038716.000
01/06/2012	6.83	6.99	6.71	6.97	1018543	12136759.000
01/09/2012	6.98	7.31	6.86	7.26	1816439	22597838.000
01/10/2012	7.30	7.61	7.24	7.56	3181231	40956116.000
01/11/2012	7.56	7.58	7.40	7.47	1950785	25249540.000
01/12/2012	7.43	7.54	7.37	7.48	1755616	22692990.000
01/13/2012	7.48	7.51	7.23	7.26	1684038	21334898.000
01/16/2012	7.21	7.25	7.13	7.21	1302337	16251713.000
01/17/2012	7.21	7.61	7.17	7.60	2147865	27546410.000
01/18/2012	7.59	7.80	7.47	7.52	2203194	29139726.000
01/19/2012	7.52	7.73	7.48	7.68	1642197	21712006.000
01/20/2012	7.72	7.97	7.66	7.88	2406987	32623626.000
01/30/2012	7.94	8.08	7.83	7.95	3062965	42144636.000
01/31/2012	7.88	8.02	7.80	7.96	1293091	17585452.000
02/01/2012	7.91	7.96	7.63	7.72	1536475	20637228.000
02/02/2012	7.74	7.85	7.64	7.84	1169578	15593114.000
02/03/2012	7.79	7.96	7.78	7.92	1396272	18967922.000
02/06/2012	7.89	7.96	7.76	7.86	1696665	22966310.000
02/07/2012	7.85	7.85	7.49	7.56	2522543	33059300.000
02/08/2012	7.55	7.79	7.50	7.76	1628091	21563842.000
02/09/2012	7.76	7.88	7.71	7.79	1555092	20916422.000
02/10/2012	7.74	7.94	7.74	7.85	2259363	30668680.000
02/13/2012	7.77	7.91	7.68	7.89	2361263	31657622.000
02/14/2012	7.80	8.06	7.80	8.01	3234163	44332776.000
02/15/2012	7.93	8.14	7.93	8.13	2617809	36285840.000
02/16/2012	8.09	8.14	7.95	8.03	1632434	22616424.000
02/17/2012	8.05	8.08	7.90	8.01	1252387	17216798.000
02/20/2012	8.11	8.13	8.01	8.04	1910962	26528598.000
02/21/2012	8.02	8.09	7.89	8.07	1490518	20544306.000
02/22/2012	8.05	8.23	8.05	8.20	1960926	27512666.000
02/23/2012	8.21	8.26	8.04	8.12	2807908	39281960.000
02/24/2012	8.11	8.35	8.09	8.32	3385121	47950628.000
02/27/2012	8.41	8.72	8.34	8.36	3960546	57827692.000
02/28/2012	8.37	8.39	8.19	8.27	2791219	39694900.000
02/29/2012	8.24	8.26	8.14	8.16	1651390	23260780.000
03/01/2012	8.12	8.22	8.11	8.16	1415031	19860152.000
03/02/2012	8.16	8.33	8.16	8.33	3698667	52411832.000
03/05/2012	8.33	8.41	8.23	8.26	2986611	42715140.000
03/06/2012	8.25	8.25	7.90	7.99	3854977	53225240.000
03/07/2012	7.89	8.05	7.84	7.96	2105856	28906464.000
03/08/2012	7.96	8.17	7.96	8.13	2510781	35021668.000
03/09/2012	8.18	8.24	8.13	8.22	1685995	23701516.000
03/12/2012	8.23	8.29	8.09	8.18	2082419	29248720.000
03/13/2012	8.21	8.36	8.16	8.33	2983417	42444012.000
03/14/2012	8.43	8.43	7.93	7.97	4055556	57237556.000
03/15/2012	7.97	8.02	7.73	7.77	2543981	34390824.000
