000960 锡业股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	17.85	17.96	17.08	17.08	6790288	120012256.000
01/05/2012	16.85	17.20	16.62	16.66	4561462	77524752.000
01/06/2012	16.65	17.35	16.56	17.24	4560791	77845264.000
01/09/2012	17.20	18.85	17.05	18.46	10155149	186016080.000
01/11/2012	19.55	20.21	19.15	19.25	16962199	334399168.000
01/12/2012	19.05	20.03	18.96	19.51	13066446	257124128.000
01/13/2012	19.74	20.11	19.05	19.70	14904670	295114400.000
01/16/2012	19.35	19.70	18.45	18.45	9573365	184513216.000
01/17/2012	18.73	20.31	18.50	20.31	14696607	292813184.000
01/18/2012	22.14	22.36	20.96	21.13	37932912	833719552.000
01/19/2012	20.94	21.65	20.77	21.45	23027885	492918752.000
01/20/2012	21.42	21.55	20.71	21.15	12775083	271905088.000
01/30/2012	21.95	21.98	21.11	21.17	17456262	380555008.000
01/31/2012	21.10	21.50	20.77	21.29	9258956	197478176.000
02/01/2012	21.17	21.27	20.36	20.53	10314567	216120720.000
02/02/2012	20.66	21.48	20.56	21.48	13087248	277903808.000
02/03/2012	21.15	21.63	21.01	21.39	10338498	222038672.000
02/06/2012	21.63	21.84	21.00	21.20	9539262	206116464.000
02/07/2012	20.96	21.41	20.45	21.10	11193533	233678848.000
02/08/2012	21.33	23.23	21.15	23.23	28982149	651844032.000
02/09/2012	23.15	23.42	22.65	23.05	23813533	550692096.000
02/10/2012	23.05	23.40	22.58	22.79	16938593	393043936.000
02/13/2012	22.20	23.48	21.98	22.81	15399719	354132288.000
02/14/2012	22.74	23.02	22.51	22.86	9127878	209172064.000
02/15/2012	22.73	24.10	22.66	23.54	21429350	507984192.000
02/16/2012	23.35	23.50	22.87	23.35	15040154	351725216.000
02/17/2012	23.41	23.55	22.97	23.22	9740507	227901120.000
02/20/2012	23.64	23.65	23.03	23.04	12814626	301093440.000
02/21/2012	23.04	23.50	22.35	23.45	12498193	288470880.000
02/22/2012	23.35	23.69	23.13	23.50	13115540	309045376.000
02/23/2012	23.38	23.98	23.28	23.46	12323928	292807296.000
02/24/2012	23.46	23.88	23.13	23.72	13811871	328047104.000
02/27/2012	23.95	24.43	23.75	23.83	18067092	438286464.000
02/28/2012	23.69	23.83	23.22	23.45	10816323	255687264.000
02/29/2012	23.44	24.26	23.25	23.70	13739396	328988736.000
03/01/2012	23.34	23.62	23.15	23.38	7436159	175141456.000
03/02/2012	23.55	24.25	23.55	23.97	10686196	256884720.000
03/05/2012	24.00	24.78	23.90	24.29	16963734	415916480.000
03/06/2012	24.05	24.11	23.46	23.76	11064716	264748000.000
03/07/2012	23.25	23.47	22.75	22.76	13756877	320175488.000
03/08/2012	22.85	23.55	22.83	23.25	11968347	279117152.000
03/09/2012	23.48	23.82	23.23	23.70	10789560	255780288.000
03/12/2012	23.84	24.45	23.64	23.85	13393883	323061728.000
03/13/2012	23.80	24.14	23.46	24.04	8681892	207859680.000
03/14/2012	24.65	25.30	23.30	23.60	29046398	718170688.000
03/15/2012	23.55	23.70	22.65	23.04	14921446	347168544.000
03/16/2012	23.15	23.78	22.85	23.68	9798601	230862608.000
03/19/2012	23.55	25.29	23.45	25.10	22661552	557259776.000
03/20/2012	24.86	25.00	24.30	24.42	15993765	398635680.000
03/21/2012	24.59	26.21	24.40	25.38	26026072	665992000.000
03/22/2012	25.20	25.74	24.75	24.90	14496246	366834400.000
03/23/2012	24.55	24.72	23.75	23.95	12597559	307043456.000
03/26/2012	23.94	24.67	23.85	24.33	11499959	279784256.000
03/27/2012	24.60	25.12	24.38	24.62	11137326	277492256.000
03/28/2012	24.31	24.31	22.69	22.71	15661565	367781600.000
03/29/2012	20.44	21.84	20.44	21.23	19720805	422075104.000
03/30/2012	21.04	21.45	20.68	20.95	9048113	191409792.000
04/05/2012	20.85	21.75	20.75	21.53	9432284	202445568.000
04/06/2012	21.54	22.25	21.44	21.75	9476032	208027600.000
04/09/2012	21.66	22.00	21.25	21.42	5642991	122918952.000
04/10/2012	21.25	21.90	20.74	21.89	7843354	167900464.000
04/11/2012	21.52	21.95	21.37	21.64	4950387	107685592.000
04/12/2012	22.00	22.53	21.99	22.33	10181074	228169408.000
04/13/2012	22.27	22.75	22.27	22.58	10578611	239880352.000
04/16/2012	22.30	22.94	22.04	22.58	7429740	167989088.000
04/17/2012	22.48	22.72	22.18	22.19	5379236	121570632.000
04/18/2012	22.35	22.85	22.10	22.84	11647785	264438768.000
04/19/2012	22.80	22.81	22.46	22.52	7609418	173538480.000
04/20/2012	22.45	23.04	22.42	22.84	8014776	184343440.000
04/23/2012	22.87	22.87	22.09	22.19	6411909	145064832.000
04/24/2012	22.03	22.60	21.54	22.17	7090370	157273088.000
04/25/2012	21.97	22.62	21.97	22.54	6552857	147582064.000
04/26/2012	22.60	23.71	22.60	23.34	15048965	351666496.000
04/27/2012	23.35	23.55	23.05	23.33	6398432	150330128.000
05/03/2012	24.05	24.22	23.57	23.60	16773205	404620576.000
05/04/2012	23.38	23.95	23.38	23.79	8142650	194444384.000
05/07/2012	23.55	24.03	23.30	23.66	9045394	215108768.000
05/08/2012	23.70	23.87	23.35	23.75	6506740	154624352.000
05/09/2012	23.45	23.53	22.91	22.91	5916389	138314160.000
05/10/2012	22.95	23.14	22.73	22.84	5273584	121664088.000
