000970 中科三环 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.62	9.78	9.22	9.60	13444608	267723136.000
01/05/2012	9.43	9.72	8.96	8.96	10513848	207204144.000
01/06/2012	8.76	9.68	8.76	9.67	10940517	212747472.000
01/09/2012	9.62	10.18	9.53	10.00	13916212	289396192.000
01/10/2012	10.01	10.63	9.96	10.28	15985916	346065664.000
01/11/2012	10.29	10.67	10.21	10.55	13505173	296290688.000
01/12/2012	10.46	10.77	10.33	10.57	12486651	275048064.000
01/13/2012	10.56	10.78	10.03	10.23	13458946	292394752.000
01/16/2012	10.04	10.52	9.97	9.98	9792696	209540656.000
01/17/2012	9.81	11.02	9.81	10.92	16840263	372217632.000
01/18/2012	10.89	11.25	10.49	10.68	17349198	395470624.000
01/19/2012	10.65	10.77	10.42	10.59	9202751	203738272.000
01/20/2012	10.67	10.71	10.41	10.49	6644428	146322656.000
01/30/2012	10.50	10.73	10.44	10.45	5991865	132549672.000
01/31/2012	10.53	11.11	10.51	10.83	11901649	270347552.000
02/01/2012	10.73	10.83	10.33	10.36	8995030	198793856.000
02/02/2012	10.35	10.56	10.33	10.56	7087872	154651776.000
02/03/2012	10.56	10.83	10.50	10.67	7807186	174449072.000
02/06/2012	10.74	11.12	10.69	11.03	15760076	360485024.000
02/07/2012	11.03	11.03	10.48	10.61	11168076	249502160.000
02/08/2012	10.62	11.14	10.62	11.12	16297005	372111136.000
02/09/2012	11.07	11.21	10.89	10.98	13331566	306636160.000
02/10/2012	10.98	11.10	10.76	10.89	9504925	216683248.000
02/13/2012	10.69	11.14	10.69	10.98	9098679	208048832.000
02/14/2012	10.95	11.04	10.65	10.85	9301367	209845552.000
02/15/2012	10.78	11.13	10.71	11.03	11780939	269735584.000
02/16/2012	11.03	11.43	10.99	11.23	18533378	432705312.000
02/17/2012	11.23	11.67	11.23	11.54	20894417	500993408.000
02/20/2012	11.85	11.91	11.36	11.44	14597912	350953312.000
02/21/2012	11.43	11.48	11.02	11.47	10661672	250705936.000
02/22/2012	11.48	11.63	11.34	11.57	9789524	234798096.000
02/23/2012	11.73	12.12	11.65	11.69	16200361	398771872.000
02/24/2012	11.63	11.78	11.57	11.69	11536776	279704448.000
02/27/2012	11.72	11.98	11.67	11.70	16719161	410932448.000
02/28/2012	11.56	11.70	11.41	11.58	14021260	335767872.000
02/29/2012	11.60	11.73	11.39	11.40	10902427	262052496.000
03/01/2012	11.31	11.62	11.31	11.41	6485175	154782608.000
03/02/2012	11.45	11.64	11.45	11.53	9106511	218506288.000
03/05/2012	11.63	11.98	11.59	11.66	16602636	406990560.000
03/06/2012	11.65	11.65	11.36	11.36	10534700	251109904.000
03/07/2012	11.24	11.36	11.08	11.11	7940906	185604144.000
03/08/2012	11.20	12.27	11.20	12.27	42179017	1052675904.000
03/09/2012	12.27	13.22	12.03	13.03	41586224	1083211904.000
03/12/2012	12.97	13.32	12.79	13.09	24871556	674524224.000
03/13/2012	12.98	13.88	12.78	13.74	27723858	763961664.000
03/14/2012	13.74	14.42	13.05	13.44	35379313	1007679104.000
03/15/2012	13.38	13.96	13.14	13.83	25886497	725122688.000
03/16/2012	13.78	14.27	13.15	14.08	26029302	735471616.000
03/19/2012	13.88	14.30	13.68	13.89	23540699	680641728.000
03/20/2012	13.82	13.82	13.30	13.43	14735386	412243872.000
03/21/2012	13.51	14.13	13.39	13.87	22772701	651449984.000
03/22/2012	13.74	14.01	13.40	13.44	12484020	352190976.000
03/23/2012	13.28	13.61	12.77	12.95	13606476	370715264.000
03/26/2012	12.96	13.10	12.78	12.98	9311808	249992736.000
03/27/2012	13.13	13.44	13.05	13.05	12218024	335318752.000
03/28/2012	12.91	12.98	12.42	12.53	12376551	325180000.000
03/29/2012	12.44	12.72	12.31	12.66	12522123	326153920.000
03/30/2012	12.60	12.73	12.05	12.53	13061077	334626112.000
04/05/2012	12.43	13.43	12.29	13.37	13825089	371356224.000
04/06/2012	13.38	13.91	13.34	13.66	18367000	518809024.000
04/09/2012	13.61	13.81	13.32	13.39	12456952	348867104.000
04/10/2012	13.43	13.61	12.72	13.43	18024223	490513536.000
04/11/2012	13.13	13.36	12.86	13.04	11308956	306295072.000
04/12/2012	13.07	13.32	12.81	13.23	13618380	368850432.000
04/13/2012	14.13	14.60	13.73	14.60	68693513	2035240064.000
04/16/2012	14.37	14.57	14.16	14.33	34433076	1020174464.000
04/17/2012	14.23	14.87	14.19	14.34	32178787	966378432.000
04/18/2012	14.46	14.86	14.34	14.74	33971482	1024814464.000
04/19/2012	14.83	14.88	14.27	14.29	27405270	822848512.000
04/20/2012	14.22	14.37	14.15	14.28	15635445	459963616.000
04/23/2012	14.30	14.44	13.79	13.85	18575622	541042112.000
