000971 高升控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.22	3.26	3.07	3.11	1063028	3409197.750
01/05/2012	3.07	3.12	3.00	3.05	1739416	5297065.000
01/06/2012	3.05	3.13	3.00	3.13	1248247	3832299.500
01/09/2012	3.10	3.28	3.08	3.26	2073328	6669504.000
01/10/2012	3.23	3.41	3.23	3.41	2637461	8763618.000
01/11/2012	3.43	3.43	3.30	3.35	1833554	6139167.500
01/12/2012	3.32	3.42	3.32	3.35	1356200	4566504.000
01/13/2012	3.35	3.35	3.18	3.23	1103112	3602822.500
01/16/2012	3.20	3.33	3.12	3.16	811800	2610252.000
01/17/2012	3.16	3.32	3.14	3.31	1101354	3575363.500
01/18/2012	3.31	3.36	3.24	3.28	1004255	3320352.500
01/19/2012	3.25	3.34	3.24	3.31	1064500	3513214.000
01/20/2012	3.34	3.38	3.28	3.35	1044191	3481912.250
01/30/2012	3.37	3.42	3.32	3.35	897805	3029682.500
01/31/2012	3.35	3.52	3.35	3.52	2625487	9110368.000
02/01/2012	3.58	3.58	3.45	3.46	2713432	9556316.000
02/02/2012	3.46	3.48	3.42	3.47	1055977	3643205.500
02/03/2012	3.46	3.64	3.45	3.64	2656360	9598494.000
02/06/2012	3.66	3.82	3.66	3.82	4171296	15770216.000
02/07/2012	3.89	3.90	3.63	3.76	4333931	16051072.000
02/08/2012	3.62	3.78	3.62	3.76	2305846	8574030.000
02/09/2012	3.76	3.83	3.70	3.74	1686955	6360406.500
02/10/2012	3.73	3.78	3.70	3.76	1582422	5922310.000
02/13/2012	3.70	3.80	3.67	3.78	1455640	5471000.500
02/14/2012	3.78	3.92	3.74	3.89	2274068	8763311.000
02/15/2012	3.90	4.08	3.89	4.04	3195387	12832200.000
02/16/2012	4.02	4.03	3.85	3.92	2574157	10107974.000
02/17/2012	3.91	3.94	3.83	3.88	1101120	4267026.500
02/20/2012	3.90	3.95	3.86	3.88	1513388	5884579.000
02/21/2012	3.88	3.95	3.85	3.93	1329782	5194422.500
02/22/2012	3.93	3.98	3.92	3.96	1271035	5017522.000
02/23/2012	3.97	3.98	3.86	3.93	1234647	4838389.500
02/24/2012	3.90	4.00	3.86	3.98	2108266	8321444.000
02/27/2012	4.00	4.06	3.96	3.99	2176360	8721251.000
02/28/2012	3.98	3.98	3.85	3.91	1648858	6443866.500
02/29/2012	3.90	3.92	3.80	3.80	1073682	4158966.500
03/01/2012	3.82	3.93	3.79	3.87	1113437	4320326.000
03/02/2012	3.86	3.95	3.83	3.94	1136552	4453382.500
03/05/2012	3.94	3.97	3.93	3.96	1239232	4895088.000
03/06/2012	3.95	3.95	3.88	3.93	1338553	5241972.500
03/07/2012	3.90	3.95	3.86	3.88	1609899	6291834.000
03/08/2012	3.88	3.95	3.88	3.93	1453745	5693467.500
03/09/2012	3.93	4.03	3.93	4.01	2076005	8290333.500
03/12/2012	4.01	4.01	3.95	3.97	1731077	6885839.000
03/13/2012	3.98	4.02	3.96	4.01	1444837	5782588.000
03/14/2012	4.02	4.05	3.81	3.81	2192192	8636502.000
03/15/2012	3.81	3.81	3.62	3.63	2794424	10221388.000
03/16/2012	3.63	3.71	3.60	3.68	1375402	5034673.000
03/19/2012	3.68	3.76	3.60	3.74	1506657	5552874.500
03/20/2012	3.74	3.74	3.64	3.64	1523112	5612440.500
03/21/2012	3.66	3.68	3.50	3.59	1470744	5292177.000
03/22/2012	3.59	3.77	3.56	3.77	2401413	8858412.000
04/06/2012	3.96	3.96	3.96	3.96	379450	1502622.000
04/09/2012	4.16	4.16	4.16	4.16	193728	805908.500
04/10/2012	4.37	4.37	4.37	4.37	152565	666709.063
04/11/2012	4.59	4.59	4.59	4.59	138361	635077.000
04/12/2012	4.82	4.82	4.42	4.53	14823624	68871696.000
04/13/2012	4.40	4.48	4.30	4.45	6691842	29340776.000
