000973 佛塑科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.52	4.55	4.28	4.29	7228715	49655880.000
01/05/2012	4.24	4.28	3.97	4.02	7222794	46255728.000
01/06/2012	4.03	4.08	3.91	4.08	5216828	32290622.000
01/09/2012	4.12	4.35	4.05	4.34	10380554	68242912.000
01/10/2012	4.32	4.68	4.30	4.65	13191119	91903192.000
01/11/2012	4.64	4.80	4.55	4.64	10931449	79156056.000
01/12/2012	4.85	5.11	4.76	4.79	27294766	206390240.000
01/13/2012	4.73	4.82	4.54	4.58	12236071	88393304.000
01/16/2012	4.52	4.66	4.47	4.54	6871986	48827908.000
01/17/2012	4.52	4.85	4.46	4.84	15937631	115931880.000
01/18/2012	4.84	5.08	4.72	4.80	18085100	136796944.000
01/19/2012	4.80	4.88	4.72	4.82	10706943	79573168.000
01/20/2012	4.85	4.94	4.79	4.91	8435055	63638252.000
01/30/2012	4.93	4.96	4.76	4.78	6522407	48943120.000
01/31/2012	4.78	4.82	4.68	4.76	4077341	29922286.000
02/01/2012	4.78	4.84	4.69	4.72	5571750	41175600.000
02/02/2012	4.72	4.84	4.70	4.84	9578382	70755216.000
02/03/2012	4.84	4.97	4.80	4.96	16765799	127064904.000
02/06/2012	4.98	5.02	4.92	4.98	12138136	93178584.000
02/07/2012	4.96	4.96	4.77	4.80	9469878	70938000.000
02/08/2012	4.80	5.04	4.78	5.02	16766307	128253264.000
02/09/2012	5.01	5.14	4.99	5.07	18012560	141237968.000
02/10/2012	5.08	5.15	5.02	5.14	15104988	118623768.000
02/13/2012	5.08	5.34	5.04	5.30	22614289	182241584.000
02/14/2012	5.32	5.32	5.17	5.23	15560218	125167440.000
02/15/2012	5.20	5.43	5.15	5.42	24982484	204186832.000
02/16/2012	5.40	5.58	5.35	5.45	25021426	210643216.000
02/17/2012	5.44	5.56	5.34	5.39	14271403	119670000.000
02/20/2012	5.49	5.49	5.28	5.28	16480929	136830432.000
02/21/2012	5.28	5.44	5.26	5.43	12451297	102689912.000
02/22/2012	5.47	5.60	5.42	5.57	19234858	163726688.000
02/23/2012	5.62	5.69	5.48	5.54	15553423	133801120.000
02/24/2012	5.52	5.65	5.52	5.64	16202978	139686464.000
02/27/2012	5.68	5.76	5.60	5.60	18659437	163150960.000
02/28/2012	5.57	5.60	5.36	5.44	16323386	137927936.000
02/29/2012	5.44	5.50	5.36	5.36	10017208	83777336.000
03/01/2012	5.38	5.62	5.36	5.52	19153684	162075616.000
03/02/2012	5.54	5.67	5.53	5.64	15264214	131755336.000
03/05/2012	5.66	5.86	5.62	5.77	25082836	222096096.000
03/06/2012	5.78	5.93	5.62	5.87	24955819	222037792.000
03/07/2012	5.79	6.14	5.76	5.99	28199511	259513392.000
03/08/2012	6.02	6.09	5.90	6.00	20836672	191667952.000
03/09/2012	6.10	6.18	5.94	6.00	29816501	276317344.000
03/12/2012	5.98	6.01	5.90	5.94	22153050	202256928.000
03/13/2012	5.94	6.30	5.93	6.28	33146769	311808480.000
03/14/2012	6.28	6.44	5.86	5.95	42349653	403879360.000
03/15/2012	5.95	6.10	5.83	6.02	24397925	224855040.000
03/16/2012	6.03	6.23	5.93	6.22	22148472	207782080.000
03/19/2012	6.20	6.42	6.15	6.40	24110515	232735632.000
03/20/2012	6.41	6.41	6.10	6.13	19324817	184592160.000
03/21/2012	6.20	6.24	5.99	6.22	15626031	147540416.000
03/22/2012	6.18	6.22	6.03	6.06	9805274	92115976.000
03/23/2012	6.04	6.04	5.86	5.90	11151113	101974304.000
03/26/2012	5.87	5.96	5.85	5.92	6002418	54527628.000
03/27/2012	5.96	6.02	5.90	5.91	6672386	61107872.000
03/28/2012	5.88	5.88	5.46	5.48	12779359	110971640.000
03/29/2012	5.46	5.46	5.18	5.33	10297821	84960296.000
03/30/2012	5.33	5.40	5.24	5.31	6659060	54491844.000
04/05/2012	5.34	5.57	5.32	5.57	8826308	74479152.000
04/06/2012	5.58	5.70	5.52	5.64	9188802	79643880.000
04/09/2012	5.45	5.52	5.26	5.47	17614321	145969696.000
04/10/2012	5.38	5.57	5.38	5.56	9417382	79286952.000
04/11/2012	5.52	5.60	5.44	5.59	7477134	64050964.000
04/13/2012	5.76	5.88	5.71	5.74	13619479	121451104.000
04/16/2012	5.66	5.82	5.65	5.82	6905014	61478300.000
04/17/2012	5.84	5.89	5.71	5.72	6353247	56540216.000
04/18/2012	5.73	5.93	5.73	5.90	9824998	88465112.000
04/19/2012	5.98	6.10	5.79	5.86	13079016	119274480.000
04/20/2012	5.82	5.88	5.72	5.84	11454900	102099176.000
04/23/2012	5.79	5.79	5.55	5.55	13717442	119055400.000
04/24/2012	5.48	5.54	5.32	5.47	8618055	71957128.000
04/25/2012	5.47	5.47	5.36	5.46	6550648	54656688.000
04/26/2012	5.46	5.49	5.39	5.40	6153600	51545856.000
04/27/2012	5.40	5.44	5.22	5.25	9617113	78313416.000
05/02/2012	5.32	5.36	5.26	5.28	7970128	65206416.000
05/03/2012	5.28	5.34	5.23	5.27	6837992	55673904.000
