000977 浪潮信息 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.74	3.78	3.54	3.55	1461998	22232138.000
01/05/2012	3.49	3.54	3.34	3.35	1346265	19404428.000
01/06/2012	3.34	3.43	3.27	3.42	1427288	20100524.000
01/09/2012	3.41	3.61	3.31	3.58	1906941	27801694.000
01/10/2012	3.58	3.72	3.57	3.70	2924831	44680628.000
01/11/2012	3.69	4.06	3.65	3.83	4758497	76968808.000
01/12/2012	3.79	3.83	3.71	3.76	2925735	45932612.000
01/13/2012	3.76	3.79	3.54	3.58	1950945	29624090.000
01/16/2012	3.54	3.63	3.47	3.47	1425550	21109222.000
01/17/2012	3.48	3.69	3.44	3.69	1777541	26761312.000
01/18/2012	3.72	3.86	3.64	3.65	3350399	52292932.000
01/19/2012	3.64	3.71	3.62	3.67	1721757	26367460.000
01/20/2012	3.72	3.72	3.67	3.70	1561630	24056774.000
01/30/2012	3.74	3.77	3.66	3.68	1436235	22213496.000
01/31/2012	3.69	3.70	3.60	3.67	1014005	15424071.000
02/01/2012	3.74	3.76	3.62	3.63	1374587	21173384.000
02/02/2012	3.63	3.74	3.63	3.72	1851650	28534502.000
02/03/2012	3.73	3.85	3.69	3.81	3422381	53974396.000
02/06/2012	3.80	3.84	3.76	3.79	2376474	37541212.000
02/07/2012	3.78	3.79	3.67	3.70	2305422	35739636.000
02/08/2012	3.69	3.81	3.67	3.81	2476125	38914028.000
02/09/2012	3.84	3.93	3.79	3.89	4847957	78082800.000
02/10/2012	3.86	3.88	3.80	3.83	3204328	51186860.000
02/13/2012	3.77	3.94	3.77	3.89	4083638	65824068.000
02/14/2012	3.88	3.90	3.82	3.84	2373969	38110668.000
02/15/2012	3.84	4.01	3.83	3.94	4651694	76232344.000
02/16/2012	3.96	4.29	3.93	4.05	8605806	146526848.000
02/17/2012	3.99	4.07	3.92	3.98	4576440	75871232.000
02/20/2012	4.03	4.17	4.01	4.01	5345247	90783864.000
02/21/2012	3.99	4.17	3.98	4.15	5926919	101085584.000
02/22/2012	4.21	4.28	4.14	4.22	6729487	117757512.000
02/23/2012	4.19	4.27	4.16	4.23	5260742	91930680.000
02/24/2012	4.20	4.30	4.19	4.24	4993802	87968640.000
02/27/2012	4.26	4.34	4.22	4.27	6373189	113090656.000
02/28/2012	4.25	4.33	4.13	4.19	4871974	85278952.000
02/29/2012	4.20	4.22	4.11	4.12	3466655	60070336.000
03/01/2012	4.09	4.20	4.08	4.16	2647836	45646536.000
03/02/2012	4.16	4.23	4.15	4.20	3101055	54058404.000
03/05/2012	4.21	4.28	4.20	4.24	3659815	64446364.000
03/06/2012	4.22	4.31	4.19	4.29	5788155	102398304.000
03/07/2012	4.24	4.51	4.22	4.30	7328090	132950640.000
03/08/2012	4.32	4.38	4.30	4.33	3231923	58067612.000
03/09/2012	4.38	4.49	4.34	4.44	4820001	88456312.000
03/12/2012	4.47	4.48	4.38	4.44	2893864	52964060.000
03/13/2012	4.43	4.56	4.40	4.50	3024513	56441244.000
03/14/2012	4.54	4.57	4.12	4.20	4985116	90217888.000
03/15/2012	4.20	4.26	4.04	4.11	3374424	57758188.000
03/16/2012	4.11	4.37	4.11	4.35	4974722	88544920.000
03/19/2012	4.35	4.45	4.32	4.42	2935315	53419836.000
03/20/2012	4.48	4.48	4.31	4.34	2709113	49004704.000
03/21/2012	4.34	4.38	4.22	4.34	2267148	40531820.000
03/22/2012	4.35	4.35	4.19	4.28	2573610	45383924.000
03/23/2012	4.27	4.27	4.09	4.10	2110608	36348644.000
03/26/2012	4.09	4.13	4.03	4.05	1541545	26031850.000
03/27/2012	4.09	4.15	4.07	4.09	1540182	26268738.000
03/28/2012	4.09	4.09	3.88	3.88	1616781	26667764.000
03/29/2012	3.89	3.89	3.67	3.73	1613881	25341092.000
03/30/2012	3.75	3.79	3.68	3.71	1046656	16222361.000
04/05/2012	3.69	3.86	3.69	3.85	1366003	21604122.000
04/06/2012	3.82	4.14	3.82	3.97	2199630	36503936.000
04/09/2012	3.95	3.95	3.84	3.85	1132845	18377492.000
04/10/2012	3.82	3.98	3.79	3.98	1287383	20807860.000
04/11/2012	3.86	3.97	3.84	3.93	1090907	17811776.000
04/12/2012	3.93	4.05	3.93	4.03	1523239	25362558.000
04/13/2012	4.06	4.14	4.00	4.06	2104359	35606192.000
04/16/2012	3.97	3.98	3.91	3.94	2510429	41099104.000
04/17/2012	3.94	4.04	3.86	3.91	1837765	30190556.000
04/18/2012	3.92	4.01	3.90	3.98	1566523	25813144.000
04/19/2012	3.97	4.00	3.92	3.98	1716983	28339886.000
04/20/2012	3.96	4.01	3.94	3.97	1427126	23587304.000
04/23/2012	3.97	4.01	3.82	3.83	1839032	29879840.000
04/24/2012	3.82	3.88	3.68	3.77	1769859	27746080.000
04/25/2012	3.83	3.83	3.76	3.81	1070118	16927822.000
04/26/2012	3.83	3.86	3.79	3.85	1504205	23993230.000
04/27/2012	3.85	3.92	3.82	3.87	1679809	27092300.000
05/02/2012	3.94	3.99	3.85	3.96	2438119	39800656.000
05/03/2012	3.94	3.99	3.92	3.96	1741312	28668320.000
05/04/2012	4.05	4.13	3.98	3.98	3404157	57324500.000
05/07/2012	3.97	3.97	3.88	3.91	2467013	40218040.000
05/08/2012	3.92	3.96	3.91	3.92	1421313	23256402.000
05/09/2012	3.90	3.90	3.80	3.83	1542279	24627758.000
05/11/2012	3.84	3.89	3.77	3.77	1299557	20548720.000
05/14/2012	3.79	3.87	3.79	3.79	1163178	18521172.000
05/15/2012	3.78	3.86	3.72	3.86	929003	14631208.000
05/16/2012	3.83	3.87	3.79	3.79	857171	13670685.000
05/17/2012	3.79	3.86	3.75	3.83	920936	14634910.000
05/18/2012	3.80	3.88	3.78	3.80	1207748	19275464.000
05/21/2012	3.80	3.84	3.76	3.82	981020	15574135.000
05/22/2012	3.86	3.99	3.86	3.91	2763294	45208740.000
05/23/2012	3.91	3.93	3.83	3.91	1955290	31633106.000
05/24/2012	3.91	4.32	3.91	4.19	9099873	154968176.000
05/25/2012	4.20	4.30	4.14	4.21	7223724	126560920.000
05/28/2012	4.16	4.19	4.05	4.16	3068073	52355376.000
05/29/2012	4.17	4.32	4.14	4.15	4305281	75406304.000
05/30/2012	4.09	4.14	4.02	4.08	2925921	49447200.000
05/31/2012	4.05	4.19	4.03	4.12	2426674	41625688.000
06/01/2012	4.11	4.18	3.99	4.02	2173012	36686836.000
06/04/2012	3.97	4.02	3.87	3.87	1664357	27346058.000
06/05/2012	3.85	3.93	3.81	3.83	1329260	21381210.000
06/06/2012	3.86	3.89	3.83	3.86	793001	12759976.000
06/07/2012	3.91	3.97	3.81	3.84	1057197	17055020.000
06/08/2012	3.85	3.89	3.82	3.84	823374	13207395.000
06/11/2012	3.86	3.99	3.86	3.93	2849825	46660848.000
06/12/2012	3.91	3.92	3.86	3.88	1333376	21537660.000
06/13/2012	3.89	3.93	3.83	3.92	2211758	35832712.000
06/14/2012	3.89	3.92	3.85	3.87	1019384	16505146.000
06/15/2012	3.89	3.95	3.86	3.90	1258671	20410460.000
06/18/2012	3.92	3.93	3.87	3.91	2348881	38239828.000
06/19/2012	3.91	3.91	3.80	3.81	1883935	30128530.000
06/20/2012	3.81	3.92	3.81	3.86	1675020	27020170.000
06/21/2012	3.85	3.87	3.74	3.74	1486724	23308970.000
06/25/2012	3.73	3.77	3.59	3.59	1175839	17905332.000
06/26/2012	3.57	3.63	3.53	3.60	881368	13077767.000
06/27/2012	3.59	3.64	3.54	3.55	713881	10644652.000
06/28/2012	3.56	3.59	3.45	3.45	761803	11092161.000
06/29/2012	3.47	3.51	3.43	3.49	764496	11048185.000
07/02/2012	3.51	3.62	3.49	3.59	1534958	22632568.000
07/03/2012	3.59	3.64	3.55	3.57	729478	10863639.000
07/04/2012	3.57	3.64	3.57	3.61	676173	10080731.000
