000996 中国中期 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/12/2012	14.29	14.29	14.29	14.29	905178	12962149.000
06/13/2012	15.72	15.72	15.72	15.72	1570983	24742982.000
06/14/2012	16.86	17.30	16.47	17.30	27751562	472316064.000
06/15/2012	17.30	17.30	15.97	16.31	21025874	349294944.000
06/18/2012	16.27	17.14	16.05	16.58	21707762	363187904.000
06/19/2012	16.39	16.84	16.07	16.23	12498031	205172976.000
06/20/2012	16.26	16.36	15.77	15.78	9987472	160287248.000
06/21/2012	15.67	15.84	15.36	15.39	8570608	133496160.000
06/25/2012	15.34	15.48	14.98	15.31	8011545	122249144.000
06/26/2012	15.12	15.47	15.03	15.34	6773768	103735920.000
06/27/2012	15.29	15.42	14.78	14.85	6277300	95149232.000
06/28/2012	15.05	16.04	15.05	15.18	12094854	188034176.000
06/29/2012	14.79	15.06	14.28	14.92	8884857	131366080.000
07/02/2012	15.04	15.44	14.87	15.02	6717114	102075568.000
07/03/2012	15.02	15.57	15.01	15.38	7456532	114506496.000
07/04/2012	15.46	15.74	15.27	15.74	8580678	133557008.000
07/05/2012	15.71	15.71	14.85	14.87	7011275	106849344.000
07/06/2012	14.87	14.95	13.97	14.71	9080758	131731120.000
07/09/2012	14.48	14.50	13.75	13.75	6400427	90530320.000
07/10/2012	13.74	13.87	13.44	13.69	3963358	54185892.000
07/11/2012	13.63	13.89	13.53	13.79	3077785	42417132.000
07/12/2012	13.80	14.14	13.37	14.01	5491562	75867200.000
07/13/2012	13.88	14.05	13.60	13.64	4075225	56266444.000
07/16/2012	13.84	13.84	13.02	13.10	3634032	48699868.000
07/17/2012	12.97	13.60	12.89	13.45	3966163	53135652.000
07/18/2012	13.45	14.23	13.28	14.18	8578553	119152608.000
07/19/2012	13.95	14.51	13.88	14.17	8947735	127461448.000
07/20/2012	14.08	14.42	13.90	14.22	5113434	72426288.000
07/23/2012	13.96	14.04	13.68	13.88	3192838	44350692.000
07/24/2012	13.69	14.39	13.59	14.16	4664499	66001428.000
07/25/2012	13.99	14.14	13.71	13.80	3491302	48696332.000
07/26/2012	13.67	14.03	13.57	13.62	2836141	39290992.000
07/27/2012	13.55	14.39	13.55	13.82	4365181	61150900.000
07/30/2012	13.65	13.92	13.17	13.22	3535306	47701876.000
07/31/2012	13.23	13.23	12.63	12.69	3790883	49141108.000
08/01/2012	12.69	13.21	12.67	12.98	2362508	30692268.000
08/02/2012	12.95	13.35	12.78	12.97	3265855	42862812.000
08/03/2012	13.15	13.32	12.94	13.32	3109294	41084620.000
08/06/2012	13.32	13.93	13.18	13.83	5298151	72910696.000
08/07/2012	13.77	13.91	13.64	13.80	3599531	49682280.000
08/08/2012	13.86	14.33	13.78	14.11	5563626	78345656.000
08/09/2012	13.98	14.29	13.78	14.10	5309934	74519016.000
08/10/2012	13.99	14.10	13.69	13.87	2992320	41597732.000
08/13/2012	13.74	13.75	13.17	13.24	3540498	47871192.000
08/14/2012	13.17	13.53	13.14	13.44	2735631	36501684.000
08/15/2012	13.37	13.37	13.12	13.13	1996890	26457200.000
08/16/2012	13.15	13.35	13.07	13.11	1861539	24607650.000
08/17/2012	13.05	13.26	13.02	13.26	1722123	22698012.000
08/20/2012	13.20	13.27	13.00	13.23	1868775	24538626.000
08/21/2012	13.15	13.65	13.15	13.40	3275579	44154652.000
08/22/2012	13.41	13.45	13.17	13.22	2503704	33340822.000
08/23/2012	13.28	13.56	13.23	13.50	3397529	45648756.000
08/24/2012	13.47	13.47	12.97	13.15	2594138	34164360.000
08/27/2012	13.02	13.07	12.67	12.73	2012168	25778694.000
08/28/2012	12.72	13.03	12.57	12.83	2393999	30706732.000
08/29/2012	12.74	12.97	12.62	12.87	1821012	23363252.000
08/30/2012	12.77	13.61	12.59	13.33	4807529	63163800.000
08/31/2012	13.38	13.56	13.13	13.29	2910305	38899888.000
09/03/2012	13.42	13.59	13.24	13.40	3176679	42712628.000
