002009 天奇股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.30	7.37	6.81	6.86	3582534	26337330.000
01/05/2012	6.74	6.80	6.49	6.51	3145474	21463362.000
01/06/2012	6.61	6.69	6.33	6.64	2355693	15726280.000
01/09/2012	6.67	7.00	6.56	6.97	4629344	32556494.000
01/10/2012	6.99	7.40	6.91	7.33	8164546	60599724.000
01/11/2012	7.36	7.57	7.27	7.44	9561633	72668088.000
01/12/2012	7.41	7.54	7.31	7.41	7220999	55032876.000
01/13/2012	7.51	7.61	7.06	7.11	7241975	54361980.000
01/16/2012	6.96	6.96	6.64	6.67	4645020	32527178.000
01/17/2012	6.61	7.20	6.61	7.17	4229909	30180394.000
01/18/2012	7.16	7.36	7.01	7.01	4741313	35059108.000
01/19/2012	7.03	7.23	6.92	7.18	3360933	24579682.000
01/20/2012	7.23	7.33	7.14	7.33	3873292	28842502.000
01/30/2012	7.41	7.47	7.26	7.35	4126529	31133452.000
01/31/2012	7.29	7.35	6.97	7.18	4057014	29584326.000
02/01/2012	7.09	7.20	6.96	7.00	3943940	28647582.000
02/02/2012	7.01	7.24	7.00	7.22	3144300	22913784.000
02/03/2012	7.18	7.58	7.15	7.50	9261531	70615520.000
02/06/2012	7.50	7.97	7.43	7.82	13129155	103418848.000
02/07/2012	7.68	7.78	7.56	7.61	8061769	63362724.000
02/08/2012	7.61	7.92	7.58	7.91	11082734	88646872.000
02/09/2012	7.94	8.35	7.88	7.91	11996309	99546232.000
02/10/2012	7.86	7.98	7.74	7.97	7855922	63458252.000
02/13/2012	7.88	8.29	7.83	8.15	8178245	67415832.000
02/14/2012	8.16	8.37	8.02	8.32	8855477	74436240.000
02/15/2012	8.27	8.45	8.21	8.41	7544308	64364428.000
02/16/2012	8.39	8.57	8.21	8.30	8140108	69658216.000
02/17/2012	8.32	8.46	8.11	8.28	6197558	52628656.000
02/20/2012	8.39	8.44	8.21	8.22	5645923	47948168.000
02/21/2012	8.20	8.31	7.96	8.30	6270212	52275516.000
02/22/2012	8.30	8.76	8.30	8.71	13553005	118380112.000
02/23/2012	8.74	9.11	8.68	8.91	13144968	119206824.000
02/24/2012	8.88	9.04	8.70	8.93	7530569	68069608.000
02/27/2012	8.89	9.09	8.77	8.83	8557706	78144344.000
02/28/2012	8.70	8.79	8.56	8.71	7042891	62366240.000
02/29/2012	8.66	8.76	8.54	8.55	4426101	39065916.000
03/01/2012	8.52	8.71	8.49	8.64	4847421	42603888.000
03/02/2012	8.64	8.93	8.62	8.87	5750440	51887620.000
03/05/2012	8.88	9.19	8.88	9.17	9131566	84721800.000
03/06/2012	9.13	9.17	8.91	9.05	5515634	50870916.000
03/07/2012	8.92	9.55	8.85	9.38	9987734	93977760.000
03/08/2012	9.36	9.53	9.33	9.39	6392305	61462696.000
03/09/2012	9.44	9.74	9.33	9.58	6424524	62631928.000
03/12/2012	9.61	9.96	9.33	9.88	10440513	102364368.000
03/13/2012	9.76	9.87	9.59	9.76	7358007	72892024.000
03/14/2012	9.77	9.86	8.82	8.94	11218458	107193008.000
03/15/2012	8.91	9.09	8.66	8.81	6686180	60537016.000
03/16/2012	8.82	9.01	8.72	9.01	5298846	48059344.000
03/19/2012	9.00	9.26	8.84	9.22	5009787	46284776.000
03/20/2012	9.19	9.19	8.80	8.81	5741297	52392088.000
03/21/2012	8.84	9.03	8.68	8.86	4630679	41846300.000
03/22/2012	8.82	8.91	8.73	8.77	2693717	24298470.000
03/23/2012	8.71	8.77	8.26	8.36	5131952	44493692.000
03/26/2012	8.31	8.34	8.19	8.29	1887564	15960379.000
03/27/2012	8.35	8.45	8.28	8.36	2213218	18965610.000
03/28/2012	8.34	8.46	8.01	8.34	5145888	43091256.000
03/29/2012	8.35	8.51	7.82	8.01	4039005	33539754.000
03/30/2012	7.99	8.11	7.51	7.68	3939639	31332034.000
04/05/2012	7.68	7.95	7.43	7.91	2986664	23750818.000
04/06/2012	7.87	8.01	7.82	7.88	2122162	17195750.000
04/09/2012	7.87	7.91	7.49	7.50	4272042	33543146.000
04/10/2012	7.44	7.56	7.18	7.56	5024477	37811432.000
04/11/2012	7.37	7.76	7.37	7.70	3007774	23375846.000
04/12/2012	7.70	7.94	7.66	7.91	3910182	31382624.000
04/13/2012	7.99	8.20	7.92	8.03	4306604	35613956.000
04/16/2012	7.99	8.06	7.91	8.00	3185995	26090544.000
04/17/2012	8.02	8.16	7.96	7.97	2992229	24640868.000
04/18/2012	7.98	8.18	7.92	8.15	4616339	38209408.000
04/19/2012	8.20	8.20	7.94	8.11	5203348	42964176.000
04/20/2012	8.04	8.94	8.04	8.94	13156743	115228136.000
04/24/2012	8.49	9.51	8.36	9.34	24952371	227095408.000
04/25/2012	9.24	9.24	8.94	9.17	16978004	156987776.000
04/26/2012	9.03	9.13	8.84	9.03	9616196	88333472.000
04/27/2012	9.04	9.04	8.62	8.63	6707193	60010448.000
05/02/2012	8.77	8.94	8.64	8.77	6564134	59045208.000
05/03/2012	8.80	9.11	8.70	9.02	7748514	70752024.000
05/04/2012	9.00	9.28	8.91	8.91	9231776	85845616.000
05/07/2012	8.73	8.87	8.61	8.80	6248698	55613448.000
05/08/2012	8.78	8.82	8.65	8.76	3948093	35203492.000
05/09/2012	8.70	8.76	8.48	8.50	4324884	38180920.000
05/11/2012	8.45	8.72	8.45	8.51	3139227	27574910.000
05/14/2012	8.51	8.63	8.39	8.46	3650783	31698988.000
05/15/2012	8.36	8.42	7.93	8.10	4888410	40795404.000
05/16/2012	8.10	8.17	7.94	7.95	2872371	23688394.000
05/17/2012	7.96	8.15	7.94	8.08	2946592	24332288.000
05/21/2012	7.91	8.06	7.82	7.95	2960499	24040278.000
05/22/2012	8.01	8.11	7.91	8.10	2642204	21699918.000
05/23/2012	8.09	8.14	7.91	7.97	2203235	18073446.000
05/24/2012	7.96	8.06	7.91	8.03	1945246	15922125.000
05/25/2012	8.03	8.04	7.83	7.86	2544749	20678246.000
05/28/2012	7.81	7.91	7.54	7.89	3790306	29899936.000
05/29/2012	7.88	8.11	7.84	8.07	3823555	31354430.000
05/30/2012	8.02	8.30	7.99	8.28	4656311	38922044.000
05/31/2012	8.20	8.45	8.15	8.41	4611041	39173052.000
06/01/2012	8.37	8.63	8.37	8.46	5685351	49234864.000
06/04/2012	8.29	8.47	8.11	8.18	4864226	41047032.000
06/05/2012	8.21	8.61	8.16	8.28	4720713	40150184.000
06/06/2012	8.44	8.60	8.20	8.30	5380759	46162136.000
06/07/2012	8.43	8.44	7.96	8.00	4118434	34328976.000
06/08/2012	8.02	8.07	7.73	7.74	3510537	28251864.000
06/11/2012	7.71	8.02	7.64	7.98	2291988	18452206.000
06/12/2012	7.92	8.06	7.82	7.95	1857724	15070826.000
06/13/2012	8.10	8.16	7.96	8.14	3534478	29256804.000
06/14/2012	8.07	8.34	8.06	8.15	3845134	32202072.000
06/15/2012	8.19	8.25	8.00	8.07	2894522	24059504.000
06/18/2012	8.05	8.18	8.05	8.08	1709510	14184924.000
06/19/2012	8.09	8.27	8.06	8.17	2559253	21440588.000
06/20/2012	8.30	8.55	8.16	8.19	5746481	49104568.000
06/21/2012	8.12	8.16	7.72	7.73	7413660	59610148.000
06/25/2012	7.73	7.80	7.41	7.61	3354581	26191314.000
06/26/2012	7.60	8.02	7.51	7.81	2955478	23533930.000
06/27/2012	7.78	7.81	7.57	7.60	2460344	19316604.000
06/28/2012	7.66	7.66	7.38	7.38	2873765	22062890.000
06/29/2012	7.42	7.47	7.33	7.39	1764280	13340058.000
07/02/2012	7.36	7.53	7.34	7.48	2233797	16987630.000
07/03/2012	7.49	7.69	7.44	7.69	2188507	16866200.000
07/04/2012	7.59	7.84	7.58	7.83	2819377	22205170.000
07/05/2012	7.82	7.82	7.64	7.72	1995288	15681102.000
07/09/2012	7.83	7.91	7.61	7.70	2396544	18969758.000
07/10/2012	7.65	7.73	7.49	7.63	1529968	11846806.000
07/11/2012	7.55	8.24	7.55	7.96	3871239	31137436.000
07/12/2012	7.93	8.04	7.83	7.95	3969555	32154040.000
07/13/2012	7.92	8.02	7.87	7.93	1643924	13330118.000
07/16/2012	7.92	7.93	7.42	7.42	2958116	23027546.000
07/17/2012	7.40	7.55	7.36	7.51	1081111	8253720.000
07/18/2012	7.46	7.60	7.40	7.59	1197224	9174964.000
07/19/2012	7.64	7.73	7.52	7.70	1525690	11945655.000
07/20/2012	7.60	7.70	7.57	7.63	834048	6508748.000
07/23/2012	7.53	7.69	7.52	7.60	1014911	7879946.000
07/24/2012	7.59	7.71	7.56	7.67	860354	6704068.500
07/25/2012	7.67	7.69	7.54	7.56	821628	6389847.500
07/26/2012	7.56	7.62	7.44	7.47	913400	7026485.500
07/27/2012	7.49	7.60	7.44	7.48	600250	4602368.500
07/30/2012	7.48	7.56	7.24	7.27	1031382	7792226.000
07/31/2012	7.46	7.46	7.19	7.21	1066110	7964872.500
08/01/2012	7.22	7.37	7.17	7.35	996521	7449307.000
08/02/2012	7.35	7.38	7.20	7.25	869060	6468212.000
08/03/2012	7.25	7.34	7.19	7.33	1002650	7440340.500
08/06/2012	7.33	7.59	7.29	7.54	1620240	12351013.000
08/07/2012	7.55	7.65	7.49	7.64	1206281	9339224.000
08/08/2012	7.65	7.65	7.55	7.59	1481130	11466967.000
08/09/2012	7.56	7.64	7.47	7.63	1240612	9607321.000
08/10/2012	7.60	7.63	7.44	7.55	1358645	10454741.000
08/13/2012	7.55	7.55	7.36	7.36	1017541	7763324.000
08/14/2012	7.62	7.79	7.46	7.61	2487517	19347632.000
08/15/2012	7.57	7.67	7.38	7.40	1549320	11934585.000
08/16/2012	7.41	7.47	7.24	7.30	1147142	8595260.000
08/17/2012	7.40	7.40	7.26	7.36	689600	5162541.500
08/20/2012	7.28	7.50	7.26	7.44	911024	6856769.500
08/21/2012	7.45	7.56	7.37	7.50	1164735	8924168.000
08/22/2012	7.52	7.61	7.48	7.57	1314868	10143062.000
08/23/2012	7.54	7.58	7.43	7.54	1503323	11530254.000
08/24/2012	7.52	7.70	7.47	7.59	2713890	21099064.000
08/27/2012	7.46	7.81	7.46	7.71	4153513	32601564.000
08/28/2012	7.66	7.79	7.49	7.72	2409128	18885754.000
08/29/2012	7.70	7.92	7.57	7.86	3050132	24245242.000
08/30/2012	7.84	7.93	7.54	7.79	3660886	29079468.000
08/31/2012	7.76	7.82	7.62	7.67	1654486	12997794.000
09/03/2012	7.99	8.32	7.93	7.99	7396544	60843060.000
09/04/2012	7.87	7.97	7.75	7.77	3850276	30833630.000
09/05/2012	7.75	8.14	7.74	8.05	4976704	40566184.000
09/06/2012	8.25	8.27	8.00	8.15	5552691	46087440.000
09/07/2012	8.12	8.41	8.12	8.30	8080072	68237432.000
09/10/2012	8.25	8.37	8.17	8.23	5261181	44288936.000
09/11/2012	8.24	8.31	8.13	8.16	3802190	31821472.000
09/12/2012	8.20	8.27	8.01	8.14	4357509	36007900.000
09/13/2012	8.17	8.17	7.97	7.98	3119996	25652704.000
09/14/2012	8.10	8.14	7.86	8.00	3254227	26689808.000
09/17/2012	8.04	8.04	7.72	7.72	2614497	20934116.000
09/18/2012	7.71	7.88	7.57	7.87	4408707	35099380.000
09/19/2012	7.87	8.14	7.84	8.14	5409114	44400576.000
09/20/2012	8.14	8.22	8.02	8.16	5895663	48884964.000
09/21/2012	8.14	8.72	8.07	8.54	15367002	131990056.000
09/24/2012	8.43	9.04	8.38	8.84	21148969	188541408.000
09/25/2012	8.79	9.24	8.55	8.74	20977479	188782176.000
09/26/2012	8.56	9.14	8.48	8.72	16482916	148342016.000
09/27/2012	8.76	9.01	8.50	8.54	19662348	175376592.000
09/28/2012	8.34	8.78	8.22	8.73	16996438	147525328.000
10/08/2012	8.61	8.84	8.53	8.74	6195169	54603744.000
10/09/2012	8.74	9.31	8.74	9.05	19485154	180096896.000
10/10/2012	9.00	9.34	8.94	9.06	15156705	140234080.000
10/11/2012	9.03	9.11	8.56	8.63	16442221	148482592.000
10/12/2012	8.70	8.93	8.46	8.47	12674293	111440408.000
10/15/2012	8.42	8.55	8.16	8.28	11196497	95161456.000
10/16/2012	8.28	8.31	8.17	8.25	7048402	59184216.000
10/17/2012	8.26	8.31	8.12	8.22	4206561	35168512.000
10/18/2012	8.22	8.40	8.21	8.38	5553982	47095376.000
10/19/2012	8.37	8.43	8.27	8.28	4203926	35782844.000
10/22/2012	8.22	8.22	8.00	8.17	4785538	39607556.000
10/23/2012	8.16	8.25	8.10	8.20	2907721	24245824.000
10/24/2012	8.16	8.26	8.09	8.10	3183927	26504098.000
10/25/2012	8.14	8.15	7.88	7.89	3926452	32133966.000
10/26/2012	7.85	7.94	7.59	7.64	3638634	28641726.000
10/29/2012	7.65	7.79	7.65	7.79	2523568	19925782.000
10/30/2012	7.80	7.86	7.69	7.70	1924116	15218363.000
10/31/2012	7.71	7.72	7.54	7.60	2254345	17564440.000
11/01/2012	7.61	7.78	7.61	7.76	2518991	19839650.000
11/02/2012	7.75	7.78	7.70	7.76	2564591	20289778.000
11/05/2012	7.75	7.89	7.72	7.85	2825350	22586510.000
11/06/2012	7.84	7.84	7.66	7.73	2234405	17619500.000
11/07/2012	7.73	7.81	7.69	7.71	1356480	10719734.000
11/08/2012	7.64	7.71	7.39	7.42	2418850	18710838.000
11/09/2012	7.42	7.45	7.36	7.42	1459683	11047271.000
11/12/2012	7.42	7.61	7.42	7.61	1621002	12442921.000
11/13/2012	7.62	7.62	7.42	7.44	1124060	8605108.000
11/14/2012	7.39	7.83	7.34	7.67	2114709	16294313.000
11/15/2012	7.54	7.67	7.45	7.48	1271791	9821969.000
11/16/2012	7.42	7.48	7.35	7.47	946210	7169096.500
11/19/2012	7.49	7.54	7.41	7.52	798847	6097277.500
11/20/2012	7.57	7.62	7.47	7.49	876347	6729714.500
11/21/2012	7.52	7.58	7.33	7.54	1430410	10899906.000
11/22/2012	7.50	7.54	7.34	7.35	1110123	8429499.000
11/23/2012	7.34	7.42	7.26	7.28	1188274	8909484.000
11/26/2012	7.28	7.38	7.25	7.28	943186	7041217.500
11/27/2012	7.25	7.28	6.85	6.91	2407892	17313772.000
11/28/2012	6.84	6.93	6.54	6.54	2971929	20157558.000
11/29/2012	6.54	6.64	6.42	6.43	2126851	14233825.000
11/30/2012	6.44	6.57	6.42	6.48	2058907	13687106.000
12/03/2012	6.42	6.50	6.02	6.02	1791496	11515653.000
12/04/2012	5.97	6.19	5.76	6.10	3026654	18516380.000
12/05/2012	6.10	6.40	6.09	6.30	2900717	18645232.000
12/06/2012	6.29	6.33	6.18	6.23	1606402	10275571.000
12/07/2012	6.31	6.42	6.20	6.36	2509286	16276162.000
12/10/2012	6.49	6.68	6.44	6.60	3577508	24037222.000
12/11/2012	6.57	6.69	6.50	6.68	3523695	23773344.000
12/12/2012	6.66	6.78	6.52	6.76	3570518	24317324.000
12/13/2012	6.89	6.89	6.45	6.47	4297497	29267846.000
12/14/2012	6.40	6.79	6.40	6.73	4587386	31285680.000
12/17/2012	6.73	6.86	6.65	6.84	3626350	25090912.000
12/18/2012	6.78	6.87	6.65	6.67	2953100	20437682.000
12/19/2012	6.68	6.73	6.62	6.69	2734830	18688810.000
12/20/2012	6.69	6.72	6.60	6.67	2185030	14877278.000
12/21/2012	6.68	6.82	6.66	6.71	2987195	20647570.000
12/24/2012	6.72	7.19	6.66	7.03	5447626	38543600.000
12/25/2012	7.11	7.29	7.03	7.16	6665259	48596572.000
12/26/2012	7.13	7.21	7.01	7.18	3829231	27845450.000
12/27/2012	7.19	7.29	7.12	7.18	4558387	33605520.000
12/28/2012	7.12	7.19	7.06	7.17	2998337	21872180.000
12/31/2012	7.17	7.89	7.12	7.54	9524162	72816392.000
01/04/2013	7.52	7.58	7.31	7.37	4853252	36711796.000
01/07/2013	7.34	7.38	7.24	7.35	3322486	24829960.000
01/08/2013	7.37	7.46	7.27	7.41	3378671	25407082.000
01/09/2013	7.37	7.49	7.29	7.41	4490214	33979652.000
01/10/2013	7.43	7.53	7.38	7.52	4845127	36879348.000
01/11/2013	7.52	7.58	7.15	7.20	5098227	38246488.000
01/14/2013	7.19	7.50	7.15	7.46	4178687	31457772.000
01/15/2013	7.47	7.73	7.47	7.62	5111706	39760844.000
01/16/2013	7.68	7.71	7.45	7.64	4448755	34444652.000
01/17/2013	7.68	7.68	7.46	7.48	3330700	25735022.000
01/18/2013	7.64	7.67	7.49	7.61	3692658	28663952.000
01/21/2013	7.62	7.77	7.55	7.75	3875894	30421414.000
01/22/2013	7.80	7.81	7.44	7.53	4395225	34090776.000
01/23/2013	7.50	7.53	7.30	7.44	3387410	25653800.000
01/24/2013	7.43	7.56	7.11	7.18	3803346	28554292.000
01/25/2013	7.18	7.22	7.12	7.18	1931565	14166184.000
01/28/2013	7.15	7.38	7.15	7.37	1930521	14411586.000
01/29/2013	7.38	7.44	7.31	7.40	2526700	19048550.000
01/30/2013	7.40	7.45	7.26	7.38	2501058	18801336.000
01/31/2013	7.37	7.39	7.30	7.38	2096020	15720799.000
02/01/2013	7.35	7.71	7.34	7.63	6363131	49185860.000
02/04/2013	7.61	7.97	7.52	7.88	8969653	70849264.000
02/05/2013	7.88	7.88	7.68	7.80	5484870	43575164.000
02/06/2013	7.74	7.90	7.74	7.78	3256789	25998612.000
02/07/2013	7.83	7.88	7.60	7.65	3720845	29170116.000
02/08/2013	7.65	7.74	7.59	7.74	3815645	29934792.000
02/18/2013	7.82	7.83	7.64	7.76	3512688	27841858.000
02/19/2013	7.76	7.80	7.53	7.55	4309573	33612856.000
02/20/2013	7.57	7.73	7.52	7.73	3318283	25817472.000
02/21/2013	7.70	7.80	7.57	7.66	4834759	37944144.000
02/22/2013	7.66	8.12	7.66	7.76	10785046	87023440.000
02/25/2013	7.71	7.93	7.62	7.93	6540267	51928868.000
02/26/2013	8.22	8.74	8.22	8.74	29214675	258089728.000
02/27/2013	8.54	9.18	8.50	8.83	39160144	350847872.000
02/28/2013	8.59	9.04	8.53	8.82	21135258	188506032.000
03/01/2013	8.69	9.26	8.66	9.09	22120832	201795696.000
03/04/2013	8.90	8.98	8.51	8.72	15527962	138183120.000
03/05/2013	8.70	8.79	8.56	8.77	10562494	93619944.000
03/06/2013	8.71	9.03	8.71	8.96	13498151	122540064.000
03/07/2013	8.96	9.23	8.68	8.72	11826097	107910008.000
03/08/2013	8.74	8.82	8.34	8.37	9217508	79873616.000
03/11/2013	8.37	8.54	8.25	8.46	4493631	38516036.000
03/12/2013	8.49	8.57	8.05	8.15	6280882	53000712.000
03/13/2013	8.13	8.34	7.94	8.30	5249766	43592040.000
03/14/2013	8.27	8.36	8.14	8.17	3289353	27616198.000
03/15/2013	8.10	8.46	8.08	8.18	4992225	42231388.000
03/18/2013	8.12	8.32	8.12	8.17	3537560	29595878.000
03/19/2013	8.14	8.31	8.04	8.30	4459996	37334752.000
03/20/2013	8.32	8.52	8.24	8.52	6602738	56600884.000
03/21/2013	8.52	8.60	8.45	8.54	6313772	54821328.000
03/22/2013	8.52	8.57	8.43	8.46	4188274	36209120.000
03/25/2013	8.44	8.54	8.29	8.30	3786575	32240536.000
03/26/2013	8.25	8.30	7.95	8.06	4684914	38510108.000
03/27/2013	8.10	8.12	8.01	8.10	3992591	32887802.000
03/28/2013	8.09	8.27	7.90	8.24	6941762	57424996.000
03/29/2013	8.14	8.29	8.09	8.21	5753717	47993540.000
04/01/2013	8.19	8.19	8.01	8.09	3239950	26679036.000
04/02/2013	8.09	8.18	7.94	7.96	2572440	21095570.000
04/03/2013	7.96	8.02	7.60	7.63	4004290	31531186.000
04/08/2013	7.54	7.54	7.23	7.46	3495070	26288856.000
04/09/2013	7.50	7.65	7.47	7.61	2731504	21133132.000
04/10/2013	7.55	7.59	7.45	7.54	1987524	15266912.000
04/11/2013	7.56	7.70	7.54	7.56	2207031	17174364.000
04/12/2013	7.52	7.99	7.40	7.81	5337693	41939768.000
04/15/2013	7.72	7.91	7.62	7.82	4719529	37601768.000
04/16/2013	7.77	7.93	7.59	7.85	4720056	37501776.000
04/17/2013	7.79	7.94	7.76	7.89	3476629	27888874.000
04/18/2013	7.87	7.88	7.69	7.72	2805631	22232682.000
04/19/2013	7.68	7.94	7.68	7.91	4254053	34126296.000
04/22/2013	7.91	8.03	7.87	8.01	3647690	29634786.000
04/23/2013	8.02	8.05	7.79	7.81	3535988	28421270.000
04/24/2013	7.82	8.01	7.66	7.94	4696364	37712820.000
04/25/2013	7.89	8.13	7.81	7.95	5143010	41922764.000
04/26/2013	7.98	8.11	7.87	7.89	4466525	36363012.000
05/02/2013	7.86	7.86	7.64	7.69	2951977	23258064.000
05/03/2013	7.70	7.99	7.70	7.89	3146068	25325406.000
05/06/2013	7.95	8.23	7.90	8.20	5451843	44934024.000
05/07/2013	8.14	8.28	8.10	8.21	4357291	36233844.000
05/08/2013	8.23	8.48	8.21	8.35	7456668	63300988.000
05/09/2013	8.33	8.81	8.29	8.69	11996289	104284864.000
05/10/2013	8.59	8.76	8.46	8.66	9099673	79419104.000
05/13/2013	8.65	8.66	8.43	8.47	6625843	57325660.000
05/14/2013	8.49	8.71	8.47	8.51	4883847	42366816.000
05/15/2013	8.46	8.75	8.40	8.68	5253209	45944560.000
05/16/2013	8.68	8.76	8.59	8.68	5851697	51471644.000
05/17/2013	8.68	8.90	8.65	8.82	6712817	59778964.000
05/20/2013	8.81	9.06	8.80	9.04	9134776	82913744.000
05/21/2013	9.03	9.34	8.99	9.07	10780686	100372928.000
05/22/2013	9.27	9.46	9.09	9.13	18702255	175804240.000
05/23/2013	9.09	9.98	9.05	9.68	18694414	180822416.000
05/24/2013	9.58	9.92	9.49	9.87	12624143	123973200.000
05/27/2013	9.86	9.91	9.65	9.88	9359528	92493480.000
05/28/2013	9.79	9.83	9.42	9.56	9278887	90298232.000
05/29/2013	9.58	10.18	9.47	10.08	11671784	115961128.000
05/30/2013	10.06	10.48	9.96	10.23	13145528	135944656.000
05/31/2013	10.59	11.03	10.01	10.04	15728055	166713296.000
06/03/2013	9.83	9.86	9.39	9.50	13989825	135926464.000
06/04/2013	9.41	9.71	9.35	9.48	8265756	79741416.000
06/05/2013	9.47	9.61	9.33	9.56	5605835	53774808.000
06/06/2013	9.49	9.76	9.37	9.38	6200325	60139704.000
06/07/2013	9.37	9.55	8.93	9.12	8246795	76823800.000
06/13/2013	9.08	9.08	8.54	8.82	4889016	43544176.000
06/14/2013	8.79	9.07	8.77	9.00	4084422	36961764.000
06/17/2013	9.03	9.31	8.92	9.18	4951116	45872356.000
06/18/2013	9.18	9.29	8.95	9.14	3449829	31908116.000
06/19/2013	9.09	9.09	8.79	9.00	3391950	30679840.000
06/20/2013	8.94	9.03	8.40	8.53	4706474	41820856.000
06/21/2013	8.29	8.82	8.19	8.61	3991897	34366728.000
06/24/2013	8.49	8.70	7.99	8.09	4330706	36557680.000
06/25/2013	7.97	8.47	7.49	8.38	6849812	55717308.000
06/26/2013	8.34	8.65	8.21	8.65	5934903	51095016.000
06/27/2013	8.62	8.83	8.39	8.50	5971374	52166768.000
06/28/2013	8.46	9.08	8.38	8.91	7179037	64327756.000
07/01/2013	8.91	9.39	8.80	9.37	8596904	80057376.000
07/02/2013	9.37	9.56	9.28	9.42	8849849	84313528.000
07/03/2013	9.43	9.58	9.13	9.47	7563082	71585616.000
07/04/2013	9.38	9.58	9.20	9.28	6399522	60731976.000
07/05/2013	9.27	9.38	8.98	9.00	5757021	53429584.000
07/08/2013	8.87	8.87	8.38	8.44	6026772	52276724.000
07/09/2013	8.43	8.65	8.38	8.57	3582043	31030014.000
07/10/2013	8.55	9.00	8.55	9.00	4896994	43698620.000
07/11/2013	9.03	9.36	9.03	9.28	7127775	66822176.000
07/12/2013	9.26	9.63	9.21	9.28	9033309	86156920.000
07/15/2013	9.49	10.10	9.47	9.94	14240318	141393920.000
07/16/2013	9.88	10.04	9.78	9.96	8324868	83358072.000
07/17/2013	9.94	10.33	9.83	9.97	11070278	112826672.000
07/18/2013	9.90	10.37	9.72	10.20	13248703	136152688.000
07/19/2013	10.27	10.81	9.71	9.73	20550209	213924800.000
07/22/2013	9.38	10.61	9.24	10.54	15020939	153664512.000
07/23/2013	10.47	10.83	10.29	10.80	16389225	175560992.000
07/24/2013	10.72	10.96	10.56	10.85	13585371	148291408.000
07/25/2013	10.78	10.88	10.11	10.27	12475435	131485256.000
07/26/2013	10.18	10.53	9.96	10.28	7647465	79184400.000
07/29/2013	10.20	10.39	9.91	9.95	5918343	60576212.000
07/30/2013	9.92	10.57	9.73	10.57	9783978	100659552.000
07/31/2013	10.55	10.77	10.32	10.37	9293645	99071968.000
08/01/2013	10.37	10.94	10.37	10.93	12916191	140047392.000
