002016 世荣兆业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.63	3.83	3.63	3.65	3071965	17257240.000
01/05/2012	3.60	3.65	3.46	3.52	1408124	7642373.000
01/06/2012	3.50	3.50	3.38	3.48	594889	3094756.500
01/09/2012	3.49	3.66	3.45	3.66	836913	4533105.000
01/10/2012	3.66	3.81	3.66	3.78	1425402	8061096.000
01/11/2012	3.78	3.82	3.71	3.77	1090736	6177788.500
01/12/2012	3.73	3.88	3.73	3.81	969069	5575534.500
01/13/2012	3.75	3.81	3.58	3.61	1457700	8127517.000
01/16/2012	3.57	3.63	3.46	3.46	539267	2895900.000
01/17/2012	3.50	3.71	3.43	3.71	839328	4574695.500
01/18/2012	3.71	3.76	3.51	3.54	1077369	5952131.500
01/19/2012	3.51	3.65	3.50	3.61	918452	4965681.000
01/20/2012	3.61	3.66	3.58	3.61	949702	5194977.000
01/30/2012	3.65	3.65	3.60	3.61	441875	2412389.750
01/31/2012	3.62	3.62	3.56	3.59	232835	1260128.125
02/01/2012	3.57	3.63	3.53	3.55	298296	1620097.750
02/02/2012	3.59	3.61	3.53	3.60	598915	3235013.000
02/03/2012	3.61	3.94	3.59	3.93	2904104	16645419.000
02/06/2012	3.93	3.98	3.83	3.98	3282845	19313834.000
02/07/2012	3.95	4.08	3.88	4.07	3338865	20037298.000
02/08/2012	4.09	4.31	3.98	4.28	3813108	23827480.000
02/09/2012	4.27	4.38	4.21	4.28	3858817	24643652.000
02/10/2012	4.28	4.51	4.28	4.42	4906715	32211568.000
02/13/2012	4.36	4.47	4.18	4.38	5058511	32951626.000
02/14/2012	4.36	4.44	4.32	4.41	4100342	26777980.000
02/15/2012	4.41	4.46	4.33	4.41	3077557	20217788.000
02/16/2012	4.41	4.47	4.28	4.35	2450858	15971671.000
02/17/2012	4.35	4.41	4.16	4.25	2218507	14142812.000
02/20/2012	4.33	4.38	4.16	4.18	3343191	21263106.000
02/21/2012	4.18	4.31	4.16	4.31	2754184	17438020.000
02/22/2012	4.41	4.55	4.36	4.43	5151732	34130212.000
02/23/2012	4.45	4.47	4.36	4.41	2394450	15767872.000
02/24/2012	4.42	4.66	4.36	4.55	5582217	37544552.000
02/27/2012	4.66	4.83	4.53	4.53	5064847	35282044.000
02/28/2012	4.50	4.98	4.43	4.78	7061393	49879876.000
02/29/2012	4.71	4.92	4.57	4.75	5349265	37719508.000
03/01/2012	4.71	5.08	4.70	5.00	8269882	60417752.000
03/02/2012	4.92	5.33	4.92	5.27	7940693	60525300.000
03/05/2012	5.27	5.34	5.16	5.21	4274316	33032506.000
03/06/2012	5.09	5.48	5.09	5.33	5479209	43222968.000
03/07/2012	5.21	5.41	5.21	5.36	3354685	26431908.000
03/08/2012	5.33	5.48	5.25	5.31	2575982	20318866.000
03/09/2012	5.25	5.48	5.23	5.39	2586076	20564084.000
03/12/2012	5.42	5.47	5.36	5.41	2849227	22728144.000
03/13/2012	5.39	5.43	5.23	5.38	3364449	26383168.000
03/14/2012	5.31	5.69	5.18	5.19	7571363	60955300.000
03/15/2012	5.26	5.32	4.83	5.11	6516214	49257968.000
03/16/2012	5.03	5.20	4.97	5.13	4214136	31608894.000
03/19/2012	5.13	5.66	5.06	5.55	7291779	58626248.000
03/20/2012	5.50	5.92	5.46	5.61	9084716	76082872.000
03/21/2012	5.71	5.93	5.57	5.66	12130595	102667512.000
03/22/2012	5.71	5.92	5.53	5.81	7167501	60990232.000
03/23/2012	5.81	5.92	5.54	5.73	8577695	71622696.000
03/26/2012	5.71	5.86	5.63	5.81	4792754	40670144.000
03/27/2012	5.86	5.92	5.63	5.63	5927020	49921188.000
03/28/2012	5.57	5.61	5.18	5.35	8596740	68003800.000
03/29/2012	5.21	5.41	5.13	5.31	4947512	38668040.000
03/30/2012	5.21	5.31	4.76	4.76	8459799	61160800.000
04/05/2012	4.66	5.11	4.57	5.06	5418254	39702756.000
04/06/2012	5.03	5.21	4.93	5.21	3747502	28128628.000
04/09/2012	5.17	5.24	5.03	5.04	2325390	17618012.000
04/10/2012	5.00	5.13	4.71	5.06	4236461	30893360.000
04/11/2012	4.99	5.23	4.86	5.15	4988272	37830668.000
04/12/2012	5.15	5.26	5.06	5.19	4009893	30488982.000
04/13/2012	5.14	5.33	5.13	5.20	3963713	30620682.000
04/16/2012	5.17	5.23	4.98	5.23	3136406	23791094.000
04/17/2012	5.28	5.56	5.07	5.13	3895657	30256206.000
04/18/2012	5.14	5.21	4.96	5.11	4067590	30583562.000
04/19/2012	5.11	5.16	5.04	5.08	2306595	17409430.000
04/20/2012	5.07	5.12	4.96	5.01	3323468	24696992.000
04/23/2012	5.01	5.06	4.73	4.79	3496944	25248696.000
04/24/2012	4.73	4.92	4.72	4.89	2473337	17657058.000
04/25/2012	4.90	5.41	4.78	5.41	6929915	53537412.000
04/26/2012	5.98	5.98	5.50	5.68	26591020	227411200.000
05/02/2012	5.43	5.43	5.08	5.09	14850666	112883848.000
05/03/2012	5.00	5.19	4.95	5.03	6162189	45997016.000
05/04/2012	5.02	5.05	4.91	5.00	5189903	38253520.000
05/07/2012	4.93	4.96	4.90	4.94	3500123	25561126.000
05/08/2012	4.93	5.05	4.93	5.03	4116589	30516720.000
05/09/2012	4.98	5.13	4.89	4.99	3803256	28094184.000
05/10/2012	4.93	5.06	4.89	4.91	2500678	18383082.000
05/11/2012	4.88	4.98	4.86	4.86	1853164	13445867.000
05/14/2012	4.93	4.99	4.87	4.99	3494055	25575134.000
05/15/2012	4.98	5.00	4.83	5.00	2505459	18264276.000
05/16/2012	5.06	5.06	4.86	4.87	2407002	17536650.000
05/17/2012	4.81	4.94	4.81	4.92	2099414	15211691.000
05/18/2012	4.88	4.93	4.81	4.84	1424552	10268228.000
05/21/2012	4.84	4.87	4.73	4.74	1528757	10827363.000
05/22/2012	4.75	4.85	4.75	4.79	1153283	8213685.000
05/23/2012	4.79	4.94	4.77	4.85	1870734	13496999.000
05/24/2012	4.85	4.94	4.81	4.83	1736133	12560323.000
05/25/2012	4.86	4.93	4.78	4.93	2275272	16471593.000
05/28/2012	4.90	4.93	4.76	4.92	1558388	11207989.000
05/29/2012	4.92	5.03	4.88	5.01	3449622	25446650.000
