002020 京新药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.00	4.00	3.84	3.84	181001	3050157.750
01/05/2012	3.71	3.86	3.59	3.60	166791	2659702.500
01/06/2012	3.54	3.61	3.21	3.34	1090259	15655078.000
01/09/2012	3.25	3.40	3.22	3.38	2363254	33711868.000
01/10/2012	3.30	3.50	3.29	3.49	3597768	53304204.000
01/11/2012	3.46	3.49	3.40	3.40	1777465	26449756.000
01/12/2012	3.41	3.45	3.27	3.28	1886206	27438300.000
01/13/2012	3.29	3.31	2.92	2.93	1690419	22668322.000
01/16/2012	2.87	2.91	2.61	2.71	2341986	28343030.000
01/17/2012	2.66	2.83	2.61	2.82	3310031	39883680.000
01/18/2012	2.82	2.82	2.56	2.56	2427614	28915044.000
01/19/2012	2.56	2.66	2.54	2.65	1510948	17585324.000
01/20/2012	2.68	2.75	2.65	2.75	1458735	17501084.000
01/30/2012	2.76	2.80	2.72	2.75	1106044	13528828.000
01/31/2012	2.75	2.76	2.69	2.75	628435	7558447.000
02/01/2012	2.76	2.86	2.76	2.81	1824845	22620154.000
02/02/2012	2.81	2.89	2.79	2.88	1414025	17666438.000
02/03/2012	2.88	2.96	2.84	2.93	1762693	22554674.000
02/06/2012	2.94	3.01	2.92	2.97	2164047	28053002.000
02/07/2012	2.95	2.95	2.85	2.87	1506510	19134698.000
02/08/2012	2.87	2.95	2.84	2.94	1238807	15852642.000
02/09/2012	2.96	3.18	2.95	3.12	3232070	43563360.000
02/10/2012	3.13	3.15	3.06	3.11	2255347	30643696.000
02/13/2012	3.08	3.18	3.03	3.14	1937694	26488054.000
02/14/2012	3.14	3.42	3.13	3.29	2986900	42620248.000
02/15/2012	3.26	3.36	3.23	3.33	2339015	33658104.000
02/16/2012	3.35	3.50	3.34	3.41	2567913	38074312.000
02/17/2012	3.39	3.43	3.29	3.36	1506427	21891604.000
02/20/2012	3.41	3.43	3.34	3.36	1502951	21988300.000
02/21/2012	3.35	3.39	3.25	3.36	1341744	19368406.000
02/22/2012	3.37	3.44	3.34	3.40	1561212	22970166.000
02/23/2012	3.42	3.54	3.41	3.46	2065527	31100496.000
02/24/2012	3.48	3.51	3.41	3.46	1665192	24919014.000
02/27/2012	3.47	3.51	3.43	3.45	1981091	29806700.000
02/28/2012	3.45	3.45	3.28	3.33	2236709	32488176.000
02/29/2012	3.30	3.31	3.18	3.18	2771486	39052176.000
03/01/2012	3.16	3.25	3.15	3.22	1384809	19413392.000
03/02/2012	3.23	3.29	3.23	3.29	1401120	19951306.000
03/05/2012	3.29	3.34	3.26	3.29	1458717	20938056.000
03/06/2012	3.30	3.30	3.22	3.28	1313742	18622506.000
03/07/2012	3.26	3.33	3.21	3.30	1695728	24263244.000
03/08/2012	3.30	3.34	3.29	3.32	1838612	26443746.000
03/12/2012	3.38	3.68	3.37	3.68	8725754	134416144.000
03/13/2012	3.69	3.73	3.59	3.62	4810702	75368680.000
03/14/2012	3.63	3.70	3.32	3.41	5840064	90264456.000
03/15/2012	3.39	3.56	3.29	3.52	4996920	74528392.000
03/16/2012	3.53	3.68	3.49	3.68	4917129	75813208.000
03/19/2012	3.68	3.77	3.64	3.71	4080364	65165200.000
03/20/2012	3.72	3.76	3.57	3.57	2581983	40493984.000
03/21/2012	3.58	3.62	3.44	3.56	1802871	27498702.000
03/22/2012	3.55	3.56	3.47	3.49	1276476	19367326.000
03/23/2012	3.50	3.50	3.30	3.35	1803083	26608098.000
03/26/2012	3.34	3.36	3.29	3.31	925821	13385612.000
03/27/2012	3.35	3.38	3.26	3.28	1075259	15540135.000
03/28/2012	3.28	3.28	2.97	3.02	2222367	30059160.000
03/29/2012	3.02	3.02	2.88	2.90	1132574	14664478.000
03/30/2012	2.90	2.98	2.88	2.92	801363	10283674.000
04/05/2012	2.92	3.07	2.92	3.04	1208638	15941916.000
04/06/2012	3.04	3.13	3.04	3.07	1044981	14082412.000
04/09/2012	3.07	3.08	2.98	2.98	628128	8341450.500
04/10/2012	2.95	3.04	2.84	3.04	868277	11198573.000
04/11/2012	2.98	3.05	2.96	3.01	859798	11318121.000
04/12/2012	3.01	3.18	3.01	3.11	1409658	19087384.000
04/13/2012	3.12	3.20	3.10	3.18	1464725	20143984.000
04/16/2012	3.13	3.35	3.13	3.31	2868110	40990580.000
04/17/2012	3.23	3.33	3.21	3.23	2323199	32948110.000
04/18/2012	3.28	3.31	3.23	3.28	1590275	22602460.000
04/19/2012	3.27	3.31	3.23	3.26	1607720	22763246.000
04/20/2012	3.26	3.26	3.12	3.17	2959329	40944072.000
04/23/2012	3.15	3.16	2.89	2.95	2776889	36633640.000
04/24/2012	2.94	2.99	2.83	2.88	1891400	24060404.000
04/25/2012	2.89	2.94	2.88	2.91	1383691	17639584.000
04/26/2012	2.94	3.00	2.90	2.97	1358361	17591462.000
04/27/2012	2.95	2.99	2.94	2.97	684103	8890599.000
05/02/2012	3.02	3.20	2.97	3.15	2475816	33266444.000
05/03/2012	3.13	3.17	3.08	3.13	1729272	23631896.000
05/04/2012	3.13	3.16	3.09	3.14	1178509	16065760.000
05/07/2012	3.15	3.22	3.14	3.21	2395847	33323258.000
05/09/2012	3.17	3.17	3.07	3.09	1357975	18407372.000
05/10/2012	3.00	3.17	3.00	3.11	1008261	13732796.000
05/11/2012	3.11	3.20	3.09	3.18	2099689	28878114.000
05/14/2012	3.20	3.28	3.15	3.24	2892276	40578416.000
05/15/2012	3.20	3.20	3.07	3.17	1513168	20723872.000
05/16/2012	3.13	3.15	3.08	3.08	701976	9542286.000
05/17/2012	3.09	3.11	3.01	3.09	903192	12127768.000
05/18/2012	3.05	3.07	2.99	2.99	830329	11000023.000
05/21/2012	3.00	3.02	2.95	2.97	583025	7618792.500
05/22/2012	3.01	3.09	2.98	3.06	955070	12737375.000
05/23/2012	3.06	3.07	3.00	3.03	482392	6409568.000
05/24/2012	3.04	3.06	2.99	3.03	439490	5823667.500
05/25/2012	3.02	3.04	2.97	2.98	396951	5226031.500
05/28/2012	3.02	3.09	2.98	3.07	1252809	16718571.000
05/29/2012	3.07	3.12	3.04	3.12	975586	13200543.000
