002022 科华生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.97	9.08	8.44	8.44	9500373	95099664.000
01/05/2012	8.38	8.41	7.94	8.08	7057102	66537624.000
01/06/2012	8.01	8.36	7.95	8.29	5218298	49020652.000
01/09/2012	8.27	8.76	8.10	8.69	6737616	66032984.000
01/10/2012	8.64	9.12	8.59	9.09	7708789	79105224.000
01/11/2012	9.11	9.21	8.97	9.11	5457044	56788664.000
01/12/2012	9.03	9.17	8.97	9.04	4001530	41548240.000
01/13/2012	9.03	9.07	8.45	8.47	5788809	57929168.000
01/16/2012	8.29	8.45	8.00	8.03	3806830	36423820.000
01/17/2012	8.02	8.65	8.02	8.61	4965110	48039668.000
01/18/2012	8.61	8.79	8.39	8.41	4035357	40033240.000
01/19/2012	8.43	8.69	8.35	8.57	3997448	39485480.000
01/20/2012	8.69	8.90	8.59	8.86	5508199	55538352.000
01/30/2012	8.84	9.05	8.74	8.78	4553055	46539144.000
01/31/2012	8.79	8.89	8.62	8.75	2944538	29503060.000
02/01/2012	8.78	8.96	8.64	8.83	4292844	43541240.000
02/02/2012	8.82	8.94	8.77	8.93	3848445	39146276.000
02/03/2012	8.95	9.12	8.87	9.04	7021410	72492008.000
02/06/2012	9.09	9.19	8.98	9.19	5275451	54838364.000
02/07/2012	9.13	9.17	8.84	8.87	4732139	48538436.000
02/08/2012	8.85	9.17	8.78	9.16	5710156	59078896.000
02/09/2012	9.14	9.44	9.07	9.31	9057912	95969288.000
02/10/2012	9.27	9.34	9.19	9.26	5833441	61643536.000
02/13/2012	9.09	9.53	9.06	9.42	8452235	90195120.000
02/14/2012	9.55	9.80	9.41	9.44	9294032	101219024.000
02/15/2012	9.47	9.63	9.39	9.60	8105933	87947656.000
02/16/2012	9.65	9.78	9.50	9.57	6901771	75593296.000
02/17/2012	9.59	9.67	9.45	9.54	5609118	60877964.000
02/20/2012	9.69	9.74	9.38	9.38	14086219	152492064.000
02/21/2012	9.40	9.52	9.19	9.49	6292422	67228376.000
02/22/2012	9.52	9.89	9.52	9.84	13953580	154333040.000
02/23/2012	9.85	9.94	9.71	9.82	8048768	89541256.000
02/24/2012	9.86	10.08	9.79	10.06	9783685	110381960.000
02/27/2012	10.07	10.22	9.95	9.97	12511556	142281248.000
02/28/2012	9.98	10.01	9.71	9.79	9995036	111378952.000
02/29/2012	9.80	10.11	9.69	10.07	11607565	130805592.000
03/01/2012	10.03	10.03	9.85	9.90	6774029	76190512.000
03/02/2012	9.93	10.17	9.89	10.06	10147913	114565840.000
03/05/2012	10.07	10.12	9.97	10.01	6815588	77261648.000
03/06/2012	9.90	9.95	9.73	9.76	6622989	73606720.000
03/07/2012	9.65	9.92	9.60	9.71	6024552	67027784.000
03/08/2012	9.75	10.01	9.73	9.99	7056767	78986912.000
03/09/2012	10.02	10.24	9.99	10.23	10787020	123331080.000
03/12/2012	10.25	10.31	10.12	10.29	8380175	96641672.000
03/13/2012	10.30	10.36	10.19	10.33	6002037	69562792.000
03/14/2012	10.37	10.59	9.69	9.77	14017637	161709856.000
03/15/2012	9.82	9.95	9.59	9.90	8483775	94320048.000
03/16/2012	9.91	10.33	9.83	10.31	9094481	103757840.000
03/19/2012	10.38	10.53	10.27	10.42	8150701	95476904.000
03/20/2012	10.38	10.39	9.92	9.92	7239849	82684696.000
03/21/2012	10.03	10.08	9.57	9.81	7572327	83981416.000
03/22/2012	9.81	9.83	9.63	9.74	3750398	41386968.000
03/23/2012	9.79	9.92	9.50	9.59	6179819	67974856.000
03/26/2012	9.59	9.71	9.51	9.60	3112995	33967772.000
03/27/2012	9.65	9.72	9.52	9.57	4313756	47154676.000
03/28/2012	9.49	9.49	8.93	9.03	6002694	63094828.000
03/29/2012	8.94	9.18	8.83	8.85	8516025	87522168.000
03/30/2012	8.90	8.94	8.73	8.82	3630582	36739916.000
04/05/2012	8.84	9.13	8.82	9.11	3411820	35209548.000
04/06/2012	9.11	9.14	8.97	9.02	4453172	46099572.000
04/09/2012	8.96	8.98	8.82	8.89	3875277	39531420.000
04/10/2012	8.84	9.01	8.67	9.01	4260581	43109824.000
04/11/2012	8.89	9.14	8.84	9.11	4340314	44885096.000
04/12/2012	9.11	9.34	9.07	9.30	5167330	54497340.000
04/16/2012	9.23	9.45	9.19	9.34	4752384	50650620.000
04/17/2012	9.34	9.61	9.32	9.40	6652381	71670416.000
04/18/2012	9.41	9.56	9.32	9.53	5816631	62697088.000
04/19/2012	9.53	9.83	9.52	9.78	8826920	97203856.000
04/20/2012	9.77	9.83	9.61	9.83	6962117	76702256.000
04/23/2012	9.82	9.84	9.63	9.65	5985940	66095040.000
