002028 思源电气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.93	6.94	6.66	6.67	3412450	41581904.000
01/05/2012	6.59	6.59	6.06	6.06	3746753	42415480.000
01/06/2012	6.00	6.13	5.78	5.99	3988993	43093008.000
01/09/2012	5.98	6.16	5.86	6.16	5478236	60075924.000
01/10/2012	6.10	6.57	6.06	6.57	5948290	67996576.000
01/11/2012	6.51	6.61	6.43	6.45	3442969	40462900.000
01/12/2012	6.42	6.56	6.36	6.40	2088953	24330032.000
01/13/2012	6.42	6.45	6.07	6.14	2344676	26432902.000
01/16/2012	6.04	6.08	5.89	5.95	2041694	22179180.000
01/17/2012	5.94	6.34	5.89	6.29	2145855	23808014.000
01/18/2012	6.33	6.51	6.14	6.18	2818366	32237932.000
01/19/2012	6.24	6.38	6.13	6.35	2121176	24043166.000
01/20/2012	6.33	6.57	6.31	6.57	2491071	29125444.000
01/30/2012	6.59	6.60	6.42	6.42	2357740	27618394.000
01/31/2012	6.42	6.47	6.30	6.46	1380831	15965452.000
02/01/2012	6.45	6.49	6.33	6.46	1530117	17754596.000
02/02/2012	6.45	6.54	6.40	6.51	1434457	16768237.000
02/03/2012	6.54	6.68	6.48	6.65	3103642	36907952.000
02/06/2012	6.81	6.81	6.61	6.70	3582645	43078908.000
02/07/2012	6.65	6.65	6.48	6.51	1511023	17842006.000
02/08/2012	6.60	7.15	6.60	6.95	6998571	87415760.000
02/09/2012	6.78	7.06	6.78	6.95	3978399	49890296.000
02/10/2012	6.90	7.06	6.88	6.93	2941209	36875792.000
02/13/2012	6.92	7.14	6.87	7.02	3607341	45641576.000
02/14/2012	7.03	7.11	6.96	7.07	2592281	32825388.000
02/15/2012	7.04	7.15	7.01	7.13	3460758	44201512.000
02/16/2012	7.19	7.19	7.05	7.11	2363750	30142372.000
02/17/2012	7.08	7.20	7.01	7.10	2016240	25723700.000
02/20/2012	7.22	7.24	7.10	7.10	3392897	43632588.000
02/21/2012	7.09	7.13	6.96	7.11	1801002	22814438.000
02/22/2012	7.16	7.40	7.14	7.34	4913783	64100492.000
02/23/2012	7.29	7.55	7.25	7.31	3999917	53111144.000
02/24/2012	7.34	7.93	7.33	7.67	6866182	94723744.000
02/27/2012	7.67	7.99	7.67	7.88	5906737	83297912.000
02/28/2012	7.87	8.05	7.76	7.86	5236716	73913216.000
02/29/2012	7.86	7.90	7.73	7.74	2140248	29763104.000
03/01/2012	7.66	7.81	7.66	7.79	1275760	17658702.000
03/02/2012	7.81	7.89	7.68	7.79	2510290	34908616.000
03/05/2012	7.82	7.88	7.69	7.70	3912335	54414048.000
03/06/2012	7.67	7.87	7.63	7.83	4830717	66855912.000
03/07/2012	7.80	8.38	7.73	8.18	9399903	136350560.000
03/08/2012	8.14	8.33	8.11	8.23	3400048	49611764.000
03/09/2012	8.26	8.35	8.13	8.27	3526656	51759416.000
03/12/2012	8.26	8.36	8.18	8.26	2653448	39007572.000
03/13/2012	8.27	8.58	8.26	8.29	5552291	83015488.000
03/14/2012	8.26	8.36	7.86	7.94	4525720	65579452.000
03/15/2012	7.90	8.07	7.73	7.82	3763873	52990876.000
03/16/2012	7.81	7.93	7.73	7.91	3239070	45231092.000
03/19/2012	7.93	8.28	7.90	8.12	4113184	59508976.000
03/20/2012	8.12	8.12	7.81	7.81	2130761	30182500.000
03/21/2012	7.79	7.90	7.67	7.84	2006431	27866984.000
03/22/2012	7.82	7.95	7.76	7.83	1418321	19889602.000
03/23/2012	7.83	7.92	7.70	7.85	2458427	34323064.000
03/26/2012	7.79	7.98	7.72	7.98	1818998	25498962.000
03/27/2012	8.01	8.12	7.86	7.88	2213506	31580918.000
03/28/2012	7.83	7.83	7.49	7.57	2367190	32409610.000
03/29/2012	7.55	7.58	7.18	7.54	2934258	38934568.000
03/30/2012	7.49	7.61	7.49	7.56	933586	12617375.000
04/05/2012	7.55	7.90	7.52	7.86	2580906	35903932.000
04/06/2012	7.86	7.91	7.73	7.83	1867852	26175520.000
04/09/2012	7.83	7.86	7.71	7.71	904083	12571856.000
04/10/2012	7.67	7.88	7.50	7.82	2203878	30158704.000
04/11/2012	7.76	7.82	7.66	7.73	1094726	15131809.000
04/12/2012	7.69	7.93	7.69	7.93	1813059	25257836.000
04/13/2012	8.02	8.02	7.85	7.90	2105365	29763494.000
04/16/2012	7.88	7.93	7.77	7.87	2352185	33008908.000
04/17/2012	7.87	7.89	7.70	7.77	1241838	17240714.000
04/18/2012	7.77	7.77	7.47	7.73	3218846	43873536.000
04/19/2012	7.73	7.76	7.61	7.64	1747871	23977750.000
04/20/2012	7.60	7.72	7.59	7.68	1311466	17995060.000
04/23/2012	7.54	7.83	7.49	7.73	3839735	52249952.000
04/24/2012	7.79	7.79	7.34	7.49	2654607	35628868.000
04/25/2012	7.48	7.54	7.35	7.54	2098981	27985056.000
04/26/2012	7.54	7.54	7.43	7.44	1619371	21658720.000
04/27/2012	7.47	7.49	7.29	7.36	1641351	21636878.000
05/02/2012	7.49	7.54	7.36	7.49	2639872	35110636.000
05/03/2012	7.48	7.49	7.31	7.37	1989515	26297022.000
05/04/2012	7.36	7.48	7.33	7.45	1994267	26338958.000
05/07/2012	7.45	7.49	7.38	7.43	2323389	30957016.000
05/08/2012	7.42	7.48	7.37	7.42	2379847	31649834.000
05/09/2012	7.40	7.40	7.20	7.23	2529297	32906208.000
05/10/2012	7.23	7.29	7.19	7.24	1002207	13016869.000
05/11/2012	7.24	7.30	7.19	7.19	1196677	15535222.000
05/14/2012	7.20	7.30	7.18	7.20	1416922	18396444.000
05/16/2012	7.09	7.13	6.77	6.79	3613487	45153616.000
05/17/2012	6.80	7.03	6.73	6.87	2515580	31052514.000
05/18/2012	6.82	6.94	6.79	6.92	1231366	15182938.000
05/21/2012	6.89	6.92	6.75	6.79	1051619	12913641.000
05/22/2012	6.86	7.07	6.83	7.02	1547377	19372950.000
05/23/2012	7.01	7.10	6.89	6.96	1099291	13812687.000
05/24/2012	6.96	7.01	6.83	6.87	1257106	15619291.000
05/25/2012	6.88	6.92	6.84	6.89	752057	9310568.000
05/28/2012	6.89	6.89	6.64	6.73	2757598	33329760.000
05/29/2012	6.77	6.96	6.76	6.88	2794571	34396280.000
05/30/2012	6.88	6.95	6.83	6.95	1551306	19121244.000
05/31/2012	6.95	7.01	6.89	6.99	1425297	17706664.000
06/01/2012	6.99	7.02	6.89	6.89	1254849	15561059.000
06/04/2012	6.83	6.83	6.55	6.56	2596253	30992812.000
06/05/2012	6.55	6.68	6.54	6.57	975588	11511549.000
06/06/2012	6.60	6.65	6.39	6.40	1850068	21435932.000
06/07/2012	6.48	6.53	6.36	6.39	1282178	14820756.000
06/08/2012	6.46	6.48	6.33	6.38	836622	9577961.000
06/11/2012	6.39	6.51	6.39	6.49	1721614	19932648.000
06/12/2012	6.47	6.50	6.43	6.45	889228	10304662.000
06/13/2012	6.46	6.59	6.44	6.58	3193882	37081484.000
06/14/2012	6.55	6.61	6.50	6.57	1481361	17353142.000
06/15/2012	6.58	6.58	6.45	6.50	1320077	15407191.000
06/18/2012	6.54	6.57	6.49	6.51	1184225	13845445.000
06/19/2012	6.51	6.55	6.44	6.45	1413083	16394379.000
06/20/2012	6.46	6.54	6.37	6.39	1201928	13859131.000
06/26/2012	6.06	6.32	6.00	6.23	3284958	36883308.000
06/27/2012	6.21	6.27	6.17	6.24	1562505	17424740.000
06/28/2012	6.27	6.30	6.09	6.09	1390080	15437977.000
06/29/2012	6.06	6.17	6.05	6.17	1480034	16252875.000
07/02/2012	6.24	6.24	6.12	6.18	3163232	35100816.000
07/03/2012	6.13	6.24	6.13	6.18	1280154	14231240.000
07/04/2012	6.16	6.27	6.15	6.27	1548378	17315206.000
07/05/2012	6.29	6.29	6.13	6.13	1395094	15467388.000
07/06/2012	6.15	6.26	6.01	6.26	1037960	11460864.000
07/09/2012	6.24	6.33	6.15	6.15	1381019	15464128.000
07/10/2012	6.13	6.19	6.07	6.13	610759	6745013.500
07/11/2012	6.17	6.21	6.08	6.21	968912	10696787.000
07/12/2012	6.21	6.37	6.12	6.27	2584063	28898916.000
07/13/2012	6.33	6.56	6.23	6.52	3622020	41703292.000
07/16/2012	6.52	6.56	6.28	6.31	2151304	24617004.000
07/17/2012	6.29	6.42	6.18	6.40	1315149	14858567.000
07/18/2012	6.40	6.47	6.29	6.46	1154657	13173132.000
07/19/2012	6.62	7.15	6.62	6.99	7908372	97803848.000
07/20/2012	6.94	7.10	6.88	6.89	3110238	38734040.000
07/23/2012	6.84	7.01	6.76	6.98	3919481	48467552.000
07/24/2012	6.95	7.11	6.82	7.06	2939688	36792492.000
07/25/2012	6.93	7.13	6.93	7.01	2500967	31443302.000
07/26/2012	7.02	7.10	6.92	6.97	3902097	48831976.000
07/27/2012	6.99	7.15	6.83	6.84	2770271	34779412.000
07/30/2012	6.80	6.96	6.77	6.86	1493339	18329764.000
07/31/2012	6.88	6.94	6.75	6.87	1319941	16132422.000
08/01/2012	6.81	7.02	6.81	7.01	1878916	23366788.000
08/02/2012	7.02	7.03	6.70	6.73	2972760	36070192.000
08/03/2012	6.73	6.85	6.64	6.85	1938942	23471182.000
08/06/2012	6.82	7.13	6.80	7.13	2761793	34344996.000
08/07/2012	7.11	7.14	6.98	7.11	1515473	19085490.000
08/08/2012	7.13	7.29	7.05	7.20	2619148	33564092.000
08/09/2012	7.20	7.32	7.10	7.30	2494939	32124520.000
08/10/2012	7.28	7.43	7.19	7.33	2103576	27329690.000
08/13/2012	7.31	7.32	6.80	7.13	2757223	35076412.000
08/14/2012	7.08	7.17	6.96	7.13	1042997	13131787.000
08/15/2012	7.08	7.29	7.07	7.07	1551078	19819086.000
08/16/2012	7.05	7.13	6.76	6.79	2219636	27312868.000
08/17/2012	6.79	6.90	6.77	6.83	1561108	19080144.000
08/20/2012	6.77	6.99	6.77	6.98	1879544	23253484.000
08/21/2012	6.95	7.27	6.95	7.24	2512583	32200138.000
08/22/2012	7.26	7.38	7.18	7.28	3143584	40744296.000
08/23/2012	7.21	7.66	7.21	7.61	6228833	82971816.000
08/24/2012	7.57	7.71	7.48	7.49	2726077	36644428.000
08/27/2012	7.49	7.49	7.31	7.36	2158698	28283736.000
08/28/2012	7.20	7.51	7.20	7.45	1894168	24934220.000
08/29/2012	7.38	7.60	7.38	7.49	2152784	28726476.000
08/30/2012	7.49	7.56	7.30	7.49	2024897	26762934.000
08/31/2012	7.43	7.52	7.40	7.51	1330308	17649204.000
09/03/2012	7.48	7.60	7.38	7.40	2010460	26782592.000
09/04/2012	7.43	7.57	7.35	7.37	2076189	27492920.000
09/05/2012	7.34	7.45	7.32	7.38	1809424	23735394.000
09/06/2012	7.37	7.55	7.37	7.55	1478532	19655036.000
09/07/2012	7.55	7.88	7.55	7.78	3615729	49748112.000
09/10/2012	7.80	7.82	7.70	7.78	2798777	38511828.000
09/11/2012	7.76	7.82	7.66	7.80	2059695	28306050.000
09/12/2012	7.83	7.88	7.69	7.79	1661612	22883680.000
09/13/2012	7.75	7.75	7.57	7.57	2024137	27492686.000
09/14/2012	7.67	7.67	7.55	7.56	1160508	15622286.000
09/17/2012	7.58	7.77	7.51	7.52	1833093	24808682.000
09/18/2012	7.43	7.61	7.38	7.43	1031001	13737763.000
09/19/2012	7.46	7.60	7.46	7.59	1008022	13489787.000
09/20/2012	7.65	7.65	7.35	7.35	1628231	21596010.000
09/21/2012	7.35	7.42	7.15	7.17	1567517	20227464.000
09/24/2012	7.17	7.32	7.11	7.26	638001	8247855.000
09/25/2012	7.26	7.35	7.21	7.26	312309	4048620.000
09/26/2012	7.20	7.32	7.15	7.17	701714	8999034.000
09/27/2012	7.16	7.43	7.14	7.37	1247651	16170353.000
09/28/2012	7.42	7.48	7.32	7.46	1386758	18224400.000
10/08/2012	7.46	7.50	7.33	7.38	796381	10522822.000
10/09/2012	7.48	7.58	7.38	7.55	1509171	20179300.000
10/10/2012	7.55	7.73	7.46	7.70	2161058	29176376.000
10/11/2012	7.70	7.70	7.55	7.58	778675	10498038.000
10/12/2012	7.61	7.63	7.45	7.49	1110355	14794932.000
10/15/2012	7.49	7.50	7.33	7.38	653339	8587348.000
10/16/2012	7.38	7.58	7.37	7.40	1014342	13501207.000
10/17/2012	7.38	7.57	7.37	7.53	956732	12669789.000
10/18/2012	7.54	7.60	7.49	7.56	1026187	13771852.000
10/19/2012	7.56	7.63	7.55	7.55	734932	9883308.000
10/22/2012	7.55	7.63	7.49	7.63	1003406	13533083.000
10/23/2012	7.62	7.65	7.35	7.35	1939086	25678020.000
10/24/2012	7.33	7.48	7.32	7.40	1102423	14539508.000
10/25/2012	7.58	7.73	7.50	7.56	4850919	65376116.000
10/26/2012	7.55	7.55	7.08	7.25	1839058	23867456.000
10/29/2012	7.22	7.70	7.22	7.70	4211131	56627896.000
10/30/2012	7.69	7.82	7.62	7.75	2946398	40403616.000
10/31/2012	7.76	7.80	7.62	7.74	1945940	26556504.000
11/01/2012	7.75	8.02	7.71	7.93	4673079	65645012.000
11/02/2012	7.95	7.97	7.85	7.93	1898728	26579576.000
11/05/2012	7.90	7.93	7.79	7.79	1429855	19832234.000
11/06/2012	7.74	7.95	7.73	7.95	1755212	24404010.000
11/07/2012	7.95	7.99	7.81	7.84	1643552	22967060.000
11/08/2012	7.76	7.86	7.57	7.61	2646660	36178620.000
11/09/2012	7.58	7.67	7.49	7.61	2553309	34380420.000
11/12/2012	7.60	7.70	7.57	7.70	1166961	15775326.000
11/13/2012	7.71	7.71	7.48	7.48	1897448	25484016.000
11/14/2012	7.48	7.55	7.43	7.49	605230	8049273.000
11/15/2012	7.49	7.49	7.31	7.36	930226	12190002.000
11/16/2012	7.36	7.38	7.30	7.34	1397347	18222354.000
11/19/2012	7.34	7.43	7.24	7.35	785636	10257219.000
11/20/2012	7.40	7.40	7.08	7.10	2188833	28034726.000
11/21/2012	7.09	7.21	6.95	7.13	1386823	17441558.000
11/22/2012	7.13	7.33	7.02	7.31	2195202	28340224.000
11/23/2012	7.23	7.38	7.23	7.31	819937	10677439.000
11/26/2012	7.38	7.38	7.14	7.23	835152	10761536.000
11/27/2012	7.19	7.22	7.08	7.13	1302479	16588791.000
11/28/2012	7.08	7.18	6.98	7.02	834431	10484515.000
11/29/2012	7.13	7.13	7.04	7.05	779108	9808741.000
11/30/2012	7.05	7.27	7.04	7.26	786836	10031189.000
12/03/2012	7.21	7.24	6.80	6.85	1092532	13630603.000
