002031 巨轮智能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	1.45	1.46	1.38	1.38	1272450	7450225.500
01/05/2012	1.37	1.37	1.28	1.29	1321987	7284120.500
01/06/2012	1.29	1.30	1.24	1.29	924861	4867734.000
01/09/2012	1.28	1.35	1.27	1.35	1142628	6248015.500
01/10/2012	1.35	1.41	1.34	1.41	1892210	10813927.000
01/11/2012	1.41	1.43	1.38	1.41	1295744	7520388.000
01/12/2012	1.39	1.42	1.38	1.40	870575	5044161.000
01/13/2012	1.39	1.40	1.33	1.33	1072208	6001968.000
01/16/2012	1.33	1.33	1.28	1.28	688171	3689318.500
01/17/2012	1.28	1.37	1.27	1.37	1058860	5830999.500
01/18/2012	1.38	1.38	1.32	1.33	894126	5009127.500
01/19/2012	1.32	1.37	1.32	1.35	1077671	6027731.500
01/20/2012	1.35	1.40	1.35	1.38	935935	5350742.500
01/30/2012	1.38	1.40	1.35	1.36	852951	4824503.500
01/31/2012	1.36	1.38	1.34	1.38	663255	3733991.250
02/01/2012	1.37	1.39	1.36	1.37	594410	3382885.500
02/02/2012	1.37	1.39	1.36	1.39	578559	3293239.250
02/03/2012	1.37	1.42	1.37	1.41	1262704	7330030.000
02/06/2012	1.42	1.44	1.41	1.43	1408505	8258946.000
02/07/2012	1.43	1.43	1.39	1.42	1116498	6500316.000
02/08/2012	1.42	1.45	1.40	1.45	1361241	8048652.000
02/09/2012	1.45	1.47	1.43	1.46	1353013	8104808.500
02/10/2012	1.47	1.47	1.44	1.46	1200828	7207522.500
02/13/2012	1.46	1.48	1.43	1.46	1119656	6721026.500
02/14/2012	1.47	1.47	1.44	1.45	1558799	9308968.000
02/15/2012	1.45	1.48	1.43	1.48	3608221	21643144.000
02/16/2012	1.47	1.52	1.47	1.50	3273890	20049444.000
02/17/2012	1.49	1.50	1.46	1.47	1561926	9494891.000
02/20/2012	1.49	1.51	1.47	1.48	1553022	9508658.000
02/21/2012	1.52	1.58	1.50	1.56	8535794	54147220.000
02/22/2012	1.55	1.61	1.53	1.59	6524679	42341692.000
02/23/2012	1.58	1.60	1.55	1.58	3494082	22546382.000
02/24/2012	1.58	1.60	1.55	1.59	3094165	20007654.000
02/27/2012	1.59	1.65	1.59	1.61	4990305	32931662.000
02/28/2012	1.61	1.61	1.55	1.57	2954306	19109228.000
02/29/2012	1.57	1.58	1.56	1.56	1637528	10535885.000
03/01/2012	1.55	1.57	1.55	1.56	1308952	8397530.000
03/02/2012	1.57	1.60	1.57	1.59	2160107	14089285.000
03/05/2012	1.61	1.65	1.61	1.63	3883558	25992164.000
03/06/2012	1.63	1.64	1.60	1.61	2869981	19026888.000
03/07/2012	1.60	1.63	1.58	1.60	2436413	16091472.000
03/08/2012	1.61	1.71	1.61	1.69	5103635	34773968.000
03/09/2012	1.67	1.77	1.67	1.75	6380030	45253912.000
03/12/2012	1.77	1.78	1.73	1.77	4194291	30145750.000
03/13/2012	1.76	1.83	1.75	1.79	4801930	35236280.000
03/14/2012	1.79	1.80	1.68	1.68	5185117	36874768.000
03/15/2012	1.69	1.76	1.69	1.75	4445393	31505474.000
03/16/2012	1.75	1.79	1.73	1.77	2892407	20811238.000
03/19/2012	1.76	1.79	1.75	1.79	2596686	18765498.000
03/20/2012	1.78	1.78	1.70	1.71	3247328	22963606.000
03/21/2012	1.73	1.74	1.65	1.69	3657046	25174272.000
03/22/2012	1.71	1.71	1.67	1.68	1022221	7021216.000
03/23/2012	1.66	1.70	1.62	1.65	1455126	9891140.000
03/26/2012	1.65	1.67	1.62	1.67	1435216	9665542.000
03/27/2012	1.67	1.71	1.67	1.69	1568655	10822211.000
03/28/2012	1.69	1.74	1.65	1.65	3633420	25096326.000
03/29/2012	1.64	1.68	1.59	1.66	2635283	17623898.000
03/30/2012	1.65	1.73	1.65	1.69	3593408	25027564.000
04/05/2012	1.69	1.77	1.69	1.77	4108044	29302342.000
04/06/2012	1.76	1.78	1.74	1.77	2411455	17339756.000
04/09/2012	1.74	1.84	1.73	1.77	4009441	29235692.000
04/10/2012	1.76	1.82	1.71	1.81	2996897	21628312.000
04/11/2012	1.79	1.83	1.76	1.80	2205420	16230773.000
04/12/2012	1.80	1.84	1.78	1.83	3393796	25180568.000
04/13/2012	1.83	1.91	1.81	1.86	5347172	40884212.000
04/16/2012	1.85	1.89	1.83	1.86	2563271	19393434.000
04/17/2012	1.86	1.86	1.75	1.76	4149877	30232484.000
04/18/2012	1.78	1.82	1.77	1.81	2749282	20166914.000
04/19/2012	1.82	1.85	1.78	1.80	1640020	12135969.000
04/20/2012	1.81	1.81	1.76	1.80	1608628	11743343.000
04/23/2012	1.80	1.88	1.77	1.84	3131937	23296648.000
04/24/2012	1.83	1.87	1.72	1.77	4001712	29295954.000
04/25/2012	1.78	1.80	1.75	1.78	1907746	13895422.000
04/26/2012	1.78	1.78	1.70	1.70	4902447	34607168.000
04/27/2012	1.71	1.73	1.68	1.71	1735022	12064036.000
05/02/2012	1.73	1.77	1.71	1.75	1849279	13172656.000
05/03/2012	1.75	1.76	1.74	1.74	1774437	12640535.000
05/04/2012	1.74	1.75	1.71	1.71	3304206	23187670.000
05/07/2012	1.70	1.73	1.69	1.72	1353614	9489257.000
05/08/2012	1.73	1.78	1.73	1.78	3127067	22447974.000
05/09/2012	1.78	1.78	1.73	1.74	2217955	15804047.000
05/10/2012	1.74	1.76	1.73	1.75	1946291	13883457.000
05/11/2012	1.74	1.75	1.73	1.73	920575	6546225.500
05/14/2012	1.75	1.76	1.71	1.71	1309036	9249815.000
05/15/2012	1.71	1.71	1.64	1.66	2985586	20357994.000
05/16/2012	1.66	1.67	1.60	1.61	2411729	16044332.000
05/18/2012	1.62	1.65	1.60	1.61	1958919	13039023.000
05/21/2012	1.59	1.64	1.59	1.64	1283389	8524640.000
05/22/2012	1.64	1.66	1.64	1.64	1262431	8502487.000
05/23/2012	1.64	1.64	1.59	1.59	1678332	11063383.000
05/24/2012	1.60	1.62	1.58	1.59	990405	6495515.000
05/25/2012	1.59	1.60	1.56	1.57	860911	5586258.000
05/28/2012	1.56	1.63	1.56	1.63	1034216	6751173.000
