002046 轴研科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.18	6.24	6.10	6.10	320855	4471684.000
01/05/2012	6.13	6.15	5.82	5.85	305375	4076293.250
01/06/2012	5.85	5.87	5.64	5.76	646814	8099778.500
01/09/2012	5.79	5.94	5.69	5.94	617636	7956238.000
01/10/2012	5.95	6.15	5.92	6.13	836434	11369121.000
01/11/2012	6.16	6.35	6.13	6.26	1142297	16206526.000
01/12/2012	6.26	6.30	6.16	6.19	692672	9789313.000
01/13/2012	6.22	6.31	6.00	6.00	691966	9490600.000
01/16/2012	5.99	6.08	5.86	5.86	358461	4761441.500
01/17/2012	5.86	6.15	5.86	6.14	696007	9408635.000
01/18/2012	6.15	6.25	6.04	6.07	548809	7602331.500
01/19/2012	6.07	6.22	6.07	6.13	1096565	15217713.000
01/20/2012	6.13	6.19	6.11	6.16	606733	8408420.000
01/30/2012	6.19	6.22	6.13	6.18	527800	7360749.000
01/31/2012	6.17	6.19	6.07	6.11	464589	6394967.000
02/01/2012	6.12	6.18	6.08	6.10	397100	5474447.500
02/02/2012	6.13	6.19	6.10	6.19	488710	6780450.500
02/03/2012	6.19	6.30	6.17	6.30	1099572	15628784.000
02/06/2012	6.31	6.43	6.31	6.36	1222939	17832820.000
02/07/2012	6.32	6.42	6.29	6.40	1037028	15132908.000
02/08/2012	6.39	6.56	6.35	6.54	1154766	17099460.000
02/09/2012	6.53	6.56	6.47	6.48	1355076	20359200.000
02/10/2012	6.49	6.61	6.48	6.53	1104545	16735971.000
02/13/2012	6.60	6.61	6.48	6.60	1053100	16011058.000
02/14/2012	6.59	6.61	6.54	6.56	683888	10392969.000
02/15/2012	6.51	6.62	6.51	6.61	923227	14094906.000
02/16/2012	6.62	6.77	6.60	6.70	1142902	17866332.000
02/17/2012	6.71	6.97	6.70	6.89	1865260	30045144.000
02/20/2012	6.92	7.05	6.84	6.89	1714930	28229544.000
02/21/2012	6.89	6.95	6.78	6.94	1178430	19011166.000
02/22/2012	6.95	7.16	6.91	7.15	2087452	34884448.000
02/23/2012	7.15	7.31	7.07	7.23	1489574	25440048.000
02/24/2012	7.22	7.27	7.12	7.23	1565055	27006810.000
02/27/2012	7.27	7.27	7.16	7.16	1731917	29782586.000
02/28/2012	7.17	7.18	7.01	7.10	1524046	25672158.000
02/29/2012	7.04	7.24	7.00	7.24	2853432	48462784.000
03/01/2012	7.22	7.51	7.21	7.44	3444691	61751532.000
03/02/2012	7.44	7.51	7.44	7.49	2972626	53896536.000
03/13/2012	7.50	7.58	7.31	7.46	1590830	26644678.000
03/14/2012	7.48	7.54	7.06	7.14	2090917	34798504.000
03/15/2012	7.13	7.23	7.02	7.17	1269571	20322058.000
03/16/2012	7.28	7.33	7.15	7.31	1040332	16882218.000
03/19/2012	7.34	7.51	7.29	7.46	1259015	20978968.000
03/20/2012	7.43	7.43	7.18	7.19	1585418	25783488.000
03/21/2012	7.19	7.26	6.94	7.18	1563378	24863362.000
03/22/2012	7.12	7.12	6.87	6.90	2023306	31413566.000
03/23/2012	6.86	6.94	6.62	6.67	1985060	29862158.000
03/26/2012	6.70	6.74	6.52	6.69	924648	13641649.000
03/27/2012	6.72	6.80	6.62	6.74	1056451	15820018.000
03/28/2012	6.72	6.72	6.46	6.62	874622	12758748.000
03/29/2012	6.51	6.63	6.35	6.51	1232812	17751628.000
03/30/2012	6.51	6.63	6.50	6.55	877577	12733746.000
04/05/2012	6.67	6.84	6.60	6.76	1802277	27142854.000
04/06/2012	6.76	6.84	6.68	6.82	1292312	19533230.000
04/09/2012	6.80	6.80	6.63	6.63	1043758	15569818.000
04/10/2012	6.56	6.74	6.50	6.70	894688	13116440.000
04/11/2012	6.69	6.73	6.54	6.67	906161	13379791.000
04/12/2012	6.67	6.82	6.66	6.80	1441529	21680992.000
04/13/2012	6.82	6.90	6.76	6.86	1770570	26997158.000
04/16/2012	6.83	6.96	6.79	6.90	1266342	19448052.000
04/17/2012	6.89	7.00	6.74	6.81	1638169	25041354.000
04/18/2012	6.82	7.35	6.77	7.17	4259181	67488960.000
04/19/2012	7.13	7.24	7.08	7.18	2060353	32999064.000
04/20/2012	7.43	7.51	7.32	7.36	5330830	88875656.000
04/23/2012	7.27	7.61	7.24	7.43	3700579	62225780.000
04/24/2012	7.39	7.55	7.04	7.30	3317091	54180700.000
04/25/2012	7.23	7.45	7.15	7.38	2667132	43698916.000
04/26/2012	7.35	7.42	7.21	7.23	1712435	28155562.000
04/27/2012	7.25	7.28	7.15	7.24	1282399	20729004.000
05/02/2012	7.34	7.40	7.26	7.36	1834503	30161128.000
05/03/2012	7.36	7.45	7.29	7.33	1558737	25788520.000
05/04/2012	7.35	7.39	7.28	7.39	1828550	30131198.000
05/07/2012	7.39	7.67	7.35	7.66	3312394	56235468.000
05/08/2012	7.67	7.74	7.54	7.61	2273888	39034260.000
05/09/2012	7.54	7.67	7.51	7.56	1939341	33114660.000
05/10/2012	7.51	7.61	7.50	7.58	1713461	29086688.000
05/11/2012	7.57	7.61	7.42	7.45	1459640	24645382.000
05/14/2012	7.50	7.52	7.39	7.39	1221343	20480996.000
05/15/2012	7.31	7.43	7.26	7.43	1335501	21910636.000
05/17/2012	7.32	7.50	7.30	7.48	1449119	24181588.000
05/18/2012	7.42	7.46	7.33	7.33	919702	15280754.000
05/21/2012	7.44	7.57	7.39	7.43	1488138	25084892.000
05/22/2012	7.39	7.57	7.37	7.52	1415967	23813418.000
05/23/2012	7.59	7.75	7.55	7.65	3357936	57943828.000
05/24/2012	7.68	7.79	7.54	7.56	2228367	38489020.000
05/25/2012	7.50	7.80	7.46	7.76	3672546	63590208.000
05/28/2012	7.79	7.80	7.55	7.76	3508652	61026596.000
05/29/2012	7.76	7.98	7.68	7.94	4100450	73071072.000
05/30/2012	7.92	7.97	7.84	7.91	2133805	38114636.000
05/31/2012	7.84	8.01	7.80	7.92	2133619	38229180.000
06/01/2012	7.92	7.95	7.77	7.77	1877751	33294644.000
06/04/2012	7.65	7.82	7.56	7.57	1980533	34285024.000
06/05/2012	7.56	7.76	7.53	7.75	1782292	30695706.000
06/06/2012	7.71	7.77	7.67	7.70	1031480	17961144.000
06/08/2012	7.76	7.76	7.48	7.48	1497508	25576658.000
06/11/2012	7.47	7.60	7.35	7.55	1154386	19407812.000
06/12/2012	7.53	7.62	7.48	7.57	724557	12334229.000
06/13/2012	7.63	7.65	7.49	7.65	965522	16518243.000
06/14/2012	7.59	7.72	7.54	7.56	860254	14754999.000
06/15/2012	7.57	7.65	7.54	7.63	865557	14809027.000
06/18/2012	7.67	7.80	7.65	7.80	1427769	24911120.000
06/19/2012	7.91	7.91	7.71	7.81	1937939	34198832.000
06/20/2012	7.80	7.87	7.71	7.73	1205538	21124330.000
06/21/2012	7.73	7.78	7.59	7.61	1092363	18794300.000
06/25/2012	7.69	7.73	7.43	7.45	786353	13351752.000
06/26/2012	7.45	7.54	7.35	7.50	912818	15299411.000
06/27/2012	7.58	7.58	7.35	7.35	1557864	12952351.000
06/28/2012	7.28	7.35	6.94	6.96	3008783	23894742.000
06/29/2012	6.93	7.10	6.80	7.10	1712634	13289344.000
07/02/2012	7.11	7.18	6.99	7.07	1656263	12999668.000
07/03/2012	7.09	7.16	7.01	7.03	1376193	10829706.000
07/04/2012	7.03	7.07	6.85	6.91	1712030	13157191.000
07/05/2012	6.93	6.93	6.67	6.69	1557475	11588531.000
07/06/2012	6.73	6.88	6.68	6.85	1627443	12187234.000
07/09/2012	6.78	6.98	6.77	6.82	1844251	14064214.000
07/10/2012	6.82	6.84	6.65	6.77	1169413	8728153.000
07/11/2012	6.75	6.98	6.75	6.98	2181702	16683259.000
07/12/2012	6.97	7.09	6.88	7.07	1625909	12638856.000
07/13/2012	7.06	7.12	6.98	7.02	892719	6981853.500
07/16/2012	7.01	7.02	6.66	6.67	1667802	12552229.000
07/17/2012	6.67	6.77	6.67	6.75	976382	7241797.500
07/18/2012	6.75	6.82	6.68	6.81	883825	6613116.500
07/19/2012	6.75	6.99	6.75	6.87	1458656	11180551.000
07/20/2012	6.86	6.93	6.78	6.81	945724	7202451.500
07/23/2012	6.81	6.84	6.71	6.80	719300	5376366.500
07/24/2012	6.74	6.89	6.71	6.81	661870	4984575.000
07/25/2012	6.78	6.84	6.74	6.75	739290	5547864.500
07/26/2012	6.75	6.87	6.75	6.80	1060580	8018104.500
07/27/2012	6.83	6.86	6.70	6.74	899019	6738644.500
07/30/2012	6.78	7.18	6.71	6.98	5153428	39980168.000
07/31/2012	6.92	7.05	6.76	6.87	2204805	16927984.000
08/01/2012	6.88	7.04	6.76	6.99	1696125	13096148.000
08/02/2012	6.89	7.06	6.87	6.87	1815887	14065788.000
08/03/2012	6.87	6.97	6.83	6.97	1708987	13101705.000
08/06/2012	6.94	7.10	6.87	7.08	2088616	16315936.000
08/07/2012	7.09	7.17	7.06	7.12	1830473	14468089.000
08/08/2012	7.12	7.15	6.94	7.02	1943046	15189762.000
08/09/2012	7.02	7.32	6.97	7.28	3345927	26670726.000
08/10/2012	7.27	7.45	7.16	7.44	4353304	35729212.000
08/13/2012	7.44	7.44	7.23	7.27	3243761	26641262.000
08/14/2012	7.27	7.36	7.10	7.35	2607520	20971594.000
08/15/2012	7.41	7.41	7.13	7.15	1646307	13291170.000
08/16/2012	7.07	7.23	7.07	7.20	1154208	9202121.000
08/17/2012	7.23	7.50	7.11	7.40	2011556	16256665.000
08/20/2012	7.41	7.63	7.28	7.56	5258301	44283004.000
08/21/2012	7.52	7.68	7.45	7.65	4078716	34704560.000
08/22/2012	7.64	7.86	7.54	7.59	5612233	48678272.000
08/23/2012	7.51	7.64	7.51	7.57	2476035	20952066.000
08/24/2012	7.52	7.71	7.45	7.52	2299823	19522076.000
08/27/2012	7.41	7.50	7.31	7.33	1835129	15119426.000
08/28/2012	7.30	7.62	7.30	7.58	2554432	21448526.000
08/29/2012	7.53	7.75	7.51	7.61	2829121	24278358.000
08/30/2012	7.61	7.80	7.37	7.72	2991089	25506452.000
08/31/2012	7.71	7.88	7.62	7.84	5266586	45966660.000
09/03/2012	7.82	8.15	7.75	7.99	8901491	80307056.000
09/04/2012	7.96	8.02	7.72	7.75	3943609	34815840.000
09/05/2012	7.67	7.83	7.63	7.71	2839108	24666732.000
09/06/2012	7.76	8.06	7.76	8.00	5572132	49887532.000
09/07/2012	8.06	8.24	7.93	8.15	7706319	70351544.000
09/10/2012	8.15	8.16	8.00	8.06	5774335	52421972.000
09/11/2012	8.03	8.19	7.97	8.11	5058100	46030312.000
09/12/2012	8.11	8.15	7.94	8.04	3891007	35123044.000
09/13/2012	8.06	8.16	7.88	8.03	5521818	50015144.000
09/14/2012	8.05	8.09	7.80	7.83	5327066	47265512.000
09/17/2012	7.80	7.83	7.43	7.51	4446668	37715192.000
09/18/2012	7.43	7.57	7.37	7.46	1450925	12130232.000
09/19/2012	7.50	7.59	7.44	7.55	1396236	11777245.000
09/20/2012	7.58	7.58	7.09	7.14	2829057	23032256.000
09/21/2012	7.17	7.20	6.97	6.98	2080195	16395626.000
09/24/2012	7.00	7.13	6.82	7.06	1756998	13675017.000
09/25/2012	6.99	7.11	6.97	7.02	1050189	8213638.500
09/26/2012	7.06	7.06	6.86	6.90	1283066	9901103.000
09/27/2012	6.91	7.13	6.87	7.04	1451375	11276219.000
09/28/2012	7.02	7.17	6.98	7.15	1212668	9574312.000
10/08/2012	7.15	7.24	7.08	7.16	886443	7083393.500
10/09/2012	7.24	7.32	7.15	7.31	1491192	12108654.000
10/10/2012	7.31	7.41	7.28	7.37	1621826	13315824.000
10/11/2012	7.41	7.41	7.20	7.20	1727907	14069990.000
10/12/2012	7.26	7.36	7.19	7.24	1457056	11811364.000
10/15/2012	7.21	7.28	7.17	7.24	1111740	8955232.000
10/16/2012	7.25	7.31	7.17	7.21	1026106	8267504.000
10/17/2012	7.21	7.33	7.17	7.19	859708	6916162.000
10/18/2012	7.24	7.29	7.19	7.26	1395916	11289079.000
10/19/2012	7.26	7.29	7.19	7.21	1129939	9106807.000
10/22/2012	7.19	7.28	7.16	7.23	820123	6583534.000
10/23/2012	7.23	7.31	7.20	7.24	1217876	9865130.000
10/24/2012	7.23	7.30	7.17	7.24	929060	7509965.500
10/25/2012	7.20	7.28	7.03	7.03	1386958	11070596.000
10/26/2012	7.03	7.09	6.76	6.77	1510384	11483825.000
10/29/2012	6.77	6.85	6.71	6.74	944462	7084205.500
10/30/2012	6.74	6.80	6.66	6.75	1034234	7696680.000
10/31/2012	6.71	7.02	6.70	6.89	1174455	8929177.000
11/01/2012	6.90	6.99	6.83	6.99	1169941	9005343.000
11/02/2012	6.97	7.02	6.85	6.95	1417365	10870870.000
11/05/2012	6.94	6.97	6.83	6.90	1181630	9009640.000
11/06/2012	6.87	6.97	6.74	6.89	1124350	8492617.000
11/07/2012	6.89	6.92	6.83	6.86	556243	4232277.000
11/08/2012	6.83	6.84	6.66	6.67	928371	6939794.000
11/09/2012	6.67	6.80	6.66	6.77	882993	6585272.500
11/12/2012	6.84	6.84	6.70	6.80	866604	6518182.000
11/13/2012	6.81	6.82	6.64	6.76	1589641	11812482.000
11/14/2012	6.71	7.37	6.71	7.37	4931230	39084448.000
11/15/2012	7.43	7.51	7.15	7.21	8446747	69099720.000
11/16/2012	7.17	7.59	7.10	7.13	5865981	47548024.000
11/19/2012	7.09	7.09	6.83	7.08	6026123	46199084.000
11/20/2012	7.06	7.24	6.98	7.19	5087538	40261196.000
11/21/2012	7.16	7.46	6.97	7.37	7144154	57666424.000
11/22/2012	7.28	7.41	7.23	7.29	3919836	31953406.000
11/23/2012	7.23	7.38	7.23	7.32	5725776	46774104.000
11/26/2012	7.33	7.33	7.18	7.23	2432297	19565132.000
11/27/2012	7.19	7.47	7.03	7.32	6956175	56389836.000
11/28/2012	7.24	7.46	7.09	7.36	8561149	70019088.000
11/29/2012	7.35	7.59	7.32	7.47	9998900	83179568.000
11/30/2012	7.47	7.64	7.26	7.35	6629925	54681888.000
12/03/2012	7.36	7.36	6.89	7.06	5012947	40151488.000
12/04/2012	7.02	7.24	6.96	7.23	3718225	29360882.000
12/05/2012	7.21	7.80	7.15	7.64	13307641	112555256.000
12/06/2012	7.57	7.94	7.48	7.74	13712073	118990296.000
12/07/2012	7.73	8.00	7.64	7.90	13003618	114550912.000
12/10/2012	7.89	8.20	7.76	8.05	14302611	129215888.000
12/11/2012	8.02	8.06	7.87	7.90	8244765	73692928.000
12/12/2012	7.89	8.11	7.74	8.10	12412783	111130144.000
12/13/2012	8.00	8.15	7.77	7.78	7959439	71250800.000
12/14/2012	7.76	8.21	7.76	8.20	14098383	127495384.000
12/17/2012	8.18	8.81	8.10	8.45	17896101	172136832.000
12/18/2012	8.50	8.71	8.28	8.42	14659811	140669072.000
12/19/2012	8.37	8.63	8.27	8.44	11348085	108475320.000
12/20/2012	8.41	8.56	8.33	8.47	8228465	78521528.000
12/21/2012	8.46	8.61	8.33	8.38	9257666	88437584.000
