002071 长城影视 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.20	8.21	7.57	7.59	3524071	28143120.000
01/05/2012	7.40	7.46	7.07	7.14	4484703	32633072.000
01/06/2012	7.15	7.76	6.90	7.58	4840932	35835912.000
01/09/2012	7.43	8.34	7.38	8.34	7573125	60631860.000
01/10/2012	8.26	8.74	8.13	8.58	10674799	90590616.000
01/11/2012	8.52	9.17	8.40	8.97	10145004	88709360.000
01/12/2012	9.05	9.27	8.76	8.94	8854224	79512016.000
01/13/2012	8.90	8.91	8.36	8.61	6884634	59468524.000
01/16/2012	8.39	8.68	8.20	8.32	3503776	29779528.000
01/17/2012	8.37	9.02	8.21	8.94	6715020	58626048.000
01/18/2012	8.85	9.03	8.55	8.66	6991193	61930992.000
01/19/2012	8.65	8.76	8.31	8.44	4046986	34609192.000
01/20/2012	8.46	8.56	8.35	8.43	2835702	24113384.000
01/30/2012	8.40	8.86	8.40	8.66	4151545	36182140.000
01/31/2012	8.56	8.58	8.12	8.35	3408759	28477652.000
02/01/2012	8.35	8.43	8.19	8.21	1904440	15849858.000
02/02/2012	8.23	8.43	8.20	8.41	2201968	18420400.000
02/03/2012	8.44	8.73	8.33	8.67	3726336	31984156.000
02/06/2012	8.74	9.02	8.59	8.90	6040940	53406652.000
02/07/2012	8.83	8.94	8.57	8.62	3434608	29948952.000
02/08/2012	8.62	8.91	8.57	8.88	4148248	36555852.000
02/09/2012	8.88	9.15	8.78	8.81	5458727	49107228.000
02/10/2012	8.84	8.92	8.69	8.87	3467048	30683012.000
02/13/2012	8.80	9.13	8.70	8.93	4629841	41615332.000
02/14/2012	8.97	9.07	8.76	9.07	4678940	41853948.000
02/15/2012	9.07	9.17	8.93	9.14	4976287	45352876.000
02/16/2012	9.07	9.25	8.89	9.06	4743342	43071840.000
02/17/2012	9.14	9.14	8.77	8.81	3585859	32008868.000
02/20/2012	8.90	8.96	8.77	8.94	3910181	34817256.000
02/21/2012	8.90	9.36	8.83	9.27	9402958	86567768.000
02/22/2012	9.18	9.51	9.15	9.42	7518169	70162472.000
02/23/2012	9.37	9.44	9.18	9.25	4948184	46136940.000
02/24/2012	9.30	9.65	9.27	9.41	6873734	65231532.000
02/27/2012	9.42	9.47	9.18	9.22	6767100	63331676.000
02/28/2012	9.18	9.22	8.97	9.09	4020369	36633324.000
02/29/2012	9.01	9.09	8.91	8.93	2735886	24675900.000
03/01/2012	8.93	9.09	8.89	9.02	2012216	18149448.000
03/02/2012	9.02	9.16	9.02	9.12	2810710	25686456.000
03/05/2012	9.17	9.22	8.92	9.03	3958153	36045212.000
03/06/2012	9.04	9.22	8.93	9.21	4397616	40109188.000
03/07/2012	9.15	9.41	9.12	9.24	6260914	58332956.000
03/08/2012	9.23	9.38	9.15	9.28	4446086	41358336.000
03/09/2012	9.28	9.35	9.19	9.33	4061108	37785496.000
03/12/2012	9.33	9.53	9.29	9.50	5762658	54443656.000
03/13/2012	9.50	9.58	9.32	9.47	4447024	41988736.000
03/14/2012	9.41	9.49	8.70	8.78	7136564	65475540.000
03/15/2012	8.73	8.85	8.17	8.42	3965368	33694856.000
03/16/2012	8.49	8.65	8.32	8.64	2771683	23707124.000
03/19/2012	8.67	8.72	8.47	8.66	2415878	20796934.000
03/20/2012	8.69	8.69	8.25	8.27	2790339	23609722.000
03/21/2012	8.34	8.41	8.09	8.23	2620381	21725212.000
03/22/2012	8.22	8.41	8.09	8.30	2033742	16959692.000
03/23/2012	8.27	8.27	8.00	8.07	1957898	15934320.000
03/26/2012	7.99	8.17	7.97	8.08	1229923	9938850.000
03/27/2012	8.12	8.16	7.97	8.01	1180662	9552671.000
03/29/2012	7.47	7.61	7.27	7.27	2308690	17187084.000
03/30/2012	7.27	7.35	7.02	7.17	1440889	10451457.000
04/05/2012	7.21	7.49	7.18	7.49	1399413	10379604.000
04/06/2012	7.49	7.77	7.42	7.60	1588242	12129180.000
04/09/2012	7.60	7.60	7.33	7.35	1258320	9417774.000
04/10/2012	7.38	7.53	7.17	7.52	1623766	11936929.000
04/11/2012	7.47	7.55	7.37	7.49	1255565	9416452.000
04/12/2012	7.54	7.67	7.50	7.65	1898802	14475141.000
04/13/2012	7.67	7.90	7.65	7.80	2362574	18445924.000
04/16/2012	7.70	8.09	7.67	8.06	3294888	26110610.000
04/17/2012	7.99	8.25	7.89	8.04	4076565	32759496.000
04/18/2012	8.03	8.16	7.80	8.04	3914068	31256394.000
04/19/2012	8.00	8.03	7.88	7.93	1707595	13616168.000
04/20/2012	7.84	8.00	7.84	7.94	1766987	14094692.000
04/23/2012	7.94	7.98	7.50	7.51	2614110	20236542.000
04/24/2012	7.45	7.63	7.28	7.50	2149239	16073979.000
