002081 金 螳 螂 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.60	6.63	6.47	6.47	423348	14825181.000
01/05/2012	6.46	6.47	5.86	5.89	749143	24836680.000
01/06/2012	5.93	5.99	5.49	5.78	1098782	34113072.000
01/09/2012	5.78	5.99	5.77	5.95	732802	23321762.000
01/10/2012	6.13	6.52	6.06	6.45	1139203	38245536.000
01/11/2012	6.45	6.70	6.45	6.48	1258891	44317552.000
01/12/2012	6.42	6.61	6.42	6.53	698191	24484674.000
01/13/2012	6.53	6.60	6.20	6.29	883601	30098486.000
01/16/2012	6.17	6.24	5.93	5.93	853485	27614878.000
01/17/2012	6.00	6.49	5.83	6.41	930392	30803476.000
01/18/2012	6.40	6.41	6.16	6.17	481118	16297846.000
01/19/2012	6.13	6.39	6.07	6.33	668240	22649940.000
01/20/2012	6.33	6.63	6.26	6.60	908986	31507154.000
01/30/2012	6.60	6.74	6.55	6.62	755411	26946334.000
01/31/2012	6.57	6.70	6.50	6.62	405039	14369539.000
02/01/2012	6.62	6.74	6.50	6.55	471041	16797118.000
02/02/2012	6.70	6.70	6.49	6.62	608906	21439112.000
02/03/2012	6.57	6.97	6.57	6.93	1122120	40868800.000
02/06/2012	6.94	7.24	6.86	7.05	1090084	41367128.000
02/07/2012	7.00	7.24	7.00	7.24	996422	37772908.000
02/08/2012	7.18	7.37	6.97	7.32	3359048	126804248.000
02/09/2012	7.23	7.23	6.96	7.11	5106081	193328080.000
02/10/2012	7.06	7.36	7.02	7.20	1837327	71187560.000
02/13/2012	7.04	7.30	7.02	7.22	974903	37634736.000
02/14/2012	7.22	7.32	7.12	7.18	612050	23486022.000
02/15/2012	7.20	7.30	7.13	7.19	596308	23006450.000
02/16/2012	7.26	7.33	7.20	7.24	616751	23879184.000
02/17/2012	7.25	7.32	7.04	7.10	712578	27121080.000
02/20/2012	7.17	7.25	7.10	7.11	691482	26327224.000
02/21/2012	7.11	7.15	7.09	7.12	1009161	38372324.000
02/22/2012	7.12	7.70	7.12	7.66	3491701	138309488.000
02/23/2012	7.61	7.81	7.54	7.74	2408096	99051960.000
02/24/2012	7.75	8.08	7.69	7.97	1888157	78879448.000
02/27/2012	7.93	8.22	7.93	8.07	1489241	64194912.000
02/28/2012	7.90	8.03	7.64	7.75	4046632	166479312.000
02/29/2012	7.59	7.69	7.55	7.59	829907	33695932.000
03/01/2012	7.47	7.67	7.42	7.62	945427	38317308.000
03/02/2012	7.60	7.84	7.60	7.77	3250577	133463288.000
03/05/2012	7.80	7.82	7.61	7.62	1155028	47065592.000
03/06/2012	7.62	7.62	7.34	7.48	1760258	69899112.000
03/07/2012	7.43	7.55	7.36	7.42	808765	32129038.000
03/08/2012	7.50	7.57	7.42	7.54	980501	39211084.000
03/09/2012	7.54	7.56	7.42	7.55	1568017	62618040.000
03/12/2012	7.55	7.77	7.49	7.77	1486956	60423584.000
03/13/2012	7.85	8.10	7.85	8.01	3831349	162753072.000
03/14/2012	8.06	8.30	7.81	7.93	4060284	174540688.000
03/15/2012	7.85	8.07	7.71	8.01	1625039	67890760.000
03/16/2012	8.01	8.24	7.95	8.21	2118366	91760568.000
03/19/2012	8.14	8.25	8.08	8.09	1018030	43992032.000
03/20/2012	8.01	8.07	7.87	7.87	1271071	53454316.000
03/21/2012	7.87	7.91	7.58	7.71	1538384	63136168.000
03/22/2012	7.77	7.80	7.64	7.77	586827	24131134.000
03/23/2012	7.76	7.86	7.65	7.69	745060	30669952.000
03/26/2012	7.67	7.90	7.63	7.86	514173	21324892.000
03/27/2012	7.85	7.94	7.82	7.83	1327663	55652256.000
03/28/2012	7.83	7.88	7.34	7.41	1654751	66371448.000
03/29/2012	7.41	7.65	7.38	7.52	1074619	42993108.000
03/30/2012	7.51	7.57	7.34	7.34	828766	32854684.000
04/05/2012	7.34	7.67	7.34	7.67	1453561	58776172.000
04/06/2012	7.63	8.06	7.60	7.91	1304892	54826668.000
04/09/2012	7.90	8.05	7.81	7.92	1152115	48812836.000
04/10/2012	7.90	8.07	7.71	7.95	1038677	43659704.000
04/11/2012	7.91	8.11	7.89	8.07	1299593	55543752.000
04/12/2012	8.06	8.19	8.02	8.15	1377388	59317256.000
04/13/2012	8.14	8.22	8.05	8.05	948625	40833692.000
04/16/2012	8.03	8.13	7.92	8.06	389552	16703339.000
04/17/2012	7.99	8.12	7.99	8.04	271330	11599646.000
04/18/2012	8.10	8.34	8.10	8.28	2023699	88552312.000
04/19/2012	8.26	8.26	8.02	8.20	1768758	75966976.000
04/20/2012	8.20	8.20	7.71	7.99	1850964	78470952.000
04/23/2012	7.99	8.07	7.91	7.99	870497	36885136.000
04/24/2012	7.84	7.93	7.62	7.89	2078529	85864824.000
04/25/2012	7.88	7.98	7.77	7.88	714614	29915282.000
04/26/2012	7.87	7.94	7.80	7.84	633717	26423220.000
04/27/2012	7.84	7.89	7.70	7.74	942280	38790664.000
05/02/2012	7.84	8.08	7.84	8.03	1119232	47446552.000
05/03/2012	7.99	8.13	7.99	8.10	1072761	46037324.000
05/04/2012	8.13	8.20	7.95	7.95	2125325	90351712.000
05/07/2012	7.95	8.26	7.91	8.20	2181382	94529464.000
05/09/2012	8.12	8.62	8.08	8.46	3056150	136302992.000
05/10/2012	8.46	8.61	8.40	8.60	2297932	103537104.000
05/11/2012	8.62	8.73	8.41	8.42	1613225	73278904.000
05/14/2012	8.41	8.61	8.16	8.60	1529612	68043800.000
05/15/2012	8.57	8.58	8.39	8.50	851298	38256288.000
05/16/2012	8.50	8.56	8.32	8.36	1201126	53855256.000
05/17/2012	8.36	8.54	8.35	8.44	838058	37523924.000
05/18/2012	8.44	8.54	8.38	8.50	1484387	66781492.000
05/21/2012	8.49	8.72	8.46	8.62	2077939	94952864.000
05/22/2012	8.62	8.82	8.56	8.79	2113218	64673768.000
05/23/2012	8.79	9.21	8.79	9.19	4301518	136587232.000
05/24/2012	9.20	9.50	9.13	9.15	4012140	130302776.000
05/25/2012	9.13	9.27	9.01	9.07	1804916	57822120.000
05/28/2012	8.99	9.69	8.97	9.69	4596286	152738864.000
05/29/2012	9.69	10.36	9.69	10.17	8119735	287245600.000
05/30/2012	10.13	10.38	9.87	10.32	3211249	114436512.000
05/31/2012	10.23	10.47	10.08	10.46	2400022	85935144.000
06/01/2012	10.38	10.50	10.17	10.30	1869176	67265976.000
06/04/2012	10.03	10.38	9.98	10.14	2571491	91266640.000
06/05/2012	10.14	10.24	9.87	9.98	2121144	73845032.000
06/06/2012	9.97	10.07	9.73	9.98	2439906	84241608.000
06/07/2012	10.02	10.31	10.02	10.05	1926106	68251112.000
06/08/2012	10.17	10.35	10.11	10.11	3064974	109474680.000
06/11/2012	10.11	11.15	10.03	10.80	3448015	128020208.000
06/12/2012	10.79	11.06	10.73	10.90	3024435	115116544.000
06/13/2012	10.84	11.15	10.76	11.06	2909943	111121392.000
06/14/2012	11.06	11.17	10.95	11.03	2016868	77548040.000
06/15/2012	11.05	11.20	10.82	11.05	2112909	81250144.000
06/18/2012	11.15	11.56	11.06	11.55	2855477	113378888.000
06/19/2012	11.55	11.59	11.29	11.35	2411533	95810464.000
06/20/2012	11.36	11.44	10.97	11.02	2694145	104571232.000
06/21/2012	10.99	11.07	10.68	10.79	2040292	76807048.000
06/25/2012	10.75	11.16	10.70	10.81	2183424	83076008.000
06/26/2012	10.82	10.99	10.58	10.91	1550079	58382704.000
06/27/2012	10.95	11.36	10.78	11.11	3970228	152281328.000
06/28/2012	11.09	11.12	10.32	10.91	6254886	235601904.000
06/29/2012	10.68	10.96	10.68	10.91	4032758	152304384.000
07/02/2012	10.93	11.30	10.93	11.15	3185243	123931792.000
07/03/2012	11.23	11.24	11.09	11.20	2681208	104356112.000
07/04/2012	11.21	11.26	10.86	10.89	2287565	88098032.000
07/05/2012	10.82	10.89	10.50	10.59	2446015	90805776.000
07/06/2012	10.67	11.18	10.67	11.14	3198491	122615480.000
07/09/2012	11.14	11.58	11.07	11.36	6801373	268490432.000
07/10/2012	11.25	11.59	11.25	11.38	2374951	94428112.000
07/11/2012	11.36	11.53	11.28	11.48	2623878	104329568.000
07/12/2012	11.48	12.09	11.39	11.95	3910035	161586208.000
07/13/2012	11.99	12.08	11.76	11.99	1631396	67821816.000
07/16/2012	11.94	12.05	11.44	11.64	4059541	164179104.000
07/17/2012	11.37	11.65	11.30	11.44	3332213	132455400.000
07/18/2012	11.47	11.59	10.93	11.06	3462918	134934720.000
07/19/2012	11.06	11.19	10.79	10.92	4239534	161329056.000
07/20/2012	10.89	10.94	10.70	10.85	2401988	90329480.000
07/23/2012	10.67	10.76	10.38	10.38	3139100	115865944.000
07/24/2012	10.49	10.85	10.49	10.78	3592452	133647776.000
07/25/2012	10.89	10.97	10.52	10.55	2697347	100682944.000
07/26/2012	10.51	10.99	10.51	10.96	2834477	106872576.000
07/27/2012	10.97	11.06	10.83	10.88	2114488	80507040.000
07/30/2012	10.88	10.98	10.77	10.87	1249637	47491872.000
07/31/2012	10.77	11.21	10.76	11.13	3111669	119732184.000
08/01/2012	11.20	11.26	11.09	11.12	2677606	104289824.000
08/02/2012	11.11	11.20	10.69	10.84	1723541	66080532.000
08/03/2012	10.76	10.94	10.67	10.87	2212040	83230744.000
08/06/2012	10.77	11.29	10.77	11.24	3084317	119757984.000
08/07/2012	11.24	11.87	11.21	11.87	3737161	151250400.000
08/08/2012	11.85	11.95	11.61	11.82	2416150	99121976.000
08/09/2012	11.83	12.32	11.69	12.26	2982153	125713208.000
08/10/2012	12.24	12.39	12.13	12.28	1552939	66371796.000
08/13/2012	12.28	12.36	11.90	11.95	1781182	74544072.000
08/14/2012	11.95	12.07	11.33	11.75	3379714	136346240.000
08/15/2012	11.70	11.90	11.70	11.89	1531888	62698616.000
08/16/2012	11.83	12.21	11.59	12.17	2700938	112616224.000
08/17/2012	12.06	12.13	11.71	12.09	1553493	64399772.000
08/20/2012	11.80	12.03	11.55	11.75	1905088	77243456.000
08/21/2012	11.70	11.70	10.95	10.99	13942928	547019520.000
08/22/2012	10.88	11.27	10.80	10.96	3042718	116940864.000
08/23/2012	10.96	11.00	10.35	10.88	6664750	245826224.000
08/24/2012	10.73	10.75	10.48	10.60	2356510	87248472.000
08/27/2012	10.61	10.67	10.38	10.44	1783415	65466820.000
08/28/2012	10.44	10.88	10.44	10.71	3347581	124483704.000
08/29/2012	10.72	11.00	10.67	10.84	2579981	97863408.000
08/30/2012	10.82	10.91	9.90	10.28	3035877	109799064.000
08/31/2012	10.26	10.35	10.17	10.32	1733673	62165812.000
09/03/2012	10.22	10.89	10.08	10.81	3214277	119194704.000
09/04/2012	10.80	10.88	10.58	10.59	1986629	73826568.000
09/05/2012	10.50	10.67	10.38	10.59	1414925	52023292.000
09/06/2012	10.62	10.97	10.62	10.93	2733587	103761216.000
09/07/2012	10.96	11.53	10.96	11.20	4614761	181991888.000
09/10/2012	11.25	11.53	11.20	11.23	4398306	174013296.000
09/11/2012	11.21	11.32	11.02	11.21	1529669	59525948.000
09/12/2012	11.20	11.32	10.86	11.04	3099495	118943240.000
09/13/2012	11.04	11.10	10.92	10.97	1336734	51240892.000
09/14/2012	10.97	11.06	10.59	10.77	2340719	88043048.000
09/17/2012	10.76	10.76	10.05	10.29	4142647	149047872.000
09/18/2012	10.17	10.37	10.17	10.30	2306482	82689960.000
09/19/2012	10.30	10.32	10.11	10.29	2520432	89836976.000
09/20/2012	10.29	10.29	10.13	10.24	2122374	75440168.000
09/21/2012	10.24	10.43	10.15	10.32	1833548	66111104.000
09/24/2012	10.24	10.40	9.92	10.32	1472199	52645628.000
09/25/2012	10.32	10.43	10.21	10.22	1018321	36536844.000
09/26/2012	10.17	10.28	10.00	10.00	1177358	41389556.000
09/27/2012	10.07	10.41	9.99	10.25	1767974	63097644.000
09/28/2012	10.22	10.64	10.13	10.61	2211929	80901464.000
10/08/2012	10.61	10.76	10.46	10.48	1254057	46185332.000
10/09/2012	10.50	10.97	10.50	10.95	4142270	156562496.000
10/10/2012	10.91	11.06	10.74	10.99	2293687	87143680.000
10/11/2012	10.88	10.98	10.62	10.64	1599237	59981376.000
10/12/2012	10.69	10.87	10.42	10.61	1271549	47340820.000
10/15/2012	10.61	10.61	10.26	10.32	2462398	88832088.000
