002082 栋梁新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.38	8.51	8.06	8.07	1085270	9477426.000
01/05/2012	7.98	8.12	7.60	7.71	867670	7217465.500
01/06/2012	7.70	7.82	7.57	7.78	1325249	10770295.000
01/09/2012	7.77	8.25	7.68	8.21	2367316	20117372.000
01/10/2012	8.19	8.77	8.15	8.71	4119696	36802872.000
01/11/2012	8.66	8.77	8.56	8.67	2626480	23830122.000
01/12/2012	8.61	8.95	8.58	8.76	3986464	36725628.000
01/13/2012	8.72	8.76	8.39	8.41	2960058	26602668.000
01/16/2012	8.27	8.36	8.08	8.09	1595112	13823199.000
01/17/2012	8.01	8.94	7.98	8.94	5745508	52356044.000
01/18/2012	9.17	9.52	8.78	8.80	8249426	79486456.000
01/19/2012	8.69	9.06	8.63	8.95	4134650	38318712.000
01/20/2012	8.89	9.05	8.84	8.95	2327580	21833948.000
01/30/2012	8.95	9.15	8.84	8.85	2629166	24790704.000
01/31/2012	8.82	8.90	8.72	8.84	1342662	12388813.000
02/01/2012	8.82	8.91	8.56	8.60	2297432	21028474.000
02/02/2012	8.60	8.85	8.60	8.85	1794984	16456421.000
02/03/2012	8.84	9.06	8.78	9.02	2766495	25944670.000
02/06/2012	9.04	9.09	8.92	9.00	2005849	18921390.000
02/07/2012	8.97	8.97	8.69	8.87	2005898	18511180.000
02/08/2012	8.81	9.34	8.78	9.26	4170792	39852212.000
02/09/2012	9.19	9.34	9.11	9.19	3963025	38277736.000
02/10/2012	9.18	9.32	9.10	9.22	2624646	25334268.000
02/13/2012	9.12	9.35	8.99	9.27	2796783	26931076.000
02/14/2012	9.25	9.27	9.12	9.24	1921921	18506456.000
02/15/2012	9.23	9.77	9.17	9.62	5994097	59845984.000
02/16/2012	9.61	9.61	9.40	9.57	3732613	37100924.000
02/17/2012	9.57	9.64	9.37	9.56	2385021	23750678.000
02/20/2012	9.67	9.73	9.46	9.49	2558292	25640652.000
02/21/2012	9.43	9.60	9.38	9.60	1957049	19436084.000
02/22/2012	9.61	9.84	9.60	9.81	3779737	38428748.000
02/23/2012	9.81	9.94	9.70	9.82	3314521	33964896.000
02/24/2012	9.82	9.94	9.69	9.89	3729850	38283248.000
02/27/2012	9.92	10.25	9.89	9.92	4403314	46321612.000
02/28/2012	9.89	9.91	9.65	9.75	3170434	32319320.000
02/29/2012	9.68	9.86	9.63	9.72	2694213	27452412.000
03/01/2012	9.67	9.83	9.60	9.76	1703655	17335598.000
03/02/2012	9.80	9.97	9.80	9.96	2746996	28416270.000
03/05/2012	9.96	10.14	9.92	9.93	2620948	27362848.000
03/06/2012	9.87	9.87	9.64	9.73	2649636	26887230.000
03/07/2012	9.57	9.74	9.52	9.58	1939503	19519242.000
03/08/2012	9.63	9.82	9.63	9.77	2189814	22267258.000
03/09/2012	9.80	10.00	9.76	9.99	2535610	26129436.000
03/12/2012	9.99	10.10	9.87	9.98	2821910	29402278.000
03/13/2012	9.97	10.23	9.92	10.16	3588502	37700592.000
03/14/2012	10.21	10.45	9.57	9.68	5991893	63025228.000
03/15/2012	9.67	9.77	9.38	9.52	2821297	28136298.000
03/16/2012	9.57	9.71	9.44	9.70	2104647	21131308.000
03/19/2012	9.72	9.91	9.64	9.90	2321572	23716922.000
03/20/2012	9.85	9.85	9.56	9.59	2078430	21000010.000
03/21/2012	9.60	9.92	9.57	9.73	2701075	27475022.000
03/22/2012	9.64	9.74	9.52	9.58	1507298	15118669.000
03/23/2012	9.58	9.60	9.32	9.35	1406510	13879379.000
03/26/2012	9.37	9.44	9.20	9.36	1301861	12656735.000
03/27/2012	9.41	9.49	9.27	9.32	1114997	10952603.000
03/28/2012	9.23	9.31	8.68	8.71	1749618	16424436.000
03/29/2012	8.72	8.75	8.47	8.57	1381595	12482863.000
03/30/2012	8.58	8.69	8.37	8.45	1017442	9105935.000
04/05/2012	8.55	8.75	8.46	8.74	1086387	9854667.000
04/06/2012	8.74	8.92	8.70	8.82	1359047	12541471.000
04/09/2012	8.82	8.90	8.69	8.69	939804	8662022.000
04/10/2012	8.63	8.70	8.32	8.69	2041043	18205022.000
04/11/2012	8.53	8.73	8.49	8.68	1046420	9476000.000
04/12/2012	8.70	8.96	8.67	8.93	2290232	21217430.000
04/13/2012	8.95	9.11	8.90	9.04	2063350	19461278.000
04/16/2012	8.92	9.09	8.89	9.02	1615250	15201363.000
04/17/2012	9.01	9.05	8.86	8.87	1472577	13779423.000
04/18/2012	8.92	9.22	8.87	9.15	2399319	22739486.000
04/19/2012	8.82	8.93	8.73	8.78	5122667	47344588.000
04/20/2012	8.72	8.79	8.69	8.76	3271959	30025018.000
04/23/2012	8.72	8.80	8.42	8.45	3057974	27659578.000
04/24/2012	8.42	8.66	8.28	8.37	2450543	21641046.000
04/25/2012	8.37	8.52	8.32	8.49	2266716	20057608.000
04/26/2012	8.49	8.85	8.46	8.75	4252065	38918820.000
04/27/2012	8.76	8.90	8.61	8.67	2506166	22955582.000
05/02/2012	8.69	8.97	8.67	8.89	4501748	41872036.000
05/03/2012	8.90	8.97	8.84	8.93	2774486	25879370.000
05/04/2012	8.88	8.90	8.74	8.85	2385338	22054036.000
05/08/2012	8.88	8.90	8.68	8.76	2348124	21592314.000
05/09/2012	8.72	8.72	8.38	8.42	2238876	19965212.000
05/10/2012	8.42	8.52	8.40	8.44	1170471	10395352.000
05/11/2012	8.51	8.51	8.38	8.38	1151996	10218234.000
05/14/2012	8.47	8.52	8.37	8.41	1283752	11418055.000
05/15/2012	8.34	8.35	8.15	8.27	1668153	14444157.000
05/16/2012	8.27	8.32	8.17	8.18	908150	7855153.500
05/17/2012	8.20	8.37	8.17	8.33	1024305	8936683.000
05/18/2012	8.30	8.32	8.08	8.13	1525485	13129048.000
05/21/2012	8.13	8.19	8.04	8.09	1174876	10041360.000
05/22/2012	8.12	8.22	8.12	8.21	1254442	10780787.000
05/23/2012	8.18	8.21	8.05	8.12	1212548	10387035.000
05/24/2012	8.11	8.19	8.10	8.13	1125161	9653521.000
05/25/2012	8.13	8.16	8.01	8.03	868880	7397320.500
05/28/2012	7.99	8.20	7.72	8.20	1943031	16223937.000
05/29/2012	8.19	8.48	8.19	8.43	3046790	26871826.000
05/30/2012	8.37	8.42	8.29	8.33	1634799	14320534.000
05/31/2012	8.27	8.38	8.24	8.30	1351447	11797362.000
06/01/2012	8.27	8.35	8.22	8.27	1145302	9985007.000
06/04/2012	8.14	8.15	7.88	7.88	1214808	10272446.000
06/05/2012	7.92	7.97	7.80	7.85	814742	6774554.000
06/06/2012	7.85	7.95	7.79	7.83	721175	5981571.500
06/07/2012	7.91	7.95	7.74	7.76	737171	6093140.500
06/08/2012	7.83	7.87	7.70	7.70	1023067	8388026.500
06/11/2012	7.69	7.84	7.66	7.83	847681	6941132.000
06/12/2012	7.79	7.81	7.70	7.75	458528	3748449.750
06/13/2012	7.80	7.92	7.73	7.89	665121	5507473.500
06/14/2012	7.91	7.95	7.83	7.85	904775	7524767.000
06/15/2012	7.85	7.95	7.79	7.89	682827	5675824.000
06/18/2012	7.95	7.98	7.89	7.93	805115	6740277.000
06/19/2012	7.94	7.98	7.86	7.92	842683	7035217.000
06/20/2012	7.93	8.09	7.91	7.98	1249813	10548905.000
06/21/2012	7.96	7.96	7.72	7.82	867781	7150821.000
06/25/2012	7.77	7.87	7.67	7.68	661489	5418909.500
06/26/2012	7.68	7.73	7.60	7.73	504193	4077823.500
06/27/2012	7.73	7.80	7.70	7.72	460502	3765222.750
06/28/2012	7.67	7.77	7.67	7.68	651820	5313153.500
06/29/2012	7.71	7.71	7.38	7.62	1234615	9581878.000
07/02/2012	7.60	7.75	7.60	7.63	704992	5550317.500
07/03/2012	7.64	7.72	7.58	7.65	724829	5717818.500
