002096 南岭民爆 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	13.91	14.39	13.91	13.96	457851	13372772.000
01/05/2012	13.87	13.97	13.26	13.33	266421	7426798.000
01/06/2012	13.26	13.68	12.74	13.48	411650	11296769.000
01/09/2012	13.80	13.80	13.39	13.74	340367	9500909.000
01/10/2012	13.61	13.86	13.11	13.60	2007245	55923404.000
01/11/2012	13.51	13.60	13.19	13.25	1023731	28204200.000
01/12/2012	13.24	13.24	11.89	11.89	2424617	62087256.000
01/13/2012	10.66	11.04	10.66	10.66	4148756	92007616.000
01/16/2012	10.04	10.06	9.55	9.55	2194656	44243260.000
01/17/2012	9.27	9.81	8.86	9.67	3737477	72271064.000
01/18/2012	9.56	9.86	8.99	9.08	2957691	58799336.000
01/19/2012	9.07	9.34	8.87	9.12	1208024	22912784.000
01/20/2012	9.31	9.45	9.11	9.38	1216236	23579434.000
01/30/2012	9.44	9.86	9.33	9.70	1666660	33538956.000
01/31/2012	9.70	9.96	9.62	9.76	815611	16526381.000
02/01/2012	9.75	9.85	9.56	9.59	842347	16973012.000
02/02/2012	9.59	9.71	9.48	9.69	928948	18565424.000
02/03/2012	9.71	9.85	9.60	9.81	1444796	29228166.000
02/06/2012	9.83	10.61	9.82	10.47	2358678	50416556.000
02/07/2012	10.48	10.49	10.26	10.47	1449972	31339702.000
02/08/2012	10.42	10.57	10.28	10.54	1679260	36370892.000
02/09/2012	10.53	11.02	10.39	10.66	2010408	44493464.000
02/10/2012	10.64	10.79	10.51	10.65	1238402	27432670.000
02/13/2012	10.41	10.93	10.41	10.90	1270881	28376930.000
02/14/2012	10.89	11.55	10.81	11.50	1706081	39900300.000
02/15/2012	11.50	12.17	11.31	11.72	2754732	66373080.000
02/16/2012	11.57	11.68	11.35	11.51	1167058	27868400.000
02/17/2012	11.50	11.59	11.32	11.48	734699	17373408.000
02/20/2012	11.71	11.73	11.34	11.39	660393	15746449.000
02/21/2012	11.36	12.11	11.36	12.06	1792750	43484240.000
02/22/2012	12.56	12.56	11.66	12.38	2496916	63267568.000
02/23/2012	12.61	12.64	11.61	12.51	2374400	60707336.000
02/24/2012	12.51	12.61	12.30	12.51	1703629	43740320.000
02/27/2012	12.51	12.59	12.26	12.51	1814268	46487788.000
02/28/2012	12.47	12.55	12.11	12.40	1210580	30707484.000
02/29/2012	12.40	12.51	12.01	12.06	1688865	42619192.000
03/01/2012	12.10	12.19	11.86	12.01	700529	17450822.000
03/02/2012	12.11	13.25	12.01	13.25	4941666	130152096.000
03/05/2012	13.43	13.95	13.43	13.52	3464252	97042816.000
03/06/2012	13.66	13.78	13.41	13.56	1527899	42712784.000
03/07/2012	13.55	13.60	13.21	13.42	939926	25941518.000
03/08/2012	13.54	14.05	13.43	13.84	1801071	51314476.000
03/09/2012	13.86	14.01	13.66	13.88	836832	23819112.000
03/12/2012	13.92	14.58	13.78	14.25	1266650	37091196.000
03/13/2012	14.28	14.61	14.06	14.49	1090168	32141988.000
03/14/2012	14.36	14.80	13.66	14.01	2205932	65366012.000
03/15/2012	14.01	14.11	13.52	13.83	1259199	35957984.000
03/16/2012	13.84	14.41	13.84	14.36	983380	28435276.000
03/19/2012	14.36	14.58	14.01	14.13	1322596	38571452.000
03/20/2012	14.15	14.23	13.56	13.60	1077701	30471826.000
03/21/2012	13.61	14.00	13.25	13.55	1483295	41125868.000
03/22/2012	13.60	13.61	13.41	13.56	856627	23859150.000
03/23/2012	13.58	14.31	13.58	13.96	1768523	51010356.000
05/21/2012	15.21	15.21	14.36	14.96	3730020	114012224.000
05/22/2012	15.18	15.18	14.61	14.84	1931002	58710780.000
05/23/2012	14.80	15.10	14.44	14.60	1220951	36569560.000
05/24/2012	14.61	14.65	14.44	14.59	713824	21361546.000
05/25/2012	14.59	14.59	13.95	14.09	1152943	33621752.000
05/28/2012	14.10	14.95	12.64	14.69	1007130	30120024.000
05/29/2012	14.71	15.45	14.71	15.36	1858987	57943464.000
05/30/2012	15.36	15.61	15.16	15.36	990982	31276138.000
05/31/2012	15.26	15.35	15.06	15.17	461733	14362441.000
06/01/2012	15.31	15.46	15.02	15.26	397920	12427489.000
06/04/2012	15.11	15.25	14.57	14.60	914238	27899494.000
06/05/2012	14.48	14.77	14.11	14.46	733620	21603184.000
06/06/2012	14.50	14.57	14.31	14.40	354768	10538128.000
06/07/2012	14.42	15.05	14.42	14.54	590054	17752856.000
06/08/2012	14.62	15.51	14.62	15.25	1401583	43613736.000
06/11/2012	15.11	15.36	14.96	15.15	525962	16321204.000
06/12/2012	15.15	15.44	14.56	14.76	1030571	31653644.000
06/13/2012	14.76	15.16	14.54	14.75	905849	27231312.000
06/14/2012	14.75	14.75	14.25	14.58	836975	24876304.000
06/15/2012	14.57	15.18	14.17	14.27	1662743	24775834.000
06/18/2012	14.68	14.68	13.98	14.38	2592743	37755484.000
06/19/2012	14.53	14.53	13.88	14.22	2409304	34567512.000
06/20/2012	14.13	14.32	13.76	13.77	1748755	25068944.000
06/21/2012	13.75	13.78	12.98	13.13	2901442	39265396.000
06/25/2012	13.04	13.48	12.84	12.88	2183078	29374446.000
06/27/2012	12.89	13.25	12.89	13.04	1738391	23342614.000
06/28/2012	13.08	13.27	12.28	12.67	2386500	31018954.000
06/29/2012	12.49	12.77	12.36	12.77	1284479	16533057.000
07/02/2012	12.78	12.83	12.54	12.60	1759611	22819070.000
07/03/2012	12.60	13.59	12.41	13.22	4566782	60355044.000
07/04/2012	13.17	13.17	12.82	12.92	1811195	24043496.000
07/05/2012	12.76	12.96	12.53	12.57	1193722	15581945.000
07/06/2012	12.60	12.79	12.48	12.68	1152419	14894772.000
07/09/2012	12.58	12.88	11.98	12.18	2056700	26219266.000
07/10/2012	12.20	12.20	11.72	11.84	1403027	17084364.000
07/11/2012	11.89	12.21	11.76	11.84	1374571	16839642.000
07/12/2012	11.84	12.07	11.18	11.88	2057852	24568862.000
07/13/2012	11.68	12.06	11.68	11.79	908243	11003606.000
07/16/2012	11.69	11.79	10.98	11.00	1504301	17420594.000
07/17/2012	11.13	11.35	10.93	11.07	1191991	13569644.000
07/18/2012	11.08	11.08	10.31	10.73	2327551	25500990.000
07/19/2012	10.73	10.86	10.50	10.81	2238745	24713238.000
07/20/2012	10.78	11.20	10.74	10.98	2118130	24064388.000
07/23/2012	10.84	10.96	10.53	10.72	1251776	13764109.000
07/24/2012	10.72	10.86	10.54	10.82	1119113	12402857.000
07/25/2012	10.76	11.60	10.59	11.10	2745874	31778746.000
