002125 湘潭电化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.59	9.66	9.23	9.42	184580	2798701.250
01/05/2012	9.32	9.32	8.73	9.02	276852	4010244.500
01/06/2012	9.02	9.02	8.79	8.96	138163	1973899.375
01/09/2012	8.91	9.31	8.82	9.31	195198	2884041.250
01/10/2012	9.34	9.86	9.26	9.76	464774	7175223.500
01/11/2012	9.88	9.89	9.60	9.78	383982	5988043.000
01/12/2012	9.76	10.28	9.69	9.96	614154	9854185.000
01/13/2012	9.81	10.00	9.41	9.71	461402	7156201.000
01/16/2012	9.69	9.69	9.16	9.16	234400	3524923.000
01/17/2012	9.35	9.79	9.11	9.74	497480	7651191.500
01/18/2012	9.83	10.29	9.74	9.74	918051	14786541.000
01/19/2012	9.53	9.88	9.44	9.88	611403	9530322.000
01/20/2012	10.28	10.41	10.06	10.16	1305161	21389770.000
01/31/2012	9.66	9.79	9.54	9.74	859592	13311288.000
02/01/2012	9.68	9.75	9.30	9.34	768211	11671900.000
02/02/2012	9.34	9.56	9.34	9.55	491685	7447560.500
02/03/2012	9.54	9.72	9.48	9.67	629650	9695095.000
02/06/2012	9.64	9.89	9.61	9.88	767781	12008159.000
02/07/2012	9.72	9.78	9.60	9.71	524747	8141414.000
02/08/2012	9.76	10.15	9.54	10.09	960724	15324078.000
02/09/2012	10.10	10.23	9.97	10.03	820506	13311183.000
02/10/2012	10.09	10.18	9.99	10.07	715000	11570710.000
02/13/2012	10.07	10.19	9.89	10.14	628427	10196166.000
02/14/2012	10.14	10.21	10.04	10.08	467987	7597952.000
02/15/2012	10.13	10.32	10.03	10.29	784374	12856523.000
02/16/2012	10.29	10.89	10.16	10.57	1461325	24644248.000
02/17/2012	10.60	10.66	10.35	10.36	732655	12310050.000
02/20/2012	10.46	10.54	10.29	10.32	616545	10285843.000
02/21/2012	10.31	10.43	10.19	10.43	430849	7119197.000
02/22/2012	10.50	10.60	10.38	10.56	784215	13212633.000
02/23/2012	10.51	10.77	10.48	10.64	857692	14579239.000
02/24/2012	10.73	10.75	10.60	10.69	852086	14608507.000
02/27/2012	10.69	10.76	10.59	10.59	1000558	17131954.000
02/28/2012	10.53	10.53	10.29	10.40	572816	9555639.000
02/29/2012	10.36	10.52	10.27	10.29	442799	7370451.500
03/01/2012	10.30	10.44	10.16	10.38	996800	16441967.000
03/02/2012	10.38	10.69	10.32	10.46	3247602	54429916.000
03/05/2012	10.48	10.48	10.19	10.21	2845247	47203552.000
03/06/2012	10.16	10.38	10.14	10.31	1288063	21236264.000
03/07/2012	10.23	10.33	10.11	10.21	811900	13299458.000
03/08/2012	10.28	10.38	10.21	10.30	1066613	17617964.000
03/09/2012	10.30	10.46	10.30	10.43	1181472	19674410.000
03/12/2012	10.47	10.68	10.42	10.64	1868768	31694228.000
03/13/2012	10.65	10.66	10.51	10.63	1359106	23044774.000
03/14/2012	10.66	10.88	9.96	10.09	2537735	42969488.000
03/15/2012	10.07	10.18	9.73	9.79	1297554	20587130.000
03/16/2012	9.90	10.01	9.76	9.99	888933	14113721.000
03/19/2012	10.04	10.29	9.91	10.28	1057421	17132458.000
03/20/2012	10.23	10.29	10.03	10.05	962107	15655927.000
03/21/2012	10.06	11.06	10.06	10.58	3678064	63208364.000
03/22/2012	10.47	10.88	10.47	10.71	2549799	43849868.000
03/23/2012	10.66	10.66	10.33	10.38	1101583	18548140.000
03/26/2012	10.40	10.53	10.14	10.23	860544	14158173.000
03/27/2012	10.26	10.41	9.96	10.04	1331514	21671996.000
03/28/2012	9.91	9.98	9.23	9.40	1139480	17610754.000
03/29/2012	9.36	9.36	8.94	9.29	825844	12163386.000
03/30/2012	9.29	9.33	8.99	9.15	633430	9307801.000
04/05/2012	8.74	9.04	8.71	9.03	2176320	30996674.000
04/06/2012	9.03	9.09	8.91	9.06	1293452	18697384.000
04/09/2012	9.04	9.04	8.74	8.78	799830	11428256.000
04/10/2012	8.78	9.04	8.74	9.04	921342	13141300.000
04/11/2012	9.46	9.47	9.16	9.26	1689317	25299226.000
04/12/2012	9.15	9.44	9.04	9.42	1243124	18528964.000
04/13/2012	9.41	9.56	9.35	9.44	1120431	17000890.000
04/16/2012	9.43	9.55	9.36	9.53	976319	14856030.000
04/17/2012	9.51	9.64	9.43	9.47	959383	14668733.000
04/18/2012	9.54	9.71	9.48	9.63	818900	12605147.000
04/19/2012	9.63	9.78	9.54	9.63	800311	12363943.000
04/20/2012	9.63	9.67	9.46	9.49	786918	12046994.000
04/23/2012	9.44	9.46	8.85	9.03	1228150	17909096.000
04/24/2012	8.85	9.01	8.66	8.92	729145	10337399.000
04/25/2012	8.85	8.98	8.68	8.88	704180	10030597.000
04/26/2012	8.96	9.03	8.86	8.94	550471	7913645.000
04/27/2012	8.85	9.03	8.84	9.01	313481	4507014.000
05/02/2012	9.01	9.19	9.01	9.15	537064	7872706.500
05/04/2012	9.15	9.28	9.15	9.23	473270	6998335.000
05/07/2012	9.23	9.26	9.15	9.23	412377	6097515.500
05/08/2012	9.23	9.38	9.23	9.29	567232	8473839.000
05/09/2012	9.29	10.10	9.01	10.08	2577621	39996540.000
05/10/2012	9.79	10.08	9.74	9.85	2818944	44981240.000
05/11/2012	9.85	9.85	9.41	9.42	1340598	20618828.000
