002131 利欧股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.11	4.12	3.81	3.83	1697767	20466122.000
01/05/2012	3.78	3.81	3.48	3.61	2254063	25118126.000
01/06/2012	3.56	3.71	3.39	3.68	2847111	31060768.000
01/09/2012	3.68	3.83	3.63	3.80	1491187	17056776.000
01/10/2012	3.80	3.96	3.77	3.94	2585886	30764662.000
01/11/2012	3.90	3.94	3.82	3.91	2504662	29717760.000
01/13/2012	3.88	3.93	3.60	3.60	1537287	17691064.000
01/16/2012	3.63	3.69	3.57	3.60	1080827	12005391.000
01/17/2012	3.61	3.76	3.54	3.74	1804942	20352940.000
01/18/2012	3.75	3.82	3.67	3.69	1531897	17554948.000
01/19/2012	3.72	3.73	3.58	3.65	1120670	12492007.000
01/20/2012	3.65	3.77	3.65	3.77	2273693	25930050.000
01/30/2012	3.78	3.81	3.70	3.71	1453999	16687678.000
01/31/2012	3.73	3.75	3.65	3.73	900451	10172704.000
02/01/2012	3.73	3.86	3.71	3.78	2157725	24973798.000
02/02/2012	3.85	3.94	3.83	3.94	3732583	44496448.000
02/03/2012	3.94	3.99	3.90	3.92	2980689	35909312.000
02/06/2012	3.91	3.96	3.86	3.93	1938945	23149622.000
02/08/2012	3.83	4.01	3.81	3.98	2411665	28961830.000
02/09/2012	4.00	4.09	3.95	4.04	2290946	28218292.000
02/10/2012	4.07	4.10	3.99	4.06	1916631	23683686.000
02/13/2012	4.08	4.33	4.08	4.11	4513227	57402340.000
02/14/2012	4.10	4.17	4.04	4.07	2285619	28485266.000
02/15/2012	4.07	4.29	4.00	4.23	4272993	54241320.000
02/16/2012	4.23	4.27	4.15	4.21	3606223	46217280.000
02/17/2012	4.21	4.26	4.12	4.21	2671035	34182896.000
02/20/2012	4.29	4.31	4.18	4.20	2591197	33435070.000
02/21/2012	4.20	4.21	4.06	4.20	2444217	30994550.000
02/22/2012	4.23	4.31	4.20	4.29	4425103	57458848.000
02/23/2012	4.26	4.29	4.19	4.24	3095003	40052856.000
02/24/2012	4.21	4.31	4.20	4.27	3084309	40106268.000
02/27/2012	4.28	4.39	4.28	4.31	4642964	61375952.000
02/28/2012	4.29	4.55	4.25	4.45	8368274	112394552.000
02/29/2012	4.40	4.43	4.28	4.28	3631240	48162632.000
03/01/2012	4.28	4.42	4.28	4.32	2070710	27417496.000
03/02/2012	4.39	4.49	4.34	4.47	4471278	60350684.000
03/05/2012	4.49	4.52	4.43	4.45	2756410	37537632.000
03/06/2012	4.40	4.45	4.30	4.37	2198446	29323906.000
03/07/2012	4.33	4.43	4.29	4.33	2299944	30609956.000
03/08/2012	4.34	4.43	4.33	4.43	2284658	30549978.000
03/09/2012	4.42	4.61	4.40	4.59	5041385	69302336.000
03/12/2012	4.57	4.58	4.48	4.54	2571955	35427460.000
03/13/2012	4.53	4.68	4.50	4.62	4039913	56751740.000
03/14/2012	4.64	4.68	4.31	4.34	3768411	51761272.000
03/15/2012	4.33	4.40	4.09	4.21	2362040	30375706.000
03/16/2012	4.24	4.35	4.16	4.35	1593697	20737656.000
03/19/2012	4.35	4.59	4.33	4.52	4428196	60352436.000
03/20/2012	4.52	4.52	4.41	4.44	1872750	25452598.000
03/21/2012	4.44	4.50	4.40	4.44	1669391	22674766.000
03/22/2012	4.44	4.51	4.33	4.37	5887672	79895496.000
03/23/2012	4.34	4.34	4.15	4.33	3201059	41262824.000
03/26/2012	4.28	4.43	4.23	4.26	1999857	26402842.000
03/27/2012	4.26	4.32	4.16	4.19	1394021	17967292.000
03/28/2012	4.18	4.18	3.96	3.96	2578723	31608156.000
03/29/2012	3.95	3.95	3.76	3.79	1765316	20648354.000
03/30/2012	3.79	3.86	3.72	3.72	1026282	11920573.000
04/05/2012	3.74	3.85	3.74	3.84	1017479	11853417.000
04/09/2012	3.86	3.92	3.80	3.87	1558431	18457458.000
04/10/2012	3.87	3.96	3.70	3.89	2592798	30496104.000
04/11/2012	3.89	4.29	3.83	4.02	5354204	65986448.000
04/12/2012	3.99	4.39	3.97	4.22	8543601	108198752.000
04/13/2012	4.16	4.22	4.12	4.15	4514019	57397108.000
04/16/2012	4.20	4.36	4.16	4.21	5039851	65080500.000
04/17/2012	4.21	4.21	3.98	4.01	4288041	53071312.000
04/18/2012	4.03	4.10	3.95	4.09	4529885	55798656.000
04/19/2012	4.05	4.21	4.03	4.13	3740090	47296440.000
04/20/2012	4.09	4.18	4.08	4.14	3488381	44033336.000
04/23/2012	4.15	4.25	4.06	4.10	3965363	50444392.000
04/24/2012	4.07	4.07	3.84	4.00	3490442	42154352.000
04/25/2012	4.01	4.40	3.95	4.40	14779796	193441840.000
04/26/2012	4.36	4.44	4.27	4.41	10244584	136874064.000
04/27/2012	4.36	4.41	4.28	4.34	3899747	51747112.000
05/03/2012	4.39	4.55	4.34	4.45	7162353	96830616.000
05/04/2012	4.42	4.47	4.34	4.39	3728222	50038436.000
05/07/2012	4.33	4.46	4.30	4.43	4390865	58865500.000
05/08/2012	4.40	4.50	4.37	4.49	5206866	70744464.000
05/09/2012	4.52	4.52	4.35	4.35	4022187	54117948.000
05/10/2012	4.32	4.43	4.32	4.33	2514138	33544068.000
05/11/2012	4.35	4.67	4.33	4.42	6136298	83982552.000
05/14/2012	4.49	4.62	4.41	4.42	6992979	96583248.000
05/15/2012	4.27	4.33	4.23	4.32	3788764	49651492.000
05/16/2012	4.32	4.32	4.14	4.14	3305597	42799704.000
05/17/2012	4.16	4.23	4.14	4.20	2184625	27986642.000
05/18/2012	4.17	4.27	4.16	4.26	4156636	53888992.000
05/21/2012	4.22	4.32	4.19	4.24	1846228	23943008.000
05/22/2012	4.31	4.38	4.27	4.33	2849668	37594912.000
05/23/2012	4.29	4.39	4.26	4.39	3112065	41148932.000
05/24/2012	4.38	4.45	4.30	4.31	4056979	54068108.000
05/25/2012	4.33	4.36	4.28	4.35	2085843	27491924.000
05/28/2012	4.34	4.53	4.19	4.46	5908945	78826272.000
05/29/2012	4.46	4.56	4.43	4.46	6672723	91635136.000
05/30/2012	4.47	4.54	4.43	4.49	3495350	47848916.000
05/31/2012	4.46	4.47	4.38	4.42	3292498	44434936.000
