002160 常铝股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.62	8.67	8.22	8.23	1892586	16014206.000
01/05/2012	8.23	8.24	7.72	7.80	2073190	16656857.000
01/06/2012	7.72	8.12	7.67	8.12	1749487	13822284.000
01/09/2012	8.17	8.70	8.05	8.55	3320422	28130030.000
01/10/2012	8.47	9.19	8.46	9.00	5438958	48287044.000
01/11/2012	8.97	9.04	8.77	8.86	3981291	35522696.000
01/12/2012	8.79	9.37	8.76	9.11	5036362	45854760.000
01/13/2012	9.07	9.23	8.71	8.78	3785380	33915784.000
01/16/2012	8.53	8.70	8.16	8.17	2411774	20471616.000
01/17/2012	8.17	8.99	8.17	8.99	5634256	49564024.000
01/18/2012	9.89	9.89	9.04	9.28	12692897	123293416.000
01/19/2012	9.18	9.36	8.98	9.29	9458630	86829816.000
01/20/2012	9.30	9.31	8.97	9.07	4700128	42920588.000
01/30/2012	9.22	9.22	9.02	9.04	2798798	25566528.000
01/31/2012	9.00	9.12	8.87	9.04	2289033	20714350.000
02/01/2012	9.05	9.05	8.47	8.58	7419792	64957436.000
02/02/2012	8.55	8.76	8.54	8.76	5502717	47783764.000
02/03/2012	8.71	8.86	8.59	8.81	5416713	47458160.000
02/06/2012	8.82	8.94	8.77	8.90	4697664	41781844.000
02/07/2012	8.80	8.91	8.57	8.89	4626653	40528000.000
02/08/2012	8.84	9.46	8.78	9.32	10028611	92328496.000
02/09/2012	9.23	9.33	9.10	9.17	7330338	67847648.000
02/10/2012	9.15	9.31	9.04	9.13	5013463	46179580.000
02/13/2012	9.05	9.40	8.99	9.23	5394363	50123720.000
02/14/2012	9.23	9.26	9.06	9.16	3772389	34585920.000
02/15/2012	9.13	9.64	9.13	9.42	9697585	92335504.000
02/16/2012	9.37	9.54	9.15	9.41	6005390	56254672.000
02/17/2012	9.39	9.46	9.22	9.32	4212913	39522976.000
02/20/2012	9.47	9.53	9.32	9.32	4565867	43131272.000
02/21/2012	9.32	9.40	9.13	9.40	4250739	39513428.000
02/22/2012	9.47	9.62	9.39	9.53	7293482	69513440.000
02/23/2012	9.56	9.89	9.46	9.76	9797500	95293280.000
02/24/2012	9.67	9.81	9.55	9.77	7020784	68281784.000
02/27/2012	9.79	10.75	9.79	10.36	22468538	237460784.000
02/28/2012	10.12	10.31	9.94	10.16	12277518	124649224.000
02/29/2012	10.06	10.34	9.87	9.96	8251682	83595592.000
03/01/2012	9.82	10.11	9.78	9.98	4367870	43748116.000
03/02/2012	10.07	10.32	10.04	10.14	5829226	59320884.000
03/05/2012	10.15	10.25	10.07	10.09	5205725	53000988.000
03/06/2012	10.02	10.05	9.75	9.84	5133741	50740008.000
03/07/2012	9.65	9.81	9.60	9.64	4190297	40725708.000
03/08/2012	9.63	9.90	9.63	9.78	3584783	35209816.000
03/09/2012	9.84	9.96	9.77	9.95	3759430	37220984.000
03/12/2012	9.96	10.15	9.96	10.02	4406864	44374672.000
03/13/2012	10.02	10.10	9.88	10.08	4127483	41328560.000
03/14/2012	10.12	10.25	9.37	9.47	7975929	79527584.000
03/15/2012	9.47	9.55	8.72	9.11	5543011	50890012.000
03/16/2012	9.12	9.30	8.92	9.28	4119552	37813204.000
03/19/2012	9.37	9.46	9.18	9.43	3211815	29994610.000
03/20/2012	9.43	9.43	9.11	9.12	3257937	30096434.000
03/21/2012	9.23	9.91	9.07	9.44	6099889	58124844.000
03/22/2012	9.28	9.34	9.13	9.22	3689562	34196844.000
03/23/2012	9.22	9.24	8.95	9.03	2357369	21483352.000
03/26/2012	9.03	9.13	8.97	9.07	1518867	13787936.000
03/27/2012	9.13	9.25	9.04	9.07	1594889	14641206.000
03/28/2012	9.03	9.03	8.52	8.57	3237734	28296024.000
03/29/2012	8.56	8.57	8.22	8.32	2054554	17278934.000
03/30/2012	8.33	8.45	8.20	8.28	1475791	12301201.000
04/05/2012	8.26	8.49	8.26	8.45	1869457	15789775.000
04/06/2012	8.45	8.56	8.40	8.50	1606875	13670925.000
04/09/2012	8.48	8.48	8.34	8.35	1272056	10725491.000
04/10/2012	8.29	8.46	8.13	8.46	1669694	13889822.000
04/11/2012	8.33	8.50	8.24	8.40	1258410	10591544.000
04/12/2012	8.45	8.67	8.45	8.64	3146897	27125690.000
04/16/2012	8.49	8.74	8.47	8.63	1990542	17288016.000
04/17/2012	8.64	8.72	8.53	8.53	1869951	16159732.000
04/18/2012	8.54	8.82	8.54	8.79	2982397	26087744.000
04/19/2012	8.76	8.83	8.68	8.75	1921650	16891952.000
04/20/2012	8.67	8.91	8.65	8.85	2854473	25280630.000
04/23/2012	8.80	9.00	8.47	8.55	3029219	26563412.000
04/24/2012	8.47	8.62	8.27	8.44	2581547	21815954.000
04/25/2012	8.39	8.58	8.39	8.48	2392739	20381480.000
04/26/2012	8.50	9.33	8.50	9.33	12294561	114072312.000
04/27/2012	9.47	9.47	9.02	9.07	13224545	122622664.000
05/02/2012	9.21	9.83	9.00	9.51	12894997	121711136.000
05/03/2012	9.37	10.27	9.32	9.96	15730578	155353536.000
05/04/2012	9.85	9.95	9.63	9.86	8321408	81864328.000
05/07/2012	9.69	10.25	9.59	9.80	7427655	73900144.000
05/08/2012	9.70	9.77	9.44	9.63	5910520	56826472.000
05/09/2012	9.52	9.52	9.28	9.34	5243435	49235848.000
05/10/2012	9.32	9.49	9.28	9.37	3845061	36177448.000
05/11/2012	9.35	9.52	9.15	9.18	4445761	41592072.000
05/14/2012	9.27	9.36	9.10	9.10	3181388	29483446.000
05/15/2012	8.96	9.03	8.87	9.03	2739854	24542104.000
05/16/2012	9.04	9.39	8.96	9.21	4843603	44822636.000
05/17/2012	9.22	9.54	9.08	9.45	5812571	54413836.000
05/18/2012	9.24	9.36	8.71	8.73	7754101	70154488.000
05/21/2012	8.72	8.95	8.59	8.79	4943287	43455856.000
05/22/2012	8.81	9.03	8.77	8.89	4875520	43486908.000
05/23/2012	8.84	8.88	8.63	8.71	3735002	32738314.000
05/24/2012	8.65	9.03	8.65	8.82	4819668	42720004.000
05/25/2012	8.79	8.87	8.68	8.80	2557271	22455560.000
05/28/2012	8.73	9.16	8.49	9.06	5983600	53599928.000
05/29/2012	8.97	9.48	8.94	9.32	10425353	96528560.000
05/30/2012	9.30	9.36	9.19	9.27	5670873	52711984.000
05/31/2012	9.18	9.41	9.10	9.24	5337498	49470500.000
06/01/2012	9.25	9.39	9.13	9.19	3661421	34073756.000
06/04/2012	8.94	9.00	8.53	8.58	5359780	47150512.000
06/05/2012	8.58	8.68	8.55	8.63	2644467	22834164.000
06/06/2012	8.64	8.80	8.58	8.63	2252307	19618612.000
06/07/2012	8.77	8.83	8.49	8.55	2181999	18948732.000
06/08/2012	8.61	8.70	8.52	8.55	1488169	12837485.000
06/11/2012	8.53	8.74	8.53	8.71	1707753	14840450.000
06/12/2012	8.61	8.67	8.58	8.60	1444422	12470202.000
06/13/2012	8.63	8.75	8.60	8.74	1963207	17093264.000
06/14/2012	8.74	8.82	8.65	8.66	2025036	17742800.000
06/15/2012	8.60	8.76	8.58	8.73	1952083	16971466.000
06/18/2012	8.80	8.83	8.73	8.76	2051155	18055306.000
06/19/2012	8.70	8.74	8.61	8.63	1791845	15548686.000
06/20/2012	8.64	8.73	8.59	8.62	1498755	12985472.000
06/21/2012	8.62	8.62	8.33	8.38	2177359	18327268.000
06/25/2012	8.36	8.36	7.98	8.02	2056720	16829018.000
06/26/2012	8.05	8.13	7.97	8.08	1545567	12472776.000
