002167 东方锆业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.59	9.70	9.40	9.42	1363800	39040524.000
01/05/2012	9.32	9.37	8.77	9.03	1707264	46590988.000
01/06/2012	8.97	9.25	8.52	9.25	1912957	50540168.000
01/09/2012	9.10	9.70	8.88	9.70	2702006	76905432.000
01/10/2012	9.63	10.08	9.63	10.01	3327705	98988912.000
01/11/2012	10.02	10.08	9.86	9.92	2239347	67068276.000
01/12/2012	9.85	10.28	9.77	10.18	4159851	127232336.000
01/13/2012	10.30	10.36	9.73	9.97	2831428	85854928.000
01/16/2012	9.65	9.96	9.40	9.48	1407955	40944300.000
01/17/2012	9.47	10.43	9.34	10.33	2875501	86741632.000
01/18/2012	10.33	10.79	10.13	10.37	4863373	153664544.000
01/19/2012	10.13	10.59	10.04	10.47	2276049	71104816.000
01/20/2012	10.48	10.63	10.33	10.54	1755149	55300180.000
01/30/2012	10.62	10.80	10.52	10.55	2069373	66397284.000
01/31/2012	10.47	10.60	10.32	10.55	921899	29003558.000
02/01/2012	10.55	10.59	10.23	10.42	922503	28934238.000
02/02/2012	10.45	10.56	10.24	10.53	1035856	32550714.000
02/03/2012	10.43	10.72	10.43	10.63	2376270	75818416.000
02/06/2012	10.65	10.90	10.65	10.78	3171268	103038232.000
02/07/2012	10.63	10.77	10.44	10.52	1585665	50369820.000
02/08/2012	10.60	11.03	10.40	10.97	3277656	106795864.000
02/09/2012	10.93	11.03	10.81	10.87	2834976	93358736.000
02/10/2012	10.86	11.30	10.80	11.12	3593170	120177920.000
02/13/2012	10.97	11.12	10.88	11.02	3108827	102956976.000
02/14/2012	11.03	11.10	10.76	10.84	2197432	71834048.000
02/15/2012	10.78	11.10	10.74	11.00	2278763	75102896.000
02/16/2012	11.00	11.14	10.84	10.88	1946692	64478128.000
02/17/2012	10.89	10.96	10.63	10.75	1192768	38701616.000
02/20/2012	10.93	10.95	10.40	10.46	2763797	88615736.000
02/21/2012	10.46	10.82	10.46	10.80	2684218	86352800.000
02/22/2012	10.82	11.47	10.80	11.37	6862541	231886016.000
02/23/2012	11.57	11.83	11.42	11.55	4936445	172807536.000
02/24/2012	11.53	12.02	11.49	11.82	3781439	134712208.000
02/27/2012	11.83	12.03	11.64	11.92	3152639	112353944.000
02/28/2012	11.81	11.95	11.69	11.91	3308207	117600976.000
02/29/2012	11.89	12.42	11.77	12.23	3894325	142390624.000
03/01/2012	12.19	12.31	12.06	12.22	2718622	99406176.000
03/02/2012	12.30	12.53	12.14	12.31	2597706	96279064.000
03/05/2012	12.25	12.43	12.21	12.30	2095516	77579720.000
03/06/2012	12.30	12.33	11.87	12.10	2248642	81885616.000
03/07/2012	11.97	12.22	11.91	12.00	1371979	49853376.000
03/08/2012	12.01	12.24	11.95	12.11	1940662	70688112.000
03/09/2012	12.13	12.63	12.12	12.47	3326243	124769352.000
03/12/2012	12.60	13.02	12.60	12.78	3285507	127146832.000
03/13/2012	12.82	13.34	12.68	13.27	3725430	147426256.000
03/14/2012	13.37	13.40	12.63	13.06	4412165	173548544.000
03/15/2012	12.97	12.97	12.57	12.77	2707484	103610200.000
03/16/2012	12.77	13.18	12.62	13.17	3432725	134344576.000
03/19/2012	13.19	13.30	12.89	13.13	2339285	91846384.000
03/20/2012	13.13	13.13	12.80	12.90	1545753	60424900.000
03/21/2012	12.97	13.28	12.63	12.76	2666166	103419592.000
03/22/2012	12.80	12.90	12.41	12.73	2458840	93159464.000
03/23/2012	12.67	12.67	12.36	12.50	1468484	55068328.000
03/26/2012	12.47	12.72	12.43	12.57	1134136	42892928.000
03/27/2012	12.61	12.92	12.60	12.68	1929980	74280960.000
03/28/2012	12.82	12.82	11.95	12.07	2002472	74110640.000
03/29/2012	11.90	12.05	11.50	11.57	1768875	62250480.000
03/30/2012	11.53	11.75	11.46	11.73	1200531	41958320.000
04/05/2012	11.75	12.48	11.75	12.41	1451369	53374168.000
04/06/2012	12.41	12.64	12.30	12.36	1913626	71992592.000
04/09/2012	12.30	12.57	12.24	12.26	1202764	44879364.000
04/10/2012	12.23	12.55	11.90	12.53	1417780	51901056.000
04/11/2012	12.40	12.56	12.25	12.46	928148	34625352.000
04/12/2012	12.50	12.67	12.37	12.67	1421477	53658592.000
04/13/2012	12.70	12.92	12.56	12.67	1263627	48312724.000
04/16/2012	12.63	12.67	12.44	12.50	808615	30462042.000
04/17/2012	12.45	12.56	12.25	12.28	860833	31938012.000
04/18/2012	12.32	12.77	12.28	12.76	1965593	74513552.000
04/19/2012	12.72	12.81	12.63	12.72	964045	36836552.000
04/20/2012	12.80	13.27	12.80	13.27	3619932	143271424.000
05/02/2012	13.30	14.30	13.27	13.65	5037886	206790944.000
05/03/2012	13.83	13.83	13.26	13.29	2513177	101521048.000
05/04/2012	13.20	13.47	12.97	13.47	2230781	88565256.000
05/07/2012	13.35	13.36	13.11	13.28	2159901	85996536.000
05/08/2012	13.28	13.50	13.20	13.37	2067029	83122352.000
05/09/2012	13.19	13.45	13.13	13.35	1491296	59601456.000
05/10/2012	13.33	13.95	13.30	13.77	3254028	134546688.000
05/11/2012	13.80	14.00	13.48	13.64	2528741	104000648.000
05/14/2012	13.93	13.93	13.22	13.24	2457915	99456568.000
05/16/2012	13.20	13.51	13.03	13.27	1556177	62245456.000
05/17/2012	13.37	13.62	13.17	13.48	1371031	55540456.000
05/18/2012	13.38	13.63	13.20	13.27	1183883	47590520.000
05/21/2012	13.20	13.20	12.17	13.13	3849105	147009440.000
