002168 深圳惠程 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.17	8.30	7.93	7.94	2942524	29006726.000
01/05/2012	7.85	7.85	7.31	7.33	3059880	28030168.000
01/06/2012	7.29	7.40	7.00	7.22	3444380	30022028.000
01/09/2012	7.44	7.69	7.17	7.69	5365951	48150240.000
01/10/2012	7.80	8.23	7.63	8.08	5638905	54035372.000
01/11/2012	8.15	8.84	8.04	8.36	6947119	70809096.000
01/12/2012	8.25	8.53	8.23	8.35	4801906	48632176.000
01/13/2012	8.35	8.40	7.69	7.72	5555532	53469996.000
01/16/2012	7.65	7.72	7.44	7.45	2172746	19896916.000
01/17/2012	7.45	8.06	7.41	8.06	4637704	43456820.000
01/18/2012	8.06	8.22	7.79	7.84	4312979	41608324.000
01/19/2012	7.84	7.84	7.21	7.37	14576584	130794616.000
01/20/2012	7.23	7.47	7.21	7.40	6279066	56032992.000
01/30/2012	7.44	7.57	7.40	7.43	3390655	30698898.000
01/31/2012	7.41	7.48	7.34	7.46	2634088	23637402.000
02/01/2012	7.47	7.69	7.40	7.52	3538122	32402306.000
02/02/2012	7.59	7.63	7.42	7.62	3406941	31073946.000
02/03/2012	7.64	7.95	7.55	7.94	9291528	87687456.000
02/06/2012	8.15	8.20	7.85	7.97	6746532	65262788.000
02/07/2012	7.91	7.91	7.61	7.69	5547177	51819908.000
02/08/2012	7.68	8.01	7.58	8.00	7202032	68170392.000
02/09/2012	8.01	8.22	7.94	8.16	9568623	93877304.000
02/13/2012	8.10	8.52	7.97	8.44	10025071	100566280.000
02/14/2012	8.63	8.90	8.42	8.60	12375600	128541272.000
02/15/2012	8.46	8.68	8.42	8.65	7297287	75617640.000
02/16/2012	8.60	9.02	8.55	8.86	11565957	123608184.000
02/17/2012	8.85	8.96	8.60	8.75	6359887	67254760.000
02/20/2012	8.98	8.98	8.55	8.57	6854826	72436752.000
02/21/2012	8.54	8.68	8.35	8.68	5027523	51951852.000
02/22/2012	8.69	9.55	8.62	9.55	21316176	238227088.000
02/23/2012	9.60	9.83	9.44	9.72	20235448	235456640.000
02/24/2012	9.66	9.70	9.48	9.66	9508659	110194184.000
02/27/2012	9.61	9.80	9.60	9.60	9806084	114674712.000
02/28/2012	9.50	9.57	9.20	9.35	9162102	103439072.000
02/29/2012	9.29	9.54	9.23	9.37	5852606	66344696.000
03/01/2012	9.34	9.52	9.25	9.40	5974880	67743296.000
03/02/2012	9.44	9.90	9.44	9.76	11514439	135036080.000
03/05/2012	9.75	9.85	9.51	9.62	8320092	97194496.000
03/06/2012	9.60	9.60	9.25	9.43	6360479	72095304.000
03/07/2012	9.35	9.55	9.20	9.35	4398764	49915688.000
03/08/2012	9.37	9.63	9.37	9.50	5161514	59207908.000
03/09/2012	9.52	10.09	9.50	9.95	11744499	139595904.000
03/12/2012	9.92	10.02	9.77	9.90	6626032	78959144.000
03/13/2012	9.90	10.29	9.81	10.19	9788718	119701904.000
03/14/2012	10.20	10.27	9.27	9.50	12470503	147814224.000
03/15/2012	9.48	9.59	8.85	9.16	8801547	98114256.000
03/16/2012	9.17	9.42	9.10	9.40	5002354	56098712.000
