002169 智光电气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.37	6.41	5.94	5.94	3353481	21592078.000
01/05/2012	5.85	5.91	5.53	5.55	4157943	24502208.000
01/06/2012	5.53	5.81	5.45	5.80	4432938	25832366.000
01/09/2012	5.82	6.08	5.69	6.05	4548272	27793704.000
01/10/2012	6.03	6.36	5.99	6.28	5789215	36990052.000
01/11/2012	6.28	6.58	6.22	6.41	6925725	45578588.000
01/12/2012	6.38	6.49	6.26	6.31	4686608	30652242.000
01/13/2012	6.32	6.35	5.93	6.00	4291428	26892046.000
01/16/2012	5.92	6.05	5.80	5.84	2047942	12494141.000
01/17/2012	5.83	6.26	5.82	6.26	3086115	19265946.000
01/18/2012	6.28	6.35	6.05	6.09	3626870	23104690.000
01/19/2012	6.11	6.15	6.00	6.09	2509154	15716360.000
01/20/2012	6.11	6.15	6.06	6.10	3598800	22576878.000
01/30/2012	6.16	6.16	6.05	6.08	2286492	14331891.000
01/31/2012	6.06	6.09	5.83	5.92	3842228	23315868.000
02/01/2012	5.92	5.99	5.87	5.90	2468235	15069586.000
02/02/2012	5.90	6.12	5.90	6.12	3863038	23877624.000
02/03/2012	6.12	6.28	6.07	6.24	5694952	36281888.000
02/06/2012	6.26	6.40	6.23	6.34	5576282	36166968.000
02/07/2012	6.35	6.35	6.11	6.15	4003666	25499612.000
02/08/2012	6.15	6.45	6.14	6.39	7272054	47262576.000
02/09/2012	6.40	6.72	6.35	6.45	8699664	58474328.000
02/10/2012	6.43	6.58	6.41	6.52	5765738	38443812.000
02/13/2012	6.41	6.69	6.33	6.67	7885801	53064884.000
02/14/2012	6.67	6.70	6.50	6.58	8173832	55084180.000
02/15/2012	6.58	6.89	6.48	6.86	14651418	101169560.000
02/16/2012	6.85	7.08	6.78	7.06	15564531	110602192.000
02/17/2012	7.10	7.13	6.87	6.91	8461837	60179772.000
02/20/2012	7.01	7.01	6.75	6.80	8561068	60448848.000
02/21/2012	6.76	6.88	6.66	6.85	8434769	58591732.000
02/22/2012	6.88	7.08	6.84	7.04	10998228	78348416.000
02/23/2012	7.03	7.09	6.90	6.98	9925226	71010976.000
02/24/2012	7.01	7.17	6.95	7.10	9830621	71343832.000
02/27/2012	7.11	7.26	7.05	7.08	11163568	81692504.000
02/28/2012	7.12	7.28	6.95	7.15	11547325	84493224.000
02/29/2012	7.04	7.06	6.83	6.85	9202829	65368884.000
03/01/2012	6.84	6.96	6.78	6.87	4216637	29843096.000
03/02/2012	6.89	7.02	6.88	7.01	5653789	40279860.000
03/05/2012	7.01	7.24	7.00	7.10	9793473	71477576.000
03/06/2012	7.08	7.09	6.94	6.98	5543406	39783564.000
03/07/2012	6.91	7.18	6.87	7.14	7336341	53102336.000
03/08/2012	7.17	7.29	7.09	7.28	10082408	74508744.000
03/09/2012	7.31	7.38	7.20	7.32	7839477	58431696.000
03/12/2012	7.38	7.57	7.31	7.36	10705985	81315328.000
03/13/2012	7.36	7.53	7.26	7.48	8444340	63680176.000
03/14/2012	7.47	7.50	6.83	6.95	11195970	82846792.000
03/15/2012	6.94	7.07	6.66	6.71	6130692	42822760.000
03/16/2012	6.73	6.92	6.69	6.92	4530006	31633958.000
03/19/2012	6.92	7.03	6.86	7.02	3870873	27565056.000
03/20/2012	6.99	7.01	6.79	6.79	4127086	29077904.000
