002171 楚江新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	11.70	11.86	11.16	11.16	1907549	22275956.000
01/05/2012	11.14	11.15	10.76	10.79	1756655	19413204.000
01/06/2012	10.79	10.97	10.49	10.97	1478563	15998734.000
01/09/2012	10.97	11.66	10.82	11.56	3004948	34517584.000
01/10/2012	11.63	12.29	11.51	12.16	5732749	68966856.000
01/11/2012	12.11	12.26	11.77	11.98	4716948	57093820.000
01/12/2012	11.85	12.61	11.80	12.21	5372266	66265980.000
01/13/2012	12.12	12.55	11.64	11.81	4790212	58028348.000
01/16/2012	11.51	11.81	11.08	11.10	2847402	32782028.000
01/17/2012	11.05	12.22	11.05	12.22	6708531	80683744.000
01/18/2012	12.22	12.96	12.12	12.15	9254695	117079160.000
01/19/2012	12.14	12.54	11.79	12.30	4838335	59805720.000
01/20/2012	12.44	12.64	12.29	12.31	3175355	39627396.000
01/30/2012	12.46	12.61	12.11	12.14	2790323	34760144.000
01/31/2012	12.15	12.24	11.95	12.16	1842973	22464340.000
02/01/2012	12.15	12.19	11.82	11.85	1952636	23555318.000
02/02/2012	11.90	12.19	11.86	12.18	2174285	26398988.000
02/03/2012	12.26	12.26	12.03	12.20	2611206	32022138.000
02/06/2012	12.32	12.41	12.08	12.15	2690749	33160352.000
02/07/2012	12.00	12.12	11.81	12.05	2594748	31213694.000
02/08/2012	11.98	13.01	11.94	12.91	9520649	121306544.000
02/09/2012	12.79	12.88	12.52	12.66	7551058	96599672.000
02/10/2012	12.61	12.83	12.52	12.66	4422142	56478772.000
02/13/2012	12.44	12.77	12.34	12.60	3858580	48907384.000
02/14/2012	12.59	12.67	12.45	12.67	2690314	34074856.000
02/15/2012	12.60	13.01	12.59	12.81	6990393	90395896.000
02/16/2012	12.70	12.90	12.51	12.72	4062516	51836168.000
02/17/2012	12.74	12.84	12.57	12.72	2611872	33488582.000
02/20/2012	12.89	12.95	12.63	12.65	3592015	46344704.000
02/21/2012	12.62	12.73	12.44	12.72	2766202	35117924.000
02/22/2012	12.75	12.90	12.71	12.85	4547865	58686688.000
02/23/2012	12.84	13.06	12.79	12.98	5818117	75930472.000
02/24/2012	13.00	13.10	12.82	13.06	5720363	74882296.000
02/27/2012	13.12	13.90	13.09	13.23	9574541	129851616.000
02/28/2012	13.05	13.17	12.86	13.04	5617721	73584736.000
02/29/2012	13.07	13.41	12.96	13.07	4917287	65323812.000
03/01/2012	12.92	13.09	12.86	13.00	2330699	30481120.000
03/02/2012	13.07	13.26	13.07	13.21	3588416	47655992.000
03/05/2012	13.18	13.55	13.18	13.25	4167500	55936884.000
03/06/2012	13.11	13.18	12.82	12.93	3524278	45999908.000
03/07/2012	12.73	12.84	12.54	12.66	3413937	43653256.000
03/08/2012	12.68	12.98	12.68	12.82	2690292	34786268.000
03/09/2012	12.87	13.00	12.79	12.98	2767589	35979484.000
03/12/2012	13.02	13.29	12.97	13.07	3834558	50569824.000
03/13/2012	13.06	13.26	12.98	13.23	3977328	52595848.000
03/14/2012	13.33	13.41	12.51	12.62	6824626	89610152.000
03/15/2012	12.51	12.64	11.92	12.21	4279308	52784760.000
03/16/2012	12.23	12.44	12.11	12.44	2828441	35065520.000
03/19/2012	12.41	12.71	12.30	12.68	2673585	33625612.000
03/20/2012	12.61	12.61	12.29	12.30	2182823	27246724.000
03/21/2012	12.24	12.88	12.24	12.58	3634687	46263496.000
03/22/2012	12.51	12.57	12.34	12.38	1820715	22776912.000
03/23/2012	12.31	12.36	12.04	12.07	2250477	27574810.000
03/26/2012	12.16	12.38	12.11	12.22	1846760	22782422.000
03/27/2012	12.37	12.49	12.09	12.11	2119860	26217134.000
03/28/2012	12.06	12.06	11.29	11.41	2713204	31814612.000
03/29/2012	11.34	11.34	10.91	11.07	1917448	21510794.000
03/30/2012	11.01	11.19	10.95	11.03	1151156	12820108.000
04/05/2012	11.07	11.35	10.93	11.29	1293604	14621937.000
04/06/2012	11.30	11.43	11.19	11.34	1225837	14001599.000
04/09/2012	11.31	11.37	11.12	11.13	1031510	11676380.000
04/10/2012	11.08	11.31	10.91	11.31	1395329	15617084.000
04/11/2012	11.16	11.34	10.98	11.31	1079148	12205385.000
04/12/2012	11.41	11.62	11.28	11.53	2157539	24922872.000
04/13/2012	11.54	11.68	11.50	11.61	2302472	26893186.000
04/16/2012	11.50	11.60	11.36	11.52	1542516	17838442.000
04/17/2012	11.53	11.65	11.39	11.41	1359949	15747443.000
04/18/2012	11.55	11.76	11.46	11.71	2500394	29306938.000
04/19/2012	11.63	11.71	11.56	11.62	2185307	25652652.000
04/20/2012	11.61	11.85	11.51	11.74	2324463	27432318.000
04/23/2012	11.75	11.80	11.28	11.34	2485715	28935626.000
04/24/2012	11.21	11.40	10.93	11.14	2589645	29109784.000
04/25/2012	11.06	11.33	11.06	11.30	1702230	19257294.000
04/26/2012	11.36	11.97	11.30	11.81	6875546	81594232.000
04/27/2012	11.74	11.78	11.54	11.59	2638731	30954588.000
05/03/2012	12.06	12.76	11.91	12.76	16928952	213488800.000
05/04/2012	12.77	12.79	12.33	12.61	15687192	198163616.000
05/07/2012	12.36	12.69	12.32	12.53	8320168	104559336.000
05/08/2012	12.38	12.51	12.21	12.34	5562799	69018816.000
05/09/2012	12.06	12.21	12.01	12.06	4110115	50043032.000
05/10/2012	12.02	12.21	12.01	12.16	3683659	44954216.000
05/11/2012	12.15	12.25	12.02	12.04	3565677	43546540.000
05/14/2012	12.17	12.25	11.75	11.81	3468437	41914988.000
05/15/2012	11.56	11.58	11.37	11.49	3455708	39924652.000
05/16/2012	11.44	11.69	11.36	11.41	2345253	27243962.000
05/17/2012	11.45	11.68	11.37	11.66	3051428	35575436.000
05/18/2012	11.58	11.59	11.26	11.29	2832495	32572010.000
05/21/2012	11.28	11.65	11.24	11.47	2489603	28752034.000
05/22/2012	11.55	11.64	11.49	11.61	2288086	26694782.000
05/23/2012	11.50	11.60	11.31	11.39	1956441	22544800.000
05/24/2012	11.31	11.49	11.29	11.34	1769883	20318704.000
05/25/2012	11.37	11.45	11.14	11.34	1965561	22288924.000
05/28/2012	11.31	11.68	10.98	11.57	3598059	41293124.000
05/29/2012	11.44	12.13	11.44	11.85	6496436	77073416.000
05/30/2012	11.81	11.86	11.59	11.69	3405967	40092572.000
05/31/2012	11.58	11.71	11.43	11.60	2668273	30973748.000
06/01/2012	11.60	11.80	11.51	11.63	2359119	27715094.000
06/04/2012	11.43	11.43	11.11	11.11	2964936	33600356.000
06/05/2012	11.11	11.24	11.08	11.16	1505831	16905196.000
06/06/2012	11.18	11.36	11.08	11.20	1656931	18716394.000
06/07/2012	11.38	11.42	11.03	11.06	2006271	22679870.000
06/08/2012	11.15	11.24	11.04	11.05	1405534	15719922.000
06/11/2012	11.20	11.28	11.08	11.22	1592477	17958598.000
06/12/2012	11.22	11.22	11.08	11.13	1019727	11418106.000
06/13/2012	11.14	11.28	11.10	11.27	1269689	14350930.000
06/14/2012	11.26	11.35	11.11	11.13	1546055	17443836.000
06/15/2012	11.14	11.30	11.08	11.23	1370207	15423597.000
06/18/2012	11.38	11.43	11.25	11.30	1950885	22213458.000
06/19/2012	11.28	11.28	11.15	11.18	1300511	14644938.000
06/20/2012	11.19	11.28	11.14	11.20	919455	10368916.000
06/21/2012	11.09	11.09	10.94	10.97	1561897	17270784.000
06/25/2012	10.97	11.08	10.54	10.58	1409533	15341174.000
