002184 海得控制 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.20	6.22	5.92	5.93	677052	4450794.500
01/05/2012	5.93	5.93	5.47	5.51	796802	4881321.500
01/06/2012	5.51	5.63	5.35	5.59	553068	3309557.500
01/09/2012	5.70	5.92	5.51	5.92	783590	4906887.000
01/10/2012	5.89	6.25	5.89	6.22	1321779	8733891.000
01/11/2012	6.20	6.35	6.16	6.27	1240702	8390184.000
01/12/2012	6.28	6.36	6.16	6.18	1098648	7433939.500
01/13/2012	6.18	6.26	5.75	5.81	991815	6419246.000
01/16/2012	5.70	5.83	5.68	5.68	532732	3332408.750
01/17/2012	5.72	6.08	5.69	6.07	804417	5114285.500
01/18/2012	6.14	6.22	5.85	5.89	938051	6143042.500
01/19/2012	5.88	6.03	5.85	5.92	739751	4766887.500
01/20/2012	5.95	6.03	5.91	6.02	663411	4297985.500
01/30/2012	6.03	6.07	5.87	5.95	912627	5934303.000
01/31/2012	5.93	5.97	5.75	5.87	894928	5678596.500
02/01/2012	5.88	5.95	5.76	5.78	941020	5965503.000
02/02/2012	5.80	5.94	5.76	5.90	827543	5265388.000
02/03/2012	5.85	6.25	5.85	6.21	2525713	16667950.000
02/06/2012	6.22	6.33	6.10	6.18	2036788	13654213.000
02/07/2012	6.11	6.24	6.07	6.22	1726559	11488461.000
02/08/2012	6.19	6.43	6.14	6.42	2869219	19515036.000
02/09/2012	6.38	6.59	6.38	6.46	2858869	20045118.000
02/10/2012	6.38	6.57	6.36	6.42	1761136	12294844.000
02/13/2012	6.40	6.69	6.30	6.66	2162791	15223526.000
02/14/2012	6.66	6.97	6.55	6.69	3737692	27080776.000
02/15/2012	6.73	6.92	6.65	6.88	2039815	14872499.000
02/16/2012	6.89	7.14	6.74	7.09	2682233	19989778.000
02/17/2012	7.03	7.03	6.86	6.95	1563123	11642173.000
02/20/2012	7.06	7.10	6.94	7.01	2293626	17222388.000
02/21/2012	7.01	7.15	6.82	7.13	2703877	20287522.000
02/22/2012	7.17	7.24	7.07	7.22	1990046	15242121.000
02/23/2012	7.17	7.37	7.13	7.15	4309148	33353802.000
02/24/2012	7.13	7.20	6.96	7.15	3160131	23986468.000
02/27/2012	7.15	7.27	7.08	7.14	2959251	22722734.000
02/28/2012	7.10	7.13	6.86	6.93	2597769	19373918.000
02/29/2012	6.90	7.02	6.83	6.84	1144443	8494213.000
03/01/2012	6.80	6.94	6.80	6.86	1183390	8734665.000
