002188 巴士在线 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.50	7.75	7.50	7.60	809964	6175444.000
01/05/2012	7.50	7.62	7.10	7.38	653703	4809240.000
01/06/2012	7.25	7.33	6.99	7.25	759467	5393642.000
01/09/2012	7.20	7.55	7.20	7.53	611912	4528151.000
01/10/2012	7.49	7.99	7.45	7.95	842876	6545771.500
01/11/2012	7.95	8.17	7.91	8.09	1193164	9595713.000
01/12/2012	7.90	8.35	7.90	8.29	808211	6620342.000
01/13/2012	8.31	8.36	7.98	8.29	1060097	8630059.000
01/16/2012	8.09	8.24	8.00	8.16	364377	2949707.750
01/17/2012	8.10	8.60	8.01	8.51	534627	4475057.000
01/18/2012	8.51	8.80	8.35	8.43	486599	4114832.000
01/19/2012	8.32	8.46	8.32	8.44	370587	3112046.500
01/20/2012	8.30	8.53	8.30	8.48	343361	2907782.000
01/30/2012	8.43	8.59	8.41	8.55	317618	2700140.000
01/31/2012	8.50	8.56	8.33	8.56	245528	2086916.375
02/01/2012	8.42	8.75	8.18	8.70	514600	4449441.000
02/02/2012	8.70	9.00	8.59	8.93	559331	4964358.000
02/03/2012	8.96	9.15	8.77	9.12	1045971	9459173.000
02/13/2012	10.03	10.03	9.07	9.14	3037382	28492410.000
02/14/2012	9.00	9.39	8.76	9.15	1997834	17927960.000
02/15/2012	9.03	9.16	8.88	9.08	1451528	13129901.000
02/16/2012	9.08	9.12	8.82	8.94	957685	8614959.000
02/17/2012	8.86	9.07	8.86	9.02	610324	5480026.500
02/20/2012	9.05	9.10	8.88	8.89	915584	8221074.500
02/21/2012	8.90	9.00	8.63	8.89	913823	8090394.000
02/22/2012	8.90	9.05	8.76	9.05	1765165	15750018.000
02/23/2012	9.05	9.05	8.88	8.93	1159369	10388667.000
02/24/2012	8.95	8.95	8.80	8.93	1451550	12902136.000
02/27/2012	8.93	9.23	8.88	9.09	2630417	23782480.000
02/28/2012	9.02	9.09	8.85	8.91	1369803	12270891.000
02/29/2012	8.90	8.90	8.58	8.59	1479183	12854504.000
03/01/2012	8.59	8.68	8.49	8.52	1372773	11731518.000
03/02/2012	8.53	8.65	8.43	8.64	1533307	13119984.000
03/05/2012	8.61	8.79	8.61	8.65	1116545	9695329.000
