002190 成飞集成 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	15.72	15.95	15.18	15.27	1314751	27216922.000
01/05/2012	15.10	15.26	14.56	14.56	913792	18125736.000
01/06/2012	14.52	14.85	14.36	14.84	690159	13475241.000
01/09/2012	15.23	15.63	14.84	15.63	1734834	35445452.000
01/10/2012	15.56	16.32	15.46	16.17	2260145	48205124.000
01/11/2012	16.16	17.83	16.16	17.18	5435932	126170112.000
01/12/2012	17.06	17.25	16.47	16.66	3025975	67929600.000
01/13/2012	16.63	16.76	15.60	15.84	2396145	51213480.000
01/16/2012	15.69	15.69	15.06	15.07	1335109	27521668.000
01/17/2012	15.14	16.37	15.11	16.26	2159574	45657984.000
01/18/2012	16.33	16.84	15.66	15.69	2125229	46024820.000
01/19/2012	15.58	16.10	15.46	16.05	1605490	33969452.000
01/20/2012	16.10	16.33	15.83	16.09	1239701	26672978.000
01/30/2012	16.34	16.79	16.19	16.31	1795565	39442392.000
01/31/2012	16.29	16.45	15.80	16.09	1227422	26203080.000
02/01/2012	16.09	16.33	15.75	15.80	1168615	24945264.000
02/02/2012	16.06	16.18	15.76	16.18	1263912	27020230.000
02/03/2012	16.18	16.66	16.10	16.56	2183399	47791248.000
02/06/2012	16.41	16.64	16.35	16.52	1721785	37883272.000
02/07/2012	16.49	16.87	16.07	16.52	2673815	58831872.000
02/08/2012	16.41	16.96	16.34	16.96	3524454	78731104.000
02/09/2012	16.94	17.79	16.80	17.01	3861405	89432744.000
02/10/2012	17.13	17.14	16.64	16.86	2407766	54116892.000
02/13/2012	16.71	17.13	16.63	16.99	1665604	37514860.000
02/14/2012	16.93	17.49	16.93	17.26	2751432	63045156.000
02/15/2012	17.39	17.42	17.03	17.30	2325313	53439368.000
02/16/2012	17.33	17.41	16.99	17.13	2043018	46764380.000
02/17/2012	17.18	17.87	17.18	17.37	3719831	86954520.000
02/20/2012	17.27	17.76	17.27	17.37	2771856	64632932.000
02/21/2012	17.30	17.37	16.76	17.35	2360237	53718400.000
02/22/2012	17.26	17.80	17.01	17.78	3914513	91204856.000
02/23/2012	17.71	18.03	17.41	17.64	2707330	63603320.000
02/24/2012	17.63	17.76	17.46	17.71	2895521	67975984.000
02/27/2012	17.80	18.10	17.64	17.64	3278168	78017672.000
02/28/2012	17.53	17.93	17.41	17.90	3324129	78347472.000
02/29/2012	18.06	18.06	17.33	17.43	1980576	46647680.000
03/01/2012	17.38	17.60	17.36	17.43	1346698	31348718.000
03/02/2012	17.53	18.03	17.44	17.93	2999737	71265272.000
03/05/2012	17.87	18.85	17.87	18.25	5174928	127606592.000
03/06/2012	18.26	18.52	17.58	17.87	3233662	76973504.000
03/07/2012	17.60	18.16	17.43	17.60	2261066	53722444.000
03/08/2012	18.03	19.38	17.93	18.18	4769208	117380544.000
03/09/2012	18.22	18.80	18.22	18.44	2873518	70506880.000
03/12/2012	18.46	18.62	18.19	18.48	1821482	44464716.000
03/13/2012	18.64	18.64	18.26	18.49	1745995	42701704.000
03/14/2012	18.49	19.07	17.11	17.62	4425869	108139840.000
03/15/2012	17.55	17.70	16.97	17.10	2113796	48622672.000
03/16/2012	17.17	18.68	17.06	18.56	3757498	89265768.000
03/19/2012	18.56	18.94	18.28	18.80	3908000	96973688.000
03/20/2012	18.94	19.16	18.33	18.80	3375268	84170472.000
03/21/2012	18.80	19.12	18.32	18.95	3510392	87406544.000
03/22/2012	19.18	19.46	18.53	18.59	3764351	95339848.000
03/23/2012	18.64	18.64	17.57	17.73	2704607	64720436.000
03/26/2012	17.68	17.92	17.41	17.56	1241283	29169242.000
03/27/2012	17.80	18.18	17.45	17.60	1780624	42182136.000
03/28/2012	17.42	17.59	16.91	16.99	2408569	55085876.000
03/29/2012	17.26	17.36	16.44	16.82	2149613	48874056.000
03/30/2012	16.68	16.68	15.56	16.10	2808613	59940936.000
04/05/2012	16.25	17.04	16.03	16.99	2301828	50771124.000
04/06/2012	16.87	17.14	16.68	17.03	1223212	27637104.000
04/09/2012	17.09	17.09	16.45	16.46	1718059	38022332.000
04/10/2012	16.33	16.53	15.90	16.50	1140095	24722624.000
04/11/2012	16.32	16.81	16.10	16.60	1191718	26321742.000
04/12/2012	16.67	17.07	16.33	17.02	2416129	54277520.000
04/13/2012	17.03	17.18	16.87	17.14	1629244	36982552.000
04/16/2012	17.06	17.18	16.88	17.17	1413314	32203186.000
04/17/2012	17.26	17.33	16.76	16.87	1118368	25454012.000
04/18/2012	16.91	17.60	16.91	17.60	2333081	53954376.000
04/19/2012	17.63	18.36	17.21	17.23	2985910	70020176.000
04/20/2012	17.22	17.22	16.87	17.06	1520112	34446224.000
04/23/2012	17.03	17.56	16.90	17.25	1760886	40491920.000
04/24/2012	17.24	17.72	16.41	17.40	2949556	67565424.000
04/25/2012	17.10	17.41	16.82	17.10	1666972	37847984.000
04/26/2012	16.99	17.09	16.76	16.80	975558	21950512.000
04/27/2012	16.72	16.94	16.63	16.63	519273	11600547.000
05/02/2012	16.89	17.27	16.73	16.85	847253	19097276.000
05/03/2012	17.10	17.37	16.87	17.34	1762321	40445268.000
05/04/2012	17.30	17.45	17.12	17.30	966495	22208740.000
05/07/2012	17.25	17.53	17.10	17.33	1491474	34402572.000
05/08/2012	17.26	17.43	17.13	17.26	1146581	26362964.000
05/09/2012	17.10	18.80	17.10	17.72	4869243	116107968.000
05/10/2012	17.49	18.02	17.26	17.63	2688130	62916128.000
05/11/2012	17.51	17.84	17.31	17.37	1792278	41872748.000
05/14/2012	17.61	17.80	17.10	17.12	1141576	26364162.000
05/15/2012	17.02	17.33	16.91	17.05	1071442	24365452.000
05/16/2012	17.03	17.08	16.50	16.53	910950	20408038.000
05/17/2012	16.53	16.85	16.49	16.70	767205	17054016.000
05/21/2012	16.56	16.70	16.18	16.44	597799	13131489.000
05/22/2012	16.43	16.87	16.41	16.87	790005	17588026.000
05/23/2012	17.08	17.08	16.49	16.69	602233	13438282.000
05/24/2012	16.69	16.84	16.45	16.53	710476	15760408.000
05/25/2012	16.49	16.70	16.10	16.18	663548	14480834.000
05/28/2012	16.18	16.40	15.88	16.37	427599	9216820.000
05/29/2012	16.40	16.80	16.26	16.73	761887	16895414.000
05/30/2012	16.80	16.90	16.58	16.75	1051882	17945620.000
05/31/2012	16.68	17.17	16.55	16.96	2006261	34734280.000
06/01/2012	16.96	17.10	16.71	16.98	1291806	22263452.000
06/04/2012	16.68	17.46	16.34	16.86	2261560	39018364.000
06/05/2012	16.97	17.13	16.56	16.68	1095270	18675246.000
06/06/2012	16.81	16.92	16.38	16.54	792521	13396797.000
06/07/2012	16.56	16.73	16.28	16.28	635705	10694082.000
06/08/2012	16.48	16.98	16.38	16.60	1254395	21332540.000
06/11/2012	16.53	16.71	16.29	16.71	830910	13980142.000
06/12/2012	16.67	16.67	16.34	16.40	601789	10086748.000
06/13/2012	16.36	16.54	16.30	16.48	662395	11103096.000
06/14/2012	16.50	16.87	16.44	16.51	1054088	17903966.000
06/15/2012	16.51	16.62	16.26	16.32	749860	12539453.000
06/18/2012	16.29	16.58	16.29	16.40	835784	13997652.000
06/19/2012	16.35	16.53	16.16	16.28	897226	14874716.000
06/20/2012	16.42	16.45	16.00	16.09	865564	14246847.000
06/21/2012	16.09	16.09	15.40	15.53	982592	15673970.000
06/25/2012	15.49	15.67	15.00	15.00	713415	11214537.000
06/26/2012	15.05	15.32	15.00	15.30	673442	10441861.000
06/27/2012	15.26	15.49	15.06	15.16	620024	9626235.000
06/28/2012	15.16	15.18	14.28	14.28	838522	12705957.000
06/29/2012	14.22	14.87	14.19	14.83	1026462	15356142.000
07/02/2012	14.88	15.18	14.76	14.80	774755	11759955.000
07/03/2012	14.93	14.93	14.40	14.75	783112	11663023.000
07/04/2012	14.87	14.87	14.40	14.80	932070	13978846.000
07/05/2012	14.69	14.76	14.01	14.18	708446	10374874.000
07/06/2012	14.19	14.38	13.68	14.20	1129147	16176255.000
07/09/2012	14.08	14.38	13.82	14.08	1204989	17419996.000
07/10/2012	14.17	14.33	13.97	14.18	1219030	17616336.000
07/11/2012	14.42	14.47	14.04	14.07	1034107	15118433.000
07/12/2012	13.73	14.00	13.38	13.87	1733561	24221330.000
07/13/2012	13.68	13.68	12.45	12.45	9457006	122936424.000
07/16/2012	11.88	11.89	11.17	11.28	7989532	93183432.000
07/17/2012	11.10	11.40	10.98	11.35	3801530	43846848.000
07/18/2012	12.52	12.52	12.25	12.52	8722970	111899896.000
07/19/2012	13.16	13.40	12.70	12.93	22642710	302268576.000
07/20/2012	12.53	12.64	11.61	12.07	20947506	259751120.000
