002208 合肥城建 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.21	5.25	5.00	5.02	992310	5492708.500
01/05/2012	5.01	5.04	4.82	4.85	846467	4512107.500
01/06/2012	4.81	4.90	4.73	4.89	880737	4586860.000
01/09/2012	4.86	5.11	4.80	5.11	1435557	7751449.500
01/10/2012	5.06	5.36	5.06	5.35	2551851	14413846.000
01/11/2012	5.36	5.38	5.24	5.31	2087230	11900379.000
01/12/2012	5.24	5.67	5.24	5.41	3204658	18843286.000
01/13/2012	5.34	5.41	5.11	5.15	1503689	8458899.000
01/16/2012	5.15	5.28	5.04	5.05	1189969	6605090.500
01/17/2012	5.06	5.35	5.03	5.34	1570913	8884139.000
01/18/2012	5.34	5.47	5.23	5.27	1489785	8562518.000
01/19/2012	5.28	5.38	5.23	5.35	1239414	7096088.000
01/20/2012	5.33	5.50	5.29	5.50	1679111	9765556.000
01/30/2012	5.50	5.55	5.36	5.39	1197830	6979764.000
01/31/2012	5.39	5.40	5.31	5.36	604755	3476044.500
02/01/2012	5.33	5.44	5.31	5.33	1011565	5848895.500
02/02/2012	5.33	5.43	5.28	5.42	1133854	6534949.000
02/03/2012	5.43	5.50	5.39	5.48	1523838	8924926.000
02/06/2012	5.48	5.51	5.43	5.48	1389376	8159566.500
02/07/2012	5.45	5.46	5.28	5.30	1383952	7944124.000
02/08/2012	5.30	5.44	5.27	5.44	1409243	8156800.500
02/09/2012	5.43	5.89	5.41	5.86	8443609	51777008.000
02/10/2012	6.10	6.49	6.06	6.49	21344251	145559040.000
02/13/2012	6.06	6.47	6.03	6.40	17089242	113193040.000
02/14/2012	6.28	7.08	6.17	7.08	20811003	147206576.000
02/15/2012	6.88	7.23	6.83	7.13	17644817	130842184.000
02/16/2012	7.05	7.07	6.86	7.01	9695860	71327208.000
02/17/2012	6.95	7.04	6.68	6.89	9415393	68372576.000
02/21/2012	6.88	7.27	6.79	7.13	15296315	114092456.000
02/22/2012	7.05	7.45	7.04	7.27	13574415	103688704.000
02/23/2012	7.15	7.24	7.01	7.17	8833994	66492564.000
02/24/2012	7.13	7.88	7.07	7.67	16161809	127531296.000
02/27/2012	7.55	7.65	7.45	7.50	11124386	88306416.000
02/28/2012	7.36	7.48	7.12	7.28	9191379	70604976.000
02/29/2012	7.11	7.19	6.89	7.07	8098676	60231252.000
03/01/2012	6.96	7.20	6.96	7.09	4711557	35388376.000
03/02/2012	7.05	7.42	7.05	7.37	7417229	57079104.000
03/05/2012	7.41	7.41	7.20	7.31	5792223	44536784.000
03/06/2012	7.33	7.33	7.05	7.25	4707034	35648324.000
03/07/2012	7.10	7.49	7.09	7.30	7323704	56491648.000
03/08/2012	7.25	7.47	7.25	7.35	6272222	48753976.000
03/09/2012	7.42	7.42	7.21	7.35	6863499	52815620.000
03/12/2012	7.36	7.38	7.11	7.18	5227966	39871772.000
03/13/2012	7.18	7.27	7.11	7.24	4086749	31022694.000
03/14/2012	7.26	7.33	6.48	6.49	11433465	83767440.000
03/15/2012	6.50	6.55	6.12	6.22	7091436	47252800.000
03/16/2012	6.25	6.38	6.17	6.36	4719556	31613814.000
03/19/2012	6.35	6.50	6.31	6.49	3779971	25726094.000
03/20/2012	6.47	6.58	6.34	6.41	5528891	38004056.000
03/21/2012	6.43	6.46	6.25	6.37	2965623	20014868.000
03/22/2012	6.35	6.54	6.31	6.50	4204930	28922090.000
03/23/2012	6.48	6.48	6.21	6.26	2966819	19974780.000
03/26/2012	6.25	6.30	6.14	6.24	2140591	14170185.000
03/27/2012	6.30	6.54	6.27	6.40	4392459	29868554.000
03/28/2012	6.24	6.56	6.18	6.26	6005474	40680624.000
03/29/2012	6.13	6.29	5.59	5.99	4586141	29298732.000
03/30/2012	5.93	6.02	5.78	5.85	3125435	19640488.000
04/05/2012	5.88	6.14	5.81	6.08	3162156	20168704.000
04/06/2012	6.05	6.28	6.00	6.18	3350655	22006296.000
04/09/2012	6.16	6.22	5.95	5.95	2405525	15631218.000
04/10/2012	5.95	6.18	5.72	6.17	2807227	17846584.000
04/11/2012	6.10	6.83	6.03	6.80	13284211	93962480.000
04/12/2012	6.62	6.95	6.62	6.91	9240226	66210228.000
04/13/2012	6.85	6.93	6.70	6.75	5264526	37852848.000
04/16/2012	6.76	7.20	6.60	6.95	9557008	70316544.000
04/17/2012	6.94	7.18	6.65	6.66	6297089	45848664.000
04/18/2012	6.75	6.84	6.31	6.80	5519915	39245320.000
04/19/2012	6.65	6.85	6.63	6.70	3046994	21761110.000
04/20/2012	6.68	7.34	6.66	7.00	7049774	51978392.000
04/23/2012	7.00	7.28	6.91	7.08	8324018	62619440.000
04/24/2012	6.98	7.29	6.64	6.97	8288654	61027544.000
04/25/2012	6.95	7.55	6.70	7.30	11521457	88210704.000
04/26/2012	7.31	7.55	7.16	7.31	9549863	74507016.000
04/27/2012	7.30	7.35	7.10	7.12	3623634	27575086.000
05/02/2012	7.25	7.30	7.01	7.12	4654338	35038188.000
05/03/2012	7.17	7.17	6.86	7.00	3719993	27463106.000
05/04/2012	7.01	7.13	6.95	7.05	2731832	20334724.000
05/07/2012	7.01	7.04	6.70	6.87	5785633	41849424.000
05/08/2012	6.89	6.94	6.82	6.88	3227913	23521210.000
05/09/2012	6.80	6.88	6.73	6.76	2858056	20564696.000
05/11/2012	6.76	6.82	6.60	6.64	2195310	15578981.000
05/14/2012	6.80	6.86	6.67	6.67	3856433	27753068.000
05/15/2012	6.59	6.62	6.45	6.62	2505091	17322036.000
05/16/2012	6.62	6.62	6.20	6.26	2931343	20080910.000
05/17/2012	6.28	6.44	6.19	6.42	4034296	27158458.000
05/18/2012	6.35	6.39	6.10	6.22	3553045	23631516.000
05/21/2012	6.19	6.35	6.15	6.26	1855710	12354791.000
05/22/2012	6.30	6.55	6.28	6.48	2686611	18357568.000
05/23/2012	6.43	6.70	6.35	6.64	4300970	29988870.000
05/24/2012	6.59	6.68	6.44	6.51	2391811	16676416.000
05/25/2012	6.50	6.58	6.32	6.39	2018244	13870060.000
05/28/2012	6.32	6.67	6.18	6.67	3746225	25745886.000
05/29/2012	6.72	6.79	6.62	6.69	4294922	30525246.000
05/30/2012	6.70	6.96	6.60	6.82	5619215	40825068.000
05/31/2012	6.70	6.77	6.62	6.68	3875544	27473910.000
06/01/2012	6.64	6.77	6.64	6.69	1775853	12610609.000
06/04/2012	6.51	6.57	6.31	6.31	2527175	17297600.000
06/05/2012	6.34	6.39	6.28	6.29	1576775	10613889.000
06/06/2012	6.29	6.33	6.10	6.11	2411733	15878945.000
06/07/2012	6.21	6.29	6.08	6.10	2088024	13745270.000
06/08/2012	6.29	6.46	6.19	6.21	3401476	22860548.000
06/11/2012	6.12	6.50	6.11	6.42	3235479	21744152.000
06/12/2012	6.37	6.80	6.29	6.55	4870238	33857128.000
06/13/2012	6.56	6.65	6.46	6.57	5100380	35436844.000
06/14/2012	6.50	6.58	6.33	6.37	3080240	21143062.000
06/15/2012	6.38	6.43	6.11	6.34	2672426	17904626.000
06/18/2012	6.31	6.39	6.29	6.34	1977600	13336503.000
06/19/2012	6.31	6.35	6.15	6.15	3077428	20330814.000
06/20/2012	6.15	6.30	6.14	6.19	1795026	11906030.000
06/21/2012	6.15	6.26	6.12	6.20	1884629	12411891.000
06/25/2012	6.12	6.19	5.72	5.78	3939871	24856240.000
06/26/2012	5.78	5.88	5.71	5.86	1504695	9323087.000
06/27/2012	5.82	5.89	5.76	5.76	1209466	7540584.500
06/28/2012	5.84	5.84	5.60	5.61	1265492	7764093.000
06/29/2012	5.60	5.72	5.54	5.70	1284028	7748143.500
07/02/2012	5.80	5.85	5.69	5.77	1248618	7677883.500
07/03/2012	5.77	6.05	5.72	5.99	4338763	27625182.000
07/04/2012	5.98	6.02	5.88	6.00	2097061	13362868.000
07/05/2012	5.94	6.03	5.85	5.86	1401195	8880078.000
07/06/2012	6.00	6.49	6.00	6.49	7251799	49583836.000
07/09/2012	6.80	6.87	6.38	6.39	13324064	93370912.000
07/10/2012	6.30	6.40	6.10	6.10	5707406	37137644.000
07/11/2012	6.10	6.26	6.05	6.12	3925556	25281198.000
07/12/2012	6.15	6.32	6.03	6.30	4980695	32335106.000
07/13/2012	6.24	6.29	6.13	6.21	3654942	23727178.000
07/16/2012	6.25	6.26	5.75	5.77	4658063	28748780.000
07/17/2012	5.71	5.93	5.70	5.85	2383755	14647199.000
07/18/2012	5.88	5.98	5.69	5.84	2556645	15546924.000
07/19/2012	5.80	5.95	5.76	5.91	2644152	16329121.000
07/20/2012	5.83	5.91	5.78	5.79	1583518	9712922.000
07/23/2012	5.75	5.85	5.71	5.78	1646199	9973046.000
07/24/2012	5.78	5.89	5.73	5.84	1619801	9931157.000
07/25/2012	5.80	5.82	5.67	5.68	1997611	12042418.000
07/26/2012	5.69	5.76	5.64	5.67	1316402	7887876.500
07/27/2012	5.70	5.74	5.62	5.68	1072819	6393166.500
07/30/2012	5.65	5.73	5.44	5.46	1734686	10096639.000
07/31/2012	5.46	5.47	5.28	5.33	1390170	7864094.000
08/01/2012	5.34	5.47	5.28	5.42	1120472	6399612.000
08/02/2012	5.36	5.40	5.13	5.19	1858138	10286905.000
08/03/2012	5.21	5.34	5.21	5.29	1300145	7255674.000
08/06/2012	5.24	5.45	5.24	5.45	1737894	9814602.000
08/07/2012	5.46	5.53	5.41	5.51	1721859	9955523.000
08/08/2012	5.51	5.65	5.45	5.58	1834167	10725572.000
08/09/2012	5.61	5.69	5.53	5.67	2369332	14053027.000
08/10/2012	5.66	5.66	5.50	5.56	1779244	10425377.000
08/13/2012	5.53	5.53	5.31	5.33	1633857	9341553.000
08/14/2012	5.34	5.89	5.31	5.62	3303011	19527784.000
08/15/2012	5.47	5.59	5.47	5.50	1497568	8707038.000
08/16/2012	5.51	5.53	5.38	5.42	985807	5660971.500
08/17/2012	5.42	5.50	5.37	5.48	1352378	7747717.500
08/20/2012	5.40	5.45	5.31	5.45	983128	5572375.500
08/21/2012	5.59	5.70	5.47	5.50	1918308	11265057.000
08/22/2012	5.46	5.58	5.45	5.54	1416569	8244114.000
08/23/2012	5.52	5.70	5.50	5.61	1929336	11381877.000
08/24/2012	5.57	5.58	5.50	5.54	1296280	7560314.500
08/27/2012	5.52	5.82	4.96	5.46	4644968	27506886.000
08/28/2012	5.38	5.49	5.22	5.35	2170237	12274515.000
08/29/2012	5.36	5.40	5.29	5.30	1014210	5715491.000
08/30/2012	5.28	5.35	5.14	5.30	2105461	11731367.000
08/31/2012	5.32	5.36	5.26	5.33	699202	3928250.750
09/03/2012	5.35	5.89	5.27	5.60	6105553	36268640.000
09/04/2012	5.53	5.56	5.43	5.50	2276641	13209752.000
09/05/2012	5.49	5.58	5.43	5.52	1546129	8992848.000
09/06/2012	5.52	5.56	5.46	5.52	1370100	7964278.000
