002211 宏达新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.53	6.58	6.30	6.30	3436108	22248180.000
01/05/2012	6.03	6.18	6.00	6.10	2223998	13565899.000
01/06/2012	6.07	6.13	5.82	6.12	2011997	12004187.000
01/09/2012	6.09	6.73	6.07	6.73	4124467	26654378.000
01/10/2012	6.72	7.04	6.66	6.89	5512371	37692240.000
01/11/2012	6.88	7.05	6.71	6.99	4917646	33596444.000
01/12/2012	6.90	7.28	6.86	7.05	4502405	31835138.000
01/13/2012	7.01	7.12	6.67	6.73	3959547	27106092.000
01/16/2012	6.51	6.78	6.25	6.29	2497961	16292110.000
01/17/2012	6.35	6.88	6.32	6.80	2801002	18476356.000
01/18/2012	6.78	7.08	6.70	6.82	4073917	28025302.000
01/19/2012	6.76	6.92	6.60	6.83	2561131	17384316.000
01/20/2012	6.83	6.95	6.83	6.91	1999378	13796115.000
01/30/2012	6.91	7.01	6.77	6.77	2073669	14261074.000
02/01/2012	6.77	6.95	6.72	6.73	1917018	13121615.000
02/02/2012	6.71	6.95	6.71	6.93	1888521	12911011.000
02/03/2012	6.98	7.39	6.90	7.26	5145256	37037624.000
02/06/2012	7.30	7.55	7.30	7.50	5738366	42585652.000
02/07/2012	7.40	7.44	7.27	7.36	3638660	26719484.000
02/08/2012	7.35	7.66	7.31	7.54	2742535	20632268.000
02/09/2012	7.55	7.70	7.36	7.45	4003646	30072626.000
02/10/2012	7.43	7.52	7.34	7.41	2496700	18525440.000
02/13/2012	7.32	7.88	7.32	7.79	4913469	37663148.000
02/14/2012	7.79	7.85	7.57	7.61	3922263	30110696.000
02/15/2012	7.58	7.82	7.56	7.73	2737553	21096868.000
02/16/2012	7.80	7.98	7.71	7.87	3604986	28319382.000
02/17/2012	7.98	7.99	7.67	7.75	2671640	20752760.000
02/20/2012	7.89	7.92	7.65	7.66	3186784	24751040.000
02/21/2012	7.67	7.77	7.47	7.74	3555947	27096178.000
02/22/2012	7.75	7.90	7.70	7.88	5356623	41843308.000
02/23/2012	7.90	8.03	7.77	8.00	6149097	48704204.000
02/24/2012	8.00	8.00	7.87	7.98	4149416	32942286.000
02/27/2012	8.08	8.17	7.78	7.92	6998453	56086440.000
02/28/2012	8.05	8.07	7.70	7.86	4514558	35354220.000
02/29/2012	7.79	7.89	7.32	7.37	7249277	55017112.000
03/01/2012	7.27	7.33	7.11	7.29	6139772	44453828.000
03/02/2012	7.30	7.55	7.30	7.55	5571126	41436684.000
03/05/2012	7.55	7.62	7.41	7.43	3888680	29186490.000
03/06/2012	7.42	7.52	7.31	7.46	3270531	24201364.000
03/07/2012	7.40	7.58	7.35	7.49	3493283	26228966.000
03/08/2012	7.50	7.65	7.48	7.58	3053731	23135772.000
03/09/2012	7.61	7.65	7.51	7.64	3277034	24887106.000
03/12/2012	7.66	7.95	7.66	7.92	6963235	54455996.000
03/13/2012	7.92	7.93	7.77	7.92	4148437	32621814.000
03/14/2012	7.93	8.01	7.36	7.45	5958852	46143176.000
03/15/2012	7.40	7.50	7.14	7.26	3162341	23136358.000
03/16/2012	7.27	7.43	7.27	7.42	2106860	15472838.000
03/19/2012	7.37	7.56	7.30	7.55	2181296	16261024.000
03/20/2012	7.48	7.48	7.32	7.33	1705390	12618889.000
03/21/2012	7.40	7.40	7.20	7.38	1818999	13299501.000
03/22/2012	7.37	7.41	7.23	7.30	1262068	9223920.000
03/23/2012	7.25	7.32	7.09	7.13	1800748	12971979.000
03/26/2012	7.11	7.15	7.00	7.01	1214374	8562990.000
03/27/2012	7.05	7.15	7.04	7.07	799617	5673406.500
03/28/2012	7.07	7.07	6.57	6.58	2243913	15069338.000
03/29/2012	6.30	6.30	6.08	6.08	4406970	27209650.000
03/30/2012	6.12	6.19	5.85	5.96	1887636	11352442.000
04/05/2012	5.98	6.18	5.95	6.17	2358657	14438886.000
04/06/2012	6.18	6.40	6.12	6.38	5076325	31785728.000
04/09/2012	6.35	6.48	6.27	6.37	3453674	22022576.000
04/10/2012	6.37	6.39	6.09	6.39	2753712	17208404.000
04/11/2012	6.32	6.52	6.26	6.47	3352282	21606872.000
04/12/2012	6.47	6.66	6.41	6.66	2589985	17006504.000
04/13/2012	6.70	7.08	6.62	6.92	5110281	35062640.000
04/16/2012	6.82	7.02	6.82	6.88	4045522	28010280.000
04/17/2012	6.81	6.92	6.81	6.86	1713600	11763211.000
04/18/2012	6.86	7.32	6.84	7.19	11875605	84673128.000
04/19/2012	7.18	7.22	7.07	7.17	4800921	34318916.000
04/20/2012	7.13	7.21	7.06	7.15	3783090	27065904.000
04/24/2012	7.00	7.06	6.61	6.77	4509025	30754620.000
04/25/2012	6.77	7.40	6.73	7.29	20176849	143472656.000
04/26/2012	7.30	7.37	7.20	7.30	8936574	65219900.000
04/27/2012	7.31	7.70	7.26	7.57	22705309	170281024.000
05/02/2012	7.65	7.75	7.37	7.58	17610902	133112432.000
05/03/2012	7.55	7.89	7.35	7.88	27074295	207482640.000
05/04/2012	7.85	8.15	7.55	7.74	30773937	241693696.000
05/07/2012	7.58	7.79	7.56	7.73	18405723	141341984.000
05/08/2012	7.68	7.74	7.60	7.65	12819797	98421488.000
