002218 拓日新能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	10.48	10.56	10.01	10.09	8923656	92877032.000
01/05/2012	9.88	9.97	9.08	9.23	7808343	74273360.000
01/06/2012	9.18	9.74	8.90	9.59	5875614	55626556.000
01/09/2012	9.56	10.56	9.31	10.56	11035543	112400384.000
01/10/2012	10.73	11.35	10.61	11.17	19311255	212945904.000
01/11/2012	11.01	11.30	10.91	11.08	14854684	166441488.000
01/12/2012	11.31	11.94	10.98	11.04	15683188	180921776.000
01/13/2012	10.94	11.32	10.59	11.30	13919120	154046976.000
01/16/2012	11.06	11.51	10.75	10.85	9552819	107176832.000
01/17/2012	10.80	11.69	10.56	11.50	12497844	140961440.000
01/18/2012	11.38	12.06	11.15	11.46	14821621	172353408.000
01/19/2012	11.40	11.60	10.70	10.99	10727501	120408792.000
01/20/2012	10.99	10.99	10.43	10.63	7706043	82996848.000
01/30/2012	10.70	11.04	10.61	10.89	6878539	75388040.000
01/31/2012	10.50	10.51	9.79	9.95	9485472	96026992.000
02/01/2012	10.00	10.14	9.81	9.91	4656227	46912664.000
02/02/2012	10.00	10.30	9.92	10.30	5962514	61315432.000
02/03/2012	10.30	10.40	10.01	10.35	7367343	76211624.000
02/06/2012	10.40	11.07	10.18	10.81	12238288	131867688.000
02/07/2012	10.58	10.75	10.48	10.60	6995492	74792528.000
02/08/2012	10.56	10.98	10.51	10.94	8703760	94837328.000
02/09/2012	10.95	11.30	10.83	11.05	10998889	123237224.000
02/10/2012	10.97	11.40	10.92	11.17	9578112	108432712.000
02/13/2012	11.09	11.44	10.92	11.20	10491606	119038656.000
02/14/2012	11.28	11.28	10.80	11.05	8234403	91395832.000
02/15/2012	10.91	11.48	10.91	11.46	10201100	115195752.000
02/16/2012	11.36	11.40	11.02	11.20	9422886	106572568.000
02/17/2012	11.19	11.40	11.04	11.07	6083823	68657088.000
02/20/2012	11.27	11.32	11.01	11.02	6426675	72182408.000
02/21/2012	11.02	11.49	10.92	11.39	13079861	148598816.000
02/22/2012	11.40	11.95	11.24	11.81	18087818	211236768.000
02/23/2012	11.65	11.80	11.40	11.73	11528710	135121632.000
02/24/2012	11.73	12.90	11.73	12.21	27996482	346771008.000
02/27/2012	12.28	12.32	11.96	12.01	18916054	230611264.000
02/28/2012	11.90	11.95	11.60	11.76	10424307	123566904.000
02/29/2012	11.54	11.90	11.48	11.65	6746835	79679520.000
03/01/2012	11.54	11.88	11.50	11.77	5950553	70571088.000
03/02/2012	11.75	11.96	11.73	11.93	7276621	87029968.000
03/05/2012	12.05	12.05	11.60	11.62	8536677	101366080.000
03/06/2012	11.60	11.67	11.35	11.53	5278627	61251608.000
03/07/2012	11.44	11.72	11.32	11.47	4561995	53095940.000
03/08/2012	11.47	11.68	11.46	11.56	3774487	44089892.000
03/09/2012	11.58	11.91	11.58	11.87	6667034	78971240.000
03/12/2012	11.90	12.08	11.77	11.91	6202946	74455192.000
03/13/2012	11.86	11.98	11.76	11.92	5724459	68606072.000
03/14/2012	11.95	11.99	10.87	10.98	14522420	168618320.000
03/15/2012	10.85	10.95	10.20	10.43	7516954	79730504.000
03/16/2012	10.40	10.79	10.32	10.73	6097998	65219368.000
03/19/2012	10.72	10.83	10.56	10.79	4299354	46334504.000
03/20/2012	10.83	10.89	10.45	10.46	4706893	50842888.000
03/21/2012	10.48	10.66	10.30	10.61	3244112	34470432.000
03/22/2012	10.58	10.88	10.48	10.78	5692495	61670076.000
03/23/2012	10.64	10.72	10.30	10.41	3449469	36426884.000
03/26/2012	10.36	10.50	10.18	10.19	2082167	21804998.000
03/27/2012	10.25	10.29	9.88	9.96	4385145	44539572.000
03/28/2012	9.90	9.91	9.37	9.47	4215736	40690476.000
03/29/2012	9.42	9.54	9.20	9.33	2679091	25479848.000
03/30/2012	9.31	9.48	9.11	9.22	2065733	19411944.000
04/05/2012	9.23	9.50	9.12	9.45	3762748	35618628.000
04/06/2012	9.54	9.70	9.35	9.58	5327032	51195952.000
04/09/2012	9.48	9.48	9.16	9.17	5139260	48237096.000
04/10/2012	9.23	9.43	8.99	9.42	3682347	34349852.000
04/11/2012	9.28	9.39	9.23	9.33	2416986	22746322.000
04/12/2012	9.38	9.52	9.33	9.52	3912895	37388336.000
04/13/2012	9.57	9.76	9.50	9.55	4659251	45289264.000
04/17/2012	9.47	9.49	9.19	9.21	6528654	61497460.000
04/18/2012	9.19	9.36	9.03	9.32	7520110	70236808.000
04/19/2012	9.32	9.54	9.28	9.45	5955717	56874056.000
04/20/2012	9.45	9.52	9.36	9.51	4792134	45800880.000
04/23/2012	9.52	9.52	9.06	9.08	6365080	59311604.000
04/24/2012	9.08	9.20	8.72	8.99	4005225	36179496.000
04/25/2012	9.00	9.20	8.96	9.10	3812636	34924136.000
04/26/2012	9.16	9.46	9.16	9.33	5926419	55932412.000
04/27/2012	9.30	9.34	9.13	9.17	2657392	24679624.000
05/02/2012	9.40	9.42	9.23	9.36	3583288	33783388.000
05/03/2012	9.28	9.47	9.23	9.47	4311645	40825556.000
05/04/2012	9.51	9.58	9.37	9.46	6937142	66374464.000
05/07/2012	9.39	9.39	9.14	9.31	7512975	70025040.000
05/08/2012	9.32	10.02	9.26	9.76	15705550	153648832.000
05/09/2012	9.65	9.71	9.42	9.63	7998738	77179448.000
05/11/2012	9.55	9.61	9.41	9.41	4208935	40383796.000
05/14/2012	9.50	9.52	9.34	9.40	3559768	33842596.000
05/15/2012	9.35	9.53	9.25	9.30	5457143	51534692.000
05/16/2012	9.27	9.30	9.05	9.06	5708993	52705952.000
05/17/2012	9.06	9.21	9.01	9.17	3967129	36546464.000
05/18/2012	9.05	9.06	8.85	8.85	3956883	35869664.000
05/21/2012	8.83	8.90	8.72	8.77	2832515	25199860.000
05/22/2012	8.82	8.92	8.77	8.91	2309759	20687410.000
05/23/2012	8.90	8.90	8.74	8.83	2337720	20845580.000
05/24/2012	8.95	9.70	8.95	9.32	16492058	156746768.000
05/25/2012	9.23	9.32	9.00	9.12	6803659	62698280.000
05/28/2012	9.06	9.06	8.66	9.01	5910827	52867768.000
05/29/2012	8.96	9.16	8.87	9.12	5212803	47766476.000
05/30/2012	9.11	9.50	8.98	9.19	8107660	75711144.000
05/31/2012	9.06	9.35	9.03	9.16	5196402	48267196.000
06/01/2012	9.11	9.26	9.05	9.12	3411818	31536946.000
06/04/2012	8.98	8.98	8.73	8.74	4120642	36888000.000
06/05/2012	8.74	8.85	8.73	8.76	2447763	21724420.000
06/06/2012	8.74	8.86	8.70	8.73	1956320	17352794.000
06/07/2012	8.81	8.88	8.61	8.65	2286660	20211118.000
06/08/2012	8.76	8.79	8.63	8.64	2153100	18989220.000
06/11/2012	8.64	8.87	8.64	8.83	1926037	17101530.000
06/12/2012	8.80	9.09	8.70	8.90	3577289	32349008.000
06/13/2012	8.90	8.99	8.83	8.96	2791818	25160254.000
06/14/2012	8.94	9.00	8.87	8.89	2285190	20619834.000
06/15/2012	8.93	9.03	8.79	8.98	2237838	20163442.000
06/18/2012	9.08	9.08	8.77	8.90	8884284	79789216.000
06/19/2012	8.78	8.86	8.64	8.77	8995862	79400416.000
06/20/2012	8.75	8.89	8.66	8.75	5807691	51546412.000
06/21/2012	8.70	8.73	8.43	8.45	5645402	48627208.000
06/25/2012	8.36	8.40	8.04	8.04	4745433	39443160.000
06/26/2012	8.00	8.28	7.95	8.20	4675109	38519272.000
06/27/2012	8.12	8.30	8.11	8.29	5328082	44211964.000
06/28/2012	8.26	8.39	8.06	8.08	5541675	46445800.000
06/29/2012	7.93	8.41	7.92	8.32	6526141	54446924.000
07/02/2012	8.33	8.34	8.17	8.28	4219591	35284044.000
07/03/2012	8.27	8.33	8.07	8.32	5388086	44743800.000
07/04/2012	8.30	8.44	8.24	8.31	4811132	40622376.000
07/05/2012	8.21	8.25	8.10	8.10	3070675	25341518.000
07/06/2012	8.10	8.19	7.90	8.15	4033253	32824706.000
07/09/2012	8.06	8.13	7.88	7.90	2801794	22694138.000
07/10/2012	7.83	8.09	7.80	7.91	2762874	22202728.000
07/11/2012	7.86	8.06	7.85	7.96	2204378	17776182.000
07/12/2012	7.94	8.07	7.88	8.05	2689386	21770028.000
07/13/2012	8.04	8.19	7.96	7.98	2900003	23675224.000
07/16/2012	7.96	7.96	7.17	7.17	5940656	44466908.000
07/17/2012	7.08	7.21	7.02	7.19	2494930	17973426.000
07/18/2012	7.30	7.31	7.11	7.30	2448242	17936360.000
07/19/2012	7.21	7.46	7.21	7.39	3828682	28558896.000
07/20/2012	7.46	7.67	7.40	7.63	7170685	54911428.000
07/23/2012	7.51	7.55	7.36	7.45	3313180	25002040.000
07/24/2012	7.32	7.55	7.32	7.48	2155358	16319608.000
07/25/2012	7.44	7.50	7.34	7.34	2312460	17343580.000
07/26/2012	7.34	7.36	7.16	7.19	2330965	17125910.000
07/27/2012	7.24	7.34	7.20	7.28	2071845	15281647.000
07/30/2012	7.28	7.30	6.99	7.08	3020001	21712452.000
