002230 科大讯飞 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.77	8.83	8.25	8.38	868019	30010348.000
01/05/2012	8.38	8.38	7.51	7.51	3097501	97316536.000
01/06/2012	7.36	7.42	6.72	7.07	3647135	103079680.000
01/09/2012	7.07	7.34	6.90	7.21	2763718	79535920.000
01/10/2012	7.21	7.69	7.21	7.57	4146728	125293760.000
01/11/2012	7.58	7.70	7.44	7.56	3615697	110263528.000
01/12/2012	7.55	7.66	7.42	7.47	1744818	52525584.000
01/13/2012	7.44	7.49	7.05	7.17	2841148	81822992.000
01/16/2012	7.04	7.26	6.90	7.05	1728604	49341408.000
01/17/2012	7.07	7.48	6.84	7.37	2378068	68273728.000
01/18/2012	7.34	7.44	6.87	6.96	1358422	39330716.000
01/19/2012	6.96	7.08	6.87	6.92	1165977	32734486.000
01/20/2012	6.92	7.34	6.92	7.27	1501282	43124204.000
01/30/2012	7.41	7.59	7.27	7.46	1700747	51113556.000
01/31/2012	7.47	7.52	7.31	7.42	647022	19271956.000
02/01/2012	7.42	7.52	7.36	7.36	472942	14110012.000
02/02/2012	7.25	7.48	7.02	7.41	1431611	41461052.000
02/03/2012	7.36	7.94	7.26	7.77	2312562	71146416.000
02/06/2012	7.77	7.83	7.61	7.70	1203695	37146272.000
02/07/2012	7.71	7.72	7.51	7.53	784021	23851708.000
02/08/2012	7.52	7.81	7.44	7.80	1316106	40506948.000
02/09/2012	7.81	8.06	7.81	8.04	2031923	64917328.000
02/10/2012	8.00	8.46	7.96	8.09	2165884	71463456.000
02/13/2012	7.98	8.87	7.81	8.65	3251242	110387400.000
02/14/2012	8.66	8.90	8.45	8.68	2385510	81962120.000
02/15/2012	8.69	8.80	8.56	8.71	2718699	94416656.000
02/16/2012	8.71	8.93	8.71	8.83	2751271	97149392.000
02/17/2012	8.86	8.88	8.49	8.70	2011801	69610840.000
02/20/2012	8.81	9.13	8.79	9.02	2896395	103597704.000
02/21/2012	9.04	9.76	8.95	9.74	5697711	212479984.000
02/22/2012	9.74	10.05	9.59	10.00	6449299	253601184.000
02/23/2012	9.97	9.97	9.61	9.69	3691934	143345664.000
02/24/2012	9.71	9.79	9.62	9.69	1795958	69133768.000
02/27/2012	9.66	10.21	9.51	9.71	5030109	197620752.000
02/28/2012	9.71	9.95	9.67	9.82	3122624	121758912.000
02/29/2012	9.85	9.94	9.69	9.89	2497775	97399880.000
03/01/2012	9.87	10.21	9.79	9.97	3957482	158544416.000
03/02/2012	10.00	10.44	10.00	10.37	3927713	160666416.000
03/05/2012	10.47	10.87	10.28	10.29	5741728	242567520.000
03/06/2012	10.16	10.55	10.03	10.49	3109180	126948632.000
03/07/2012	10.39	10.44	10.05	10.13	3516575	143384544.000
03/08/2012	10.15	10.22	10.05	10.20	2658563	106985888.000
03/09/2012	10.21	10.50	10.20	10.49	2481431	101685664.000
03/12/2012	10.60	10.94	10.51	10.71	2470368	104576440.000
03/13/2012	10.72	10.81	10.44	10.50	3069608	128386776.000
03/14/2012	10.54	10.81	9.96	10.08	4968717	205750016.000
03/15/2012	10.34	10.50	9.66	10.42	4796859	193658144.000
03/16/2012	10.39	10.71	10.05	10.55	4154202	170499760.000
03/19/2012	10.50	10.66	10.32	10.40	1813008	75143464.000
03/20/2012	10.40	10.58	9.94	9.97	2465417	99505088.000
03/21/2012	10.11	10.18	8.94	9.53	7248297	272783808.000
03/22/2012	9.52	9.68	9.30	9.48	2513130	95095200.000
03/23/2012	9.50	9.78	9.36	9.53	2861156	109112632.000
03/26/2012	9.48	9.73	9.21	9.56	3095097	116953120.000
03/27/2012	9.56	9.61	9.27	9.32	2759604	103792264.000
03/28/2012	9.32	9.37	8.96	9.02	3584697	129466768.000
03/29/2012	8.96	9.14	8.86	8.96	2424289	87081904.000
03/30/2012	8.97	9.11	8.94	9.01	1742669	62681624.000
04/05/2012	9.05	9.54	9.04	9.51	2416959	89687032.000
04/06/2012	9.55	9.63	9.28	9.45	3192316	119925784.000
04/09/2012	9.45	9.60	9.34	9.47	1573470	59515000.000
04/10/2012	9.47	9.49	8.81	9.16	4783039	172897568.000
04/11/2012	8.97	9.28	8.94	9.17	1455236	53099392.000
04/12/2012	9.17	9.47	9.17	9.42	1637352	60867308.000
04/13/2012	9.54	9.63	9.38	9.38	1852432	70390120.000
04/16/2012	9.38	9.79	9.31	9.77	3863049	148989632.000
04/17/2012	9.78	9.90	9.55	9.57	1868996	72118848.000
04/18/2012	9.56	9.78	9.53	9.73	1926575	74311984.000
04/19/2012	9.76	9.76	9.48	9.67	2200089	83894312.000
04/20/2012	9.65	9.66	9.53	9.64	1182337	45126292.000
04/23/2012	9.64	9.64	9.04	9.09	2997425	110232240.000
