002248 华东数控 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	11.60	11.70	10.69	10.70	3333815	37619568.000
01/06/2012	10.05	10.57	9.83	10.36	3501350	35755128.000
01/09/2012	10.37	10.75	10.15	10.74	2808978	29796744.000
01/10/2012	10.78	11.25	10.70	11.18	4211416	46632592.000
01/11/2012	11.23	11.70	11.10	11.23	4187535	47666076.000
01/12/2012	11.14	11.40	11.11	11.13	2960267	33392244.000
01/13/2012	11.13	11.23	10.47	10.53	3321153	36124536.000
01/16/2012	10.45	10.70	10.25	10.33	1711791	18042368.000
01/17/2012	10.30	10.97	10.30	10.92	2585785	27741016.000
01/18/2012	11.07	11.29	10.65	10.70	3543201	39270540.000
01/19/2012	10.72	10.93	10.55	10.71	2647113	28548754.000
01/20/2012	10.71	10.89	10.63	10.83	2032271	22033496.000
01/30/2012	10.90	11.17	10.85	10.97	2785050	30866038.000
01/31/2012	10.83	11.00	10.74	10.84	1393722	15184424.000
02/01/2012	10.85	11.04	10.65	10.65	1813509	19784136.000
02/02/2012	10.66	10.91	10.61	10.90	1809859	19600996.000
02/03/2012	10.93	11.28	10.85	11.23	4080380	45553216.000
02/06/2012	11.28	11.40	11.06	11.19	3377693	38014768.000
02/07/2012	11.15	11.45	10.96	11.43	5496936	62051744.000
02/08/2012	11.35	11.65	11.23	11.65	6197139	71497992.000
02/09/2012	11.65	11.84	11.47	11.50	5359723	62637280.000
02/10/2012	11.54	11.68	11.34	11.59	4330104	50107900.000
02/13/2012	11.45	11.73	11.35	11.69	4541085	52799264.000
02/14/2012	11.69	11.73	11.40	11.50	3838936	44362880.000
02/15/2012	11.41	11.70	11.15	11.70	9535263	109390544.000
02/16/2012	11.63	11.83	11.49	11.60	5814916	68027992.000
02/17/2012	11.60	11.79	11.44	11.49	3930677	45746168.000
02/20/2012	11.63	11.76	11.52	11.55	5724333	66951460.000
02/21/2012	11.47	12.20	11.25	11.87	8879852	104191032.000
02/22/2012	11.77	12.01	11.70	12.00	8023948	95732488.000
02/23/2012	11.95	12.05	11.78	11.92	5797947	69433920.000
02/24/2012	11.88	12.31	11.86	12.25	8594640	104264912.000
02/27/2012	12.21	12.35	12.11	12.11	8166566	100266496.000
02/28/2012	12.05	12.07	11.72	11.94	5521085	65829236.000
02/29/2012	11.83	11.95	11.70	11.70	3351797	39760804.000
03/01/2012	11.65	11.86	11.62	11.71	2529507	29857654.000
03/02/2012	11.71	12.09	11.71	11.91	4349009	51971624.000
03/05/2012	11.88	12.01	11.79	11.82	4143541	49463440.000
03/07/2012	11.46	11.70	11.41	11.55	4165113	48427024.000
03/08/2012	11.50	11.83	11.50	11.70	3764652	44296528.000
03/09/2012	11.75	11.95	11.68	11.93	3648922	43209916.000
03/12/2012	12.05	12.31	11.95	12.03	6841925	83094352.000
03/13/2012	12.05	12.33	12.01	12.20	6299312	77162536.000
03/14/2012	12.22	12.50	11.40	11.50	9462316	114231968.000
03/15/2012	11.45	11.58	10.76	11.03	5934115	66242316.000
03/16/2012	11.02	11.20	10.81	11.19	4083078	45305352.000
03/19/2012	11.20	11.35	11.03	11.30	3890918	43606976.000
03/20/2012	11.30	11.30	10.96	11.01	2778957	30994702.000
03/21/2012	11.04	11.15	10.85	11.04	2956445	32679824.000
03/22/2012	11.10	11.28	10.97	11.18	3310578	37157944.000
03/23/2012	11.08	11.10	10.76	10.81	2535190	27830388.000
03/26/2012	10.70	10.92	10.70	10.75	1175362	12744785.000
03/27/2012	10.86	10.89	10.61	10.67	1560376	16880696.000
03/28/2012	10.67	10.67	10.05	10.06	2674800	27514028.000
03/30/2012	9.85	10.00	9.80	9.83	1991526	19804946.000
04/05/2012	9.83	10.16	9.83	10.15	1779358	17961130.000
04/06/2012	10.20	10.33	10.02	10.18	1558642	15935801.000
04/09/2012	10.20	10.20	9.93	9.93	1433754	14463829.000
04/10/2012	9.91	10.18	9.73	10.13	2328645	23200942.000
04/11/2012	10.03	10.10	9.92	10.05	1887019	18968666.000
04/12/2012	10.03	10.73	10.03	10.45	3597281	37575048.000
04/13/2012	10.37	10.54	10.36	10.41	2696302	28281388.000
04/16/2012	10.22	10.44	10.16	10.36	1807307	18712602.000
04/17/2012	10.34	10.42	10.22	10.33	1488411	15404554.000
04/18/2012	10.33	10.67	10.31	10.64	3725097	39567436.000
04/19/2012	10.56	10.68	10.48	10.54	2601095	27620724.000
04/20/2012	10.56	10.93	10.56	10.71	3576658	38621792.000
04/23/2012	10.60	11.14	10.53	10.77	4630069	50408216.000
04/24/2012	10.65	10.66	10.07	10.40	3753930	39110176.000
04/25/2012	10.25	11.05	10.18	10.82	4748172	50772436.000
04/26/2012	10.85	11.01	10.49	10.55	3124907	33593260.000
04/27/2012	10.55	10.63	10.27	10.31	1764895	18460878.000
05/02/2012	10.50	10.50	10.26	10.38	2378148	24799632.000
05/03/2012	10.32	10.40	10.20	10.28	2195750	22582208.000
05/04/2012	10.23	10.61	10.23	10.48	2411069	25219830.000
05/07/2012	10.35	10.45	10.32	10.40	1875726	19465016.000
05/08/2012	10.40	10.80	10.36	10.66	4035356	42924348.000
05/09/2012	10.60	10.61	10.36	10.52	2841968	29776916.000
05/10/2012	10.48	10.56	10.37	10.41	2227137	23209152.000
05/11/2012	10.48	10.55	10.31	10.32	1658412	17266238.000
05/14/2012	10.43	10.48	10.11	10.19	1845973	19028770.000
05/15/2012	10.07	10.13	9.88	10.04	1815119	18182188.000
