002264 新 华 都 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.65	7.75	7.53	7.61	7703558	89355080.000
01/05/2012	7.62	7.68	7.15	7.28	10131338	115862064.000
01/06/2012	7.28	7.33	6.60	7.02	6340070	67988224.000
01/09/2012	6.90	7.13	6.85	7.10	5085077	54541128.000
01/10/2012	7.09	7.39	6.99	7.25	8232141	90621544.000
01/11/2012	7.21	7.31	7.07	7.11	5080019	55659568.000
01/12/2012	7.09	7.12	6.94	6.96	4971697	53184660.000
01/13/2012	6.95	7.25	6.67	7.15	10529427	112018432.000
01/16/2012	7.11	7.35	6.85	6.99	7680654	83022240.000
01/17/2012	7.42	7.42	6.81	7.22	9373856	101890520.000
01/18/2012	7.19	7.19	6.89	6.89	5626005	60337772.000
01/19/2012	6.84	6.95	6.75	6.75	3516837	36663648.000
01/20/2012	6.76	7.03	6.76	6.94	3909682	41413608.000
01/30/2012	6.99	7.14	6.91	7.11	4863783	52046544.000
01/31/2012	7.03	7.35	7.03	7.25	9364446	103467880.000
02/01/2012	7.19	7.32	7.06	7.22	7440012	81566672.000
02/02/2012	7.13	7.34	7.13	7.21	7015644	77167024.000
02/03/2012	7.23	7.27	7.07	7.15	9914214	107600592.000
02/06/2012	7.10	7.15	7.03	7.09	5450254	58887948.000
02/07/2012	6.99	7.10	6.99	7.02	3636403	39019092.000
02/08/2012	7.03	7.11	6.99	7.10	5430625	58456760.000
02/09/2012	7.09	7.25	7.05	7.17	7134536	77773408.000
02/10/2012	7.17	7.20	7.08	7.09	4936845	53661332.000
02/13/2012	7.09	7.16	7.01	7.12	4784982	51834188.000
02/14/2012	7.12	7.53	7.09	7.46	14216009	158322272.000
02/15/2012	7.38	7.50	7.30	7.47	8608449	96919952.000
02/16/2012	7.41	7.47	7.37	7.38	6071643	68548640.000
02/17/2012	7.39	7.46	7.33	7.42	4640414	52360060.000
02/20/2012	7.55	7.55	7.31	7.32	5221125	58791068.000
02/21/2012	7.30	7.37	7.18	7.33	4150984	46029852.000
02/22/2012	7.34	7.45	7.30	7.43	5986485	67348200.000
02/23/2012	7.45	7.54	7.41	7.47	6193064	70476856.000
02/24/2012	7.49	7.51	7.35	7.46	6791607	76776008.000
02/27/2012	7.50	7.66	7.46	7.53	9043796	104142352.000
02/28/2012	7.50	7.74	7.47	7.71	9240791	107392728.000
02/29/2012	7.72	7.81	7.43	7.43	6994775	81239768.000
03/01/2012	7.41	7.51	7.37	7.41	4263791	48320328.000
03/02/2012	7.42	7.59	7.42	7.57	4311613	49251436.000
03/05/2012	7.59	7.67	7.51	7.60	5242987	60534020.000
03/06/2012	7.59	7.59	7.30	7.41	5004835	56712724.000
03/07/2012	7.35	7.66	7.29	7.58	6975684	79884552.000
03/08/2012	7.65	7.93	7.64	7.91	11430742	136167344.000
03/09/2012	7.97	7.97	7.77	7.90	7460884	89325088.000
03/12/2012	8.41	8.41	7.91	7.97	13443209	164876288.000
03/13/2012	7.97	7.97	7.79	7.91	7972285	95345536.000
03/14/2012	7.95	8.03	7.49	7.56	9805063	116617632.000
03/15/2012	7.55	7.65	7.37	7.53	5382479	61555788.000
03/16/2012	7.50	7.67	7.50	7.67	4632275	53630000.000
03/19/2012	7.69	7.99	7.69	7.89	7732796	92682368.000
03/20/2012	7.82	7.92	7.69	7.73	4088813	48516512.000
03/21/2012	7.87	7.87	7.55	7.79	3459373	40622052.000
03/22/2012	7.71	7.77	7.61	7.65	2487324	29062004.000
03/23/2012	7.63	7.67	7.42	7.49	3290766	37738312.000
03/26/2012	7.43	7.50	7.39	7.43	2192477	24806518.000
03/27/2012	7.48	7.54	7.29	7.31	3133151	35309044.000
03/28/2012	7.23	7.29	6.82	6.86	3648780	39176140.000
03/29/2012	6.86	6.91	6.56	6.69	2656812	27337476.000
