002265 西仪股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.82	5.85	5.59	5.59	234509	1342557.875
01/05/2012	5.42	5.58	5.24	5.27	476390	2575572.000
01/06/2012	5.29	5.41	5.19	5.40	352478	1872304.625
01/09/2012	5.39	5.67	5.26	5.67	449238	2490644.500
01/10/2012	5.64	5.97	5.64	5.93	777756	4566438.000
01/11/2012	5.97	6.04	5.80	5.98	820790	4916314.000
01/12/2012	6.07	6.20	5.88	6.08	972329	5943863.000
01/13/2012	6.13	6.27	5.85	5.86	749586	4525408.500
01/16/2012	5.84	5.84	5.64	5.64	423628	2419623.250
01/17/2012	5.69	5.98	5.54	5.97	461473	2674087.750
01/18/2012	5.97	6.21	5.89	6.04	1009833	6099269.500
01/19/2012	6.08	6.19	5.91	6.04	708902	4298815.000
01/20/2012	6.04	6.12	5.98	6.07	480721	2919700.000
01/30/2012	6.07	6.14	5.99	6.00	323276	1962387.375
01/31/2012	6.02	6.03	5.94	5.95	421223	2520622.750
02/01/2012	5.90	6.04	5.82	5.84	429199	2560803.250
02/02/2012	5.87	6.11	5.83	6.08	759500	4569599.000
02/03/2012	6.06	6.17	5.89	6.14	885066	5391313.500
02/06/2012	6.13	6.21	6.09	6.18	963992	5949709.000
02/07/2012	6.15	6.19	5.99	6.12	582142	3552549.750
02/08/2012	6.12	6.44	6.06	6.37	1712909	10854529.000
02/09/2012	6.29	6.56	6.24	6.42	1611493	10371565.000
02/10/2012	6.40	6.46	6.32	6.39	1047065	6711328.000
02/13/2012	6.38	6.49	6.32	6.47	934676	6002691.000
02/14/2012	6.47	6.70	6.41	6.61	1526904	10071594.000
02/15/2012	6.59	6.71	6.54	6.66	1079085	7147752.000
02/16/2012	6.67	7.29	6.65	6.88	2318440	16178712.000
02/17/2012	6.80	6.88	6.62	6.76	1285112	8664132.000
02/20/2012	6.92	7.01	6.79	6.84	1103408	7608339.500
02/21/2012	6.79	6.93	6.63	6.82	1126832	7612949.000
02/22/2012	6.76	6.88	6.75	6.88	1097462	7504708.500
02/23/2012	6.84	6.94	6.78	6.86	1240831	8525764.000
02/24/2012	6.84	6.94	6.75	6.89	1329984	9129605.000
02/27/2012	6.92	7.08	6.89	6.90	1635356	11443469.000
02/28/2012	6.89	6.90	6.65	6.89	1293544	8799998.000
02/29/2012	6.82	6.96	6.73	6.82	753794	5188252.500
03/01/2012	6.77	6.90	6.77	6.84	779017	5344503.000
03/02/2012	6.90	7.01	6.86	7.01	1118674	7771532.500
03/05/2012	7.38	7.71	7.38	7.71	2503152	19239272.000
03/06/2012	8.07	8.48	7.85	8.48	12030548	98824760.000
03/07/2012	8.54	8.87	8.37	8.72	13356593	114677256.000
03/08/2012	8.59	8.69	8.50	8.61	7974611	68558496.000
03/09/2012	8.62	8.74	8.55	8.69	7962398	68958800.000
03/12/2012	8.71	8.76	8.52	8.68	6691171	57836324.000
03/13/2012	8.67	8.98	8.52	8.98	9486670	82934864.000
03/14/2012	8.97	9.09	8.08	8.12	11752980	101454656.000
03/15/2012	7.99	8.08	7.68	7.88	6970107	55177556.000
03/16/2012	7.91	8.18	7.77	8.15	5342527	42893348.000
03/19/2012	8.09	8.23	7.87	8.06	3551658	28539660.000
03/20/2012	8.04	8.04	7.74	7.89	3018746	23843548.000
03/21/2012	7.85	7.89	7.49	7.65	3848843	29623862.000
03/22/2012	7.56	7.77	7.54	7.64	2227727	17067936.000
03/23/2012	7.57	8.06	7.50	7.82	5032570	39366344.000
03/26/2012	7.77	7.82	7.50	7.57	2211940	16890464.000
03/27/2012	7.61	7.83	7.58	7.79	2280499	17609838.000
03/28/2012	7.73	7.73	7.11	7.17	2595921	19222892.000
03/29/2012	7.01	7.21	6.74	6.87	2152578	15012707.000
03/30/2012	6.88	7.10	6.80	6.99	2149381	14977417.000
04/05/2012	6.96	7.22	6.89	7.18	1987412	14101066.000
04/06/2012	7.12	7.30	7.06	7.15	2147152	15468556.000
