002272 川润股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.49	4.52	4.32	4.38	460430	4099576.250
01/05/2012	4.29	4.42	4.29	4.32	464978	4064746.250
01/06/2012	4.26	4.51	4.26	4.51	922635	8219295.500
01/09/2012	4.51	4.76	4.47	4.69	1044285	9773466.000
01/10/2012	4.67	4.83	4.59	4.80	1534327	14748385.000
01/11/2012	4.80	4.80	4.68	4.68	829385	7948799.000
01/12/2012	4.60	4.80	4.60	4.68	643690	6141560.000
01/13/2012	4.67	4.72	4.38	4.48	1058746	9677583.000
01/16/2012	4.43	4.51	4.34	4.34	260962	2338009.500
01/17/2012	4.34	4.57	4.34	4.56	637102	5754131.000
01/18/2012	4.59	4.63	4.42	4.48	415399	3803524.250
01/19/2012	4.52	4.53	4.43	4.47	550231	4997774.500
01/20/2012	4.50	4.56	4.43	4.50	517384	4712756.000
01/30/2012	4.54	4.60	4.48	4.50	423471	3884794.000
01/31/2012	4.45	4.51	4.44	4.46	328350	2970957.250
02/01/2012	4.43	4.47	4.34	4.39	384252	3441156.000
02/02/2012	4.38	4.46	4.29	4.43	414257	3701572.000
02/03/2012	4.44	4.56	4.41	4.53	778052	7129095.500
02/06/2012	4.52	4.61	4.51	4.56	775514	7170639.000
02/07/2012	4.54	4.55	4.38	4.45	489344	4429488.500
02/08/2012	4.44	4.90	4.44	4.90	6434448	63009608.000
02/09/2012	4.90	4.95	4.84	4.89	5121262	50751468.000
02/10/2012	4.86	4.94	4.85	4.93	2515577	24963742.000
02/13/2012	4.91	5.07	4.88	4.97	3588411	36190848.000
02/14/2012	4.98	5.43	4.88	5.41	5569698	58310228.000
02/15/2012	5.31	5.41	5.22	5.41	3618229	38955968.000
02/16/2012	5.96	5.96	5.96	5.96	2003090	24137234.000
02/17/2012	6.34	6.57	6.23	6.57	20482172	267021632.000
02/20/2012	6.59	6.88	6.54	6.71	15943846	215599872.000
02/21/2012	6.70	6.78	6.60	6.74	9600678	129564440.000
02/22/2012	6.70	7.38	6.67	7.09	14823115	209534320.000
02/23/2012	7.03	7.16	6.89	7.04	9640748	136475488.000
02/24/2012	7.00	7.20	7.00	7.11	7081402	101348280.000
02/27/2012	7.16	7.68	7.11	7.24	13214033	197110000.000
02/28/2012	7.14	7.27	7.08	7.17	7103453	102811184.000
02/29/2012	7.17	7.48	7.04	7.28	7787105	114217904.000
03/01/2012	7.20	7.53	7.13	7.46	8473139	126235128.000
03/02/2012	7.40	7.80	7.30	7.74	10352888	157533664.000
03/05/2012	7.76	8.44	7.70	7.98	13349846	215858400.000
03/06/2012	7.85	8.06	7.79	7.86	8034868	128109352.000
03/08/2012	8.08	8.66	7.95	8.66	17426933	295365952.000
03/09/2012	8.75	8.93	8.52	8.87	14356187	252272944.000
03/12/2012	8.89	9.76	8.84	9.76	18685695	357373856.000
03/13/2012	9.93	10.75	9.80	10.75	18707543	389329728.000
03/14/2012	11.24	11.83	10.80	11.76	69846546	806479104.000
03/19/2012	11.46	11.49	10.64	10.84	45183247	496926496.000
03/20/2012	10.82	11.93	10.82	11.93	52220247	603501120.000
03/21/2012	12.29	12.87	11.49	11.72	65998773	807994240.000
03/22/2012	11.19	11.49	10.74	11.22	35702601	394701184.000
03/23/2012	11.04	11.04	10.19	10.29	27815707	295054464.000
03/26/2012	10.19	11.32	10.09	11.32	43235173	474683904.000
03/27/2012	11.50	12.27	11.37	11.99	49169564	585055552.000
03/28/2012	11.79	12.85	11.29	12.53	53502719	652117376.000
04/09/2012	11.97	12.51	11.28	12.07	28537391	342485184.000
04/10/2012	11.79	11.99	10.99	11.61	28148054	321313568.000
04/11/2012	11.50	12.07	11.10	11.72	26766314	312107008.000
