002274 华昌化工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.43	5.48	5.21	5.25	1119330	9326944.000
01/05/2012	5.22	5.23	4.93	4.94	1461323	11447193.000
01/06/2012	4.96	5.07	4.76	5.06	1768734	13448096.000
01/09/2012	5.07	5.32	5.02	5.28	2114208	16975206.000
01/10/2012	5.29	5.55	5.24	5.50	3251515	27327490.000
01/11/2012	5.50	5.60	5.45	5.53	2549959	21735642.000
01/12/2012	5.49	5.67	5.47	5.55	2610300	22468072.000
01/13/2012	5.53	5.57	5.29	5.31	2076828	17294350.000
01/16/2012	5.24	5.32	5.04	5.09	1318131	10642365.000
01/17/2012	5.07	5.47	5.07	5.45	1712550	14075830.000
01/18/2012	5.45	5.57	5.39	5.43	2979678	25299718.000
01/19/2012	5.42	5.51	5.31	5.47	1523081	12791168.000
01/20/2012	5.47	5.59	5.47	5.54	1619996	13850391.000
01/30/2012	5.58	5.59	5.45	5.50	1425614	12177501.000
01/31/2012	5.51	5.51	5.37	5.45	1025027	8618846.000
02/01/2012	5.44	5.59	5.43	5.47	1603476	13647900.000
02/02/2012	5.55	5.63	5.49	5.63	1983531	17050902.000
02/03/2012	5.63	5.82	5.60	5.77	3343811	29644572.000
02/06/2012	5.78	5.81	5.67	5.77	3036515	26912584.000
02/07/2012	5.71	5.72	5.59	5.65	2274839	19821410.000
02/08/2012	5.61	5.78	5.61	5.77	2571853	22714802.000
02/09/2012	5.77	5.89	5.71	5.78	2964039	26536022.000
02/10/2012	5.74	5.84	5.73	5.80	2465049	22010220.000
02/13/2012	5.76	5.93	5.67	5.87	2893580	26009288.000
02/14/2012	5.89	5.99	5.85	5.87	2727043	24865464.000
02/15/2012	5.90	6.02	5.83	5.98	2651571	24257156.000
02/16/2012	5.99	6.07	5.91	6.03	2738703	25301926.000
02/17/2012	5.99	6.07	5.87	5.97	1895494	17448614.000
02/20/2012	6.03	6.07	5.94	5.95	1692144	15623240.000
02/21/2012	5.95	6.21	5.94	6.19	5071156	47742672.000
02/22/2012	6.19	6.25	6.12	6.21	3264922	31101804.000
02/23/2012	6.22	6.25	6.12	6.22	2293240	21899542.000
02/24/2012	6.22	6.33	6.18	6.33	3481619	33542062.000
02/29/2012	6.40	6.45	5.99	6.00	7077996	67967904.000
03/01/2012	5.92	6.00	5.87	5.93	3309669	30299960.000
03/02/2012	5.95	6.03	5.93	6.02	2886174	26642578.000
03/05/2012	6.04	6.25	6.03	6.21	4580588	43362748.000
03/06/2012	6.20	6.35	6.12	6.29	4342351	41692764.000
03/07/2012	6.20	6.35	6.17	6.21	3435385	33210584.000
03/08/2012	6.21	6.31	6.17	6.23	2712126	26112926.000
03/09/2012	6.23	6.38	6.20	6.37	3634661	35176772.000
03/12/2012	6.39	6.53	6.33	6.45	4085699	40374672.000
03/13/2012	6.43	6.77	6.34	6.73	6605767	66640576.000
