002285 世联行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	1.98	2.02	1.95	1.96	772549	8748467.000
01/05/2012	1.93	1.97	1.82	1.83	1098647	12014836.000
01/06/2012	1.86	1.87	1.71	1.79	1214250	12388680.000
01/09/2012	1.79	1.86	1.76	1.84	1622295	16943186.000
01/10/2012	1.82	1.96	1.82	1.96	2090982	22691466.000
01/11/2012	1.94	1.97	1.88	1.93	2422859	26773604.000
01/12/2012	1.92	2.04	1.90	1.94	2678605	30332652.000
01/16/2012	1.84	1.84	1.73	1.73	2362414	24153218.000
01/17/2012	1.73	1.83	1.71	1.80	1391998	14322024.000
01/18/2012	1.80	1.84	1.72	1.73	1711337	17571232.000
01/19/2012	1.72	1.77	1.71	1.75	1289707	12992254.000
01/20/2012	1.75	1.80	1.74	1.79	1172232	12014376.000
01/30/2012	1.79	1.81	1.75	1.76	897765	9196421.000
01/31/2012	1.75	1.77	1.74	1.76	653576	6622773.000
02/01/2012	1.73	1.77	1.72	1.74	855423	8628788.000
02/02/2012	1.74	1.77	1.72	1.77	967977	9763554.000
02/03/2012	1.81	1.81	1.76	1.80	1620421	16775115.000
02/06/2012	1.80	1.84	1.80	1.82	1469214	15404358.000
02/07/2012	1.81	1.81	1.75	1.77	937482	9627715.000
02/08/2012	1.77	1.89	1.76	1.88	2018792	21458708.000
02/09/2012	1.88	1.98	1.88	1.95	2992065	33235270.000
02/10/2012	1.96	2.17	1.94	2.14	7589045	92138496.000
02/13/2012	2.03	2.13	2.01	2.10	5440948	64040788.000
02/14/2012	2.10	2.17	2.05	2.13	5445770	65621132.000
02/15/2012	2.12	2.26	2.06	2.22	6455715	79796688.000
02/16/2012	2.18	2.28	2.16	2.20	2478733	31288878.000
02/17/2012	2.21	2.22	2.12	2.18	1690471	20805824.000
02/20/2012	2.24	2.39	2.18	2.25	4229327	54320384.000
02/21/2012	2.25	2.35	2.20	2.34	2516900	32489202.000
02/22/2012	2.34	2.59	2.34	2.53	6061856	85273440.000
02/23/2012	2.55	2.57	2.48	2.55	2726701	38678764.000
02/24/2012	2.55	2.73	2.49	2.64	4390550	64711436.000
02/27/2012	2.64	2.67	2.60	2.60	4059278	59986192.000
02/28/2012	2.57	2.63	2.47	2.59	4115268	59324028.000
02/29/2012	2.52	2.59	2.39	2.54	3165758	44742156.000
03/01/2012	2.51	2.67	2.49	2.62	1949389	28345718.000
03/02/2012	2.62	2.78	2.60	2.78	2863027	43335672.000
03/05/2012	2.80	2.82	2.72	2.74	2334987	36133932.000
03/06/2012	2.71	2.78	2.59	2.71	2513385	38089308.000
03/07/2012	2.69	2.70	2.53	2.56	2287844	33598072.000
03/08/2012	2.57	2.65	2.54	2.58	1632704	23761702.000
03/09/2012	2.58	2.74	2.58	2.63	2272029	33693684.000
03/12/2012	2.63	2.63	2.48	2.58	3357236	47913928.000
03/13/2012	2.56	2.61	2.55	2.60	1903669	27556704.000
03/14/2012	2.59	2.67	2.32	2.36	4621617	66098564.000
03/15/2012	2.34	2.40	2.20	2.24	4832227	62404032.000
03/16/2012	2.24	2.29	2.20	2.28	2586863	32973942.000
03/19/2012	2.27	2.38	2.21	2.32	2430141	31788132.000
03/20/2012	2.33	2.40	2.29	2.29	2828168	37608172.000
03/21/2012	2.29	2.36	2.24	2.33	1925278	25058808.000
03/22/2012	2.32	2.38	2.26	2.29	3100128	40787828.000
03/23/2012	2.27	2.28	2.19	2.21	2112581	26668776.000
03/26/2012	2.20	2.24	2.16	2.24	924649	11614199.000
03/27/2012	2.26	2.27	2.15	2.19	2670097	33360708.000
03/28/2012	2.16	2.22	2.08	2.09	3369483	41269312.000
03/29/2012	2.07	2.17	2.05	2.13	2617979	31574252.000
03/30/2012	2.14	2.18	2.07	2.18	2030391	24708240.000
04/05/2012	2.15	2.30	2.14	2.28	3858208	48982008.000
04/06/2012	2.26	2.52	2.24	2.45	5545868	74676168.000
04/09/2012	2.41	2.44	2.33	2.33	3266284	43746108.000
04/10/2012	2.34	2.45	2.26	2.45	2853714	38026628.000
04/11/2012	2.40	2.66	2.38	2.53	5542822	79111120.000
04/12/2012	2.50	2.60	2.46	2.56	2790001	39728164.000
04/13/2012	2.59	2.66	2.51	2.56	2717506	39140980.000
04/16/2012	2.84	2.84	2.61	2.72	9947041	153248960.000
04/17/2012	2.68	2.68	2.47	2.51	6295249	89998608.000
04/18/2012	2.47	2.63	2.43	2.59	6051207	86786616.000
04/19/2012	2.56	2.60	2.50	2.55	2728572	38903152.000
04/20/2012	2.52	2.62	2.52	2.60	2140388	30983194.000
04/23/2012	2.58	2.68	2.54	2.61	2577013	37823548.000
04/24/2012	2.60	2.67	2.45	2.52	2029771	29035176.000
04/25/2012	2.52	2.75	2.47	2.67	3458450	51237276.000
04/26/2012	2.68	2.78	2.64	2.71	3398755	51379544.000
04/27/2012	2.68	2.77	2.62	2.66	2267711	34374316.000
05/02/2012	2.69	2.77	2.53	2.61	2338722	34664048.000
05/03/2012	2.61	2.64	2.56	2.61	1091627	15887191.000
05/07/2012	2.61	2.65	2.56	2.61	1220140	17764126.000
05/08/2012	2.61	2.66	2.57	2.66	848211	12493291.000
05/09/2012	2.64	2.64	2.52	2.56	1641738	23697800.000
05/10/2012	2.54	2.56	2.46	2.55	1304231	18395778.000
05/11/2012	2.52	2.57	2.45	2.54	804663	11368610.000
05/14/2012	2.58	2.64	2.49	2.58	1901729	27515252.000
05/15/2012	2.53	2.57	2.49	2.55	1038684	14553585.000
05/16/2012	2.55	2.59	2.53	2.54	734300	10383351.000
05/17/2012	2.53	2.65	2.50	2.62	1275933	18158892.000
05/18/2012	2.59	2.62	2.53	2.60	734498	10423471.000
05/21/2012	2.60	2.63	2.54	2.60	594334	8523687.000
05/22/2012	2.63	2.73	2.60	2.71	1491589	22006658.000
05/23/2012	2.71	2.87	2.69	2.85	2472200	38039408.000
05/24/2012	2.87	2.87	2.71	2.74	2219108	33650500.000
05/25/2012	2.69	2.76	2.62	2.69	1758834	25873936.000
