002287 奇正藏药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	15.00	15.00	13.92	13.96	588572	9474358.000
01/05/2012	13.96	13.98	12.91	13.06	486595	7421714.500
01/06/2012	13.10	13.16	12.41	12.79	416224	6001336.000
01/09/2012	12.79	13.32	12.56	13.26	437548	6496800.500
01/10/2012	13.18	14.01	13.18	13.92	605483	9402632.000
01/11/2012	13.92	15.26	13.84	14.85	1442214	23527542.000
01/12/2012	14.52	15.76	14.39	14.59	960112	16049136.000
01/13/2012	14.56	14.56	13.56	13.66	748799	11811420.000
01/16/2012	13.46	13.84	13.26	13.27	305490	4659514.000
01/17/2012	13.64	14.18	13.28	14.14	472049	7359149.500
01/18/2012	14.14	14.45	13.45	13.49	652145	10190166.000
01/19/2012	13.56	13.73	13.28	13.55	507258	7726209.000
01/20/2012	13.61	13.85	13.46	13.72	344735	5311185.500
01/30/2012	13.85	13.93	13.61	13.70	345934	5353531.500
01/31/2012	13.74	13.86	13.55	13.74	213522	3296765.750
02/01/2012	13.84	13.84	13.66	13.70	222572	3448988.750
02/02/2012	13.72	14.53	13.66	14.18	662685	10537537.000
02/03/2012	14.06	14.44	13.91	14.34	651234	10423523.000
02/06/2012	14.32	14.45	14.17	14.34	495879	7959306.000
02/07/2012	14.36	14.36	13.91	14.01	498069	7860582.000
02/08/2012	14.14	14.36	13.96	14.35	599241	9576406.000
02/09/2012	14.45	14.66	14.32	14.54	929460	15114644.000
02/10/2012	14.54	14.61	14.33	14.42	761119	12360638.000
02/13/2012	14.47	14.80	14.26	14.61	779227	12737676.000
02/14/2012	14.61	14.81	14.47	14.75	639639	10487932.000
02/15/2012	14.80	14.94	14.54	14.89	842598	13931905.000
02/16/2012	14.92	15.16	14.61	14.72	671338	11134957.000
02/17/2012	14.98	15.01	14.59	14.79	550253	9093449.000
02/20/2012	14.88	15.00	14.74	14.79	662354	11019821.000
02/21/2012	14.82	15.01	14.57	14.99	703208	11648350.000
02/22/2012	14.98	15.25	14.88	15.24	1084399	18276250.000
02/23/2012	15.26	15.54	15.16	15.35	866167	14786871.000
02/24/2012	15.42	17.04	15.26	17.04	3167308	56498504.000
02/27/2012	16.90	18.26	16.51	17.19	4994503	94521536.000
02/28/2012	16.79	16.96	16.51	16.59	1996686	36734316.000
02/29/2012	16.56	16.74	16.08	16.09	1084808	19612370.000
03/01/2012	16.01	16.24	16.01	16.08	947220	16922746.000
03/02/2012	16.11	16.45	16.08	16.16	1440299	25902312.000
03/05/2012	16.35	16.74	16.35	16.37	1515973	27667834.000
03/06/2012	16.31	16.37	15.77	15.95	1122560	19898102.000
03/07/2012	15.77	16.17	15.74	15.79	751667	13321099.000
03/08/2012	15.94	16.13	15.80	15.97	783291	13870408.000
03/09/2012	16.02	16.39	16.02	16.35	909815	16331995.000
03/12/2012	16.35	16.70	16.28	16.65	1433718	26221692.000
03/13/2012	16.69	16.73	16.40	16.60	801215	14634276.000
03/14/2012	16.60	16.67	15.52	15.57	1747990	31374758.000
03/15/2012	15.58	15.78	14.96	15.28	1093310	18648916.000
03/16/2012	15.34	15.83	15.34	15.77	766757	13258967.000
03/19/2012	15.86	16.21	15.78	16.19	977916	17367232.000
03/20/2012	16.16	16.24	15.64	15.67	1000208	17639030.000
03/21/2012	15.63	15.96	15.35	15.81	926900	16117724.000
03/22/2012	15.84	15.84	15.46	15.61	435980	7579227.500
03/23/2012	15.61	16.63	15.46	16.11	2675796	48201400.000
03/26/2012	16.06	16.15	15.57	15.72	1065499	18676664.000
03/27/2012	15.67	15.94	15.47	15.55	628928	10957864.000
03/28/2012	15.46	15.57	14.56	14.58	820517	13765425.000
03/29/2012	14.39	14.56	13.74	14.05	685207	10862016.000
03/30/2012	14.05	14.30	13.93	14.15	413435	6549844.000
04/05/2012	14.12	14.62	13.93	14.55	443798	7153848.000
04/06/2012	14.55	14.96	14.43	14.64	441193	7267595.500
04/09/2012	14.56	14.82	14.48	14.53	335914	5509704.000
04/10/2012	14.48	14.69	14.12	14.67	356406	5747324.000
04/11/2012	14.45	14.86	14.36	14.67	280815	4594891.500
04/12/2012	14.72	15.25	14.60	15.08	717460	11959753.000
04/13/2012	15.03	15.31	14.98	15.08	517977	8742565.000
04/16/2012	15.08	15.45	14.90	15.19	579857	9828349.000
04/17/2012	15.18	15.41	15.06	15.18	442874	7525575.000
04/18/2012	15.18	15.58	14.91	15.53	861710	14667816.000
04/19/2012	15.37	15.58	15.32	15.36	673959	11553516.000
04/23/2012	15.50	15.50	14.68	14.76	547203	9195519.000
04/24/2012	14.58	14.81	14.22	14.50	607047	9829648.000
04/25/2012	14.46	14.72	14.36	14.61	343263	5590833.000
04/26/2012	14.61	14.71	14.50	14.62	348210	5690269.500
04/27/2012	14.62	14.76	14.61	14.65	236944	3890283.000
05/02/2012	14.76	15.14	14.76	14.91	438987	7314752.500
05/03/2012	15.01	15.23	14.99	15.21	642203	10833920.000
05/04/2012	15.26	15.26	15.01	15.19	469355	7924342.000
05/07/2012	15.21	15.34	15.09	15.32	544952	9238157.000
05/08/2012	15.36	15.36	15.14	15.21	467692	7923085.000
05/09/2012	15.06	15.72	14.91	15.17	952579	16253566.000
05/10/2012	14.98	16.02	14.98	15.81	2009860	35188188.000
05/11/2012	15.68	15.95	15.46	15.76	1330401	23279274.000
05/14/2012	15.81	16.41	15.50	15.72	1558901	27517532.000
05/15/2012	15.49	15.51	14.94	15.08	959897	16156021.000
05/16/2012	15.08	15.20	14.91	14.92	289448	4850507.000
05/17/2012	14.83	15.12	14.83	15.04	363363	6076250.500
05/18/2012	14.95	15.11	14.59	14.74	496816	8224183.000
05/21/2012	14.72	14.90	14.58	14.73	235330	3875768.500
05/22/2012	14.82	15.12	14.76	15.12	357510	5960164.000
05/23/2012	15.10	15.10	14.71	14.96	334823	5588632.000
05/24/2012	14.86	14.96	14.64	14.64	299918	4943293.000
05/25/2012	14.64	14.71	14.34	14.38	274805	4463787.000
05/28/2012	14.38	14.49	14.08	14.47	416899	6672389.500
05/29/2012	14.35	14.74	14.35	14.62	271781	4435437.500
05/30/2012	14.62	15.00	14.61	14.73	374200	6186200.000
05/31/2012	14.76	14.91	14.71	14.85	420025	6960837.500
06/01/2012	14.89	14.89	14.67	14.72	243522	4025652.250
06/04/2012	14.46	14.66	14.14	14.14	489743	7869284.000
06/05/2012	14.29	14.44	14.08	14.24	308368	4931763.500
06/06/2012	14.32	14.36	14.08	14.26	422301	6753054.500
06/07/2012	14.34	14.53	14.14	14.15	244966	3925318.750
06/08/2012	14.38	14.38	14.14	14.15	193382	3084347.750
06/11/2012	14.35	14.48	14.14	14.48	300788	4833581.000
06/12/2012	14.41	14.41	14.23	14.36	181172	2914846.000
06/13/2012	14.44	14.94	14.36	14.83	742846	12227881.000
06/14/2012	14.84	14.96	14.68	14.71	542935	9002341.000
06/15/2012	15.15	16.33	15.14	15.78	4053767	70196352.000
06/18/2012	15.54	16.50	15.49	16.26	3919126	69091624.000
06/19/2012	16.14	17.50	15.91	16.80	4884606	88816448.000
06/20/2012	16.59	16.70	15.94	16.06	2875716	50845076.000
06/21/2012	16.12	16.44	15.86	16.08	2130116	37704264.000
06/25/2012	16.08	16.50	15.85	15.86	1519278	26852916.000
06/26/2012	15.54	17.03	15.42	16.72	4039826	72343992.000
06/27/2012	16.49	16.92	16.30	16.35	2551845	46050912.000
06/28/2012	16.11	16.63	16.01	16.14	1632596	29136946.000
06/29/2012	16.03	17.04	15.75	16.91	2999590	54341684.000
07/02/2012	16.92	17.50	16.82	16.88	3417437	63609468.000
07/03/2012	17.14	18.34	17.14	17.37	4531149	86811000.000
07/04/2012	16.97	17.14	16.64	16.73	2481066	45385540.000
07/05/2012	16.72	16.73	16.24	16.25	1493661	26635238.000
07/06/2012	16.25	17.13	16.14	17.12	2705787	49253816.000
07/09/2012	17.12	17.64	16.79	16.92	3163621	59425996.000
07/10/2012	16.70	16.70	16.27	16.37	1814591	32509564.000
07/11/2012	16.04	17.04	15.87	16.98	2077845	37344844.000
07/12/2012	16.88	17.49	16.74	17.00	2526567	46938780.000
07/13/2012	16.90	17.32	16.74	17.28	2158111	40044816.000
07/16/2012	17.19	17.67	16.34	16.50	2412332	44908924.000
