002307 北新路桥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.77	4.86	4.60	4.62	2278967	14015487.000
01/05/2012	4.58	4.67	4.38	4.40	3423975	20153156.000
01/06/2012	4.41	4.51	4.27	4.48	2227220	12682255.000
01/09/2012	4.49	4.68	4.46	4.65	1951782	11706120.000
01/10/2012	4.70	5.12	4.70	5.12	7595452	49695736.000
01/11/2012	5.08	5.18	5.02	5.09	5961183	39551468.000
01/12/2012	5.10	5.21	4.97	5.00	4550125	29978952.000
01/13/2012	4.97	5.05	4.77	4.81	3940502	24937078.000
01/16/2012	4.70	4.87	4.69	4.78	2315305	14409222.000
01/17/2012	4.75	5.09	4.75	5.09	4667729	30039484.000
01/18/2012	5.07	5.40	5.00	5.00	7048192	47294200.000
01/19/2012	4.96	5.00	4.72	4.93	3879164	24632482.000
01/20/2012	5.00	5.04	4.92	5.02	2425844	15739400.000
01/30/2012	5.02	5.10	4.97	4.98	1936551	12679513.000
01/31/2012	4.96	5.00	4.92	4.98	1288176	8296688.000
02/01/2012	4.93	5.26	4.93	5.05	3333096	22195974.000
02/02/2012	5.05	5.16	5.01	5.14	2199560	14586043.000
02/03/2012	5.15	5.23	5.06	5.19	4155629	27862722.000
02/06/2012	5.18	5.22	5.08	5.13	3931748	26303730.000
02/07/2012	5.12	5.14	4.95	5.01	2423702	15827146.000
02/08/2012	5.02	5.17	5.01	5.15	3216021	21389118.000
02/09/2012	5.15	5.35	5.10	5.30	6983180	47825088.000
02/10/2012	5.25	5.38	5.25	5.28	5555421	38427472.000
02/13/2012	5.21	5.32	5.12	5.31	3719570	25375632.000
02/14/2012	5.27	5.53	5.25	5.48	6674761	46834388.000
02/15/2012	5.50	5.54	5.38	5.54	6090599	43366416.000
02/16/2012	5.55	5.59	5.42	5.52	4921398	35332412.000
02/17/2012	5.52	5.63	5.44	5.48	4306269	30922340.000
02/20/2012	5.54	6.02	5.45	6.02	13233117	99077280.000
02/21/2012	6.06	6.28	5.89	6.08	19514880	154221440.000
02/22/2012	6.02	6.22	5.94	6.18	15210846	120318952.000
02/23/2012	6.15	6.15	6.02	6.05	8628835	68211184.000
02/24/2012	6.02	6.12	5.97	6.12	7577804	59476996.000
02/27/2012	6.12	6.15	6.01	6.02	9377055	74093976.000
02/28/2012	5.95	6.01	5.89	5.96	5433647	41947708.000
02/29/2012	5.90	5.95	5.77	5.84	5247324	39880968.000
03/01/2012	5.78	5.92	5.75	5.84	3275915	24955940.000
03/02/2012	5.86	6.05	5.85	6.01	5817059	45042568.000
03/05/2012	6.01	6.04	5.92	5.94	4212277	32715666.000
03/06/2012	5.88	6.07	5.81	6.06	5447677	42133660.000
03/07/2012	6.00	6.19	5.92	6.03	6423668	50673392.000
03/09/2012	6.16	6.35	6.15	6.24	11926503	96841856.000
03/12/2012	6.21	6.23	6.07	6.21	6128346	49059552.000
03/13/2012	6.21	6.38	6.17	6.32	9205145	75284664.000
03/14/2012	6.32	6.60	6.02	6.13	15698603	129503168.000
03/15/2012	6.15	6.24	5.95	6.04	9003698	71338344.000
03/16/2012	6.02	6.32	6.02	6.29	8249283	66652312.000
03/19/2012	6.26	6.42	6.21	6.36	6671434	54852596.000
03/20/2012	6.33	6.35	6.15	6.22	5768308	46769672.000
03/21/2012	6.18	6.42	6.12	6.25	7595970	61780384.000
03/22/2012	6.21	6.60	6.21	6.45	14782283	124350736.000
03/23/2012	6.51	7.06	6.45	6.81	28575483	252591760.000
03/26/2012	6.80	6.82	6.54	6.78	14611202	127141512.000
03/27/2012	6.82	7.41	6.74	7.24	26999219	250467472.000
03/28/2012	7.11	7.50	7.00	7.08	23336169	218614048.000
03/29/2012	6.85	6.85	6.37	6.37	7049986	58742672.000
03/30/2012	5.85	6.33	5.73	5.98	21509654	166904688.000
04/05/2012	5.83	6.10	5.77	6.06	10486629	81012768.000
04/06/2012	6.02	6.06	5.85	5.92	9834845	76045200.000
04/09/2012	5.91	5.91	5.71	5.75	8288666	62300064.000
04/10/2012	5.91	6.22	5.82	6.12	15350483	120935504.000
04/11/2012	5.92	6.06	5.87	6.01	7712793	60005352.000
04/12/2012	5.94	6.09	5.94	6.07	8546593	67054388.000
04/13/2012	6.08	6.15	6.00	6.14	8831393	69862696.000
04/16/2012	6.12	6.53	6.05	6.38	15022610	124150920.000
04/17/2012	6.35	6.44	6.14	6.17	10559851	85594112.000
04/18/2012	6.18	6.32	6.08	6.22	8640480	69662160.000
04/20/2012	6.18	6.32	6.12	6.28	8402860	68024200.000
04/23/2012	6.27	6.30	6.00	6.01	7889858	63031388.000
04/24/2012	5.98	6.03	5.42	5.74	9265177	69246096.000
04/26/2012	5.82	5.97	5.76	5.77	4676992	35570656.000
04/27/2012	5.78	5.85	5.52	5.59	5127079	37516032.000
05/02/2012	5.71	5.88	5.65	5.75	4770722	35778848.000
05/03/2012	5.75	5.92	5.71	5.85	3837340	28942214.000
05/04/2012	5.82	6.09	5.79	6.08	6671977	51472644.000
05/08/2012	6.28	6.28	6.09	6.14	8029224	64533200.000
05/09/2012	6.09	6.09	5.85	5.91	4814510	37308612.000
05/10/2012	5.85	5.95	5.83	5.92	3655638	27941722.000
05/11/2012	5.93	5.97	5.79	5.86	2854568	21866326.000
05/14/2012	5.91	5.96	5.78	5.90	3568699	27310202.000
05/15/2012	5.83	5.88	5.76	5.86	2662291	20117388.000
05/16/2012	5.86	5.88	5.62	5.62	2877939	21469836.000
05/17/2012	5.61	5.80	5.58	5.80	2710147	20182220.000
05/18/2012	5.71	6.01	5.71	5.92	6130099	46876340.000
05/21/2012	5.89	5.96	5.76	5.87	3710985	28307728.000
05/22/2012	5.86	6.06	5.85	6.03	7166907	55701636.000
05/23/2012	5.98	6.46	5.93	6.32	13983193	112256816.000
05/24/2012	6.25	6.65	6.22	6.48	22470378	187916000.000
05/25/2012	6.38	6.48	6.23	6.32	12432032	102162720.000
05/28/2012	6.40	6.68	6.32	6.57	17668346	149127856.000
05/29/2012	6.52	6.63	6.42	6.62	14256974	120924008.000
05/30/2012	6.62	6.65	6.45	6.45	12535781	106701880.000
05/31/2012	6.42	6.42	6.21	6.35	11251370	92257392.000
06/01/2012	6.40	6.41	6.24	6.26	6437283	52837592.000
06/04/2012	6.11	6.12	5.86	5.88	6917334	53888648.000
06/05/2012	5.88	6.09	5.86	5.99	5004602	38859840.000
06/06/2012	6.07	6.21	5.89	6.06	5294679	41560888.000
06/07/2012	6.19	6.25	5.97	5.98	5515953	43844556.000
06/08/2012	6.07	6.16	5.96	6.10	5283046	41696240.000
06/12/2012	6.08	6.12	5.83	5.85	5842965	45254248.000
06/13/2012	5.85	5.92	5.82	5.90	5122630	39099992.000
06/14/2012	5.89	5.89	5.68	5.71	6053681	45522348.000
06/15/2012	5.75	5.78	5.69	5.75	2778731	20766072.000
06/18/2012	5.77	5.88	5.77	5.83	2392722	18145908.000
06/19/2012	5.82	5.83	5.73	5.75	1853299	13925332.000
06/20/2012	5.75	5.83	5.69	5.71	1661456	12453932.000
06/21/2012	5.67	5.72	5.45	5.52	4501751	32391166.000
06/25/2012	5.52	5.54	5.28	5.29	2817903	19712478.000
06/26/2012	5.25	5.27	5.09	5.25	2532312	17100402.000
06/27/2012	5.25	5.32	5.15	5.17	1857860	12714853.000
06/28/2012	5.18	5.25	5.15	5.15	1806200	12202446.000
06/29/2012	5.08	5.18	5.06	5.17	1904525	12666202.000
07/02/2012	5.27	5.28	5.20	5.23	1483353	10104923.000
07/03/2012	5.26	5.28	5.19	5.25	1393394	9488022.000
07/04/2012	5.28	5.29	5.12	5.12	1533526	10363842.000
07/05/2012	5.12	5.18	4.93	4.94	1946973	12775037.000
07/06/2012	4.98	5.11	4.89	5.07	2203090	14355358.000
07/09/2012	5.02	5.02	4.89	4.90	1593104	10245001.000
07/10/2012	4.88	4.90	4.72	4.78	1497922	9321785.000
07/11/2012	4.83	4.95	4.76	4.89	1330779	8435640.000
07/12/2012	4.89	4.96	4.76	4.93	1650628	10444315.000
07/13/2012	4.93	4.98	4.87	4.95	1081229	6954368.000
07/16/2012	4.95	4.95	4.65	4.67	1935596	12023400.000
07/17/2012	4.63	4.81	4.63	4.75	1338410	8263763.000
07/18/2012	4.74	4.88	4.68	4.88	1826191	11344035.000
07/19/2012	4.88	5.00	4.81	4.91	2444867	15662906.000
07/20/2012	4.92	5.04	4.91	4.95	2049893	13209317.000
07/23/2012	4.85	5.14	4.80	4.95	2003294	12853679.000
07/24/2012	4.82	5.04	4.82	4.99	2590831	16629079.000
07/25/2012	4.96	5.02	4.92	5.00	1774644	11465574.000
07/26/2012	5.08	5.30	5.02	5.09	4630601	31139730.000
07/27/2012	5.05	5.15	5.03	5.06	1876495	12372702.000
07/30/2012	5.07	5.22	4.92	4.93	1970674	12924582.000
07/31/2012	4.85	4.88	4.65	4.73	1939208	11991703.000
08/01/2012	4.73	4.88	4.73	4.82	1323676	8303029.000
08/02/2012	4.82	4.85	4.71	4.75	1431774	8907252.000
08/03/2012	4.77	4.95	4.75	4.90	1669370	10579742.000
08/06/2012	4.90	5.28	4.90	5.22	5561937	37225428.000
08/07/2012	5.16	5.25	5.14	5.22	3244856	21916782.000
08/08/2012	5.21	5.21	5.08	5.14	2226897	14833476.000
08/09/2012	5.14	5.35	5.02	5.21	3773684	25441814.000
08/10/2012	5.15	5.57	5.12	5.54	8517616	59540712.000
08/13/2012	5.49	5.49	5.28	5.34	4303029	30116960.000
08/14/2012	5.31	5.38	5.08	5.28	3736194	25319370.000
08/15/2012	5.28	5.28	5.12	5.17	1772592	11963201.000
08/16/2012	5.17	5.41	5.15	5.28	3253834	22483918.000
08/17/2012	5.27	5.31	5.16	5.25	1150877	7804774.000
08/20/2012	5.22	5.28	5.15	5.26	905300	6138934.500
08/21/2012	5.27	5.43	5.26	5.38	2146675	14931794.000
08/22/2012	5.42	5.42	5.15	5.19	2585487	17659202.000
08/23/2012	5.15	5.52	5.15	5.45	5633447	39588276.000
08/24/2012	5.42	5.42	5.25	5.32	3259242	22579362.000
08/27/2012	5.32	5.32	5.01	5.05	2949541	19777080.000
08/28/2012	5.05	5.10	4.92	5.04	1983400	12884678.000
08/29/2012	4.96	5.09	4.95	4.96	1414482	9196041.000
08/30/2012	4.95	5.01	4.77	4.87	1809804	11467733.000
08/31/2012	4.87	4.92	4.84	4.89	880895	5588009.000
09/03/2012	4.90	5.19	4.87	5.05	1684778	11029522.000
09/04/2012	5.01	5.20	5.01	5.02	1844951	12220088.000
09/05/2012	4.98	5.13	4.98	5.04	1771182	11656016.000
09/06/2012	5.15	5.20	5.05	5.14	2665856	17738928.000
09/07/2012	5.55	5.65	5.38	5.49	15846239	114636104.000
09/10/2012	5.40	5.77	5.32	5.62	15943372	115627368.000
09/11/2012	5.52	5.55	5.41	5.46	6152564	43733676.000
09/12/2012	5.54	5.54	5.42	5.50	3108299	22126056.000
09/13/2012	5.50	5.50	5.33	5.33	3051306	21476760.000
09/14/2012	5.38	5.42	5.23	5.30	2916571	20184674.000
09/17/2012	5.31	5.33	4.99	5.08	3029019	20422816.000
09/18/2012	5.08	5.16	5.01	5.11	1885381	12500450.000
09/19/2012	5.12	5.16	5.08	5.11	1264188	8413137.000
09/20/2012	5.11	5.12	4.88	4.89	2358041	15244196.000
09/21/2012	4.92	4.97	4.88	4.89	1275472	8165660.000
09/24/2012	4.89	4.96	4.76	4.95	1519097	9625485.000
09/25/2012	4.95	5.18	4.91	5.01	2067823	13583684.000
09/26/2012	4.97	4.98	4.78	4.78	1739783	10989963.000
09/27/2012	4.78	4.98	4.78	4.91	1603385	10176186.000
09/28/2012	4.88	5.02	4.88	5.01	1454790	9416467.000
10/08/2012	5.08	5.08	4.95	5.00	1284351	8340811.000
10/09/2012	5.02	5.49	5.02	5.35	6882038	47153096.000
10/10/2012	5.23	5.33	5.22	5.27	3778723	25877912.000
10/11/2012	5.27	5.32	5.17	5.17	2644846	18004494.000
10/12/2012	5.17	5.27	5.15	5.17	1943988	13120775.000
10/15/2012	5.17	5.28	5.14	5.26	2859972	19415336.000
10/16/2012	5.31	5.46	5.26	5.27	5244523	36454560.000
10/17/2012	5.25	5.26	5.15	5.19	2341452	15820560.000
10/18/2012	5.19	5.28	5.16	5.28	2194314	14933423.000
10/19/2012	5.25	5.34	5.19	5.20	1446176	9863999.000
10/22/2012	5.17	5.22	5.16	5.22	1510232	10192481.000
10/23/2012	5.17	5.38	5.17	5.27	3314260	22764410.000
10/24/2012	5.28	5.28	5.15	5.22	2164655	14670796.000
10/25/2012	5.15	5.24	5.12	5.12	1522914	10250010.000
10/26/2012	5.12	5.18	4.92	4.97	1810358	11774397.000
10/29/2012	4.98	5.02	4.93	4.94	809675	5229190.000
10/30/2012	4.98	5.02	4.95	4.98	769350	4986191.500
10/31/2012	4.97	5.05	4.97	5.05	988343	6443444.500
11/01/2012	5.04	5.12	5.01	5.10	1648442	10901430.000
11/02/2012	5.12	5.18	5.06	5.15	1539875	10246460.000
11/05/2012	5.11	5.15	5.07	5.08	1391006	9219926.000
11/06/2012	5.11	5.11	4.92	5.02	1566422	10156510.000
11/07/2012	5.08	5.08	4.98	5.02	948934	6176158.000
11/08/2012	4.95	5.23	4.92	4.95	4015760	26604078.000
11/09/2012	4.82	5.05	4.77	4.91	2996117	18946920.000
