002308 威创股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.30	7.30	6.90	6.91	1248724	12674175.000
01/05/2012	6.90	6.95	6.15	6.17	4106446	38143448.000
01/06/2012	6.17	6.17	5.67	6.12	1974345	17058276.000
01/09/2012	6.12	6.33	5.98	6.33	1123317	10152581.000
01/10/2012	6.30	6.63	6.27	6.56	1492615	13963162.000
01/11/2012	6.46	6.87	6.46	6.65	2119276	20444448.000
01/12/2012	6.58	6.75	6.47	6.53	1485877	14140328.000
01/13/2012	6.53	6.57	6.12	6.17	1568277	14236474.000
01/16/2012	6.06	6.17	5.98	6.00	743860	6542465.500
01/17/2012	6.02	6.35	5.97	6.33	1177629	10567600.000
01/18/2012	6.32	6.44	6.16	6.18	2081528	18897574.000
01/19/2012	6.17	6.35	6.02	6.21	852773	7644398.500
01/20/2012	6.18	6.32	6.18	6.25	1077405	9766302.000
01/30/2012	6.26	6.35	6.26	6.28	619588	5647634.000
01/31/2012	6.27	6.28	6.17	6.24	715092	6447450.000
02/01/2012	6.24	6.34	6.15	6.18	811474	7327011.000
02/02/2012	6.20	6.33	6.17	6.33	837923	7572192.500
02/03/2012	6.29	6.49	6.21	6.47	2617245	24131874.000
02/06/2012	6.48	6.74	6.44	6.65	3768918	35693432.000
02/07/2012	6.65	6.83	6.54	6.67	3291465	31502512.000
02/08/2012	6.63	6.81	6.57	6.77	1211715	11715890.000
02/09/2012	6.83	7.00	6.76	6.77	2188668	21585104.000
02/10/2012	6.72	6.84	6.69	6.69	1804760	17482846.000
02/13/2012	6.69	6.91	6.60	6.90	2050476	20072752.000
02/14/2012	6.82	7.07	6.71	6.90	2012891	20013728.000
02/15/2012	6.91	7.03	6.87	6.97	2011170	20063912.000
02/16/2012	6.97	7.23	6.94	7.03	3551554	36010584.000
02/17/2012	7.06	7.06	6.80	6.90	2593403	25614800.000
02/20/2012	6.98	7.13	6.87	7.12	4533814	45462708.000
02/21/2012	7.10	7.21	7.05	7.20	3740952	38175604.000
02/22/2012	7.17	7.34	7.15	7.28	2801995	28976738.000
02/23/2012	7.28	7.29	7.10	7.20	2655865	27257178.000
02/24/2012	7.21	7.24	7.11	7.23	2394906	24604098.000
02/27/2012	7.28	7.32	7.15	7.17	2814235	29034950.000
02/28/2012	7.14	7.18	6.90	7.00	3636357	36464800.000
02/29/2012	7.01	7.07	6.91	6.93	1476403	14727227.000
03/01/2012	6.92	7.07	6.86	6.95	1760593	17571118.000
03/02/2012	6.96	7.10	6.95	7.03	2251471	22653340.000
03/05/2012	7.14	7.17	7.02	7.07	2713808	27529240.000
03/06/2012	7.02	7.06	6.88	6.88	2370099	23574810.000
03/07/2012	6.83	7.18	6.81	7.06	4003229	40540832.000
03/08/2012	7.08	7.17	7.04	7.16	3248981	33051078.000
03/09/2012	7.18	7.21	7.10	7.20	2613517	26760864.000
03/12/2012	7.21	7.29	7.10	7.22	3002358	30873620.000
03/13/2012	7.25	7.53	7.22	7.48	8288767	87490888.000
03/14/2012	7.54	7.55	6.97	7.00	6133246	63884588.000
03/15/2012	6.98	7.13	6.63	6.81	5974062	58873384.000
03/16/2012	6.80	6.93	6.73	6.93	3482347	34203388.000
03/19/2012	6.97	7.04	6.84	7.01	2372987	23621900.000
03/20/2012	7.01	7.01	6.75	6.76	2029566	19952924.000
03/21/2012	6.84	6.87	6.67	6.80	1224982	11935227.000
03/22/2012	6.80	6.89	6.75	6.83	1587035	15551923.000
03/23/2012	6.77	6.81	6.48	6.53	2233787	21277302.000
03/26/2012	6.53	6.57	6.46	6.52	927249	8705871.000
03/27/2012	6.55	6.66	6.45	6.56	1253789	11817900.000
03/28/2012	6.53	6.53	6.32	6.43	1589469	14676776.000
03/29/2012	6.37	6.44	6.21	6.27	1620100	14808823.000
03/30/2012	6.27	6.39	6.19	6.37	1590693	14459344.000
04/05/2012	6.41	6.52	6.29	6.51	1764169	16379218.000
04/06/2012	6.52	6.60	6.44	6.48	1368723	12840248.000
04/09/2012	6.45	6.48	6.35	6.35	896396	8316960.000
04/10/2012	6.33	6.57	6.20	6.45	1279095	11780615.000
04/11/2012	6.41	6.47	6.24	6.39	787999	7275741.000
04/12/2012	6.42	6.54	6.40	6.54	1308777	12249832.000
04/13/2012	6.57	6.67	6.53	6.60	1872312	17812686.000
04/16/2012	6.58	6.73	6.53	6.67	1644838	15735961.000
04/17/2012	6.64	6.79	6.62	6.73	1957364	18915938.000
04/18/2012	6.77	6.93	6.69	6.87	2712164	26561590.000
04/19/2012	6.90	6.90	6.75	6.81	1856839	18184246.000
04/20/2012	6.81	6.98	6.81	6.90	2249853	22320202.000
04/23/2012	6.95	7.04	6.79	6.86	1881924	18689180.000
04/24/2012	6.83	6.93	6.57	6.75	2359888	22795820.000
04/25/2012	6.72	6.88	6.67	6.84	2015937	19641032.000
04/26/2012	6.87	6.93	6.67	6.76	1976191	19336336.000
04/27/2012	6.76	6.86	6.67	6.69	1453443	14038041.000
05/02/2012	6.76	6.93	6.73	6.90	2566614	25259914.000
05/03/2012	6.96	7.04	6.89	6.95	2460611	24523806.000
05/04/2012	7.03	7.04	6.90	6.97	2156742	21519432.000
05/07/2012	6.95	7.05	6.88	7.01	2215153	22168424.000
05/08/2012	7.01	7.02	6.90	6.92	1969585	19620322.000
05/09/2012	6.90	6.90	6.68	6.69	2451404	23830404.000
05/10/2012	6.68	6.83	6.68	6.78	1506134	14665309.000
05/11/2012	6.78	6.84	6.73	6.74	1000503	9753064.000
05/14/2012	6.89	6.89	6.74	6.76	1570873	15392844.000
05/15/2012	6.68	6.74	6.63	6.73	1292083	12427828.000
05/16/2012	6.73	6.81	6.68	6.71	986364	9550090.000
05/17/2012	6.70	6.85	6.67	6.82	1177821	11445599.000
05/21/2012	6.72	6.88	6.68	6.81	1425842	13950490.000
05/22/2012	6.85	6.90	6.80	6.84	1254115	12318737.000
05/23/2012	6.85	6.90	6.69	6.71	1837619	17946478.000
05/24/2012	6.71	6.71	6.42	6.48	2530362	23887908.000
05/25/2012	6.54	6.54	6.35	6.37	1631168	15153180.000
05/28/2012	6.37	6.46	6.30	6.44	1296442	11973737.000
05/29/2012	6.48	6.58	6.43	6.57	1167960	10990209.000
05/30/2012	6.55	6.59	6.48	6.55	904355	8506052.000
05/31/2012	6.53	6.84	6.53	6.80	3598765	34793760.000
06/01/2012	6.80	6.88	6.72	6.77	1866107	18251538.000
06/04/2012	6.67	6.71	6.44	6.45	1207006	11400511.000
