002319 乐通股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.75	4.86	4.57	4.59	480974	4671480.500
01/05/2012	4.59	4.59	4.32	4.34	490762	4462124.500
01/06/2012	4.29	4.45	4.29	4.43	363754	3255771.250
01/09/2012	4.48	4.65	4.41	4.62	523383	4882571.000
01/10/2012	4.59	5.02	4.58	4.99	1280992	12729990.000
01/11/2012	4.99	4.99	4.86	4.94	1030094	10387082.000
01/12/2012	4.90	5.02	4.88	4.93	734175	7435683.500
01/13/2012	4.98	4.98	4.66	4.66	700090	6827071.500
01/16/2012	4.61	4.66	4.53	4.58	1153797	10837326.000
01/17/2012	4.58	4.83	4.54	4.81	965873	9376540.000
01/18/2012	4.81	4.88	4.56	4.56	1123410	10980458.000
01/19/2012	4.57	4.66	4.53	4.63	539784	5095118.500
01/20/2012	4.63	4.81	4.63	4.78	877648	8438685.000
01/30/2012	4.78	4.78	4.70	4.74	797296	7751986.500
01/31/2012	4.73	4.74	4.65	4.72	342511	3300097.750
02/01/2012	4.72	4.81	4.67	4.74	592811	5756213.000
02/02/2012	4.75	4.80	4.70	4.80	758010	7394189.000
02/03/2012	4.80	4.93	4.77	4.89	1018609	10152179.000
02/06/2012	4.90	4.97	4.85	4.96	972179	9795428.000
02/07/2012	4.95	4.95	4.79	4.82	902301	8955642.000
02/08/2012	4.83	5.02	4.80	5.01	1228674	12436943.000
02/09/2012	5.02	5.17	4.99	5.08	1649142	17229606.000
02/10/2012	5.11	5.21	5.06	5.12	1283255	13484786.000
02/13/2012	5.07	5.20	4.98	5.16	782840	8221550.000
02/14/2012	5.16	5.26	5.13	5.18	1044820	11072825.000
02/15/2012	5.18	5.30	5.12	5.27	1208393	12915889.000
02/16/2012	5.25	5.52	5.22	5.46	2564639	28171960.000
02/17/2012	5.45	5.57	5.35	5.48	2809965	31315292.000
02/20/2012	5.56	5.56	5.39	5.42	2015714	22415760.000
02/21/2012	5.44	5.47	5.26	5.43	1438182	15734704.000
02/22/2012	5.43	5.53	5.39	5.49	2252045	25143384.000
02/23/2012	5.49	5.51	5.40	5.48	1733216	19363040.000
02/24/2012	5.51	5.62	5.46	5.58	2177619	24683810.000
02/27/2012	5.56	5.65	5.54	5.55	1856363	21194264.000
02/28/2012	5.51	5.51	5.35	5.45	1577000	17435900.000
02/29/2012	5.43	5.53	5.35	5.43	1081950	12058829.000
03/01/2012	5.42	5.48	5.36	5.42	753625	8348725.000
03/02/2012	5.46	5.50	5.42	5.49	1058709	11823873.000
03/05/2012	5.53	5.60	5.49	5.53	997977	11310588.000
03/06/2012	5.51	5.77	5.51	5.65	2788115	32214044.000
03/07/2012	5.56	5.65	5.44	5.55	1377804	15635334.000
03/08/2012	5.55	5.68	5.51	5.67	1442721	16619446.000
03/09/2012	5.67	5.89	5.64	5.87	2022627	23754004.000
03/12/2012	5.86	5.87	5.67	5.75	2151840	25330772.000
03/13/2012	5.75	5.84	5.66	5.81	1335469	15702800.000
03/14/2012	5.81	5.84	5.35	5.41	1937790	22298910.000
03/15/2012	5.41	5.44	5.19	5.26	1408082	15253140.000
03/16/2012	5.26	5.37	5.22	5.37	819104	8893374.000
03/19/2012	5.37	5.51	5.34	5.48	997764	11081944.000
03/20/2012	5.50	5.50	5.31	5.33	658678	7275214.500
03/21/2012	5.33	5.43	5.25	5.42	558230	6118383.000
03/22/2012	5.38	5.49	5.37	5.46	531418	5907807.500
03/23/2012	5.41	5.44	5.18	5.23	639710	6943351.500
03/26/2012	5.23	5.27	5.17	5.22	392471	4185304.750
03/27/2012	5.24	5.33	5.21	5.28	489489	5278991.500
03/28/2012	5.26	5.26	4.90	4.96	755028	7821785.000
03/29/2012	4.93	4.94	4.80	4.82	477591	4768232.000
03/30/2012	4.83	4.93	4.77	4.93	801096	7994770.000
04/05/2012	4.90	5.13	4.90	5.13	706836	7248866.000
04/06/2012	5.04	5.14	4.98	5.09	632665	6572642.000
04/09/2012	5.04	5.09	4.98	4.99	365190	3752919.750
04/10/2012	4.95	5.21	4.95	5.19	838535	8709234.000
04/11/2012	5.12	5.24	5.09	5.19	711752	7539834.000
04/12/2012	5.22	5.37	5.19	5.32	1124543	12197916.000
04/13/2012	5.29	5.35	5.27	5.32	903530	9818400.000
04/16/2012	5.32	5.43	5.26	5.38	864577	9496262.000
04/17/2012	5.41	5.41	5.23	5.24	653800	7077504.000
04/18/2012	5.29	5.41	5.24	5.40	611426	6676867.000
04/19/2012	5.38	5.48	5.34	5.35	746306	8249237.500
04/20/2012	5.29	5.46	5.25	5.39	863675	9459651.000
04/23/2012	5.39	5.40	5.22	5.26	735211	7997793.000
04/24/2012	5.21	5.28	4.96	5.08	795054	8363802.500
04/25/2012	5.06	5.21	5.00	5.17	621878	6533946.500
04/26/2012	5.19	5.70	5.19	5.70	5845863	66570300.000
04/27/2012	5.60	5.76	5.44	5.63	4362109	49685408.000
05/02/2012	5.63	5.83	5.56	5.73	3752680	43698964.000
05/03/2012	5.73	5.87	5.64	5.84	3557503	41810532.000
05/04/2012	5.78	5.98	5.69	5.72	2810375	33244672.000
05/07/2012	5.66	5.69	5.58	5.67	1741758	20008878.000
05/08/2012	5.67	6.20	5.66	5.90	4694343	56839880.000
05/09/2012	5.82	5.82	5.65	5.71	2090868	24531932.000
05/10/2012	5.67	5.79	5.66	5.68	1170848	13653764.000
05/11/2012	5.69	5.70	5.56	5.60	1199171	13759638.000
05/14/2012	5.64	5.77	5.58	5.64	1336982	15486595.000
05/15/2012	5.58	5.76	5.52	5.74	1284677	14920305.000
05/16/2012	5.74	6.03	5.71	6.03	4856760	58782120.000
05/17/2012	6.03	6.15	5.94	6.15	3387027	41869828.000
05/18/2012	6.01	6.30	5.96	5.98	3027874	37809080.000
05/21/2012	5.87	6.08	5.82	6.01	1382969	16730033.000
05/22/2012	6.06	6.20	6.01	6.11	1362951	16980912.000
05/23/2012	6.10	6.19	5.91	6.01	1355540	16650459.000
05/24/2012	6.02	6.04	5.83	5.83	1167892	14090632.000
05/28/2012	5.75	5.86	5.56	5.82	1500516	17378148.000
05/29/2012	5.81	5.96	5.72	5.94	1041120	12414595.000
05/30/2012	5.92	6.09	5.83	5.83	852132	10287101.000
05/31/2012	5.81	5.88	5.71	5.84	895526	10562001.000
06/01/2012	5.86	5.91	5.76	5.90	805718	9602528.000
06/04/2012	5.86	6.10	5.78	5.83	2512770	30679188.000
06/05/2012	5.81	5.86	5.61	5.61	1080886	12545977.000
06/06/2012	5.59	5.73	5.59	5.63	416520	4806025.000
06/07/2012	5.74	5.74	5.56	5.57	471815	5451386.500
06/08/2012	5.65	5.69	5.57	5.60	380915	4377824.000
