002332 仙琚制药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.41	7.47	7.24	7.25	371837	4354992.000
01/05/2012	7.25	7.25	6.91	7.11	591238	6678891.500
01/06/2012	7.01	7.07	6.71	6.96	1027335	11306929.000
01/09/2012	6.96	7.49	6.88	7.29	963373	11094215.000
01/10/2012	7.31	7.62	7.27	7.53	1717218	20450024.000
01/11/2012	7.53	7.63	7.43	7.55	1366261	16481708.000
01/12/2012	7.55	7.69	7.48	7.63	2314774	28177874.000
01/13/2012	7.60	7.60	7.31	7.39	1246081	14764795.000
01/16/2012	7.39	7.41	7.14	7.19	869271	10081843.000
01/17/2012	7.24	7.49	7.09	7.39	2252214	26355712.000
01/18/2012	7.32	7.54	7.04	7.10	1537492	17975246.000
01/19/2012	7.10	7.23	6.96	7.11	774544	8802557.000
01/20/2012	7.19	7.25	7.12	7.19	781797	8997350.000
01/30/2012	7.23	7.40	7.15	7.40	1274977	14881553.000
01/31/2012	7.38	7.40	7.27	7.33	840295	9839991.000
02/01/2012	7.29	7.42	7.26	7.31	900311	10542628.000
02/02/2012	7.31	7.39	7.22	7.37	1434115	16753380.000
02/03/2012	7.39	7.47	7.31	7.45	2383085	28208854.000
02/06/2012	7.44	7.49	7.37	7.43	1477839	17556884.000
02/07/2012	7.43	7.43	7.25	7.32	1187557	13905267.000
02/08/2012	7.27	7.61	7.27	7.59	2439766	29164324.000
02/09/2012	7.60	7.75	7.52	7.62	2539374	30985618.000
02/10/2012	7.53	7.69	7.53	7.59	1111007	13495493.000
02/13/2012	7.53	7.72	7.51	7.65	1432188	17434152.000
02/14/2012	7.65	7.82	7.56	7.65	2177077	26616052.000
02/15/2012	7.64	7.77	7.59	7.73	2254604	27631732.000
02/16/2012	7.69	7.79	7.57	7.64	2006054	24517768.000
02/17/2012	7.64	7.69	7.53	7.63	1255564	15229446.000
02/20/2012	7.71	7.74	7.57	7.58	1954202	23834906.000
02/21/2012	7.58	7.65	7.52	7.64	1220528	14769793.000
02/22/2012	7.65	7.95	7.60	7.91	5022692	62682040.000
02/23/2012	7.92	7.95	7.76	7.83	3294733	41101788.000
02/24/2012	7.83	7.90	7.72	7.88	3643040	45423080.000
02/27/2012	7.90	8.00	7.87	7.88	3748075	47249464.000
02/28/2012	7.85	7.85	7.67	7.75	2326520	28732456.000
02/29/2012	7.73	7.81	7.66	7.69	1536654	18907100.000
03/01/2012	7.60	7.77	7.60	7.67	1248181	15303570.000
03/02/2012	7.72	7.79	7.67	7.78	1484908	18346580.000
03/05/2012	7.79	7.89	7.73	7.74	2191494	27216688.000
03/06/2012	7.71	7.77	7.57	7.63	1480392	18045724.000
03/07/2012	7.58	7.69	7.53	7.62	1380314	16777822.000
03/08/2012	7.63	7.77	7.60	7.75	1532307	18824806.000
03/09/2012	7.78	7.86	7.75	7.85	2135092	26571164.000
03/12/2012	7.84	7.95	7.81	7.92	2959451	37160620.000
03/13/2012	7.92	7.95	7.87	7.95	2209326	27821650.000
03/14/2012	7.95	8.18	7.55	7.60	3936117	49505048.000
03/15/2012	7.62	7.68	7.45	7.57	2291874	27599916.000
03/16/2012	7.57	7.77	7.57	7.76	1616960	19756184.000
03/19/2012	7.77	8.05	7.73	8.02	3533211	44584420.000
03/20/2012	8.01	8.01	7.77	7.88	2379331	29831602.000
03/21/2012	7.88	7.95	7.69	7.77	1814660	22586262.000
03/22/2012	7.79	7.89	7.65	7.83	1581652	19598538.000
03/23/2012	7.78	7.82	7.62	7.67	1292578	15848619.000
03/26/2012	7.63	7.71	7.55	7.71	723715	8807894.000
03/27/2012	7.75	7.78	7.56	7.58	1047495	12837272.000
03/28/2012	7.58	7.58	7.11	7.12	1922526	22354270.000
03/29/2012	7.14	7.14	6.92	6.99	1208985	13625447.000
03/30/2012	6.99	7.07	6.93	6.98	625987	7017715.500
04/05/2012	6.98	7.19	6.98	7.16	1003268	11415543.000
04/06/2012	7.12	7.29	7.09	7.17	746799	8558206.000
04/09/2012	7.17	7.19	6.99	7.01	770393	8738151.000
04/10/2012	6.99	7.11	6.87	7.11	808382	9045587.000
04/11/2012	7.04	7.13	6.94	7.05	741914	8390813.000
04/12/2012	7.05	7.23	7.03	7.21	1502991	17203604.000
04/13/2012	7.19	7.35	7.19	7.25	1707843	19843010.000
04/16/2012	7.17	7.26	7.14	7.21	721321	8312993.000
04/17/2012	7.17	7.34	7.17	7.20	1360130	15793286.000
04/18/2012	7.26	7.39	7.16	7.33	1918867	22331608.000
04/20/2012	7.33	7.44	7.27	7.39	1541293	18177980.000
04/23/2012	7.38	7.39	7.20	7.24	1247007	14540402.000
04/24/2012	7.19	7.26	6.95	7.08	1384154	15658387.000
04/25/2012	7.08	7.19	6.99	7.16	1016632	11546803.000
04/26/2012	7.17	7.27	7.12	7.19	1004123	11540982.000
04/27/2012	7.15	7.29	7.15	7.22	873493	10093353.000
05/02/2012	7.31	7.33	7.18	7.29	1743931	20241498.000
05/03/2012	7.25	7.43	7.24	7.38	2433258	28538706.000
05/04/2012	7.36	7.49	7.32	7.45	2179468	25811148.000
05/07/2012	7.43	7.45	7.35	7.42	1278468	15098933.000
05/08/2012	7.40	7.45	7.34	7.39	1239732	14626332.000
05/09/2012	7.34	7.38	7.25	7.29	1399615	16340889.000
05/10/2012	7.29	7.42	7.27	7.31	1023446	12027081.000
05/11/2012	7.37	7.47	7.32	7.42	1876072	22218390.000
05/14/2012	7.55	7.57	7.39	7.39	2079016	24858114.000
05/15/2012	7.32	7.34	7.15	7.30	1742318	20132896.000
05/16/2012	7.29	7.31	7.19	7.22	959662	11127755.000
05/17/2012	7.23	7.32	7.19	7.32	884626	10270492.000
05/18/2012	7.34	7.36	7.15	7.15	1087786	12359649.000
05/21/2012	7.15	7.23	7.10	7.21	850003	9545228.000
05/22/2012	7.25	7.33	7.21	7.33	1034930	11814735.000
05/23/2012	7.32	7.32	7.17	7.25	704509	7998299.000
05/24/2012	7.19	7.27	7.19	7.23	765480	8696779.000
05/25/2012	7.23	7.26	7.09	7.10	807767	9056465.000
05/28/2012	7.11	7.23	7.07	7.22	918385	10344677.000
05/29/2012	7.22	7.37	7.18	7.31	1662109	19030058.000
05/30/2012	7.27	7.39	7.27	7.31	1069907	12286698.000
05/31/2012	7.32	7.59	7.29	7.43	4229456	49617092.000
06/01/2012	7.44	7.53	7.41	7.48	1531014	17914546.000
06/04/2012	7.40	7.64	7.33	7.40	3326832	39135024.000
06/05/2012	7.41	7.56	7.37	7.51	3076836	36109244.000
06/06/2012	7.45	7.59	7.45	7.56	2402431	28388594.000
06/07/2012	7.60	7.71	7.55	7.66	2897386	34619712.000
06/08/2012	7.67	7.69	7.51	7.64	2092744	24902670.000
06/11/2012	7.62	7.70	7.49	7.69	2218592	26423048.000
06/12/2012	7.64	7.70	7.58	7.67	1310784	15649745.000
06/13/2012	7.63	7.85	7.57	7.75	2957545	35882036.000
06/14/2012	7.73	7.95	7.71	7.83	2947197	36174736.000
06/15/2012	7.83	8.00	7.80	7.87	2232939	27614678.000
06/18/2012	7.85	8.04	7.85	8.01	3248992	40433636.000
06/19/2012	8.03	8.11	7.92	7.92	3023124	37899532.000
06/20/2012	7.94	8.03	7.80	7.85	2076397	25614962.000
06/21/2012	8.07	8.21	7.71	7.89	10066841	124885704.000
06/25/2012	7.73	7.93	7.64	7.77	4988641	61029104.000
06/26/2012	7.70	7.88	7.61	7.75	1611276	19513208.000
06/27/2012	7.75	7.93	7.67	7.77	2425251	29703164.000
06/28/2012	7.79	8.03	7.78	7.90	2900401	35924884.000
06/29/2012	7.89	8.04	7.79	8.00	2508807	31182344.000
07/02/2012	8.06	8.17	7.97	8.14	3426416	43306184.000
07/03/2012	8.19	8.23	8.03	8.05	3600078	45749124.000
07/04/2012	8.05	8.13	7.87	7.94	2205482	27506546.000
07/05/2012	7.94	8.00	7.78	7.93	1731010	21340724.000
07/06/2012	7.87	8.25	7.67	8.18	4574355	57150044.000
07/09/2012	8.11	8.39	8.09	8.11	3458563	44477316.000
07/10/2012	8.00	8.23	7.86	8.08	3359129	42263300.000
07/11/2012	8.07	8.22	7.93	8.20	2074293	26288530.000
07/12/2012	8.20	8.38	8.14	8.21	2805443	36225924.000
07/13/2012	8.17	8.27	8.01	8.07	1797462	22744018.000
07/16/2012	8.04	8.25	7.77	7.98	7610115	95129360.000
07/17/2012	7.86	8.05	7.77	7.97	2802628	34642376.000
07/18/2012	7.94	8.15	7.88	8.12	7114960	89059216.000
07/19/2012	8.11	8.17	8.02	8.06	9184049	116511104.000
07/20/2012	8.04	8.09	7.95	8.03	3954162	49693188.000
07/23/2012	8.01	8.12	7.90	8.04	6837266	85477872.000
07/24/2012	8.00	8.21	7.99	8.07	5576031	70605488.000
07/25/2012	8.10	8.14	7.83	7.87	4285711	53468632.000
07/26/2012	7.87	7.91	7.67	7.69	2103946	25666080.000
07/27/2012	7.70	7.74	7.56	7.57	3030726	36153280.000
07/30/2012	7.57	7.57	7.19	7.33	3991486	45746808.000
07/31/2012	7.33	7.47	7.13	7.33	4239695	49140892.000
08/01/2012	7.34	7.46	7.30	7.41	1234020	14336196.000
08/02/2012	7.39	7.55	7.28	7.33	1582712	18397774.000
08/03/2012	7.40	7.51	7.33	7.45	1346399	15706884.000
08/06/2012	7.45	7.67	7.41	7.55	1767393	20920228.000
