002346 柘中股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.75	5.86	5.57	5.57	518097	6175095.000
01/05/2012	5.55	5.57	5.28	5.39	443084	5061885.500
01/06/2012	5.29	5.48	5.28	5.45	339809	3846091.500
01/09/2012	5.44	5.70	5.37	5.68	608027	7120828.000
01/10/2012	5.67	5.90	5.67	5.90	1106016	13495251.000
01/11/2012	5.86	5.92	5.77	5.89	900628	10994837.000
01/12/2012	5.92	6.05	5.82	6.05	1628086	20310106.000
01/13/2012	6.13	6.16	5.78	5.80	799153	9851691.000
01/16/2012	5.73	5.84	5.57	5.58	381598	4545486.000
01/17/2012	5.51	6.04	5.51	5.88	683270	8278082.000
01/18/2012	5.93	6.22	5.84	5.90	1255201	15790217.000
01/19/2012	5.90	5.91	5.63	5.90	685409	8382961.500
01/20/2012	5.91	5.97	5.82	5.93	615089	7607365.000
01/30/2012	5.95	6.01	5.89	5.95	610863	7608090.500
01/31/2012	5.93	6.00	5.91	5.98	450980	5604883.000
02/01/2012	5.97	6.02	5.87	5.88	786074	9764263.000
02/02/2012	5.88	5.97	5.78	5.93	658712	8085862.500
02/03/2012	5.93	6.05	5.88	6.00	851811	10647570.000
02/06/2012	6.01	6.07	5.98	6.05	922174	11640410.000
02/07/2012	6.08	6.08	5.91	5.92	751041	9371483.000
02/08/2012	5.84	6.05	5.83	6.04	968957	12139983.000
02/09/2012	6.05	6.17	6.03	6.09	1443983	18410546.000
02/10/2012	6.04	6.27	6.04	6.22	2176070	28187180.000
02/13/2012	6.09	6.46	6.08	6.40	2289407	29999412.000
02/14/2012	6.38	6.42	6.28	6.35	1382640	18284296.000
02/15/2012	6.35	6.42	6.29	6.42	1368858	18178604.000
02/16/2012	6.42	6.50	6.37	6.50	1407540	18922018.000
02/17/2012	6.46	6.53	6.32	6.40	946825	12667653.000
02/20/2012	6.48	6.51	6.33	6.35	860148	11501759.000
02/21/2012	6.38	6.45	6.23	6.38	911842	12055763.000
02/22/2012	6.39	6.54	6.37	6.54	1514365	20434336.000
02/23/2012	6.54	6.74	6.49	6.64	1868347	25745654.000
02/24/2012	6.61	6.93	6.54	6.85	2873444	40591524.000
02/27/2012	6.85	6.93	6.73	6.73	2239874	31873034.000
02/28/2012	6.77	6.82	6.58	6.73	1271685	17761330.000
02/29/2012	6.74	6.77	6.59	6.63	731397	10157113.000
03/01/2012	6.61	6.72	6.58	6.67	603090	8370124.500
03/02/2012	6.74	6.76	6.62	6.76	1047992	14640328.000
03/05/2012	6.81	6.83	6.68	6.73	1247644	17515484.000
03/06/2012	6.75	6.87	6.65	6.79	1272001	17851008.000
03/07/2012	6.73	6.99	6.71	6.92	2131898	30456786.000
03/08/2012	6.98	7.21	6.94	7.16	3084024	45610416.000
03/09/2012	7.03	7.07	6.90	6.99	2777756	40247288.000
03/12/2012	6.98	6.99	6.83	6.92	1605276	23077090.000
03/13/2012	6.93	7.01	6.90	7.00	1137506	16450623.000
03/14/2012	7.01	7.04	6.48	6.51	1687843	24026744.000
03/15/2012	6.51	6.53	6.21	6.26	1547994	20385560.000
03/16/2012	6.25	6.61	6.25	6.49	982902	13137704.000
03/19/2012	6.49	6.60	6.37	6.56	868406	11707803.000
03/20/2012	6.54	6.54	6.35	6.40	551619	7397759.000
03/21/2012	6.42	6.65	6.36	6.50	885352	11975051.000
03/22/2012	6.55	6.63	6.44	6.49	610034	8260878.500
03/23/2012	6.45	6.51	6.29	6.33	430200	5736001.000
03/26/2012	6.31	6.50	6.26	6.38	308261	4100224.000
03/27/2012	6.42	6.60	6.35	6.57	1291906	17498142.000
03/28/2012	6.59	6.82	6.40	6.79	3967345	54819880.000
03/29/2012	6.71	7.12	6.67	7.06	6884169	99173024.000
03/30/2012	6.94	7.04	6.73	6.96	3663404	52461876.000
04/05/2012	6.91	7.25	6.74	7.23	3773887	55271140.000
04/06/2012	7.23	7.23	7.03	7.21	2709117	40154180.000
04/09/2012	7.13	7.17	6.86	6.86	1880365	27345630.000
04/10/2012	6.80	6.80	6.37	6.64	2333449	31775374.000
04/11/2012	6.53	6.72	6.46	6.63	1241141	17048042.000
04/12/2012	6.59	6.76	6.59	6.75	1438603	20042686.000
04/13/2012	6.76	7.02	6.75	6.97	2015802	28914748.000
04/16/2012	6.89	7.17	6.79	7.03	1935825	28164754.000
04/17/2012	7.08	7.08	6.78	6.78	1377429	19756476.000
04/18/2012	6.73	6.90	6.69	6.87	1269984	18012808.000
04/19/2012	6.88	7.54	6.88	7.35	4021857	60445032.000
04/20/2012	7.23	7.48	7.16	7.46	3467004	52875548.000
04/23/2012	7.39	7.77	7.27	7.63	4277568	66910424.000
04/24/2012	7.45	7.62	6.87	7.31	3489089	53005388.000
04/25/2012	7.28	7.83	7.13	7.62	3467799	53587296.000
04/26/2012	7.28	7.37	6.83	6.83	5746898	83819216.000
04/27/2012	6.60	6.73	6.28	6.40	3738969	49945260.000
05/02/2012	6.43	6.47	6.18	6.34	2243017	29575670.000
05/03/2012	6.34	6.45	6.27	6.43	1436110	19068578.000
05/04/2012	6.38	6.41	6.26	6.36	1207879	15993589.000
05/07/2012	6.40	6.58	6.33	6.43	2162708	28980970.000
05/08/2012	6.47	6.55	6.40	6.54	1870744	25274114.000
05/09/2012	6.54	6.54	6.38	6.42	1082322	14497233.000
05/10/2012	6.38	6.50	6.35	6.41	962909	12865378.000
05/11/2012	6.37	6.42	6.34	6.35	706900	9396121.000
05/14/2012	6.36	6.52	6.36	6.39	927872	12432696.000
05/15/2012	6.36	6.36	5.99	6.07	1721497	21916106.000
05/16/2012	6.07	6.07	5.86	5.87	1163894	14444733.000
05/17/2012	5.88	6.07	5.86	5.97	805950	10004963.000
05/18/2012	5.96	5.96	5.71	5.78	870010	10591340.000
05/21/2012	5.80	5.96	5.79	5.84	501628	6146904.500
05/22/2012	5.87	6.07	5.87	5.97	945094	11827330.000
05/24/2012	5.97	6.18	5.97	6.10	1713102	21879770.000
05/25/2012	6.08	6.13	5.98	6.02	776336	9827870.000
05/28/2012	5.96	6.38	5.79	6.33	2411132	31199982.000
05/29/2012	6.31	6.52	6.28	6.36	2269626	30177418.000
05/30/2012	6.34	6.35	6.22	6.27	931531	12209023.000
05/31/2012	6.28	6.32	6.08	6.16	956671	12381068.000
06/01/2012	6.14	6.23	6.03	6.05	651016	8310172.000
06/04/2012	6.02	6.02	5.78	5.79	1245386	15228605.000
06/05/2012	5.74	5.86	5.73	5.78	513313	6235737.500
06/06/2012	5.78	5.84	5.74	5.75	326472	3953697.250
06/07/2012	5.86	5.86	5.63	5.72	546020	6562142.500
06/08/2012	5.75	5.85	5.71	5.73	502266	6066607.500
06/11/2012	5.64	5.81	5.56	5.75	686906	8174486.500
06/12/2012	5.74	5.74	5.60	5.63	407747	4827517.000
06/13/2012	5.58	5.71	5.58	5.69	455930	5414853.000
06/14/2012	5.70	5.89	5.66	5.73	645418	7798225.500
06/15/2012	5.75	6.33	5.72	6.33	3075843	38777532.000
06/18/2012	6.25	6.29	6.11	6.21	3246777	42115520.000
06/19/2012	6.15	6.18	6.05	6.18	1437305	18350016.000
06/20/2012	6.17	6.68	6.15	6.30	2501599	33274506.000
06/21/2012	6.23	6.28	5.98	6.10	1201656	15287193.000
06/25/2012	6.10	6.14	5.73	5.77	750095	9336653.000
06/26/2012	5.73	5.86	5.67	5.82	598344	7225283.500
06/27/2012	5.82	5.84	5.66	5.68	528057	6370275.500
06/28/2012	5.73	6.28	5.73	6.28	3215394	41447920.000
06/29/2012	6.56	6.59	6.33	6.41	5724536	77052928.000
07/02/2012	6.36	6.50	6.28	6.37	3192236	42394040.000
07/03/2012	6.36	6.66	6.25	6.57	5309204	71921704.000
07/04/2012	6.52	6.67	6.33	6.35	3069654	41287832.000
07/05/2012	6.34	6.34	6.08	6.14	2058899	26491294.000
07/06/2012	6.23	6.41	6.08	6.38	2188427	28579932.000
07/09/2012	6.32	6.35	5.98	6.05	2134023	27561594.000
07/10/2012	5.95	5.97	5.74	5.80	1615042	19693474.000
07/11/2012	5.88	6.41	5.82	6.41	3210170	41761032.000
07/12/2012	6.43	6.78	6.41	6.66	6770884	92862320.000
07/13/2012	6.60	6.78	6.52	6.55	4545993	62727804.000
07/16/2012	6.50	6.67	6.36	6.40	3503952	47731716.000
07/17/2012	6.33	6.85	6.24	6.77	5720523	79457912.000
07/18/2012	6.62	6.77	6.49	6.72	4229691	58464752.000
07/19/2012	6.67	6.97	6.53	6.77	5602324	79505304.000
07/20/2012	6.79	6.79	6.56	6.57	2566519	35091004.000
07/23/2012	6.44	6.69	6.37	6.62	1833352	24727422.000
07/24/2012	6.55	6.79	6.50	6.73	2037771	27981334.000
07/25/2012	6.66	6.77	6.42	6.49	2019051	27269472.000
07/26/2012	6.45	6.59	6.22	6.33	1574134	20921804.000
07/27/2012	6.38	6.53	6.29	6.44	1356424	17967212.000
07/30/2012	6.44	6.90	6.35	6.51	2890128	39549208.000
07/31/2012	6.36	6.44	5.86	5.93	2495282	31553464.000
08/01/2012	5.93	6.54	5.93	6.38	3128529	40927696.000
08/02/2012	6.23	6.35	6.01	6.16	1808586	23091906.000
08/03/2012	6.13	6.30	6.08	6.29	1430781	18377174.000
08/06/2012	6.24	6.52	6.19	6.51	2884221	37783540.000
08/07/2012	6.55	6.68	6.41	6.59	2350991	31548354.000
08/08/2012	6.55	6.69	6.45	6.62	1835223	24819920.000
